t,	etaU
0,	72.9741
0.738007,	67.6707
1.47601,	66.1841
2.21402,	66.6817
2.95203,	66.6817
3.69004,	66.1841
4.42804,	67.6707
5.16605,	72.9741
5.90406,	75.0554
6.64207,	72.7066
7.38007,	66.3795
8.11808,	57.165
8.85609,	52.0669
9.5941,	53.376
10.3321,	54.6858
11.0701,	53.7098
11.8081,	54.1348
12.5461,	57.5301
13.2841,	58.4772
14.0221,	55.2172
14.7601,	46.7737
15.4982,	36.7788
16.2362,	32.6834
16.9742,	29.2457
17.7122,	23.1878
18.4502,	20.5617
19.1882,	21.0574
19.9262,	22.7124
20.6642,	24.7521
21.4022,	25.436
22.1402,	25.0868
22.8782,	27.2586
23.6162,	32.7533
24.3542,	46.5499
25.0923,	71.9219
25.8303,	94.5241
26.5683,	100
27.3063,	86.0393
28.0443,	62.0675
28.7823,	45.2132
29.5203,	41.1896
30.2583,	41.2799
30.9963,	42.5569
31.7343,	45.0345
32.4723,	46.252
33.2103,	42.0007
33.9483,	34.3226
34.6863,	30.583
35.4244,	31.8816
36.1624,	33.4366
36.9004,	31.0556
37.6384,	29.5985
38.3764,	35.6528
39.1144,	44.6877
39.8524,	49.1948
40.5904,	48.3378
41.3284,	48.0904
42.0664,	53.7249
42.8044,	62.4771
43.5424,	66.4221
44.2804,	62.0004
45.0185,	51.719
45.7565,	43.1597
46.4945,	42.0951
47.2325,	44.6852
47.9705,	44.0482
48.7085,	42.1221
49.4465,	43.1611
50.1845,	43.2595
50.9225,	41.2178
51.6605,	38.6185
52.3985,	38.5802
53.1365,	40.7261
53.8745,	37.5355
54.6125,	27.2719
55.3506,	17.6164
56.0886,	12.2846
56.8266,	10.7002
57.5646,	12.1537
58.3026,	14.5678
59.0406,	17.2093
59.7786,	20.2116
60.5166,	22.1719
61.2546,	22.3526
61.9926,	22.962
62.7306,	23.6567
63.4686,	22.6796
64.2066,	19.2652
64.9446,	13.4916
65.6827,	9.62654
66.4207,	10.8621
67.1587,	13.7416
67.8967,	14.1262
68.6347,	13.5173
69.3727,	13.7685
70.1107,	16.052
70.8487,	21.0871
71.5867,	26.6938
72.3247,	29.8491
73.0627,	30.6604
73.8007,	28.9832
74.5387,	25.6951
75.2768,	22.5922
76.0148,	19.0617
76.7528,	14.9911
77.4908,	12.0985
78.2288,	12.5833
78.9668,	15.9464
79.7048,	19.0047
80.4428,	18.3921
81.1808,	13.6106
81.9188,	8.02833
82.6568,	5.60323
83.3948,	5.84261
84.1328,	7.79951
84.8708,	12.4797
85.6089,	19.1106
86.3469,	24.1173
87.0849,	23.7474
87.8229,	18.6557
88.5609,	14.5331
89.2989,	15.2693
90.0369,	18.8796
90.7749,	20.5912
91.5129,	17.529
92.2509,	12.226
92.9889,	8.86312
93.7269,	8.26897
94.4649,	9.46575
95.203,	11.896
95.941,	14.7528
96.679,	16.6068
97.417,	15.5037
98.155,	12.0601
98.893,	10.1592
99.631,	11.1431
100.369,	12.4509
101.107,	11.5107
101.845,	8.45283
102.583,	5.84677
103.321,	6.93272
104.059,	11.8967
104.797,	17.556
105.535,	19.9804
106.273,	17.37
107.011,	12.2362
107.749,	10.1229
108.487,	12.2134
109.225,	14.525
109.963,	14.4253
110.701,	11.5137
111.439,	7.565
112.177,	5.99053
112.915,	6.71485
113.653,	7.70961
114.391,	8.08167
115.129,	7.16875
115.867,	6.62143
116.605,	8.45847
117.343,	11.1342
118.081,	12.0354
118.819,	10.5379
119.557,	7.69947
120.295,	5.43178
121.033,	4.51942
121.771,	4.36832
122.509,	4.7549
123.247,	6.28192
123.985,	9.17962
124.723,	12.4282
125.461,	14.1641
126.199,	13.0582
126.937,	9.85342
127.675,	7.07398
128.413,	5.97047
129.151,	6.14421
129.889,	6.89106
130.627,	7.52592
131.365,	7.5763
132.103,	7.12598
132.841,	6.99691
133.579,	7.77194
134.317,	8.47063
135.055,	8.43761
135.793,	8.49008
136.531,	9.18518
137.269,	9.85854
138.007,	9.16937
138.745,	6.96407
139.483,	5.58333
140.221,	6.86615
140.959,	9.66548
141.697,	12.283
142.435,	15.2602
143.173,	19.7797
143.911,	24.0088
144.649,	24.4081
145.387,	19.7401
146.125,	12.7356
146.863,	8.20356
147.601,	7.52029
148.339,	7.59679
149.077,	6.52059
149.815,	4.61644
150.554,	3.04121
151.292,	2.893
152.03,	3.55318
152.768,	3.95494
153.506,	4.55674
154.244,	6.20883
154.982,	8.39288
155.72,	9.45182
156.458,	8.15271
157.196,	5.11137
157.934,	2.88176
158.672,	2.6767
159.41,	3.65215
160.148,	4.67599
160.886,	4.85729
161.624,	4.51421
162.362,	4.29484
163.1,	4.05238
163.838,	3.47575
164.576,	2.75516
165.314,	2.43279
166.052,	2.6957
166.79,	2.89688
167.528,	2.81537
168.266,	2.93773
169.004,	3.53734
169.742,	4.14699
170.48,	4.01367
171.218,	3.12195
171.956,	2.21217
172.694,	1.98466
173.432,	2.44097
174.17,	3.10008
174.908,	3.51378
175.646,	3.32121
176.384,	2.87522
177.122,	2.8443
177.86,	3.17154
178.598,	3.45541
179.336,	3.66655
180.074,	3.71983
180.812,	3.61006
181.55,	3.33549
182.288,	2.91763
183.026,	2.67834
183.764,	2.63653
184.502,	2.96071
185.24,	3.68815
185.978,	4.44556
186.716,	4.7312
187.454,	4.17827
188.192,	3.17313
188.93,	2.52633
189.668,	2.20239
190.406,	2.13771
191.144,	2.43924
191.882,	3.03369
192.62,	3.91445
193.358,	4.51937
194.096,	4.41324
194.834,	3.79671
195.572,	3.28387
196.31,	3.21407
197.048,	3.3164
197.786,	3.33793
198.524,	3.3502
199.262,	3.86064
200,	4.8852
200.738,	5.4656
201.476,	5.07611
202.214,	4.05733
202.952,	3.06951
203.69,	2.65594
204.428,	2.57129
205.166,	2.32495
205.904,	1.99563
206.642,	1.73459
207.38,	1.52909
208.118,	1.32035
208.856,	1.32827
209.594,	1.63715
210.332,	2.03338
211.07,	2.13305
211.808,	1.73934
212.546,	1.15189
213.284,	0.936637
214.022,	1.12869
214.76,	1.50414
215.498,	1.97528
216.236,	2.42479
216.974,	2.6933
217.712,	2.65449
218.45,	2.34484
219.188,	1.94175
219.926,	1.67865
220.664,	1.71934
221.402,	1.8935
222.14,	1.85842
222.878,	1.60831
223.616,	1.18238
224.354,	0.812807
225.092,	0.874374
225.83,	1.28408
226.568,	1.71223
227.306,	2.08523
228.044,	2.24918
228.782,	2.14622
229.52,	1.95851
230.258,	1.69974
230.996,	1.39042
231.734,	1.2692
232.472,	1.44618
233.21,	1.90134
233.948,	2.54542
234.686,	3.1759
235.424,	3.64004
236.162,	3.80422
236.9,	3.54952
237.638,	2.86732
238.376,	2.04723
239.114,	1.4329
239.852,	1.09078
240.59,	1.20589
241.328,	1.8636
242.066,	2.56815
242.804,	2.87397
243.542,	2.78384
244.28,	3.04453
245.018,	4.14897
245.756,	5.08349
246.494,	4.99555
247.232,	4.10639
247.97,	3.05137
248.708,	2.46409
249.446,	2.20018
250.185,	1.87113
250.923,	1.73011
251.661,	1.80334
252.399,	1.96455
253.137,	2.12929
253.875,	2.04297
254.613,	1.62712
255.351,	1.12471
256.089,	0.828176
256.827,	0.868411
257.565,	1.41553
258.303,	2.29701
259.041,	2.90072
259.779,	2.93846
260.517,	2.71928
261.255,	2.68342
261.993,	2.89897
262.731,	2.93828
263.469,	2.52541
264.207,	2.20962
264.945,	2.34575
265.683,	2.5336
266.421,	2.61989
267.159,	2.66359
267.897,	2.70288
268.635,	2.84487
269.373,	2.82603
270.111,	2.41245
270.849,	2.02142
271.587,	2.04121
272.325,	2.38914
273.063,	2.77799
273.801,	2.98071
274.539,	2.97752
275.277,	2.8665
276.015,	2.55539
276.753,	1.91237
277.491,	1.34373
278.229,	1.12337
278.967,	1.20551
279.705,	1.41128
280.443,	1.5754
281.181,	1.73058
281.919,	1.78213
282.657,	1.67926
283.395,	1.71049
284.133,	1.93967
284.871,	2.15637
285.609,	2.21548
286.347,	2.11035
287.085,	2.00907
287.823,	1.92962
288.561,	1.92604
289.299,	2.01987
290.037,	2.18751
290.775,	2.27821
291.513,	2.11288
292.251,	1.80521
292.989,	1.70932
293.727,	1.93989
294.465,	2.26368
295.203,	2.32707
295.941,	2.06892
296.679,	1.77828
297.417,	1.77595
298.155,	2.03554
298.893,	2.08414
299.631,	1.7361
300.369,	1.25991
301.107,	1.00118
301.845,	1.33893
302.583,	2.14299
303.321,	2.9164
304.059,	3.21419
304.797,	3.07885
305.535,	3.02341
306.273,	3.28634
307.011,	3.55575
307.749,	3.43713
308.487,	3.02477
309.225,	2.70462
309.963,	2.6512
310.701,	2.63316
311.439,	2.43894
312.177,	2.06218
312.915,	1.76176
313.653,	1.70101
314.391,	1.92178
315.129,	2.17515
315.867,	2.33396
316.605,	2.54937
317.343,	2.79332
318.081,	2.92875
318.819,	2.74922
319.557,	2.16551
320.295,	1.67037
321.033,	1.73222
321.771,	2.1792
322.509,	2.53071
323.247,	2.45371
323.985,	2.12949
324.723,	2.01637
325.461,	2.17497
326.199,	2.14701
326.937,	2.0518
327.675,	2.40669
328.413,	3.18204
329.151,	3.76086
329.889,	3.47289
330.627,	2.45749
331.365,	1.6593
332.103,	1.45628
332.841,	1.56497
333.579,	1.70853
334.317,	1.79472
335.055,	1.8905
335.793,	1.83026
336.531,	1.49924
337.269,	1.25636
338.007,	1.35621
338.745,	1.64651
339.483,	1.80335
340.221,	1.73404
340.959,	1.62811
341.697,	1.62365
342.435,	1.67379
343.173,	1.629
343.911,	1.50829
344.649,	1.45368
345.387,	1.55329
346.125,	1.88423
346.863,	2.31907
347.601,	2.67542
348.339,	2.88418
349.077,	2.81006
349.815,	2.49687
350.554,	2.07475
351.292,	1.8026
352.03,	1.91349
352.768,	2.21242
353.506,	2.35448
354.244,	2.11207
354.982,	1.52913
355.72,	1.02391
356.458,	0.844475
357.196,	1.01364
357.934,	1.43558
358.672,	1.76964
359.41,	1.90038
360.148,	1.85768
360.886,	1.69781
361.624,	1.5798
362.362,	1.50739
363.1,	1.34482
363.838,	1.16713
364.576,	1.04302
365.314,	1.01012
366.052,	1.16785
366.79,	1.42416
367.528,	1.58905
368.266,	1.48373
369.004,	1.10207
369.742,	0.740086
370.48,	0.797585
371.218,	1.28805
371.956,	1.77155
372.694,	1.85026
373.432,	1.71229
374.17,	1.6971
374.908,	1.84598
375.646,	1.92438
376.384,	1.64144
377.122,	1.24316
377.86,	1.30412
378.598,	1.86942
379.336,	2.43084
380.074,	2.56658
380.812,	2.37291
381.55,	2.15068
382.288,	1.9956
383.026,	1.86281
383.764,	1.60202
384.502,	1.24341
385.24,	1.11868
385.978,	1.23271
386.716,	1.43105
387.454,	1.58418
388.192,	1.58664
388.93,	1.51009
389.668,	1.50618
390.406,	1.57325
391.144,	1.59528
391.882,	1.51556
392.62,	1.37619
393.358,	1.28489
394.096,	1.2375
394.834,	1.23477
395.572,	1.24259
396.31,	1.26804
397.048,	1.46079
397.786,	1.74844
398.524,	1.77614
399.262,	1.51076
400,	1.11566
400.738,	0.732191
401.476,	0.613719
402.214,	0.722029
402.952,	0.857777
403.69,	0.933344
404.428,	0.860832
405.166,	0.802809
405.904,	0.911771
406.642,	0.999514
407.38,	1.07193
408.118,	1.27421
408.856,	1.50374
409.594,	1.68181
410.332,	1.76652
411.07,	1.74748
411.808,	1.67012
412.546,	1.44946
413.284,	1.23949
414.022,	1.29871
414.76,	1.45613
415.498,	1.47779
416.236,	1.27481
416.974,	1.02901
417.712,	1.08271
418.45,	1.35327
419.188,	1.58941
419.926,	1.88314
420.664,	2.19005
421.402,	2.32291
422.14,	2.20646
422.878,	1.84279
423.616,	1.42425
424.354,	1.26274
425.092,	1.45644
425.83,	1.73958
426.568,	1.80545
427.306,	1.59439
428.044,	1.2975
428.782,	1.20011
429.52,	1.30976
430.258,	1.29546
430.996,	1.20816
431.734,	1.31107
432.472,	1.47832
433.21,	1.50525
433.948,	1.42324
434.686,	1.35349
435.424,	1.3272
436.162,	1.23947
436.9,	1.02724
437.638,	0.870899
