t,	etaU
0,	2.75065
0.738007,	2.38933
1.47601,	2.20133
2.21402,	2.25159
2.95203,	2.25159
3.69004,	2.20133
4.42804,	2.38933
5.16605,	2.75065
5.90406,	2.82417
6.64207,	2.49321
7.38007,	2.26699
8.11808,	2.41049
8.85609,	2.75699
9.5941,	2.89781
10.3321,	2.63295
11.0701,	2.1717
11.8081,	1.82894
12.5461,	1.9262
13.2841,	2.44054
14.0221,	2.86078
14.7601,	2.90976
15.4982,	2.63489
16.2362,	2.3254
16.9742,	2.37396
17.7122,	2.51652
18.4502,	2.4238
19.1882,	2.34558
19.9262,	2.50678
20.6642,	2.78172
21.4022,	2.95287
22.1402,	2.89364
22.8782,	2.96854
23.6162,	3.51701
24.3542,	4.75788
25.0923,	6.43654
25.8303,	7.54766
26.5683,	7.50706
27.3063,	6.28506
28.0443,	4.52695
28.7823,	3.6736
29.5203,	3.76265
30.2583,	3.89381
30.9963,	4.23157
31.7343,	4.79927
32.4723,	5.30484
33.2103,	5.34355
33.9483,	4.48669
34.6863,	3.09075
35.4244,	2.14687
36.1624,	1.92759
36.9004,	1.93471
37.6384,	2.16989
38.3764,	2.64969
39.1144,	2.87133
39.8524,	2.66168
40.5904,	2.14999
41.3284,	1.80887
42.0664,	2.2775
42.8044,	3.46597
43.5424,	4.57471
44.2804,	4.93732
45.0185,	4.48932
45.7565,	3.72406
46.4945,	3.71573
47.2325,	4.72717
47.9705,	5.70544
48.7085,	6.52631
49.4465,	7.82816
50.1845,	9.49301
50.9225,	10.8613
51.6605,	10.8253
52.3985,	9.24338
53.1365,	7.24023
53.8745,	5.72564
54.6125,	5.3859
55.3506,	6.19811
56.0886,	8.03314
56.8266,	9.97328
57.5646,	10.7106
58.3026,	10.6443
59.0406,	10.6868
59.7786,	10.4885
60.5166,	9.41975
61.2546,	7.04912
61.9926,	4.93969
62.7306,	5.37804
63.4686,	8.75911
64.2066,	13.5438
64.9446,	16.9398
65.6827,	18.0619
66.4207,	18.2997
67.1587,	18.1793
67.8967,	16.8311
68.6347,	16.3712
69.3727,	21.0307
70.1107,	31.6848
70.8487,	44.8531
71.5867,	62.7494
72.3247,	85.2561
73.0627,	100
73.8007,	97.3324
74.5387,	78.6676
75.2768,	55.1818
76.0148,	39.2977
76.7528,	31.4763
77.4908,	26.7656
78.2288,	25.9785
78.9668,	27.008
79.7048,	24.5184
80.4428,	17.7869
81.1808,	11.2956
81.9188,	7.23449
82.6568,	4.94328
83.3948,	4.72936
84.1328,	5.63657
84.8708,	6.65149
85.6089,	7.23954
86.3469,	7.77787
87.0849,	8.7355
87.8229,	9.1399
88.5609,	8.15194
89.2989,	6.08871
90.0369,	3.87889
90.7749,	3.55729
91.5129,	5.04669
92.2509,	6.442
92.9889,	7.03094
93.7269,	6.88048
94.4649,	6.61289
95.203,	6.63031
95.941,	6.21343
96.679,	5.11894
97.417,	4.42158
98.155,	4.5806
98.893,	5.02035
99.631,	5.02235
100.369,	4.39755
101.107,	3.40925
101.845,	2.58194
102.583,	2.16176
103.321,	2.2693
104.059,	2.59395
104.797,	2.64974
105.535,	2.4368
106.273,	2.08323
107.011,	1.71246
107.749,	1.41746
108.487,	1.44118
109.225,	2.09533
109.963,	3.10298
110.701,	3.67068
111.439,	3.48684
112.177,	2.81844
112.915,	2.16147
113.653,	1.84907
114.391,	1.74874
115.129,	1.5346
115.867,	1.17251
116.605,	0.812356
117.343,	0.814738
118.081,	1.35521
118.819,	1.92781
119.557,	2.08322
120.295,	1.83141
121.033,	1.49727
121.771,	1.35841
122.509,	1.34407
123.247,	1.22826
123.985,	1.07886
124.723,	1.02347
125.461,	1.19498
126.199,	1.55259
126.937,	1.76565
127.675,	1.59887
128.413,	1.13237
129.151,	0.811766
129.889,	1.03909
130.627,	1.5318
131.365,	1.77217
132.103,	1.69701
132.841,	1.49349
133.579,	1.38352
134.317,	1.32024
135.055,	1.19774
135.793,	1.08841
136.531,	1.17847
137.269,	1.45427
138.007,	1.64394
138.745,	1.5463
139.483,	1.31492
140.221,	1.21572
140.959,	1.30794
141.697,	1.40735
142.435,	1.28315
143.173,	1.01514
143.911,	0.881028
144.649,	0.917398
145.387,	0.995624
146.125,	1.04502
146.863,	0.986869
147.601,	0.888797
148.339,	0.830603
149.077,	0.761119
149.815,	0.687615
150.554,	0.630865
151.292,	0.599359
152.03,	0.626495
152.768,	0.675663
153.506,	0.686904
154.244,	0.618796
154.982,	0.53881
155.72,	0.562251
156.458,	0.693992
157.196,	0.823856
157.934,	0.883964
158.672,	0.864836
