t,	etaU
0,	86.5116
0.738007,	62.5875
1.47601,	42.9182
2.21402,	35.0142
2.95203,	35.0142
3.69004,	42.9182
4.42804,	62.5875
5.16605,	86.5116
5.90406,	98.7473
6.64207,	92.7466
7.38007,	79.9224
8.11808,	72.8577
8.85609,	67.9263
9.5941,	59.1794
10.3321,	51.61
11.0701,	49.3432
11.8081,	55.1319
12.5461,	69.6494
13.2841,	87.3136
14.0221,	97.6493
14.7601,	91.0434
15.4982,	69.3807
16.2362,	51.7907
16.9742,	51.0526
17.7122,	62.714
18.4502,	71.8752
19.1882,	68.139
19.9262,	62.0933
20.6642,	69.3369
21.4022,	86.9836
22.1402,	100
22.8782,	94.3768
23.6162,	76.0968
24.3542,	64.9163
25.0923,	64.427
25.8303,	63.5547
26.5683,	52.6572
27.3063,	33.5667
28.0443,	17.7318
28.7823,	11.1889
29.5203,	13.3053
30.2583,	20.4065
30.9963,	27.3316
31.7343,	31.4897
32.4723,	31.5394
33.2103,	28.8429
33.9483,	24.2548
34.6863,	19.1292
35.4244,	16.4312
36.1624,	16.8554
36.9004,	19.1315
37.6384,	22.2536
38.3764,	28.0921
39.1144,	36.2766
39.8524,	41.853
40.5904,	43.7619
41.3284,	42.2465
42.0664,	39.3588
42.8044,	37.753
43.5424,	36.0053
44.2804,	33.9105
45.0185,	33.0273
45.7565,	31.4199
46.4945,	28.5598
47.2325,	27.8461
47.9705,	31.2208
48.7085,	34.9326
49.4465,	34.2838
50.1845,	27.7133
50.9225,	17.7602
51.6605,	11.7997
52.3985,	12.2474
53.1365,	14.8726
53.8745,	15.761
54.6125,	13.5067
55.3506,	9.26104
56.0886,	6.30932
56.8266,	6.29039
57.5646,	8.52826
58.3026,	12.4845
59.0406,	15.5017
59.7786,	14.6783
60.5166,	11.9673
61.2546,	10.2543
61.9926,	9.55141
62.7306,	9.8932
63.4686,	10.5144
64.2066,	11.2197
64.9446,	12.885
65.6827,	13.471
66.4207,	12.3832
67.1587,	11.9687
67.8967,	12.5011
68.6347,	12.6453
69.3727,	10.8809
70.1107,	6.98068
70.8487,	3.15868
