t,	etaU
0,	26.0807
0.738007,	25.4002
1.47601,	21.8733
2.21402,	18.1156
2.95203,	18.1156
3.69004,	21.8733
4.42804,	25.4002
5.16605,	26.0807
5.90406,	24.9544
6.64207,	26.1173
7.38007,	33.2341
8.11808,	42.7781
8.85609,	46.5426
9.5941,	42.0023
10.3321,	33.3472
11.0701,	26.9528
11.8081,	26.197
12.5461,	25.9969
13.2841,	23.286
14.0221,	21.3186
14.7601,	19.685
15.4982,	17.2732
16.2362,	15.1457
16.9742,	13.313
17.7122,	13.1538
18.4502,	14.6347
19.1882,	17.1643
19.9262,	22.7931
20.6642,	29.0747
21.4022,	32.0914
22.1402,	31.5185
22.8782,	27.421
23.6162,	22.0858
24.3542,	18.2302
25.0923,	16.7949
25.8303,	18.8518
26.5683,	21.6057
27.3063,	20.5981
28.0443,	17.9782
28.7823,	16.6045
29.5203,	17.0216
30.2583,	19.3068
30.9963,	21.7262
31.7343,	22.9074
32.4723,	23.1133
33.2103,	22.1351
33.9483,	19.8162
34.6863,	17.0329
35.4244,	15.0327
36.1624,	14.3217
36.9004,	14.3754
37.6384,	13.8549
38.3764,	11.6425
39.1144,	10.2998
39.8524,	11.8744
40.5904,	14.7913
41.3284,	17.0868
42.0664,	19.6263
42.8044,	23.049
43.5424,	26.8882
44.2804,	28.6561
45.0185,	25.3919
45.7565,	18.9381
46.4945,	16.7428
47.2325,	25.0954
47.9705,	39.8382
48.7085,	47.817
49.4465,	41.1058
50.1845,	25.7335
50.9225,	13.5422
51.6605,	10.6608
52.3985,	15.9326
53.1365,	26.5446
53.8745,	36.2027
54.6125,	37.9623
55.3506,	30.5971
56.0886,	20.3758
56.8266,	16.5889
57.5646,	21.1013
58.3026,	26.4366
59.0406,	26.009
59.7786,	20.9423
60.5166,	17.8305
61.2546,	20.2164
61.9926,	27.8824
62.7306,	37.1696
63.4686,	42.9839
64.2066,	45.0553
64.9446,	42.3704
65.6827,	34.4693
66.4207,	25.7194
67.1587,	19.0508
67.8967,	17.0575
68.6347,	21.395
69.3727,	32.1904
70.1107,	47.634
70.8487,	57.6212
71.5867,	53.0938
72.3247,	36.6796
73.0627,	20.5958
73.8007,	16.4801
74.5387,	29.3463
75.2768,	49.6117
76.0148,	60.7277
76.7528,	56.5264
77.4908,	43.7387
78.2288,	31.7703
78.9668,	26.1462
79.7048,	23.6516
80.4428,	19.7943
81.1808,	17.7078
81.9188,	19.7072
82.6568,	22.6434
83.3948,	23.0805
84.1328,	23.1596
84.8708,	24.0449
85.6089,	28.1294
86.3469,	35.3481
87.0849,	41.0958
87.8229,	42.7874
88.5609,	38.6934
89.2989,	29.2434
90.0369,	18.7866
90.7749,	10.9274
91.5129,	8.00707
92.2509,	10.6246
92.9889,	14.8506
93.7269,	19.1927
94.4649,	23.7608
95.203,	25.8567
95.941,	27.045
96.679,	29.6154
97.417,	30.7412
98.155,	28.7734
98.893,	23.8959
99.631,	17.6946
100.369,	16.3994
101.107,	19.5924
101.845,	22.1157
102.583,	23.5066
103.321,	24.0353
104.059,	23.2825
104.797,	21.5984
105.535,	18.3276
106.273,	14.7954
107.011,	14.5309
107.749,	17.5161
108.487,	21.3758
109.225,	22.4634
109.963,	20.7239
110.701,	18.6135
111.439,	16.4423
112.177,	13.9243
112.915,	11.0103
113.653,	8.03192
114.391,	6.75094
