t,	etaU
228.044,	22.1818
228.782,	23.1959
229.52,	22.3851
230.258,	18.6266
230.996,	13.9292
231.734,	10.7755
232.472,	9.50403
233.21,	10.1852
233.948,	12.6384
234.686,	15.8564
235.424,	17.7412
236.162,	17.9151
236.9,	17.1673
237.638,	15.0194
238.376,	12.4628
239.114,	11.0353
239.852,	11.2268
240.59,	12.3527
241.328,	12
242.066,	9.87964
242.804,	8.69805
243.542,	9.37955
244.28,	11.1449
245.018,	12.892
245.756,	14.7378
246.494,	16.3549
247.232,	15.7177
247.97,	13.1127
248.708,	10.6912
249.446,	10.5548
250.185,	12.8574
250.923,	16.1006
251.661,	19.2613
252.399,	21.147
253.137,	20.1108
253.875,	16.2664
254.613,	12.3019
255.351,	10.7824
256.089,	10.6647
256.827,	9.37353
257.565,	6.80898
258.303,	4.41196
259.041,	4.34994
259.779,	6.73607
260.517,	9.40687
261.255,	10.9798
261.993,	11.5484
262.731,	11.3473
263.469,	10.4704
264.207,	9.00057
264.945,	6.58061
265.683,	3.86618
266.421,	2.33321
267.159,	2.11865
267.897,	2.59053
268.635,	3.08247
269.373,	3.20633
270.111,	3.03395
270.849,	2.68393
271.587,	2.3428
272.325,	2.12347
273.063,	2.01928
273.801,	2.15547
274.539,	2.41769
275.277,	3.03072
276.015,	4.5073
276.753,	5.88758
277.491,	6.33909
278.229,	6.3015
278.967,	6.33313
279.705,	6.57928
280.443,	6.49909
281.181,	5.86539
281.919,	5.42324
282.657,	5.92334
283.395,	6.79857
284.133,	6.96184
284.871,	6.37024
285.609,	5.51295
286.347,	4.91744
287.085,	4.8091
287.823,	4.82902
288.561,	4.71982
289.299,	4.42963
290.037,	4.32924
290.775,	5.21359
291.513,	6.78441
292.251,	7.81257
292.989,	7.41262
293.727,	5.71762
294.465,	4.02617
295.203,	3.4902
295.941,	3.84394
296.679,	4.19756
297.417,	4.3816
298.155,	4.45099
298.893,	4.54403
299.631,	5.27233
300.369,	6.41396
301.107,	7.17435
301.845,	7.30587
302.583,	6.91975
303.321,	6.41632
304.059,	6.25746
304.797,	6.2226
305.535,	5.79892
306.273,	4.81695
307.011,	3.6638
307.749,	3.09929
308.487,	3.33366
309.225,	3.94242
309.963,	4.31111
310.701,	4.39669
311.439,	4.8798
312.177,	5.58598
312.915,	5.74786
313.653,	5.25002
314.391,	4.41945
315.129,	4.21499
315.867,	5.10809
316.605,	5.91735
317.343,	5.66503
318.081,	4.53777
318.819,	3.51775
319.557,	3.53699
320.295,	3.92153
321.033,	3.64394
321.771,	2.98004
322.509,	2.61227
323.247,	2.60874
323.985,	2.68035
324.723,	2.68566
325.461,	2.86612
326.199,	3.19746
326.937,	3.14165
327.675,	2.53139
328.413,	1.76163
329.151,	1.15364
329.889,	0.89749
330.627,	1.08685
331.365,	1.61067
332.103,	2.29503
332.841,	2.75239
333.579,	3.03089
334.317,	3.82234
335.055,	5.06199
335.793,	5.8042
336.531,	5.47809
337.269,	4.26767
338.007,	2.94494
338.745,	2.1106
339.483,	1.55019
340.221,	1.32578
340.959,	1.85951
341.697,	2.93345
342.435,	4.11666
343.173,	5.05104
343.911,	5.44559
344.649,	5.61544
345.387,	5.82195
346.125,	5.59921
346.863,	4.72311
347.601,	3.3836
348.339,	1.97106
349.077,	1.30588
349.815,	1.5681
350.554,	1.99196
351.292,	2.5005
352.03,	3.11216
352.768,	3.35073
353.506,	3.14043
354.244,	2.86639
354.982,	2.89752
355.72,	3.21846
356.458,	3.31098
357.196,	2.87811
357.934,	2.55831
358.672,	3.06177
359.41,	3.8012
360.148,	4.17826
360.886,	4.57906
361.624,	4.89803
362.362,	5.09187
363.1,	5.05531
363.838,	4.45079
364.576,	3.61385
365.314,	2.96107
366.052,	2.52529
366.79,	2.39354
367.528,	2.51618
368.266,	2.69759
369.004,	2.75657
369.742,	2.66962
370.48,	2.50725
371.218,	2.34594
371.956,	2.53916
372.694,	3.15565
373.432,	3.69346
374.17,	3.64416
374.908,	3.11336
375.646,	2.69834
376.384,	2.7489
377.122,	3.0299
377.86,	3.25386
378.598,	3.30614
379.336,	3.2113
380.074,	2.98985
380.812,	2.65768
381.55,	2.44291
382.288,	2.54724
383.026,	2.70894
383.764,	2.84091
384.502,	3.0901
385.24,	3.21293
385.978,	2.86613
386.716,	2.18849
387.454,	1.67785
388.192,	1.78199
388.93,	2.32586
389.668,	2.67746
390.406,	3.07699
391.144,	3.75928
391.882,	4.15086
392.62,	3.82821
393.358,	2.8594
394.096,	1.76635
394.834,	1.26723
395.572,	1.34071
396.31,	1.61015
397.048,	2.15119
397.786,	2.81834
398.524,	3.04386
399.262,	2.6092
400,	1.86966
400.738,	1.25232
401.476,	1.07283
402.214,	1.4328
402.952,	2.10143
403.69,	2.75367
404.428,	3.03435
405.166,	2.67233
405.904,	2.17612
406.642,	2.38352
407.38,	3.14994
408.118,	3.85132
408.856,	3.95674
409.594,	3.58766
410.332,	3.39168
411.07,	3.41045
411.808,	3.40811
412.546,	3.25642
413.284,	2.88584
414.022,	2.48744
414.76,	2.27498
415.498,	2.37073
416.236,	2.64
416.974,	2.79736
417.712,	2.90484
418.45,	3.30261
419.188,	3.95457
419.926,	4.13915
420.664,	3.52111
421.402,	2.69276
422.14,	2.39997
422.878,	2.67987
423.616,	2.77259
424.354,	2.24075
425.092,	1.44455
425.83,	0.887155
426.568,	0.835651
427.306,	1.05819
428.044,	1.19073
428.782,	1.17387
429.52,	1.12675
430.258,	1.16736
430.996,	1.27695
431.734,	1.50723
432.472,	1.82315
433.21,	2.1438
433.948,	2.3954
434.686,	2.38677
435.424,	2.22046
436.162,	2.09061
436.9,	1.93601
437.638,	1.86143
438.376,	1.87364
439.114,	1.84945
439.852,	2.0206
440.59,	2.30515
441.328,	2.36487
442.066,	2.23826
442.804,	2.24315
443.542,	2.51588
444.28,	2.73838
445.018,	2.39773
445.756,	1.65372
446.494,	1.25887
447.232,	1.39638
447.97,	1.91746
448.708,	2.562
449.446,	2.90265
450.185,	2.74154
450.923,	2.077
451.661,	1.23047
452.399,	0.792368
453.137,	0.753398
453.875,	0.935633
454.613,	1.60199
455.351,	2.66355
456.089,	3.5541
456.827,	3.71556
457.565,	3.401
458.303,	3.20163
459.041,	3.17158
459.779,	2.91756
460.517,	2.28049
461.255,	1.62566
461.993,	1.70782
462.731,	2.50746
463.469,	3.04353
464.207,	2.78664
464.945,	1.88967
465.683,	0.935853
466.421,	0.75116
467.159,	1.33748
467.897,	1.88325
468.635,	1.98836
469.373,	1.64306
470.111,	1.156
470.849,	0.874738
471.587,	0.771352
472.325,	0.816257
473.063,	1.12601
473.801,	1.53869
474.539,	1.84289
475.277,	1.89733
476.015,	1.75883
476.753,	1.63427
477.491,	1.74065
478.229,	2.07022
478.967,	2.26793
479.705,	2.04174
480.443,	1.53346
481.181,	1.36241
481.919,	1.94273
482.657,	2.67623
483.395,	3.00718
484.133,	3.16791
484.871,	3.38829
485.609,	3.62655
486.347,	3.56266
487.085,	3.04788
487.823,	2.44165
488.561,	1.98971
489.299,	1.61449
490.037,	1.28905
490.775,	1.02178
491.513,	0.841707
492.251,	0.73773
492.989,	0.703017
493.727,	0.949924
494.465,	1.60985
495.203,	2.33249
495.941,	2.72478
496.679,	2.74449
497.417,	2.51932
