t,	etaU
0,	97.9413
0.738007,	98.6075
1.47601,	80.5809
2.21402,	58.3729
2.95203,	58.3729
3.69004,	80.5809
4.42804,	98.6075
5.16605,	97.9413
5.90406,	77.224
6.64207,	53.3244
7.38007,	47.9984
8.11808,	59.4438
8.85609,	72.61
9.5941,	74.9876
10.3321,	62.1507
11.0701,	47.5534
11.8081,	43.6
12.5461,	47.1517
13.2841,	47.584
14.0221,	39.1415
14.7601,	30.9566
15.4982,	32.2933
16.2362,	40.7555
16.9742,	47.1649
17.7122,	44.0736
18.4502,	33.3157
19.1882,	22.5497
19.9262,	22.0754
20.6642,	38.7926
21.4022,	61.2993
22.1402,	70.2183
22.8782,	58.3301
23.6162,	33.5301
24.3542,	16.6383
25.0923,	22.8386
25.8303,	44.2329
26.5683,	64.1984
27.3063,	71.8248
28.0443,	65.1648
28.7823,	51.0867
29.5203,	36.5897
30.2583,	22.4934
30.9963,	11.4938
31.7343,	9.99177
32.4723,	19.4397
33.2103,	32.4228
33.9483,	39.6951
34.6863,	38.0013
35.4244,	29.5562
36.1624,	23.7987
36.9004,	26.669
37.6384,	32.4687
38.3764,	35.3697
39.1144,	33.059
39.8524,	25.5552
40.5904,	19.4125
41.3284,	22.8979
42.0664,	35.3454
42.8044,	48.3595
43.5424,	51.5564
44.2804,	42.8316
45.0185,	30.7538
45.7565,	23.2535
46.4945,	22.0948
47.2325,	24.7648
47.9705,	28.3622
48.7085,	30.9357
49.4465,	33.2807
50.1845,	35.5961
50.9225,	35.3469
51.6605,	31.1726
52.3985,	26.8624
53.1365,	26.6874
53.8745,	30.0947
54.6125,	30.6554
55.3506,	26.2771
56.0886,	22.5446
56.8266,	24.0221
57.5646,	28.3545
58.3026,	29.43
59.0406,	27.9893
59.7786,	27.1376
60.5166,	25.6025
61.2546,	22.813
61.9926,	17.7993
62.7306,	11.5487
63.4686,	9.0528
64.2066,	11.3089
64.9446,	15.4701
65.6827,	17.9817
66.4207,	16.9023
67.1587,	14.8915
67.8967,	15.5131
68.6347,	18.9374
69.3727,	21.7754
70.1107,	20.085
70.8487,	16.7952
71.5867,	17.4597
