t,	etaU
0,	65.7362
0.738007,	72.7299
1.47601,	69.7866
2.21402,	64.9809
2.95203,	64.9809
3.69004,	69.7866
4.42804,	72.7299
5.16605,	65.7362
5.90406,	55.8478
6.64207,	51.8457
7.38007,	51.3527
8.11808,	48.3651
8.85609,	39.5597
9.5941,	29.3857
10.3321,	26.7866
11.0701,	31.9281
11.8081,	37.9694
12.5461,	45.9789
13.2841,	63.1152
14.0221,	81.8465
14.7601,	89.5825
15.4982,	91.641
16.2362,	94.9976
16.9742,	100
17.7122,	99.6361
18.4502,	81.5252
19.1882,	52.676
19.9262,	31.2057
20.6642,	19.6904
21.4022,	19.3231
22.1402,	31.8065
22.8782,	44.5656
23.6162,	46.9133
24.3542,	40.1992
25.0923,	35.7491
25.8303,	42.3
26.5683,	53.8485
27.3063,	57.3301
28.0443,	51.9261
28.7823,	43.7477
29.5203,	40.6613
30.2583,	46.4129
30.9963,	53.4141
31.7343,	54.5583
32.4723,	47.3065
33.2103,	37.825
33.9483,	36.0786
34.6863,	39.8084
35.4244,	40.2724
36.1624,	34.4592
36.9004,	30.5985
37.6384,	42.0057
38.3764,	60.9043
39.1144,	71.3429
39.8524,	68.3404
40.5904,	55.3758
41.3284,	44.1253
42.0664,	37.7827
42.8044,	30.9542
43.5424,	26.1111
44.2804,	27.7181
45.0185,	32.318
45.7565,	34.9233
46.4945,	32.9771
47.2325,	27.2225
47.9705,	22.9686
48.7085,	28.8922
49.4465,	42.4459
50.1845,	52.6598
50.9225,	52.9568
51.6605,	43.2261
52.3985,	32.128
53.1365,	27.804
53.8745,	25.9794
54.6125,	21.3773
55.3506,	16.492
56.0886,	13.144
56.8266,	14.6241
57.5646,	22.7801
58.3026,	31.724
59.0406,	34.402
59.7786,	30.7222
60.5166,	25.048
61.2546,	21.1375
61.9926,	19.7202
62.7306,	18.4244
63.4686,	20.2445
64.2066,	31.2952
64.9446,	45.7856
65.6827,	54.3614
66.4207,	55.075
67.1587,	49.0521
67.8967,	42.9022
68.6347,	43.061
69.3727,	46.785
70.1107,	49.3111
70.8487,	48.6273
71.5867,	45.1741
72.3247,	43.2736
73.0627,	43.554
73.8007,	44.0801
74.5387,	44.7539
75.2768,	48.1176
76.0148,	51.9719
76.7528,	50.7614
77.4908,	44.7029
78.2288,	43.2174
78.9668,	53.393
79.7048,	67.0221
80.4428,	69.8171
81.1808,	56.4356
81.9188,	35.961
82.6568,	23.3145
83.3948,	22.7287
84.1328,	28.3005
84.8708,	36.863
85.6089,	47.3195
86.3469,	57.057
87.0849,	59.3198
87.8229,	49.4044
88.5609,	32.9116
89.2989,	21.5552
90.0369,	23.3622
90.7749,	35.3137
91.5129,	45.4965
92.2509,	45.2145
92.9889,	37.0852
93.7269,	32.242
94.4649,	36.0829
95.203,	42.1616
95.941,	40.236
96.679,	29.2632
97.417,	17.6229
98.155,	12.6661
98.893,	15.476
99.631,	21.6458
100.369,	25.7121
101.107,	25.7154
101.845,	21.3519
102.583,	16.7742
103.321,	16.0916
104.059,	17.042
104.797,	16.8532
105.535,	15.1854
106.273,	13.8468
107.011,	15.5663
107.749,	19.7453
108.487,	24.5308
109.225,	28.6161
109.963,	30.2508
110.701,	29.5817
111.439,	26.6325
112.177,	23.1839
112.915,	23.1921
113.653,	25.7099
114.391,	26.7159
115.129,	24.2216
115.867,	20.1008
116.605,	18.411
117.343,	20.2485
118.081,	21.8655
118.819,	20.4977
119.557,	18.0854
120.295,	15.6858
121.033,	12.7211
121.771,	12.7659
122.509,	21.0974
123.247,	35.3764
123.985,	45.3095
124.723,	42.4658
125.461,	29.3087
126.199,	16.2078
126.937,	11.9108
127.675,	14.4287
128.413,	18.1182
129.151,	21.98
129.889,	24.4536
130.627,	23.5677
131.365,	21.288
132.103,	19.4477
132.841,	19.3648
133.579,	20.2394
134.317,	18.7445
135.055,	17.9436
135.793,	22.0632
136.531,	29.6874
137.269,	36.5533
138.007,	38.2387
138.745,	33.5654
139.483,	26.1692
140.221,	19.3493
140.959,	16.0641
141.697,	16.4221
142.435,	17.9633
143.173,	18.8374
143.911,	17.6709
144.649,	17.2779
145.387,	19.2676
146.125,	21.0364
146.863,	21.039
147.601,	21.2691
148.339,	23.1234
149.077,	27.545
149.815,	31.1156
150.554,	30.0808
151.292,	26.5429
152.03,	22.7465
152.768,	21.9221
153.506,	25.5227
154.244,	28.8947
154.982,	28.0569
155.72,	24.3111
156.458,	19.8051
157.196,	17.2769
157.934,	15.9018
