t,	etaU
0,	13.8576
0.332945,	11.938
0.66589,	14.2048
0.998835,	16.5485
1.33178,	16.5485
1.66472,	14.2048
1.99767,	11.938
2.33061,	13.8576
2.66356,	22.1086
2.9965,	31.8199
3.32945,	37.5779
3.66239,	39.2684
3.99534,	37.84
4.32828,	37.705
4.66123,	42.8105
4.99417,	51.0705
5.32712,	55.7746
5.66006,	50.28
5.99301,	37.1583
6.32595,	25.6576
6.6589,	22.2567
6.99184,	24.4819
7.32479,	25.1573
7.65773,	23.0946
7.99068,	22.6848
8.32362,	23.3956
8.65657,	24.8019
8.98951,	27.928
9.32246,	30.1959
9.6554,	33.0916
9.98835,	36.9749
10.3213,	36.7514
10.6542,	31.3275
10.9872,	22.5624
11.3201,	14.9411
11.6531,	16.1373
11.986,	24.1775
12.319,	30.8494
12.6519,	33.3764
12.9849,	31.5304
13.3178,	29.2525
13.6507,	29.1776
13.9837,	27.9034
14.3166,	23.951
14.6496,	19.8052
14.9825,	19.3287
15.3155,	23.6267
15.6484,	26.808
15.9814,	25.0025
16.3143,	20.8388
16.6472,	19.5031
16.9802,	23.2433
17.3131,	28.2611
17.6461,	30.8582
17.979,	30.6389
18.312,	27.2905
18.6449,	22.6224
18.9779,	21.7669
19.3108,	28.856
19.6437,	40.6507
19.9767,	47.6595
20.3096,	44.8494
20.6426,	35.502
20.9755,	30.1268
21.3085,	33.6135
21.6414,	39.056
21.9744,	39.4273
22.3073,	35.5007
22.6403,	32.9295
22.9732,	34.9112
23.3061,	36.0662
23.6391,	30.7864
23.972,	23.1161
24.305,	19.1231
24.6379,	20.7101
24.9709,	23.6163
25.3038,	22.6433
25.6368,	18.8746
25.9697,	16.3396
26.3026,	15.4037
26.6356,	13.9451
26.9685,	10.3321
27.3015,	7.66633
27.6344,	10.4604
27.9674,	17.6917
28.3003,	27.6975
28.6333,	35.8438
28.9662,	37.2904
29.2992,	34.8901
29.6321,	33.0051
29.965,	33.3367
30.298,	36.6242
30.6309,	40.071
30.9639,	42.5439
31.2968,	43.6371
31.6298,	41.6721
31.9627,	39.3666
32.2957,	38.7985
32.6286,	37.483
32.9615,	31.5857
33.2945,	21.469
33.6274,	14.5569
33.9604,	17.2
34.2933,	25.3899
34.6263,	32.008
34.9592,	34.581
35.2922,	32.9898
35.6251,	27.8419
35.958,	20.7808
36.291,	16.2819
36.6239,	21.3492
36.9569,	37.4038
37.2898,	54.8052
37.6228,	60.7845
37.9557,	50.9605
38.2887,	34.6237
38.6216,	27.5051
38.9546,	32.2432
39.2875,	37.9133
39.6204,	36.7882
39.9534,	30.2803
40.2863,	24.8607
40.6193,	31.1397
40.9522,	46.7149
41.2852,	56.8197
41.6181,	58.2344
41.9511,	51.9347
42.284,	41.3286
42.6169,	34.6395
42.9499,	31.9977
43.2828,	32.6952
43.6158,	38.1051
43.9487,	41.7323
44.2817,	39.6326
44.6146,	35.395
44.9476,	34.9186
45.2805,	38.518
45.6135,	41.1991
45.9464,	43.8709
46.2793,	46.5866
46.6123,	45.2147
46.9452,	39.3785
47.2782,	32.4429
47.6111,	28.7571
47.9441,	31.8068
48.277,	41.0026
48.61,	49.4887
48.9429,	49.7134
49.2758,	39.1215
49.6088,	24.7469
49.9417,	20.7039
50.2747,	33.7327
50.6076,	51.3155
50.9406,	58.3353
51.2735,	54.8975
51.6065,	49.7118
51.9394,	47.3505
52.2723,	45.2983
52.6053,	38.142
52.9382,	27.3865
53.2712,	22.7732
53.6041,	28.7869
53.9371,	41.6861
54.27,	55.6354
54.603,	62.9253
54.9359,	60.2262
