t,	etaU
0,	30.9035
0.332945,	34.9495
0.66589,	38.4709
0.998835,	40.3241
1.33178,	40.3241
1.66472,	38.4709
1.99767,	34.9495
2.33061,	30.9035
2.66356,	28.9231
2.9965,	32.9149
3.32945,	40.5459
3.66239,	47.3214
3.99534,	54.2989
4.32828,	61.8908
4.66123,	70.7699
4.99417,	81.8323
5.32712,	87.355
5.66006,	83.5027
5.99301,	72.6339
6.32595,	56.7498
6.6589,	44.2326
6.99184,	39.4518
7.32479,	39.7787
7.65773,	46.3873
7.99068,	55.7061
8.32362,	59.8343
8.65657,	55.6864
8.98951,	49.2844
9.32246,	46.3202
9.6554,	46.0372
9.98835,	44.8605
10.3213,	45.9467
10.6542,	57.4665
10.9872,	73.6863
11.3201,	78.9823
11.6531,	70.8036
11.986,	57.8115
12.319,	48.216
12.6519,	43.9352
12.9849,	37.4123
13.3178,	29.8043
13.6507,	26.5139
13.9837,	24.7642
14.3166,	24.397
14.6496,	26.3046
14.9825,	28.9718
15.3155,	31.2264
15.6484,	28.6215
15.9814,	27.0158
16.3143,	42.4658
16.6472,	71.8494
16.9802,	95.037
17.3131,	94.9281
17.6461,	72.4689
17.979,	50.4394
18.312,	42.5392
18.6449,	39.5484
18.9779,	42.5382
19.3108,	53.1148
19.6437,	65.2966
19.9767,	81.0194
20.3096,	95.4023
20.6426,	100
20.9755,	92.8367
21.3085,	69.9689
21.6414,	40.9366
21.9744,	24.1392
22.3073,	19.0168
22.6403,	16.7518
22.9732,	13.9002
23.3061,	16.1963
23.6391,	26.4772
23.972,	38.6628
24.305,	45.4555
24.6379,	42.578
24.9709,	35.465
25.3038,	36.1868
25.6368,	43.4661
25.9697,	49.2241
26.3026,	48.053
26.6356,	38.8973
26.9685,	32.2339
27.3015,	32.6813
27.6344,	32.2099
27.9674,	27.8497
28.3003,	23.6662
28.6333,	24.0966
28.9662,	28.4862
29.2992,	36.602
29.6321,	47.2375
29.965,	52.9505
30.298,	51.6065
30.6309,	46.8859
30.9639,	43.4192
31.2968,	45.6832
31.6298,	46.7324
31.9627,	43.8522
32.2957,	46.2997
32.6286,	51.6079
32.9615,	50.7669
