t,	etaU
98.5517,	18.9644
98.8846,	24.0648
99.2176,	28.9657
99.5505,	33.6681
99.8835,	33.9069
100.216,	28.8142
100.549,	20.5695
100.882,	17.6056
101.215,	28.735
101.548,	46.3685
101.881,	57.2659
102.214,	55.995
102.547,	44.8359
102.88,	33.0641
103.213,	27.3482
103.546,	28.3186
103.879,	34.0212
104.212,	40.2797
104.545,	42.914
104.878,	42.5465
105.211,	43.689
105.544,	48.2047
105.876,	54.1729
106.209,	57.5073
106.542,	57.1836
106.875,	55.5399
107.208,	51.0872
107.541,	49.4276
107.874,	57.1741
108.207,	68.8424
108.54,	74.4687
108.873,	65.2915
109.206,	44.1642
109.539,	26.9588
109.872,	21.9903
110.205,	24.1114
110.538,	26.1112
110.871,	23.7811
111.204,	18.4459
111.537,	15.7733
111.869,	18.3483
112.202,	25.4393
112.535,	36.4871
112.868,	45.346
113.201,	48.4152
113.534,	49.3303
113.867,	49.4912
114.2,	48.8329
114.533,	46.0317
114.866,	39.8547
115.199,	35.6209
115.532,	36.9716
115.865,	37.7357
116.198,	36.7227
116.531,	38.1822
116.864,	38.3969
117.197,	34.9551
117.53,	29.2176
117.862,	22.1096
118.195,	20.4941
118.528,	24.5244
118.861,	31.7656
119.194,	42.0509
119.527,	47.4621
119.86,	43.4017
120.193,	34.6544
120.526,	29.0923
120.859,	30.2614
121.192,	32.9037
121.525,	34.0063
121.858,	35.9725
122.191,	38.51
122.524,	41.3473
122.857,	42.4531
123.19,	41.7056
123.523,	39.8964
123.856,	34.5793
124.188,	25.7073
124.521,	17.2772
124.854,	12.1975
125.187,	13.0237
125.52,	20.8749
125.853,	34.3137
126.186,	47.069
126.519,	52.4118
126.852,	50.4264
127.185,	47.9119
127.518,	48.0699
127.851,	47.8417
128.184,	42.9414
128.517,	32.1404
128.85,	19.8113
129.183,	13.8288
129.516,	15.63
129.849,	20.8383
130.181,	29.6525
130.514,	39.107
130.847,	43.7488
131.18,	41.2586
131.513,	31.1292
131.846,	18.0413
132.179,	11.1989
132.512,	11.1108
132.845,	12.7078
133.178,	12.7713
133.511,	11.4291
133.844,	12.433
134.177,	18.8114
134.51,	28.512
134.843,	36.1679
135.176,	38.5839
135.509,	36.3733
135.842,	33.5202
136.174,	32.6602
136.507,	32.4743
136.84,	31.5392
137.173,	29.2408
137.506,	29.3391
137.839,	35.0882
138.172,	40.1925
138.505,	37.9031
138.838,	29.2067
139.171,	21.7571
139.504,	21.3956
139.837,	27.1345
140.17,	36.8474
140.503,	45.7428
140.836,	47.1223
141.169,	39.3791
141.502,	27.7069
141.835,	21.6
142.167,	22.8653
142.5,	23.5018
142.833,	19.0216
143.166,	11.8364
143.499,	8.01579
143.832,	10.3044
144.165,	15.2978
144.498,	21.6734
144.831,	27.8866
145.164,	31.2403
145.497,	32.6938
145.83,	32.0425
146.163,	30.1535
146.496,	30.7961
146.829,	33.6252
147.162,	36.2295
147.495,	37.2022
147.828,	35.2337
148.16,	31.0058
148.493,	25.1184
148.826,	18.6321
149.159,	13.4104
149.492,	10.3353
149.825,	9.20725
150.158,	7.98885
150.491,	5.98055
150.824,	4.95092
151.157,	6.33241
151.49,	9.69981
151.823,	13.147
152.156,	14.2213
152.489,	12.7412
152.822,	10.819
153.155,	10.817
153.488,	14.4802
153.821,	19.4341
154.153,	20.6859
154.486,	17.976
154.819,	14.0298
155.152,	11.8892
155.485,	13.1438
155.818,	15.7862
156.151,	19.5509
156.484,	25.6979
156.817,	32.5123
157.15,	37.3809
157.483,	37.6868
157.816,	32.1458
158.149,	23.3279
158.482,	16.7269
158.815,	16.0419
159.148,	19.4163
159.481,	22.9601
159.814,	24.1975
160.146,	23.3346
160.479,	23.0292
160.812,	22.8336
161.145,	20.6264
161.478,	16.7711
161.811,	12.6611
162.144,	11.1063
162.477,	13.5985
162.81,	18.3614
163.143,	21.6853
163.476,	20.8444
163.809,	16.3431
164.142,	11.5891
164.475,	9.31803
164.808,	10.1729
165.141,	12.2502
165.474,	13.3173
165.807,	13.6347
166.14,	14.328
166.472,	14.711
166.805,	13.4172
167.138,	11.1376
167.471,	9.20949
167.804,	9.91605
168.137,	13.3683
168.47,	16.6801
168.803,	17.7272
169.136,	16.0858
169.469,	13.3556
169.802,	11.9413
170.135,	11.5671
170.468,	10.8903
170.801,	10.0887
171.134,	9.85639
171.467,	11.4074
171.8,	13.2496
172.133,	12.6471
172.465,	10.1946
172.798,	7.7059
173.131,	6.71602
173.464,	8.51402
173.797,	11.7932
174.13,	14.0701
174.463,	14.5699
174.796,	13.1928
175.129,	10.8562
175.462,	8.89941
175.795,	7.83852
176.128,	7.70078
176.461,	7.93779
176.794,	7.91891
177.127,	7.6781
177.46,	8.10636
177.793,	9.12871
178.126,	9.59117
178.458,	9.33107
178.791,	8.65567
179.124,	8.27693
179.457,	8.66488
179.79,	9.11045
180.123,	9.85139
180.456,	11.1591
180.789,	13.0207
181.122,	15.3666
181.455,	16.3669
181.788,	15.0693
182.121,	13.006
182.454,	11.6434
182.787,	11.3968
183.12,	10.9637
183.453,	9.34129
183.786,	7.74955
184.119,	7.74495
184.451,	8.9675
184.784,	9.51851
185.117,	8.26719
185.45,	6.28234
185.783,	5.42742
186.116,	6.19073
186.449,	7.99684
186.782,	9.57493
187.115,	9.74591
187.448,	8.53682
187.781,	7.59838
188.114,	8.35785
188.447,	10.2942
188.78,	10.8929
189.113,	8.90777
189.446,	6.26988
189.779,	5.12791
190.112,	5.51726
190.444,	6.23217
190.777,	6.24316
191.11,	5.53101
191.443,	5.99374
191.776,	9.38939
192.109,	15.4184
192.442,	20.8166
192.775,	22.2251
193.108,	19.3985
193.441,	14.691
193.774,	11.0605
194.107,	9.55257
194.44,	9.17455
194.773,	9.46615
195.106,	10.2226
195.439,	10.5791
195.772,	10.3758
196.105,	9.36678
196.437,	7.76594
196.77,	7.24878
197.103,	8.16864
197.436,	8.65474
197.769,	7.67888
198.102,	5.69787
198.435,	4.32185
198.768,	4.4237
199.101,	4.77307
199.434,	4.20274
199.767,	3.34755
200.1,	3.51914
200.433,	5.19618
200.766,	6.9061
201.099,	6.92446
201.432,	5.44865
201.765,	4.1496
202.098,	4.01277
202.43,	4.49312
