"Result",U:0,"U:1","U:2","vtkValidPointMask","arc_length",Points:0,"Points:1","Points:2"
nan,nan,nan,nan,0,0.01088,0.0027841,0,0.125
nan,nan,nan,nan,0,0.010993,0.0028974,0,0.125
nan,nan,nan,nan,0,0.011106,0.0030108,0,0.125
nan,nan,nan,nan,0,0.01122,0.0031241,0,0.125
nan,nan,nan,nan,0,0.011333,0.0032374,0,0.125
nan,nan,nan,nan,0,0.011446,0.0033508,0,0.125
nan,nan,nan,nan,0,0.01156,0.0034641,0,0.125
nan,nan,nan,nan,0,0.011673,0.0035774,0,0.125
nan,nan,nan,nan,0,0.011786,0.0036907,0,0.125
nan,nan,nan,nan,0,0.0119,0.0038041,0,0.125
nan,nan,nan,nan,0,0.012013,0.0039174,0,0.125
nan,nan,nan,nan,0,0.012126,0.0040307,0,0.125
nan,nan,nan,nan,0,0.01224,0.0041441,0,0.125
nan,nan,nan,nan,0,0.012353,0.0042574,0,0.125
nan,nan,nan,nan,0,0.012466,0.0043707,0,0.125
nan,nan,nan,nan,0,0.01258,0.0044841,0,0.125
nan,nan,nan,nan,0,0.012693,0.0045974,0,0.125
nan,nan,nan,nan,0,0.012806,0.0047107,0,0.125
nan,nan,nan,nan,0,0.01292,0.0048241,0,0.125
nan,nan,nan,nan,0,0.013033,0.0049374,0,0.125
nan,nan,nan,nan,0,0.013146,0.0050507,0,0.125
nan,nan,nan,nan,0,0.01326,0.005164,0,0.125
nan,nan,nan,nan,0,0.013373,0.0052774,0,0.125
nan,nan,nan,nan,0,0.013486,0.0053907,0,0.125
nan,nan,nan,nan,0,0.0136,0.005504,0,0.125
nan,nan,nan,nan,0,0.013713,0.0056174,0,0.125
nan,nan,nan,nan,0,0.013826,0.0057307,0,0.125
nan,nan,nan,nan,0,0.01394,0.005844,0,0.125
nan,nan,nan,nan,0,0.014053,0.0059574,0,0.125
nan,nan,nan,nan,0,0.014166,0.0060707,0,0.125
nan,nan,nan,nan,0,0.01428,0.006184,0,0.125
nan,nan,nan,nan,0,0.014393,0.0062974,0,0.125
nan,nan,nan,nan,0,0.014506,0.0064107,0,0.125
nan,nan,nan,nan,0,0.01462,0.006524,0,0.125
nan,nan,nan,nan,0,0.014733,0.0066373,0,0.125
nan,nan,nan,nan,0,0.014846,0.0067507,0,0.125
nan,nan,nan,nan,0,0.01496,0.006864,0,0.125
nan,nan,nan,nan,0,0.015073,0.0069773,0,0.125
nan,nan,nan,nan,0,0.015186,0.0070907,0,0.125
nan,nan,nan,nan,0,0.0153,0.007204,0,0.125
nan,nan,nan,nan,0,0.015413,0.0073173,0,0.125
nan,nan,nan,nan,0,0.015526,0.0074307,0,0.125
-4.285e-05,-0.00021425,-0.0017045,0.0053854,1,0.01564,0.007544,0,0.125
-0.00042758,-0.0021379,-0.0036534,0.010139,1,0.015753,0.0076573,0,0.125
-0.0012335,-0.0061676,-0.0038319,0.0082867,1,0.015866,0.0077706,0,0.125
-0.0022958,-0.011479,-0.0027837,0.0036715,1,0.01598,0.007884,0,0.125
-0.003476,-0.01738,-0.0013969,-0.0004132,1,0.016093,0.0079973,0,0.125
-0.0047048,-0.023524,-6.6607e-05,-0.0031948,1,0.016206,0.0081106,0,0.125
-0.0059462,-0.029731,0.00097428,-0.004179,1,0.01632,0.008224,0,0.125
-0.0071507,-0.035754,0.0017444,-0.004348,1,0.016433,0.0083373,0,0.125
-0.0083318,-0.041659,0.0023428,-0.0040002,1,0.016546,0.0084506,0,0.125
-0.0094358,-0.047179,0.0028236,-0.0033078,1,0.01666,0.008564,0,0.125
