u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
-0.0713535,-0.356767,0.0175704,0.0170598,1,0.0063741,0.0136241,0,0.125,65,0
-0.0734721,-0.367361,0.0187561,0.0137527,1,0.00647216,0.0137222,0,0.125,66,0
-0.0755909,-0.377955,0.0199201,0.0104364,1,0.00657022,0.0138202,0,0.125,67,0
-0.0777097,-0.388549,0.0210841,0.00712006,1,0.00666828,0.0139183,0,0.125,68,0
-0.0798285,-0.399143,0.0222482,0.00380375,1,0.00676635,0.0140163,0,0.125,69,0
-0.0819473,-0.409737,0.0234122,0.000487434,1,0.00686441,0.0141144,0,0.125,70,0
-0.0841745,-0.420873,0.0245901,-0.00280038,1,0.00696247,0.0142125,0,0.125,71,0
-0.0865761,-0.432881,0.0256005,-0.00610327,1,0.00706054,0.0143105,0,0.125,72,0
-0.0889778,-0.444889,0.0266109,-0.00940615,1,0.0071586,0.0144086,0,0.125,73,0
-0.0913794,-0.456897,0.0276213,-0.0127091,1,0.00725666,0.0145067,0,0.125,74,0
-0.093781,-0.468905,0.0286317,-0.016012,1,0.00735473,0.0146047,0,0.125,75,0
-0.0961826,-0.480913,0.0296421,-0.0193148,1,0.00745279,0.0147028,0,0.125,76,0
-0.0987854,-0.493927,0.0302385,-0.0222683,1,0.00755085,0.0148009,0,0.125,77,0
-0.101457,-0.507286,0.030605,-0.0251208,1,0.00764891,0.0148989,0,0.125,78,0
-0.104129,-0.520645,0.0309716,-0.0279733,1,0.00774698,0.014997,0,0.125,79,0
-0.106801,-0.534004,0.0313381,-0.0308259,1,0.00784504,0.015095,0,0.125,80,0
-0.109473,-0.547363,0.0317047,-0.0336784,1,0.0079431,0.0151931,0,0.125,81,0
-0.112175,-0.560874,0.0320453,-0.0364334,1,0.00804117,0.0152912,0,0.125,82,0
-0.115128,-0.575642,0.0316204,-0.03843,1,0.00813923,0.0153892,0,0.125,83,0
-0.118082,-0.590409,0.0311956,-0.0404265,1,0.00823729,0.0154873,0,0.125,84,0
-0.121035,-0.605177,0.0307707,-0.0424231,1,0.00833536,0.0155854,0,0.125,85,0
-0.123989,-0.619944,0.0303458,-0.0444196,1,0.00843342,0.0156834,0,0.125,86,0
-0.126942,-0.634711,0.0299209,-0.0464162,1,0.00853148,0.0157815,0,0.125,87,0
