"k","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0.0049865,-0.0031091,0,0.125
nan,0,0.0050999,-0.0029958,0,0.125
nan,0,0.0052132,-0.0028824,0,0.125
nan,0,0.0053265,-0.0027691,0,0.125
nan,0,0.0054399,-0.0026558,0,0.125
nan,0,0.0055532,-0.0025424,0,0.125
nan,0,0.0056665,-0.0024291,0,0.125
nan,0,0.0057799,-0.0023158,0,0.125
nan,0,0.0058932,-0.0022024,0,0.125
nan,0,0.0060065,-0.0020891,0,0.125
nan,0,0.0061199,-0.0019758,0,0.125
nan,0,0.0062332,-0.0018625,0,0.125
nan,0,0.0063465,-0.0017491,0,0.125
nan,0,0.0064598,-0.0016358,0,0.125
nan,0,0.0065732,-0.0015225,0,0.125
nan,0,0.0066865,-0.0014091,0,0.125
nan,0,0.0067998,-0.0012958,0,0.125
nan,0,0.0069132,-0.0011825,0,0.125
nan,0,0.0070265,-0.0010691,0,0.125
nan,0,0.0071398,-0.00095581,0,0.125
nan,0,0.0072532,-0.00084248,0,0.125
nan,0,0.0073665,-0.00072915,0,0.125
nan,0,0.0074798,-0.00061582,0,0.125
nan,0,0.0075932,-0.00050249,0,0.125
nan,0,0.0077065,-0.00038916,0,0.125
nan,0,0.0078198,-0.00027583,0,0.125
nan,0,0.0079331,-0.0001625,0,0.125
nan,0,0.0080465,-4.9165e-05,0,0.125
nan,0,0.0081598,6.4166e-05,0,0.125
nan,0,0.0082731,0.0001775,0,0.125
nan,0,0.0083865,0.00029083,0,0.125
nan,0,0.0084998,0.00040416,0,0.125
nan,0,0.0086131,0.00051749,0,0.125
nan,0,0.0087265,0.00063082,0,0.125
nan,0,0.0088398,0.00074415,0,0.125
nan,0,0.0089531,0.00085748,0,0.125
nan,0,0.0090665,0.00097081,0,0.125
nan,0,0.0091798,0.0010841,0,0.125
nan,0,0.0092931,0.0011975,0,0.125
nan,0,0.0094064,0.0013108,0,0.125
nan,0,0.0095198,0.0014241,0,0.125
nan,0,0.0096331,0.0015375,0,0.125
nan,0,0.0097464,0.0016508,0,0.125
nan,0,0.0098598,0.0017641,0,0.125
nan,0,0.0099731,0.0018775,0,0.125
nan,0,0.010086,0.0019908,0,0.125
nan,0,0.0102,0.0021041,0,0.125
nan,0,0.010313,0.0022174,0,0.125
nan,0,0.010426,0.0023308,0,0.125
nan,0,0.01054,0.0024441,0,0.125
nan,0,0.010653,0.0025574,0,0.125
nan,0,0.010766,0.0026708,0,0.125
nan,0,0.01088,0.0027841,0,0.125
nan,0,0.010993,0.0028974,0,0.125
nan,0,0.011106,0.0030108,0,0.125
nan,0,0.01122,0.0031241,0,0.125
nan,0,0.011333,0.0032374,0,0.125
nan,0,0.011446,0.0033508,0,0.125
nan,0,0.01156,0.0034641,0,0.125
nan,0,0.011673,0.0035774,0,0.125
nan,0,0.011786,0.0036907,0,0.125
nan,0,0.0119,0.0038041,0,0.125
nan,0,0.012013,0.0039174,0,0.125
nan,0,0.012126,0.0040307,0,0.125
nan,0,0.01224,0.0041441,0,0.125
nan,0,0.012353,0.0042574,0,0.125
nan,0,0.012466,0.0043707,0,0.125
nan,0,0.01258,0.0044841,0,0.125
nan,0,0.012693,0.0045974,0,0.125
nan,0,0.012806,0.0047107,0,0.125
nan,0,0.01292,0.0048241,0,0.125
nan,0,0.013033,0.0049374,0,0.125
nan,0,0.013146,0.0050507,0,0.125
nan,0,0.01326,0.005164,0,0.125
nan,0,0.013373,0.0052774,0,0.125
nan,0,0.013486,0.0053907,0,0.125
nan,0,0.0136,0.005504,0,0.125
nan,0,0.013713,0.0056174,0,0.125
nan,0,0.013826,0.0057307,0,0.125
nan,0,0.01394,0.005844,0,0.125
nan,0,0.014053,0.0059574,0,0.125
nan,0,0.014166,0.0060707,0,0.125
nan,0,0.01428,0.006184,0,0.125
nan,0,0.014393,0.0062974,0,0.125
nan,0,0.014506,0.0064107,0,0.125
nan,0,0.01462,0.006524,0,0.125
nan,0,0.014733,0.0066373,0,0.125
nan,0,0.014846,0.0067507,0,0.125
nan,0,0.01496,0.006864,0,0.125
nan,0,0.015073,0.0069773,0,0.125
nan,0,0.015186,0.0070907,0,0.125
nan,0,0.0153,0.007204,0,0.125
nan,0,0.015413,0.0073173,0,0.125
nan,0,0.015526,0.0074307,0,0.125
0.00053681,1,0.01564,0.007544,0,0.125
0.0033379,1,0.015753,0.0076573,0,0.125
0.0072254,1,0.015866,0.0077706,0,0.125
0.010064,1,0.01598,0.007884,0,0.125
0.011884,1,0.016093,0.0079973,0,0.125
0.012875,1,0.016206,0.0081106,0,0.125
0.013458,1,0.01632,0.008224,0,0.125
0.013874,1,0.016433,0.0083373,0,0.125
0.014069,1,0.016546,0.0084506,0,0.125
0.014255,1,0.01666,0.008564,0,0.125
0.014389,1,0.016773,0.0086773,0,0.125
0.014523,1,0.016886,0.0087906,0,0.125
0.014672,1,0.017,0.008904,0,0.125
0.014824,1,0.017113,0.0090173,0,0.125
0.014976,1,0.017226,0.0091306,0,0.125
0.015193,1,0.01734,0.0092439,0,0.125
0.015411,1,0.017453,0.0093573,0,0.125
0.015629,1,0.017566,0.0094706,0,0.125
0.015864,1,0.01768,0.0095839,0,0.125
0.016106,1,0.017793,0.0096973,0,0.125
0.016349,1,0.017906,0.0098106,0,0.125
0.016591,1,0.01802,0.0099239,0,0.125
0.016834,1,0.018133,0.010037,0,0.125
0.017078,1,0.018246,0.010151,0,0.125
0.017322,1,0.01836,0.010264,0,0.125
0.017566,1,0.018473,0.010377,0,0.125
0.01783,1,0.018586,0.010491,0,0.125
0.018109,1,0.0187,0.010604,0,0.125
0.018389,1,0.018813,0.010717,0,0.125
0.018668,1,0.018926,0.010831,0,0.125
0.018971,1,0.01904,0.010944,0,0.125
0.019297,1,0.019153,0.011057,0,0.125
0.019623,1,0.019266,0.011171,0,0.125
0.019949,1,0.01938,0.011284,0,0.125
0.020301,1,0.019493,0.011397,0,0.125
0.020685,1,0.019606,0.011511,0,0.125
0.021069,1,0.01972,0.011624,0,0.125
0.021453,1,0.019833,0.011737,0,0.125
0.021857,1,0.019946,0.011851,0,0.125
0.022293,1,0.02006,0.011964,0,0.125
0.022728,1,0.020173,0.012077,0,0.125
0.023164,1,0.020286,0.012191,0,0.125
0.023613,1,0.0204,0.012304,0,0.125
0.02409,1,0.020513,0.012417,0,0.125
0.024566,1,0.020626,0.012531,0,0.125
0.025043,1,0.02074,0.012644,0,0.125
0.025524,1,0.020853,0.012757,0,0.125
0.026016,1,0.020966,0.012871,0,0.125
0.026508,1,0.021079,0.012984,0,0.125
0.027,1,0.021193,0.013097,0,0.125
0.027488,1,0.021306,0.013211,0,0.125
0.027959,1,0.021419,0.013324,0,0.125
0.02843,1,0.021533,0.013437,0,0.125
0.028901,1,0.021646,0.013551,0,0.125
0.029368,1,0.021759,0.013664,0,0.125
0.029817,1,0.021873,0.013777,0,0.125
0.030266,1,0.021986,0.013891,0,0.125
0.030714,1,0.022099,0.014004,0,0.125
0.031164,1,0.022213,0.014117,0,0.125
0.031621,1,0.022326,0.01423,0,0.125
0.032078,1,0.022439,0.014344,0,0.125
0.032536,1,0.022553,0.014457,0,0.125
0.032995,1,0.022666,0.01457,0,0.125
0.033491,1,0.022779,0.014684,0,0.125
0.033988,1,0.022893,0.014797,0,0.125
0.034484,1,0.023006,0.01491,0,0.125
0.034981,1,0.023119,0.015024,0,0.125
0.035525,1,0.023233,0.015137,0,0.125
0.036068,1,0.023346,0.01525,0,0.125
0.036612,1,0.023459,0.015364,0,0.125
0.037156,1,0.023573,0.015477,0,0.125
0.037756,1,0.023686,0.01559,0,0.125
0.038359,1,0.023799,0.015704,0,0.125
0.038962,1,0.023913,0.015817,0,0.125
0.039565,1,0.024026,0.01593,0,0.125
0.040242,1,0.024139,0.016044,0,0.125
0.040925,1,0.024253,0.016157,0,0.125
0.041607,1,0.024366,0.01627,0,0.125
0.04229,1,0.024479,0.016384,0,0.125
0.043055,1,0.024593,0.016497,0,0.125
0.043831,1,0.024706,0.01661,0,0.125
0.044606,1,0.024819,0.016724,0,0.125
0.045382,1,0.024933,0.016837,0,0.125
0.046228,1,0.025046,0.01695,0,0.125
0.047084,1,0.025159,0.017064,0,0.125
0.047941,1,0.025273,0.017177,0,0.125
0.048797,1,0.025386,0.01729,0,0.125
0.049717,1,0.025499,0.017404,0,0.125
0.050649,1,0.025613,0.017517,0,0.125
0.05158,1,0.025726,0.01763,0,0.125
0.052512,1,0.025839,0.017744,0,0.125
0.053496,1,0.025953,0.017857,0,0.125
0.054492,1,0.026066,0.01797,0,0.125
0.055488,1,0.026179,0.018084,0,0.125
0.056484,1,0.026293,0.018197,0,0.125
0.057516,1,0.026406,0.01831,0,0.125
0.058557,1,0.026519,0.018424,0,0.125
0.059597,1,0.026633,0.018537,0,0.125
0.060638,1,0.026746,0.01865,0,0.125
0.061709,1,0.026859,0.018764,0,0.125
0.062788,1,0.026973,0.018877,0,0.125
0.063867,1,0.027086,0.01899,0,0.125
0.064946,1,0.027199,0.019104,0,0.125
0.066034,1,0.027313,0.019217,0,0.125
0.067124,1,0.027426,0.01933,0,0.125
0.068214,1,0.027539,0.019444,0,0.125
0.069304,1,0.027653,0.019557,0,0.125
0.070413,1,0.027766,0.01967,0,0.125
0.071526,1,0.027879,0.019784,0,0.125
0.072639,1,0.027993,0.019897,0,0.125
0.073752,1,0.028106,0.02001,0,0.125
0.074925,1,0.028219,0.020124,0,0.125
0.076112,1,0.028333,0.020237,0,0.125
0.077299,1,0.028446,0.02035,0,0.125
0.078487,1,0.028559,0.020464,0,0.125
0.079717,1,0.028673,0.020577,0,0.125
0.080957,1,0.028786,0.02069,0,0.125
0.082197,1,0.028899,0.020804,0,0.125
0.083437,1,0.029013,0.020917,0,0.125
0.08466,1,0.029126,0.02103,0,0.125
0.085878,1,0.029239,0.021144,0,0.125
0.087096,1,0.029353,0.021257,0,0.125
0.088314,1,0.029466,0.02137,0,0.125
0.089525,1,0.029579,0.021484,0,0.125
0.090735,1,0.029693,0.021597,0,0.125
0.091944,1,0.029806,0.02171,0,0.125
0.093154,1,0.029919,0.021824,0,0.125
0.094396,1,0.030033,0.021937,0,0.125
0.095644,1,0.030146,0.02205,0,0.125
0.096892,1,0.030259,0.022164,0,0.125
0.098141,1,0.030373,0.022277,0,0.125
0.099401,1,0.030486,0.02239,0,0.125
0.10066,1,0.030599,0.022504,0,0.125
0.10193,1,0.030713,0.022617,0,0.125
0.10319,1,0.030826,0.02273,0,0.125
0.10443,1,0.030939,0.022844,0,0.125
0.10567,1,0.031053,0.022957,0,0.125
0.10691,1,0.031166,0.02307,0,0.125
0.10815,1,0.031279,0.023184,0,0.125
0.10937,1,0.031393,0.023297,0,0.125
0.11058,1,0.031506,0.02341,0,0.125
0.1118,1,0.031619,0.023524,0,0.125
0.11301,1,0.031733,0.023637,0,0.125
0.11423,1,0.031846,0.02375,0,0.125
0.11544,1,0.031959,0.023864,0,0.125
0.11666,1,0.032073,0.023977,0,0.125
0.11788,1,0.032186,0.02409,0,0.125
0.11911,1,0.032299,0.024204,0,0.125
0.12035,1,0.032413,0.024317,0,0.125
0.12159,1,0.032526,0.02443,0,0.125
0.12283,1,0.032639,0.024544,0,0.125
0.12409,1,0.032753,0.024657,0,0.125
0.12536,1,0.032866,0.02477,0,0.125
0.12663,1,0.032979,0.024884,0,0.125
0.1279,1,0.033093,0.024997,0,0.125
0.12921,1,0.033206,0.02511,0,0.125
0.13052,1,0.033319,0.025224,0,0.125
0.13184,1,0.033433,0.025337,0,0.125
0.13315,1,0.033546,0.02545,0,0.125
0.13459,1,0.033659,0.025564,0,0.125
0.13603,1,0.033773,0.025677,0,0.125
0.13748,1,0.033886,0.02579,0,0.125
0.13893,1,0.033999,0.025904,0,0.125
0.14056,1,0.034113,0.026017,0,0.125
0.14221,1,0.034226,0.02613,0,0.125
0.14386,1,0.034339,0.026244,0,0.125
0.1455,1,0.034453,0.026357,0,0.125
0.1473,1,0.034566,0.02647,0,0.125
0.1491,1,0.034679,0.026584,0,0.125
0.15091,1,0.034793,0.026697,0,0.125
0.15271,1,0.034906,0.02681,0,0.125
0.15458,1,0.035019,0.026924,0,0.125
0.15646,1,0.035132,0.027037,0,0.125
0.15833,1,0.035246,0.02715,0,0.125
0.16021,1,0.035359,0.027264,0,0.125
0.1621,1,0.035472,0.027377,0,0.125
0.164,1,0.035586,0.02749,0,0.125
0.1659,1,0.035699,0.027604,0,0.125
0.1678,1,0.035812,0.027717,0,0.125
0.16967,1,0.035926,0.02783,0,0.125
0.17154,1,0.036039,0.027944,0,0.125
0.1734,1,0.036152,0.028057,0,0.125
0.17527,1,0.036266,0.02817,0,0.125
0.17708,1,0.036379,0.028283,0,0.125
0.17889,1,0.036492,0.028397,0,0.125
0.1807,1,0.036606,0.02851,0,0.125
0.18251,1,0.036719,0.028623,0,0.125
0.1843,1,0.036832,0.028737,0,0.125
0.18609,1,0.036946,0.02885,0,0.125
0.18787,1,0.037059,0.028963,0,0.125
0.18966,1,0.037172,0.029077,0,0.125
0.19144,1,0.037286,0.02919,0,0.125
0.19323,1,0.037399,0.029303,0,0.125
0.19501,1,0.037512,0.029417,0,0.125
0.1968,1,0.037626,0.02953,0,0.125
0.19854,1,0.037739,0.029643,0,0.125
0.20028,1,0.037852,0.029757,0,0.125
0.20202,1,0.037966,0.02987,0,0.125
0.20376,1,0.038079,0.029983,0,0.125
0.2054,1,0.038192,0.030097,0,0.125
0.20705,1,0.038306,0.03021,0,0.125
0.20869,1,0.038419,0.030323,0,0.125
0.21034,1,0.038532,0.030437,0,0.125
0.21187,1,0.038646,0.03055,0,0.125
0.21341,1,0.038759,0.030663,0,0.125
0.21495,1,0.038872,0.030777,0,0.125
0.21648,1,0.038986,0.03089,0,0.125
0.21789,1,0.039099,0.031003,0,0.125
0.2193,1,0.039212,0.031117,0,0.125
0.22072,1,0.039326,0.03123,0,0.125
0.22212,1,0.039439,0.031343,0,0.125
0.22338,1,0.039552,0.031457,0,0.125
0.22463,1,0.039666,0.03157,0,0.125
0.22589,1,0.039779,0.031683,0,0.125
0.22714,1,0.039892,0.031797,0,0.125
0.22822,1,0.040006,0.03191,0,0.125
0.2293,1,0.040119,0.032023,0,0.125
0.23039,1,0.040232,0.032137,0,0.125
0.23146,1,0.040346,0.03225,0,0.125
0.23238,1,0.040459,0.032363,0,0.125
0.2333,1,0.040572,0.032477,0,0.125
0.23423,1,0.040686,0.03259,0,0.125
0.23514,1,0.040799,0.032703,0,0.125
0.23593,1,0.040912,0.032817,0,0.125
0.23672,1,0.041026,0.03293,0,0.125
0.23752,1,0.041139,0.033043,0,0.125
0.23829,1,0.041252,0.033157,0,0.125
0.23898,1,0.041366,0.03327,0,0.125
0.23966,1,0.041479,0.033383,0,0.125
0.24034,1,0.041592,0.033497,0,0.125
0.241,1,0.041706,0.03361,0,0.125
0.24157,1,0.041819,0.033723,0,0.125
0.24214,1,0.041932,0.033837,0,0.125
0.24271,1,0.042046,0.03395,0,0.125
0.24326,1,0.042159,0.034063,0,0.125
0.24371,1,0.042272,0.034177,0,0.125
0.24416,1,0.042386,0.03429,0,0.125
0.24461,1,0.042499,0.034403,0,0.125
0.24505,1,0.042612,0.034517,0,0.125
0.2454,1,0.042726,0.03463,0,0.125
0.24575,1,0.042839,0.034743,0,0.125
0.2461,1,0.042952,0.034857,0,0.125
0.24644,1,0.043066,0.03497,0,0.125
0.2467,1,0.043179,0.035083,0,0.125
0.24696,1,0.043292,0.035197,0,0.125
0.24722,1,0.043406,0.03531,0,0.125
0.24746,1,0.043519,0.035423,0,0.125
0.24761,1,0.043632,0.035537,0,0.125
0.24775,1,0.043746,0.03565,0,0.125
0.2479,1,0.043859,0.035763,0,0.125
0.24803,1,0.043972,0.035877,0,0.125
0.24805,1,0.044086,0.03599,0,0.125
0.24807,1,0.044199,0.036103,0,0.125
0.24809,1,0.044312,0.036217,0,0.125
0.24809,1,0.044426,0.03633,0,0.125
0.248,1,0.044539,0.036443,0,0.125
0.2479,1,0.044652,0.036557,0,0.125
0.2478,1,0.044766,0.03667,0,0.125
0.24769,1,0.044879,0.036783,0,0.125
0.24749,1,0.044992,0.036897,0,0.125
0.24729,1,0.045106,0.03701,0,0.125
0.24709,1,0.045219,0.037123,0,0.125
0.24687,1,0.045332,0.037237,0,0.125
0.24656,1,0.045446,0.03735,0,0.125
0.24625,1,0.045559,0.037463,0,0.125
0.24594,1,0.045672,0.037577,0,0.125
0.24561,1,0.045786,0.03769,0,0.125
0.24519,1,0.045899,0.037803,0,0.125
0.24478,1,0.046012,0.037917,0,0.125
0.24436,1,0.046126,0.03803,0,0.125
0.24393,1,0.046239,0.038143,0,0.125
0.24343,1,0.046352,0.038257,0,0.125
0.24293,1,0.046466,0.03837,0,0.125
0.24243,1,0.046579,0.038483,0,0.125
0.24191,1,0.046692,0.038597,0,0.125
0.24134,1,0.046806,0.03871,0,0.125
0.24077,1,0.046919,0.038823,0,0.125
0.24019,1,0.047032,0.038937,0,0.125
0.2396,1,0.047146,0.03905,0,0.125
0.23895,1,0.047259,0.039163,0,0.125
0.23831,1,0.047372,0.039277,0,0.125
0.23766,1,0.047486,0.03939,0,0.125
0.237,1,0.047599,0.039503,0,0.125
0.23628,1,0.047712,0.039617,0,0.125
0.23556,1,0.047826,0.03973,0,0.125
0.23485,1,0.047939,0.039843,0,0.125
0.23412,1,0.048052,0.039957,0,0.125
0.23334,1,0.048166,0.04007,0,0.125
0.23257,1,0.048279,0.040183,0,0.125
0.2318,1,0.048392,0.040297,0,0.125
0.23102,1,0.048506,0.04041,0,0.125
0.23021,1,0.048619,0.040523,0,0.125
0.2294,1,0.048732,0.040637,0,0.125
0.2286,1,0.048846,0.04075,0,0.125
0.22778,1,0.048959,0.040863,0,0.125
0.22695,1,0.049072,0.040977,0,0.125
0.22612,1,0.049185,0.04109,0,0.125
0.22529,1,0.049299,0.041203,0,0.125
0.22446,1,0.049412,0.041317,0,0.125
0.22362,1,0.049525,0.04143,0,0.125
0.22278,1,0.049639,0.041543,0,0.125
0.22194,1,0.049752,0.041657,0,0.125
0.2211,1,0.049865,0.04177,0,0.125
0.22028,1,0.049979,0.041883,0,0.125
0.21945,1,0.050092,0.041997,0,0.125
0.21863,1,0.050205,0.04211,0,0.125
0.21781,1,0.050319,0.042223,0,0.125
0.21701,1,0.050432,0.042336,0,0.125
0.2162,1,0.050545,0.04245,0,0.125
0.2154,1,0.050659,0.042563,0,0.125
0.2146,1,0.050772,0.042676,0,0.125
0.21382,1,0.050885,0.04279,0,0.125
0.21303,1,0.050999,0.042903,0,0.125
0.21224,1,0.051112,0.043016,0,0.125
0.21146,1,0.051225,0.04313,0,0.125
0.21068,1,0.051339,0.043243,0,0.125
0.2099,1,0.051452,0.043356,0,0.125
0.20912,1,0.051565,0.04347,0,0.125
0.20834,1,0.051679,0.043583,0,0.125
0.20757,1,0.051792,0.043696,0,0.125
0.2068,1,0.051905,0.04381,0,0.125
0.20603,1,0.052019,0.043923,0,0.125
0.20527,1,0.052132,0.044036,0,0.125
0.20451,1,0.052245,0.04415,0,0.125
0.20376,1,0.052359,0.044263,0,0.125
0.20301,1,0.052472,0.044376,0,0.125
0.20227,1,0.052585,0.04449,0,0.125
0.20155,1,0.052699,0.044603,0,0.125
0.20082,1,0.052812,0.044716,0,0.125
0.2001,1,0.052925,0.04483,0,0.125
0.19939,1,0.053039,0.044943,0,0.125
0.19869,1,0.053152,0.045056,0,0.125
0.198,1,0.053265,0.04517,0,0.125
0.1973,1,0.053379,0.045283,0,0.125
0.19661,1,0.053492,0.045396,0,0.125
0.19593,1,0.053605,0.04551,0,0.125
0.19524,1,0.053719,0.045623,0,0.125
0.19456,1,0.053832,0.045736,0,0.125
0.19388,1,0.053945,0.04585,0,0.125
0.19321,1,0.054059,0.045963,0,0.125
0.19254,1,0.054172,0.046076,0,0.125
0.19187,1,0.054285,0.04619,0,0.125
0.1912,1,0.054399,0.046303,0,0.125
0.19055,1,0.054512,0.046416,0,0.125
0.1899,1,0.054625,0.04653,0,0.125
0.18925,1,0.054739,0.046643,0,0.125
0.18861,1,0.054852,0.046756,0,0.125
0.18797,1,0.054965,0.04687,0,0.125
0.18734,1,0.055079,0.046983,0,0.125
0.18671,1,0.055192,0.047096,0,0.125
0.18607,1,0.055305,0.04721,0,0.125
0.18544,1,0.055419,0.047323,0,0.125
0.1848,1,0.055532,0.047436,0,0.125
0.18417,1,0.055645,0.04755,0,0.125
0.18354,1,0.055759,0.047663,0,0.125
0.18291,1,0.055872,0.047776,0,0.125
0.18229,1,0.055985,0.04789,0,0.125
0.18167,1,0.056099,0.048003,0,0.125
0.18105,1,0.056212,0.048116,0,0.125
0.18044,1,0.056325,0.04823,0,0.125
0.17983,1,0.056439,0.048343,0,0.125
0.17922,1,0.056552,0.048456,0,0.125
0.17862,1,0.056665,0.04857,0,0.125
0.17801,1,0.056779,0.048683,0,0.125
0.1774,1,0.056892,0.048796,0,0.125
0.17679,1,0.057005,0.04891,0,0.125
0.1762,1,0.057119,0.049023,0,0.125
0.17563,1,0.057232,0.049136,0,0.125
0.17506,1,0.057345,0.04925,0,0.125
0.17449,1,0.057459,0.049363,0,0.125
0.17393,1,0.057572,0.049476,0,0.125
0.1734,1,0.057685,0.04959,0,0.125
0.17287,1,0.057799,0.049703,0,0.125
0.17235,1,0.057912,0.049816,0,0.125
0.17182,1,0.058025,0.04993,0,0.125
0.1713,1,0.058139,0.050043,0,0.125
0.17078,1,0.058252,0.050156,0,0.125
0.17025,1,0.058365,0.05027,0,0.125
0.16974,1,0.058479,0.050383,0,0.125
0.16924,1,0.058592,0.050496,0,0.125
0.16874,1,0.058705,0.05061,0,0.125
0.16824,1,0.058819,0.050723,0,0.125
0.16775,1,0.058932,0.050836,0,0.125
0.16727,1,0.059045,0.05095,0,0.125
0.16679,1,0.059159,0.051063,0,0.125
0.16631,1,0.059272,0.051176,0,0.125
0.16583,1,0.059385,0.05129,0,0.125
0.16535,1,0.059499,0.051403,0,0.125
0.16487,1,0.059612,0.051516,0,0.125
0.16439,1,0.059725,0.05163,0,0.125
0.1639,1,0.059839,0.051743,0,0.125
0.16342,1,0.059952,0.051856,0,0.125
0.16295,1,0.060065,0.05197,0,0.125
0.16247,1,0.060179,0.052083,0,0.125
0.162,1,0.060292,0.052196,0,0.125
0.16154,1,0.060405,0.05231,0,0.125
0.16109,1,0.060519,0.052423,0,0.125
0.16064,1,0.060632,0.052536,0,0.125
0.16019,1,0.060745,0.05265,0,0.125
0.15976,1,0.060859,0.052763,0,0.125
0.15932,1,0.060972,0.052876,0,0.125
0.15889,1,0.061085,0.05299,0,0.125
0.15845,1,0.061199,0.053103,0,0.125
0.15801,1,0.061312,0.053216,0,0.125
0.15757,1,0.061425,0.05333,0,0.125
0.15714,1,0.061539,0.053443,0,0.125
0.1567,1,0.061652,0.053556,0,0.125
0.15626,1,0.061765,0.05367,0,0.125
0.15583,1,0.061879,0.053783,0,0.125
0.15539,1,0.061992,0.053896,0,0.125
0.15496,1,0.062105,0.05401,0,0.125
0.15455,1,0.062219,0.054123,0,0.125
0.15413,1,0.062332,0.054236,0,0.125
0.15371,1,0.062445,0.05435,0,0.125
0.15329,1,0.062559,0.054463,0,0.125
0.1529,1,0.062672,0.054576,0,0.125
0.1525,1,0.062785,0.05469,0,0.125
0.1521,1,0.062899,0.054803,0,0.125
0.15171,1,0.063012,0.054916,0,0.125
0.15134,1,0.063125,0.05503,0,0.125
0.15096,1,0.063238,0.055143,0,0.125
0.15059,1,0.063352,0.055256,0,0.125
0.15022,1,0.063465,0.05537,0,0.125
0.14985,1,0.063578,0.055483,0,0.125
0.14949,1,0.063692,0.055596,0,0.125
0.14912,1,0.063805,0.05571,0,0.125
0.14876,1,0.063918,0.055823,0,0.125
0.14839,1,0.064032,0.055936,0,0.125
0.14803,1,0.064145,0.05605,0,0.125
0.14767,1,0.064258,0.056163,0,0.125
0.14731,1,0.064372,0.056276,0,0.125
0.14695,1,0.064485,0.056389,0,0.125
0.14658,1,0.064598,0.056503,0,0.125
0.14622,1,0.064712,0.056616,0,0.125
0.14586,1,0.064825,0.056729,0,0.125
0.1455,1,0.064938,0.056843,0,0.125
0.14514,1,0.065052,0.056956,0,0.125
0.14479,1,0.065165,0.057069,0,0.125
0.14444,1,0.065278,0.057183,0,0.125
0.1441,1,0.065392,0.057296,0,0.125
0.14376,1,0.065505,0.057409,0,0.125
0.14342,1,0.065618,0.057523,0,0.125
0.14309,1,0.065732,0.057636,0,0.125
0.14277,1,0.065845,0.057749,0,0.125
0.14244,1,0.065958,0.057863,0,0.125
0.14212,1,0.066072,0.057976,0,0.125
0.14179,1,0.066185,0.058089,0,0.125
0.14147,1,0.066298,0.058203,0,0.125
0.14114,1,0.066412,0.058316,0,0.125
0.14081,1,0.066525,0.058429,0,0.125
0.14048,1,0.066638,0.058543,0,0.125
0.14014,1,0.066752,0.058656,0,0.125
0.1398,1,0.066865,0.058769,0,0.125
0.13946,1,0.066978,0.058883,0,0.125
0.13913,1,0.067092,0.058996,0,0.125
0.1388,1,0.067205,0.059109,0,0.125
0.13847,1,0.067318,0.059223,0,0.125
0.13815,1,0.067432,0.059336,0,0.125
0.13783,1,0.067545,0.059449,0,0.125
0.13752,1,0.067658,0.059563,0,0.125
0.13721,1,0.067772,0.059676,0,0.125
0.1369,1,0.067885,0.059789,0,0.125
0.13659,1,0.067998,0.059903,0,0.125
0.13628,1,0.068112,0.060016,0,0.125
0.13598,1,0.068225,0.060129,0,0.125
0.13567,1,0.068338,0.060243,0,0.125
