U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
5.14141,0.182272,0.0183044,1,0.00426939,0.0574499,-0.0262187,0.125,70,0
5.14089,0.182476,0.0184135,1,0.00433038,0.0574499,-0.0261577,0.125,71,0
5.14037,0.18268,0.0185226,1,0.00439137,0.0574499,-0.0260967,0.125,72,0
5.13986,0.182829,0.0186253,1,0.00445236,0.0574499,-0.0260357,0.125,73,0
5.13936,0.182948,0.0187243,1,0.00451336,0.0574499,-0.0259747,0.125,74,0
5.13886,0.183066,0.0188234,1,0.00457435,0.0574499,-0.0259138,0.125,75,0
5.13836,0.183185,0.0189224,1,0.00463534,0.0574499,-0.0258528,0.125,76,0
5.13785,0.183304,0.0190214,1,0.00469633,0.0574499,-0.0257918,0.125,77,0
5.13735,0.183423,0.0191205,1,0.00475732,0.0574499,-0.0257308,0.125,78,0
5.13685,0.183541,0.0192195,1,0.00481831,0.0574499,-0.0256698,0.125,79,0
5.13635,0.18366,0.0193185,1,0.0048793,0.0574499,-0.0256088,0.125,80,0
5.13584,0.183779,0.0194176,1,0.0049403,0.0574499,-0.0255478,0.125,81,0
5.13534,0.183898,0.0195166,1,0.00500129,0.0574499,-0.0254868,0.125,82,0
5.13484,0.184016,0.0196157,1,0.00506228,0.0574499,-0.0254258,0.125,83,0
5.13434,0.184135,0.0197147,1,0.00512327,0.0574499,-0.0253648,0.125,84,0
5.13383,0.184254,0.0198137,1,0.00518426,0.0574499,-0.0253038,0.125,85,0
5.13333,0.184373,0.0199128,1,0.00524525,0.0574499,-0.0252428,0.125,86,0
5.13283,0.184491,0.0200118,1,0.00530624,0.0574499,-0.0251819,0.125,87,0
5.13233,0.18461,0.0201108,1,0.00536723,0.0574499,-0.0251209,0.125,88,0
5.13182,0.184729,0.0202099,1,0.00542822,0.0574499,-0.0250599,0.125,89,0
5.13132,0.184848,0.0203089,1,0.00548922,0.0574499,-0.0249989,0.125,90,0
5.13082,0.184966,0.020408,1,0.00555021,0.0574499,-0.0249379,0.125,91,0
5.13032,0.185085,0.020507,1,0.0056112,0.0574499,-0.0248769,0.125,92,0
5.12981,0.185204,0.020606,1,0.00567219,0.0574499,-0.0248159,0.125,93,0
5.12931,0.185323,0.0207051,1,0.00573318,0.0574499,-0.0247549,0.125,94,0
5.12881,0.185441,0.0208041,1,0.00579417,0.0574499,-0.0246939,0.125,95,0
5.12822,0.18556,0.0209007,1,0.00585517,0.0574499,-0.0246329,0.125,96,0
5.12743,0.185679,0.0209917,1,0.00591616,0.0574499,-0.0245719,0.125,97,0
5.12665,0.185798,0.0210828,1,0.00597715,0.0574499,-0.024511,0.125,98,0
5.12586,0.185917,0.0211738,1,0.00603814,0.0574499,-0.02445,0.125,99,0
5.12507,0.186037,0.0212648,1,0.00609913,0.0574499,-0.024389,0.125,100,0
5.12428,0.186156,0.0213558,1,0.00616012,0.0574499,-0.024328,0.125,101,0
5.1235,0.186275,0.0214469,1,0.00622111,0.0574499,-0.024267,0.125,102,0
5.12271,0.186394,0.0215379,1,0.0062821,0.0574499,-0.024206,0.125,103,0
5.12192,0.186513,0.0216289,1,0.00634309,0.0574499,-0.024145,0.125,104,0
5.12113,0.186632,0.0217199,1,0.00640409,0.0574499,-0.024084,0.125,105,0
5.12035,0.186751,0.021811,1,0.00646508,0.0574499,-0.024023,0.125,106,0
5.11956,0.18687,0.021902,1,0.00652607,0.0574499,-0.023962,0.125,107,0
5.11864,0.187018,0.0219396,1,0.00658706,0.0574499,-0.023901,0.125,108,0
5.11766,0.187182,0.0219484,1,0.00664805,0.0574499,-0.02384,0.125,109,0
5.11668,0.187346,0.0219572,1,0.00670904,0.0574499,-0.0237791,0.125,110,0
5.1157,0.18751,0.0219661,1,0.00677003,0.0574499,-0.0237181,0.125,111,0
5.11471,0.187674,0.0219749,1,0.00683103,0.0574499,-0.0236571,0.125,112,0
5.11373,0.187838,0.0219837,1,0.00689202,0.0574499,-0.0235961,0.125,113,0
5.11275,0.188002,0.0219926,1,0.00695301,0.0574499,-0.0235351,0.125,114,0
5.11176,0.188166,0.0220014,1,0.007014,0.0574499,-0.0234741,0.125,115,0
5.11078,0.18833,0.0220102,1,0.00707499,0.0574499,-0.0234131,0.125,116,0
5.1098,0.188494,0.022019,1,0.00713598,0.0574499,-0.0233521,0.125,117,0
5.10882,0.188658,0.0220279,1,0.00719697,0.0574499,-0.0232911,0.125,118,0
5.10783,0.188822,0.0220367,1,0.00725796,0.0574499,-0.0232301,0.125,119,0
5.10681,0.188999,0.0220192,1,0.00731896,0.0574499,-0.0231691,0.125,120,0
5.10579,0.189179,0.021996,1,0.00737995,0.0574499,-0.0231082,0.125,121,0
5.10476,0.189358,0.0219728,1,0.00744094,0.0574499,-0.0230472,0.125,122,0
5.10373,0.189538,0.0219495,1,0.00750193,0.0574499,-0.0229862,0.125,123,0
5.10271,0.189718,0.0219263,1,0.00756292,0.0574499,-0.0229252,0.125,124,0
5.10168,0.189898,0.0219031,1,0.00762391,0.0574499,-0.0228642,0.125,125,0
5.10065,0.190077,0.0218798,1,0.0076849,0.0574499,-0.0228032,0.125,126,0
5.09962,0.190257,0.0218566,1,0.0077459,0.0574499,-0.0227422,0.125,127,0
