u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
-0.0238442,-0.119221,0.0832066,-0.156854,1,0.0063741,0.0136241,0,0.125,65,0
-0.0249925,-0.124963,0.0838994,-0.154614,1,0.00647216,0.0137222,0,0.125,66,0
-0.0261387,-0.130694,0.0845056,-0.152487,1,0.00657022,0.0138202,0,0.125,67,0
-0.0272849,-0.136425,0.0851118,-0.150359,1,0.00666828,0.0139183,0,0.125,68,0
-0.0284311,-0.142156,0.085718,-0.148232,1,0.00676635,0.0140163,0,0.125,69,0
-0.0295906,-0.147953,0.0863519,-0.14609,1,0.00686441,0.0141144,0,0.125,70,0
-0.030894,-0.15447,0.0872737,-0.143786,1,0.00696247,0.0142125,0,0.125,71,0
-0.0321974,-0.160987,0.0881955,-0.141482,1,0.00706054,0.0143105,0,0.125,72,0
-0.0335007,-0.167504,0.0891172,-0.139178,1,0.0071586,0.0144086,0,0.125,73,0
-0.0348041,-0.174021,0.090039,-0.136873,1,0.00725666,0.0145067,0,0.125,74,0
-0.0362492,-0.181246,0.091675,-0.134424,1,0.00735473,0.0146047,0,0.125,75,0
-0.0379038,-0.189519,0.0943649,-0.13176,1,0.00745279,0.0147028,0,0.125,76,0
-0.0395584,-0.197792,0.0970549,-0.129096,1,0.00755085,0.0148009,0,0.125,77,0
-0.041213,-0.206065,0.0997448,-0.126432,1,0.00764891,0.0148989,0,0.125,78,0
-0.0428677,-0.214338,0.102435,-0.123768,1,0.00774698,0.014997,0,0.125,79,0
-0.0448081,-0.224041,0.107003,-0.121163,1,0.00784504,0.015095,0,0.125,80,0
-0.0468562,-0.234281,0.112278,-0.118582,1,0.0079431,0.0151931,0,0.125,81,0
-0.0489042,-0.244521,0.117552,-0.116001,1,0.00804117,0.0152912,0,0.125,82,0
-0.0509523,-0.254761,0.122826,-0.11342,1,0.00813923,0.0153892,0,0.125,83,0
-0.0530102,-0.265051,0.128211,-0.110827,1,0.00823729,0.0154873,0,0.125,84,0
-0.0552349,-0.276175,0.135454,-0.108047,1,0.00833536,0.0155854,0,0.125,85,0
-0.0574596,-0.287298,0.142697,-0.105268,1,0.00843342,0.0156834,0,0.125,86,0
-0.0596843,-0.298421,0.149939,-0.102488,1,0.00853148,0.0157815,0,0.125,87,0
-0.061909,-0.309545,0.157182,-0.0997089,1,0.00862954,0.0158795,0,0.125,88,0
-0.0641159,-0.32058,0.164556,-0.0967673,1,0.00872761,0.0159776,0,0.125,89,0
-0.0662955,-0.331477,0.172132,-0.0935755,1,0.00882567,0.0160757,0,0.125,90,0
-0.068475,-0.342375,0.179708,-0.0903838,1,0.00892373,0.0161737,0,0.125,91,0
-0.0706545,-0.353272,0.187284,-0.0871921,1,0.0090218,0.0162718,0,0.125,92,0
-0.072834,-0.36417,0.19486,-0.0840003,1,0.00911986,0.0163699,0,0.125,93,0
-0.0749979,-0.374989,0.201255,-0.0808877,1,0.00921792,0.0164679,0,0.125,94,0
