u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
-0.0678878,-0.339439,-0.0278937,-0.0720244,1,0.00617797,0.013428,0,0.125,63,0
-0.0693518,-0.346759,-0.0276482,-0.0750814,1,0.00627603,0.013526,0,0.125,64,0
-0.0708158,-0.354079,-0.0274027,-0.0781385,1,0.0063741,0.0136241,0,0.125,65,0
-0.0722798,-0.361399,-0.0271571,-0.0811956,1,0.00647216,0.0137222,0,0.125,66,0
-0.0737438,-0.368719,-0.0269116,-0.0842526,1,0.00657022,0.0138202,0,0.125,67,0
-0.0753078,-0.376539,-0.0264387,-0.087177,1,0.00666828,0.0139183,0,0.125,68,0
-0.0769428,-0.384714,-0.0258247,-0.0900133,1,0.00676635,0.0140163,0,0.125,69,0
-0.0785778,-0.392889,-0.0252108,-0.0928496,1,0.00686441,0.0141144,0,0.125,70,0
-0.0802128,-0.401064,-0.0245968,-0.0956859,1,0.00696247,0.0142125,0,0.125,71,0
-0.0818478,-0.409239,-0.0239829,-0.0985222,1,0.00706054,0.0143105,0,0.125,72,0
-0.0836645,-0.418323,-0.0231222,-0.10095,1,0.0071586,0.0144086,0,0.125,73,0
-0.0855373,-0.427687,-0.0222038,-0.103257,1,0.00725666,0.0145067,0,0.125,74,0
-0.0874101,-0.43705,-0.0212854,-0.105564,1,0.00735473,0.0146047,0,0.125,75,0
-0.0892828,-0.446414,-0.020367,-0.107871,1,0.00745279,0.0147028,0,0.125,76,0
-0.0911556,-0.455778,-0.0194485,-0.110178,1,0.00755085,0.0148009,0,0.125,77,0
-0.0932699,-0.466349,-0.018659,-0.111951,1,0.00764891,0.0148989,0,0.125,78,0
-0.095396,-0.47698,-0.0178915,-0.113702,1,0.00774698,0.014997,0,0.125,79,0
-0.097522,-0.48761,-0.0171239,-0.115454,1,0.00784504,0.015095,0,0.125,80,0
-0.0996481,-0.49824,-0.0163564,-0.117205,1,0.0079431,0.0151931,0,0.125,81,0
-0.101817,-0.509085,-0.0156212,-0.118879,1,0.00804117,0.0152912,0,0.125,82,0
-0.104227,-0.521136,-0.0151623,-0.120141,1,0.00813923,0.0153892,0,0.125,83,0
-0.106638,-0.533188,-0.0147033,-0.121402,1,0.00823729,0.0154873,0,0.125,84,0
-0.109048,-0.545239,-0.0142444,-0.122664,1,0.00833536,0.0155854,0,0.125,85,0
-0.111458,-0.55729,-0.0137855,-0.123926,1,0.00843342,0.0156834,0,0.125,86,0
-0.113974,-0.56987,-0.0134461,-0.125091,1,0.00853148,0.0157815,0,0.125,87,0
-0.116682,-0.583408,-0.0133587,-0.126087,1,0.00862954,0.0158795,0,0.125,88,0
-0.119389,-0.596946,-0.0132713,-0.127084,1,0.00872761,0.0159776,0,0.125,89,0
-0.122097,-0.610484,-0.013184,-0.128081,1,0.00882567,0.0160757,0,0.125,90,0
-0.124804,-0.624022,-0.0130966,-0.129078,1,0.00892373,0.0161737,0,0.125,91,0
-0.127671,-0.638356,-0.0130889,-0.130297,1,0.0090218,0.0162718,0,0.125,92,0
-0.130659,-0.653295,-0.0131584,-0.131689,1,0.00911986,0.0163699,0,0.125,93,0
-0.133647,-0.668235,-0.0132279,-0.13308,1,0.00921792,0.0164679,0,0.125,94,0
-0.136635,-0.683175,-0.0132974,-0.134472,1,0.00931598,0.016566,0,0.125,95,0
