k,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.00524213,1,0.00548922,0.0574492,-0.0249989,0.125,90,0
0.00531152,1,0.00555021,0.0574492,-0.0249379,0.125,91,0
0.00538092,1,0.0056112,0.0574492,-0.0248769,0.125,92,0
0.00545031,1,0.00567219,0.0574492,-0.0248159,0.125,93,0
0.0055197,1,0.00573318,0.0574492,-0.0247549,0.125,94,0
0.00558909,1,0.00579417,0.0574492,-0.0246939,0.125,95,0
0.00567264,1,0.00585517,0.0574492,-0.0246329,0.125,96,0
0.00578854,1,0.00591616,0.0574492,-0.0245719,0.125,97,0
0.00590444,1,0.00597715,0.0574492,-0.024511,0.125,98,0
0.00602034,1,0.00603814,0.0574492,-0.02445,0.125,99,0
0.00613623,1,0.00609913,0.0574492,-0.024389,0.125,100,0
0.00625214,1,0.00616012,0.0574492,-0.024328,0.125,101,0
0.00636803,1,0.00622111,0.0574492,-0.024267,0.125,102,0
0.00648394,1,0.0062821,0.0574492,-0.024206,0.125,103,0
0.00659983,1,0.00634309,0.0574492,-0.024145,0.125,104,0
0.00671573,1,0.00640409,0.0574492,-0.024084,0.125,105,0
0.00683163,1,0.00646508,0.0574492,-0.024023,0.125,106,0
0.00694753,1,0.00652607,0.0574492,-0.023962,0.125,107,0
0.00707951,1,0.00658706,0.0574492,-0.023901,0.125,108,0
0.00722015,1,0.00664805,0.0574492,-0.02384,0.125,109,0
0.00736077,1,0.00670904,0.0574492,-0.0237791,0.125,110,0
0.0075014,1,0.00677003,0.0574492,-0.0237181,0.125,111,0
0.00764203,1,0.00683103,0.0574492,-0.0236571,0.125,112,0
0.00778266,1,0.00689202,0.0574492,-0.0235961,0.125,113,0
0.00792329,1,0.00695301,0.0574492,-0.0235351,0.125,114,0
0.00806392,1,0.007014,0.0574492,-0.0234741,0.125,115,0
0.00820455,1,0.00707499,0.0574492,-0.0234131,0.125,116,0
0.00834518,1,0.00713598,0.0574492,-0.0233521,0.125,117,0
0.00848581,1,0.00719697,0.0574492,-0.0232911,0.125,118,0
0.00862644,1,0.00725796,0.0574492,-0.0232301,0.125,119,0
0.00877674,1,0.00731896,0.0574492,-0.0231691,0.125,120,0
0.00892914,1,0.00737995,0.0574492,-0.0231082,0.125,121,0
0.00908154,1,0.00744094,0.0574492,-0.0230472,0.125,122,0
0.00923394,1,0.00750193,0.0574492,-0.0229862,0.125,123,0
0.00938634,1,0.00756292,0.0574492,-0.0229252,0.125,124,0
0.00953874,1,0.00762391,0.0574493,-0.0228642,0.125,125,0
0.00969114,1,0.0076849,0.0574493,-0.0228032,0.125,126,0
0.00984355,1,0.0077459,0.0574493,-0.0227422,0.125,127,0
0.00999595,1,0.00780689,0.0574493,-0.0226812,0.125,128,0
0.0101484,1,0.00786788,0.0574493,-0.0226202,0.125,129,0
0.0103008,1,0.00792887,0.0574493,-0.0225592,0.125,130,0
0.0104624,1,0.00798986,0.0574493,-0.0224982,0.125,131,0
0.0106713,1,0.00805085,0.0574493,-0.0224372,0.125,132,0
0.0108802,1,0.00811184,0.0574493,-0.0223763,0.125,133,0
0.0110891,1,0.00817283,0.0574493,-0.0223153,0.125,134,0
0.011298,1,0.00823382,0.0574493,-0.0222543,0.125,135,0
0.0115069,1,0.00829482,0.0574493,-0.0221933,0.125,136,0
0.0117158,1,0.00835581,0.0574493,-0.0221323,0.125,137,0
0.0119247,1,0.0084168,0.0574493,-0.0220713,0.125,138,0
0.0121336,1,0.00847779,0.0574493,-0.0220103,0.125,139,0
0.0123425,1,0.00853878,0.0574493,-0.0219493,0.125,140,0
0.0125514,1,0.00859977,0.0574493,-0.0218883,0.125,141,0
0.0127604,1,0.00866077,0.0574493,-0.0218273,0.125,142,0
0.0129984,1,0.00872176,0.0574493,-0.0217663,0.125,143,0
0.0132605,1,0.00878275,0.0574493,-0.0217054,0.125,144,0
0.0135226,1,0.00884374,0.0574493,-0.0216444,0.125,145,0
0.0137847,1,0.00890473,0.0574493,-0.0215834,0.125,146,0
0.0140467,1,0.00896572,0.0574493,-0.0215224,0.125,147,0
0.0143088,1,0.00902671,0.0574493,-0.0214614,0.125,148,0
0.0145709,1,0.0090877,0.0574493,-0.0214004,0.125,149,0
0.014833,1,0.00914869,0.0574493,-0.0213394,0.125,150,0
0.0150951,1,0.00920969,0.0574493,-0.0212784,0.125,151,0
0.0153571,1,0.00927068,0.0574493,-0.0212174,0.125,152,0
0.0156192,1,0.00933167,0.0574493,-0.0211564,0.125,153,0
0.0158813,1,0.00939266,0.0574493,-0.0210954,0.125,154,0
0.0162025,1,0.00945365,0.0574493,-0.0210344,0.125,155,0
0.0165279,1,0.00951464,0.0574493,-0.0209735,0.125,156,0
0.0168533,1,0.00957563,0.0574493,-0.0209125,0.125,157,0
0.0171787,1,0.00963663,0.0574493,-0.0208515,0.125,158,0
0.0175041,1,0.00969762,0.0574493,-0.0207905,0.125,159,0
0.0178295,1,0.00975861,0.0574493,-0.0207295,0.125,160,0
0.0181548,1,0.0098196,0.0574493,-0.0206685,0.125,161,0
0.0184802,1,0.00988059,0.0574493,-0.0206075,0.125,162,0
0.0188056,1,0.00994158,0.0574493,-0.0205465,0.125,163,0
0.019131,1,0.0100026,0.0574493,-0.0204855,0.125,164,0
0.0194564,1,0.0100636,0.0574493,-0.0204245,0.125,165,0
0.0198045,1,0.0101246,0.0574493,-0.0203635,0.125,166,0
0.0202009,1,0.0101855,0.0574493,-0.0203026,0.125,167,0
0.0205974,1,0.0102465,0.0574493,-0.0202416,0.125,168,0
0.0209939,1,0.0103075,0.0574493,-0.0201806,0.125,169,0
0.0213903,1,0.0103685,0.0574493,-0.0201196,0.125,170,0
0.0217868,1,0.0104295,0.0574493,-0.0200586,0.125,171,0
0.0221832,1,0.0104905,0.0574493,-0.0199976,0.125,172,0
0.0225797,1,0.0105515,0.0574493,-0.0199366,0.125,173,0
0.0229762,1,0.0106125,0.0574493,-0.0198756,0.125,174,0
0.0233726,1,0.0106735,0.0574493,-0.0198146,0.125,175,0
0.0237691,1,0.0107345,0.0574494,-0.0197536,0.125,176,0
0.0241655,1,0.0107955,0.0574494,-0.0196926,0.125,177,0
0.0246136,1,0.0108565,0.0574494,-0.0196316,0.125,178,0
0.0250832,1,0.0109174,0.0574494,-0.0195707,0.125,179,0
0.0255527,1,0.0109784,0.0574494,-0.0195097,0.125,180,0
0.0260223,1,0.0110394,0.0574494,-0.0194487,0.125,181,0
0.0264919,1,0.0111004,0.0574494,-0.0193877,0.125,182,0
0.0269614,1,0.0111614,0.0574494,-0.0193267,0.125,183,0
0.027431,1,0.0112224,0.0574494,-0.0192657,0.125,184,0
0.0279006,1,0.0112834,0.0574494,-0.0192047,0.125,185,0
0.0283701,1,0.0113444,0.0574494,-0.0191437,0.125,186,0
0.0288397,1,0.0114054,0.0574494,-0.0190827,0.125,187,0
0.0293093,1,0.0114664,0.0574494,-0.0190217,0.125,188,0
0.0297841,1,0.0115274,0.0574494,-0.0189607,0.125,189,0
0.0303124,1,0.0115883,0.0574494,-0.0188998,0.125,190,0
0.0308408,1,0.0116493,0.0574494,-0.0188388,0.125,191,0
0.0313691,1,0.0117103,0.0574494,-0.0187778,0.125,192,0
0.0318974,1,0.0117713,0.0574494,-0.0187168,0.125,193,0
0.0324258,1,0.0118323,0.0574494,-0.0186558,0.125,194,0
0.0329541,1,0.0118933,0.0574494,-0.0185948,0.125,195,0
0.0334824,1,0.0119543,0.0574494,-0.0185338,0.125,196,0
0.0340108,1,0.0120153,0.0574494,-0.0184728,0.125,197,0
0.0345391,1,0.0120763,0.0574494,-0.0184118,0.125,198,0
0.0350674,1,0.0121373,0.0574494,-0.0183508,0.125,199,0
0.0355958,1,0.0121983,0.0574494,-0.0182898,0.125,200,0
0.0361132,1,0.0122593,0.0574494,-0.0182288,0.125,201,0
0.0366185,1,0.0123202,0.0574494,-0.0181679,0.125,202,0
0.0371238,1,0.0123812,0.0574494,-0.0181069,0.125,203,0
0.0376291,1,0.0124422,0.0574494,-0.0180459,0.125,204,0
0.0381344,1,0.0125032,0.0574494,-0.0179849,0.125,205,0
0.0386397,1,0.0125642,0.0574494,-0.0179239,0.125,206,0
0.039145,1,0.0126252,0.0574494,-0.0178629,0.125,207,0
0.0396503,1,0.0126862,0.0574494,-0.0178019,0.125,208,0
0.0401556,1,0.0127472,0.0574494,-0.0177409,0.125,209,0
0.0406609,1,0.0128082,0.0574494,-0.0176799,0.125,210,0
0.0411662,1,0.0128692,0.0574494,-0.0176189,0.125,211,0
0.0416715,1,0.0129302,0.0574494,-0.0175579,0.125,212,0
0.042247,1,0.0129911,0.0574494,-0.017497,0.125,213,0
0.0428342,1,0.0130521,0.0574494,-0.017436,0.125,214,0
0.0434214,1,0.0131131,0.0574494,-0.017375,0.125,215,0
0.0440086,1,0.0131741,0.0574494,-0.017314,0.125,216,0
0.0445958,1,0.0132351,0.0574494,-0.017253,0.125,217,0
0.045183,1,0.0132961,0.0574494,-0.017192,0.125,218,0
0.0457702,1,0.0133571,0.0574494,-0.017131,0.125,219,0
0.0463574,1,0.0134181,0.0574494,-0.01707,0.125,220,0
0.0469446,1,0.0134791,0.0574494,-0.017009,0.125,221,0
0.0475318,1,0.0135401,0.0574494,-0.016948,0.125,222,0
0.048119,1,0.0136011,0.0574494,-0.016887,0.125,223,0
0.0486677,1,0.0136621,0.0574494,-0.016826,0.125,224,0
0.0490932,1,0.013723,0.0574494,-0.0167651,0.125,225,0
0.0495188,1,0.013784,0.0574495,-0.0167041,0.125,226,0
0.0499444,1,0.013845,0.0574495,-0.0166431,0.125,227,0
0.05037,1,0.013906,0.0574495,-0.0165821,0.125,228,0
0.0507955,1,0.013967,0.0574495,-0.0165211,0.125,229,0
0.0512211,1,0.014028,0.0574495,-0.0164601,0.125,230,0
0.0516467,1,0.014089,0.0574495,-0.0163991,0.125,231,0
0.0520722,1,0.01415,0.0574495,-0.0163381,0.125,232,0
0.052813,1,0.014211,0.0574495,-0.0162771,0.125,233,0
0.0535942,1,0.014272,0.0574495,-0.0162161,0.125,234,0
0.0543753,1,0.014333,0.0574495,-0.0161551,0.125,235,0
0.0550074,1,0.0143939,0.0574495,-0.0160942,0.125,236,0
0.0555477,1,0.0144549,0.0574495,-0.0160332,0.125,237,0
0.056088,1,0.0145159,0.0574495,-0.0159722,0.125,238,0
0.0566284,1,0.0145769,0.0574495,-0.0159112,0.125,239,0
0.0571687,1,0.0146379,0.0574495,-0.0158502,0.125,240,0
0.057709,1,0.0146989,0.0574495,-0.0157892,0.125,241,0
0.0582493,1,0.0147599,0.0574495,-0.0157282,0.125,242,0
0.0587897,1,0.0148209,0.0574495,-0.0156672,0.125,243,0
0.05933,1,0.0148819,0.0574495,-0.0156062,0.125,244,0
0.0598703,1,0.0149429,0.0574495,-0.0155452,0.125,245,0
0.0604106,1,0.0150039,0.0574495,-0.0154842,0.125,246,0
0.060951,1,0.0150649,0.0574495,-0.0154232,0.125,247,0
0.0615372,1,0.0151258,0.0574495,-0.0153623,0.125,248,0
0.0621233,1,0.0151868,0.0574495,-0.0153013,0.125,249,0
0.0627095,1,0.0152478,0.0574495,-0.0152403,0.125,250,0
0.0632957,1,0.0153088,0.0574495,-0.0151793,0.125,251,0
0.0638819,1,0.0153698,0.0574495,-0.0151183,0.125,252,0
0.064468,1,0.0154308,0.0574495,-0.0150573,0.125,253,0
0.0650542,1,0.0154918,0.0574495,-0.0149963,0.125,254,0
0.0656404,1,0.0155528,0.0574495,-0.0149353,0.125,255,0
0.0662266,1,0.0156138,0.0574495,-0.0148743,0.125,256,0
0.0668127,1,0.0156748,0.0574495,-0.0148133,0.125,257,0
0.0673989,1,0.0157358,0.0574495,-0.0147523,0.125,258,0
0.0679821,1,0.0157967,0.0574495,-0.0146914,0.125,259,0
0.0685603,1,0.0158577,0.0574495,-0.0146304,0.125,260,0
0.0691386,1,0.0159187,0.0574495,-0.0145694,0.125,261,0
0.0697168,1,0.0159797,0.0574495,-0.0145084,0.125,262,0
0.0702951,1,0.0160407,0.0574495,-0.0144474,0.125,263,0
0.0708734,1,0.0161017,0.0574495,-0.0143864,0.125,264,0
0.0714516,1,0.0161627,0.0574495,-0.0143254,0.125,265,0
0.0720299,1,0.0162237,0.0574495,-0.0142644,0.125,266,0
0.0726082,1,0.0162847,0.0574495,-0.0142034,0.125,267,0
0.0731864,1,0.0163457,0.0574495,-0.0141424,0.125,268,0
0.0737647,1,0.0164067,0.0574495,-0.0140814,0.125,269,0
0.0743429,1,0.0164677,0.0574495,-0.0140204,0.125,270,0
0.0749511,1,0.0165286,0.0574495,-0.0139595,0.125,271,0
0.0755686,1,0.0165896,0.0574495,-0.0138985,0.125,272,0
0.0761862,1,0.0166506,0.0574495,-0.0138375,0.125,273,0
0.0768037,1,0.0167116,0.0574495,-0.0137765,0.125,274,0
0.0774213,1,0.0167726,0.0574495,-0.0137155,0.125,275,0
0.0780388,1,0.0168336,0.0574496,-0.0136545,0.125,276,0
0.0786564,1,0.0168946,0.0574496,-0.0135935,0.125,277,0
0.079274,1,0.0169556,0.0574496,-0.0135325,0.125,278,0
0.0798915,1,0.0170166,0.0574496,-0.0134715,0.125,279,0
0.0805091,1,0.0170776,0.0574496,-0.0134105,0.125,280,0
0.0811266,1,0.0171386,0.0574496,-0.0133495,0.125,281,0
0.0817439,1,0.0171995,0.0574496,-0.0132886,0.125,282,0
0.082359,1,0.0172605,0.0574496,-0.0132276,0.125,283,0
0.082974,1,0.0173215,0.0574496,-0.0131666,0.125,284,0
0.0835891,1,0.0173825,0.0574496,-0.0131056,0.125,285,0
0.0842041,1,0.0174435,0.0574496,-0.0130446,0.125,286,0
0.0848192,1,0.0175045,0.0574496,-0.0129836,0.125,287,0
0.0854343,1,0.0175655,0.0574496,-0.0129226,0.125,288,0
0.0860493,1,0.0176265,0.0574496,-0.0128616,0.125,289,0
0.0866644,1,0.0176875,0.0574496,-0.0128006,0.125,290,0
0.0872794,1,0.0177485,0.0574496,-0.0127396,0.125,291,0
0.0878945,1,0.0178095,0.0574496,-0.0126786,0.125,292,0
0.0885096,1,0.0178705,0.0574496,-0.0126176,0.125,293,0
0.0890982,1,0.0179314,0.0574496,-0.0125567,0.125,294,0
0.0895995,1,0.0179924,0.0574496,-0.0124957,0.125,295,0
0.0901009,1,0.0180534,0.0574496,-0.0124347,0.125,296,0
0.0906022,1,0.0181144,0.0574496,-0.0123737,0.125,297,0
0.0911035,1,0.0181754,0.0574496,-0.0123127,0.125,298,0
0.0916048,1,0.0182364,0.0574496,-0.0122517,0.125,299,0
0.0921061,1,0.0182974,0.0574496,-0.0121907,0.125,300,0
0.0926074,1,0.0183584,0.0574496,-0.0121297,0.125,301,0
