Result,TKE[[m_s]²],U[m_s],V[m_s],W[m_s],vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.000711254,1.18542e-05,0.0397562,0.23438,5.01568,1,4.08,45,4.08,0,68
0.000721173,1.20195e-05,0.04002,0.234503,5.01449,1,4.14,45,4.14,0,69
0.000731092,1.21849e-05,0.0402839,0.234625,5.01329,1,4.2,45,4.2,0,70
0.000741011,1.23502e-05,0.0405478,0.234748,5.0121,1,4.26,45,4.26,0,71
0.00075093,1.25155e-05,0.0408117,0.23487,5.01091,1,4.32,45,4.32,0,72
0.00076085,1.26808e-05,0.0410756,0.234993,5.00972,1,4.38,45,4.38,0,73
0.000770769,1.28461e-05,0.0413395,0.235115,5.00852,1,4.44,45,4.44,0,74
0.000780688,1.30115e-05,0.0416034,0.235238,5.00733,1,4.5,45,4.5,0,75
0.000790607,1.31768e-05,0.0418673,0.235361,5.00614,1,4.56,45,4.56,0,76
0.000800526,1.33421e-05,0.0421312,0.235483,5.00494,1,4.62,45,4.62,0,77
0.000810446,1.35074e-05,0.0423951,0.235606,5.00375,1,4.68,45,4.68,0,78
0.000820365,1.36727e-05,0.042659,0.235728,5.00256,1,4.74,45,4.74,0,79
0.000830284,1.38381e-05,0.0429229,0.235851,5.00137,1,4.8,45,4.8,0,80
0.000840203,1.40034e-05,0.0431868,0.235973,5.00017,1,4.86,45,4.86,0,81
0.000850123,1.41687e-05,0.0434507,0.236096,4.99898,1,4.92,45,4.92,0,82
0.000860042,1.4334e-05,0.0437146,0.236218,4.99779,1,4.98,45,4.98,0,83
0.000871478,1.45246e-05,0.0439956,0.236416,4.99648,1,5.04,45,5.04,0,84
0.000883673,1.47279e-05,0.0442853,0.23665,4.9951,1,5.1,45,5.1,0,85
0.000895868,1.49311e-05,0.0445749,0.236885,4.99373,1,5.16,45,5.16,0,86
0.000908063,1.51344e-05,0.0448645,0.23712,4.99236,1,5.22,45,5.22,0,87
0.000920258,1.53376e-05,0.0451542,0.237354,4.99099,1,5.28,45,5.28,0,88
0.000932453,1.55409e-05,0.0454438,0.237589,4.98962,1,5.34,45,5.34,0,89
0.000944648,1.57441e-05,0.0457334,0.237824,4.98824,1,5.4,45,5.4,0,90
0.000956843,1.59474e-05,0.046023,0.238058,4.98687,1,5.46,45,5.46,0,91
0.000969038,1.61506e-05,0.0463127,0.238293,4.9855,1,5.52,45,5.52,0,92
0.000981233,1.63539e-05,0.0466023,0.238528,4.98413,1,5.58,45,5.58,0,93
0.000993428,1.65571e-05,0.0468919,0.238762,4.98276,1,5.64,45,5.64,0,94
0.00100562,1.67604e-05,0.0471816,0.238997,4.98138,1,5.7,45,5.7,0,95
0.00101782,1.69636e-05,0.0474712,0.239232,4.98001,1,5.76,45,5.76,0,96
0.00103001,1.71669e-05,0.0477608,0.239466,4.97864,1,5.82,45,5.82,0,97
0.00104221,1.73701e-05,0.0480505,0.239701,4.97727,1,5.88,45,5.88,0,98
0.0010544,1.75734e-05,0.0483401,0.239936,4.9759,1,5.94,45,5.94,0,99
0.0010666,1.77766e-05,0.0486297,0.24017,4.97452,1,6,45,6,0,100
0.00108225,1.80375e-05,0.0490208,0.240861,4.97243,1,6.06,45,6.06,0,101
0.00109791,1.82985e-05,0.0494118,0.241553,4.97034,1,6.12,45,6.12,0,102
0.00111356,1.85594e-05,0.0498028,0.242244,4.96825,1,6.18,45,6.18,0,103
0.00112922,1.88203e-05,0.0501938,0.242935,4.96616,1,6.24,45,6.24,0,104
0.00114487,1.90812e-05,0.0505848,0.243626,4.96407,1,6.3,45,6.3,0,105
0.00116053,1.93422e-05,0.0509759,0.244317,4.96198,1,6.36,45,6.36,0,106
0.00117619,1.96031e-05,0.0513669,0.245008,4.95989,1,6.42,45,6.42,0,107
0.00119184,1.9864e-05,0.0517579,0.2457,4.9578,1,6.48,45,6.48,0,108
0.0012075,2.01249e-05,0.0521489,0.246391,4.95571,1,6.54,45,6.54,0,109
0.00122315,2.03859e-05,0.05254,0.247082,4.95362,1,6.6,45,6.6,0,110
0.00123881,2.06468e-05,0.052931,0.247773,4.95153,1,6.66,45,6.66,0,111
0.00125446,2.09077e-05,0.053322,0.248464,4.94944,1,6.72,45,6.72,0,112
0.00127012,2.11686e-05,0.053713,0.249155,4.94735,1,6.78,45,6.78,0,113
0.00128577,2.14296e-05,0.0541041,0.249847,4.94525,1,6.84,45,6.84,0,114
0.00130143,2.16905e-05,0.0544951,0.250538,4.94316,1,6.9,45,6.9,0,115
0.00131709,2.19514e-05,0.0548861,0.251229,4.94107,1,6.96,45,6.96,0,116
0.00133406,2.22344e-05,0.0552818,0.251911,4.93893,1,7.02,45,7.02,0,117
0.00135368,2.25614e-05,0.0556869,0.252575,4.93669,1,7.08,45,7.08,0,118
0.00137331,2.28884e-05,0.0560921,0.253239,4.93444,1,7.14,45,7.14,0,119
0.00139293,2.32154e-05,0.0564972,0.253903,4.93219,1,7.2,45,7.2,0,120
0.00141255,2.35425e-05,0.0569023,0.254567,4.92995,1,7.26,45,7.26,0,121
0.00143217,2.38695e-05,0.0573074,0.255231,4.9277,1,7.32,45,7.32,0,122
0.00145179,2.41965e-05,0.0577125,0.255894,4.92545,1,7.38,45,7.38,0,123
0.00147141,2.45235e-05,0.0581177,0.256558,4.92321,1,7.44,45,7.44,0,124
0.00149103,2.48506e-05,0.0585228,0.257222,4.92096,1,7.5,45,7.5,0,125
