u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.83527,4.17635,0.0764989,-0.060566,1,0.00657022,0.0138202,0,0.125,67,0
0.828115,4.14058,0.0703822,-0.0643998,1,0.00666828,0.0139183,0,0.125,68,0
0.809941,4.04971,0.0499308,-0.0722285,1,0.00676635,0.0140163,0,0.125,69,0
0.791768,3.95884,0.0294794,-0.0800572,1,0.00686441,0.0141144,0,0.125,70,0
0.773594,3.86797,0.00902782,-0.087886,1,0.00696247,0.0142125,0,0.125,71,0
0.75542,3.7771,-0.0114236,-0.0957147,1,0.00706054,0.0143105,0,0.125,72,0
0.744118,3.72059,-0.024702,-0.0988642,1,0.0071586,0.0144086,0,0.125,73,0
0.734791,3.67396,-0.0359315,-0.100621,1,0.00725666,0.0145067,0,0.125,74,0
0.725465,3.62732,-0.0471609,-0.102377,1,0.00735473,0.0146047,0,0.125,75,0
0.716138,3.58069,-0.0583904,-0.104134,1,0.00745279,0.0147028,0,0.125,76,0
0.706811,3.53405,-0.0696199,-0.105891,1,0.00755085,0.0148009,0,0.125,77,0
0.72351,3.61755,-0.0454079,-0.100048,1,0.00764891,0.0148989,0,0.125,78,0
0.741598,3.70799,-0.0191972,-0.09377,1,0.00774698,0.014997,0,0.125,79,0
0.759685,3.79843,0.00701381,-0.0874924,1,0.00784504,0.015095,0,0.125,80,0
0.777773,3.88886,0.0332245,-0.0812149,1,0.0079431,0.0151931,0,0.125,81,0
0.796751,3.98375,0.0587221,-0.0744736,1,0.00804117,0.0152912,0,0.125,82,0
0.821308,4.10654,0.0809834,-0.0648623,1,0.00813923,0.0153892,0,0.125,83,0
0.845865,4.22932,0.103244,-0.0552511,1,0.00823729,0.0154873,0,0.125,84,0
0.870422,4.35211,0.125506,-0.0456398,1,0.00833536,0.0155854,0,0.125,85,0
0.894979,4.4749,0.147767,-0.0360286,1,0.00843342,0.0156834,0,0.125,86,0
0.912233,4.56117,0.164371,-0.0286184,1,0.00853148,0.0157815,0,0.125,87,0
0.916046,4.58023,0.170495,-0.0252358,1,0.00862954,0.0158795,0,0.125,88,0
0.919859,4.59929,0.176619,-0.0218532,1,0.00872761,0.0159776,0,0.125,89,0
0.923671,4.61836,0.182743,-0.0184706,1,0.00882567,0.0160757,0,0.125,90,0
0.927484,4.63742,0.188867,-0.0150881,1,0.00892373,0.0161737,0,0.125,91,0
0.92671,4.63355,0.191743,-0.01392,1,0.0090218,0.0162718,0,0.125,92,0
0.922395,4.61197,0.192078,-0.0144364,1,0.00911986,0.0163699,0,0.125,93,0
0.918079,4.5904,0.192414,-0.0149528,1,0.00921792,0.0164679,0,0.125,94,0
0.913764,4.56882,0.192749,-0.0154691,1,0.00931598,0.016566,0,0.125,95,0
0.909448,4.54724,0.193084,-0.0159855,1,0.00941405,0.016664,0,0.125,96,0
0.902407,4.51203,0.205457,-0.0134415,1,0.00951211,0.0167621,0,0.125,97,0
0.894583,4.47292,0.221099,-0.0100788,1,0.00961017,0.0168602,0,0.125,98,0
0.88676,4.4338,0.23674,-0.00671612,1,0.00970824,0.0169582,0,0.125,99,0
0.878936,4.39468,0.252382,-0.00335342,1,0.0098063,0.0170563,0,0.125,100,0
0.871224,4.35612,0.267747,-6.34598e-05,1,0.00990436,0.0171544,0,0.125,101,0
0.876374,4.38187,0.259812,-0.00187016,1,0.0100024,0.0172524,0,0.125,102,0
0.881524,4.40762,0.251877,-0.00367686,1,0.0101005,0.0173505,0,0.125,103,0
0.886674,4.43337,0.243943,-0.00548355,1,0.0101986,0.0174486,0,0.125,104,0
0.891825,4.45912,0.236008,-0.00729025,1,0.0102966,0.0175466,0,0.125,105,0
0.894748,4.47374,0.228181,-0.00985153,1,0.0103947,0.0176447,0,0.125,106,0
0.890746,4.45373,0.220648,-0.014785,1,0.0104927,0.0177427,0,0.125,107,0
0.886743,4.43372,0.213115,-0.0197185,1,0.0105908,0.0178408,0,0.125,108,0
0.882741,4.41371,0.205582,-0.0246519,1,0.0106889,0.0179389,0,0.125,109,0
0.878739,4.39369,0.19805,-0.0295853,1,0.0107869,0.0180369,0,0.125,110,0
0.874606,4.37303,0.193921,-0.0329255,1,0.010885,0.018135,0,0.125,111,0
0.870375,4.35187,0.193583,-0.0344876,1,0.0109831,0.0182331,0,0.125,112,0
0.866144,4.33072,0.193245,-0.0360498,1,0.0110811,0.0183311,0,0.125,113,0
0.861913,4.30956,0.192906,-0.0376119,1,0.0111792,0.0184292,0,0.125,114,0
0.857682,4.28841,0.192568,-0.039174,1,0.0112772,0.0185272,0,0.125,115,0
0.85457,4.27285,0.194299,-0.03629,1,0.0113753,0.0186253,0,0.125,116,0
0.851904,4.25952,0.196854,-0.0316331,1,0.0114734,0.0187234,0,0.125,117,0
0.849238,4.24619,0.199409,-0.0269763,1,0.0115714,0.0188214,0,0.125,118,0
0.846572,4.23286,0.201964,-0.0223194,1,0.0116695,0.0189195,0,0.125,119,0
0.843907,4.21953,0.204519,-0.0176626,1,0.0117676,0.0190176,0,0.125,120,0
0.857368,4.28684,0.20984,-0.00903379,1,0.0118656,0.0191156,0,0.125,121,0
0.871548,4.35774,0.21528,-0.000219203,1,0.0119637,0.0192137,0,0.125,122,0
0.885728,4.42864,0.22072,0.00859538,1,0.0120617,0.0193117,0,0.125,123,0
0.899908,4.49954,0.22616,0.01741,1,0.0121598,0.0194098,0,0.125,124,0
0.907557,4.53779,0.218496,0.0231459,1,0.0122579,0.0195079,0,0.125,125,0
0.889502,4.44751,0.15935,0.0167741,1,0.0123559,0.0196059,0,0.125,126,0
0.871446,4.35723,0.100204,0.0104024,1,0.012454,0.019704,0,0.125,127,0
0.853391,4.26695,0.0410582,0.00403065,1,0.0125521,0.0198021,0,0.125,128,0
0.835335,4.17667,-0.0180877,-0.00234109,1,0.0126501,0.0199001,0,0.125,129,0
0.826555,4.13277,-0.0505401,-0.00747491,1,0.0127482,0.0199982,0,0.125,130,0
0.828984,4.14492,-0.0506884,-0.0111276,1,0.0128463,0.0200963,0,0.125,131,0
0.831413,4.15707,-0.0508368,-0.0147802,1,0.0129443,0.0201943,0,0.125,132,0
0.833843,4.16921,-0.0509851,-0.0184329,1,0.0130424,0.0202924,0,0.125,133,0
0.836272,4.18136,-0.0511334,-0.0220856,1,0.0131404,0.0203904,0,0.125,134,0
0.824314,4.12157,-0.0509951,-0.0311136,1,0.0132385,0.0204885,0,0.125,135,0
0.806299,4.0315,-0.0507496,-0.042403,1,0.0133366,0.0205866,0,0.125,136,0
0.788284,3.94142,-0.050504,-0.0536921,1,0.0134346,0.0206846,0,0.125,137,0
0.770269,3.85135,-0.0502585,-0.0649812,1,0.0135327,0.0207827,0,0.125,138,0
0.752254,3.76127,-0.0500129,-0.0762704,1,0.0136308,0.0208808,0,0.125,139,0
0.738505,3.69253,-0.0540377,-0.0828932,1,0.0137288,0.0209788,0,0.125,140,0
0.724939,3.6247,-0.058229,-0.0893211,1,0.0138269,0.0210769,0,0.125,141,0
0.711374,3.55687,-0.0624204,-0.0957492,1,0.0139249,0.0211749,0,0.125,142,0
0.697808,3.48904,-0.0666118,-0.102177,1,0.014023,0.021273,0,0.125,143,0
0.695113,3.47556,-0.061429,-0.1034,1,0.0141211,0.0213711,0,0.125,144,0
0.731998,3.65999,-0.022158,-0.0856843,1,0.0142191,0.0214691,0,0.125,145,0
0.768883,3.84441,0.017113,-0.0679689,1,0.0143172,0.0215672,0,0.125,146,0
0.805768,4.02884,0.056384,-0.0502535,1,0.0144153,0.0216653,0,0.125,147,0
0.842653,4.21327,0.0956558,-0.0325377,1,0.0145133,0.0217633,0,0.125,148,0
0.870855,4.35428,0.125264,-0.0189544,1,0.0146114,0.0218614,0,0.125,149,0
0.889395,4.44698,0.144102,-0.00997184,1,0.0147095,0.0219595,0,0.125,150,0
0.907936,4.53968,0.162941,-0.000989275,1,0.0148075,0.0220575,0,0.125,151,0
0.926476,4.63238,0.181779,0.00799329,1,0.0149056,0.0221556,0,0.125,152,0
0.945017,4.72508,0.200617,0.0169758,1,0.0150036,0.0222536,0,0.125,153,0
0.957902,4.78951,0.203197,0.0186673,1,0.0151017,0.0223517,0,0.125,154,0
0.968726,4.84363,0.19986,0.0177037,1,0.0151998,0.0224498,0,0.125,155,0
0.97955,4.89775,0.196523,0.0167402,1,0.0152978,0.0225478,0,0.125,156,0
0.990374,4.95187,0.193186,0.0157766,1,0.0153959,0.0226459,0,0.125,157,0
1.0012,5.00599,0.189849,0.014813,1,0.015494,0.022744,0,0.125,158,0
1.00654,5.03272,0.18769,0.0143716,1,0.015592,0.022842,0,0.125,159,0
1.01185,5.05926,0.18554,0.0139336,1,0.0156901,0.0229401,0,0.125,160,0
1.01716,5.0858,0.18339,0.0134957,1,0.0157881,0.0230381,0,0.125,161,0
1.02247,5.11234,0.181239,0.0130577,1,0.0158862,0.0231362,0,0.125,162,0
1.02481,5.12407,0.183336,0.0134828,1,0.0159843,0.0232343,0,0.125,163,0
1.01849,5.09243,0.197872,0.0164349,1,0.0160823,0.0233323,0,0.125,164,0
1.01216,5.06079,0.212408,0.0193871,1,0.0161804,0.0234304,0,0.125,165,0
1.00583,5.02915,0.226943,0.0223392,1,0.0162785,0.0235285,0,0.125,166,0
0.999503,4.99752,0.241479,0.0252914,1,0.0163765,0.0236265,0,0.125,167,0
0.994801,4.974,0.252488,0.0274845,1,0.0164746,0.0237246,0,0.125,168,0
0.991618,4.95809,0.260198,0.0289675,1,0.0165726,0.0238226,0,0.125,169,0
0.988435,4.94217,0.267908,0.0304506,1,0.0166707,0.0239207,0,0.125,170,0
0.985252,4.92626,0.275618,0.0319336,1,0.0167688,0.0240188,0,0.125,171,0
0.982069,4.91035,0.283328,0.0334166,1,0.0168668,0.0241168,0,0.125,172,0
0.969754,4.84877,0.256748,0.0281169,1,0.0169649,0.0242149,0,0.125,173,0
0.954848,4.77424,0.220441,0.0208932,1,0.017063,0.024313,0,0.125,174,0
0.939942,4.69971,0.184134,0.0136695,1,0.017161,0.024411,0,0.125,175,0
0.925036,4.62518,0.147827,0.00644574,1,0.0172591,0.0245091,0,0.125,176,0
0.910409,4.55204,0.112434,-0.000613334,1,0.0173572,0.0246072,0,0.125,177,0
0.902069,4.51035,0.0977093,-0.00394539,1,0.0174552,0.0247052,0,0.125,178,0
