k,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.0826017,1,0.0102704,0.0177704,0,0.125,105,0
0.0837092,1,0.0103682,0.0178682,0,0.125,106,0
0.0848167,1,0.010466,0.017966,0,0.125,107,0
0.0859323,1,0.0105638,0.0180638,0,0.125,108,0
0.0870681,1,0.0106616,0.0181616,0,0.125,109,0
0.088204,1,0.0107594,0.0182594,0,0.125,110,0
0.0893398,1,0.0108572,0.0183572,0,0.125,111,0
0.0904757,1,0.0109551,0.0184551,0,0.125,112,0
0.0916115,1,0.0110529,0.0185529,0,0.125,113,0
0.0927514,1,0.0111507,0.0186507,0,0.125,114,0
0.0938907,1,0.0112485,0.0187485,0,0.125,115,0
0.09503,1,0.0113463,0.0188463,0,0.125,116,0
0.0961693,1,0.0114441,0.0189441,0,0.125,117,0
0.0973085,1,0.0115419,0.0190419,0,0.125,118,0
0.0984478,1,0.0116397,0.0191397,0,0.125,119,0
0.0995811,1,0.0117376,0.0192376,0,0.125,120,0
0.100712,1,0.0118354,0.0193354,0,0.125,121,0
0.101844,1,0.0119332,0.0194332,0,0.125,122,0
0.102975,1,0.012031,0.019531,0,0.125,123,0
0.104107,1,0.0121288,0.0196288,0,0.125,124,0
0.105242,1,0.0122266,0.0197266,0,0.125,125,0
0.106382,1,0.0123244,0.0198244,0,0.125,126,0
0.107523,1,0.0124223,0.0199223,0,0.125,127,0
0.108663,1,0.0125201,0.0200201,0,0.125,128,0
0.109804,1,0.0126179,0.0201179,0,0.125,129,0
0.110944,1,0.0127157,0.0202157,0,0.125,130,0
0.112119,1,0.0128135,0.0203135,0,0.125,131,0
0.113307,1,0.0129113,0.0204113,0,0.125,132,0
0.114495,1,0.0130091,0.0205091,0,0.125,133,0
0.115683,1,0.0131069,0.0206069,0,0.125,134,0
0.116871,1,0.0132048,0.0207048,0,0.125,135,0
0.118067,1,0.0133026,0.0208026,0,0.125,136,0
0.119335,1,0.0134004,0.0209004,0,0.125,137,0
0.120603,1,0.0134982,0.0209982,0,0.125,138,0
0.121872,1,0.013596,0.021096,0,0.125,139,0
0.12314,1,0.0136938,0.0211938,0,0.125,140,0
0.124408,1,0.0137916,0.0212916,0,0.125,141,0
0.125714,1,0.0138894,0.0213894,0,0.125,142,0
0.127061,1,0.0139873,0.0214873,0,0.125,143,0
0.128408,1,0.0140851,0.0215851,0,0.125,144,0
0.129756,1,0.0141829,0.0216829,0,0.125,145,0
0.131103,1,0.0142807,0.0217807,0,0.125,146,0
0.13245,1,0.0143785,0.0218785,0,0.125,147,0
