t,	etaU
0,	66.147
0.333056,	43.1755
0.666112,	28.8662
0.999167,	20.952
1.33222,	20.952
1.66528,	28.8662
1.99833,	43.1755
2.33139,	66.147
2.66445,	88.9832
2.9975,	100
3.33056,	95.1215
3.66361,	75.6239
3.99667,	57.0395
4.32973,	50.7728
4.66278,	49.2328
4.99584,	50.8706
5.32889,	57.3578
5.66195,	63.1619
5.995,	64.9615
6.32806,	59.3153
6.66112,	47.8901
6.99417,	39.4417
7.32723,	37.7355
7.66028,	38.7344
7.99334,	40.6005
8.32639,	42.2638
8.65945,	39.7748
8.99251,	33.7022
9.32556,	26.9266
9.65862,	22.6905
9.99167,	22.9216
10.3247,	22.7597
10.6578,	22.0098
10.9908,	24.2455
11.3239,	26.0759
11.657,	27.3555
11.99,	27.8496
12.3231,	25.7264
12.6561,	23.8257
12.9892,	23.8721
13.3222,	26.0776
13.6553,	28.9879
13.9883,	27.8618
14.3214,	21.1235
14.6545,	15.2978
14.9875,	17.4704
15.3206,	23.8642
15.6536,	26.2467
15.9867,	22.4171
16.3197,	14.7022
16.6528,	8.38599
16.9858,	6.0532
17.3189,	5.7378
17.652,	8.66013
17.985,	16.9188
18.3181,	28.3047
18.6511,	37.3249
18.9842,	38.8077
19.3172,	34.7842
19.6503,	30.6224
19.9833,	29.8991
20.3164,	32.5186
20.6495,	33.9161
20.9825,	31.3306
21.3156,	26.5393
21.6486,	21.8686
21.9817,	19.4128
22.3147,	21.3361
22.6478,	26.7617
22.9808,	31.6999
23.3139,	33.3999
23.647,	30.9886
23.98,	26.357
24.3131,	27.1629
24.6461,	33.391
24.9792,	36.2818
25.3122,	31.7124
25.6453,	21.1717
25.9784,	12.5436
26.3114,	11.5074
26.6445,	13.6026
26.9775,	16.9108
27.3106,	21.3548
27.6436,	23.5304
27.9767,	21.9015
28.3097,	16.2649
28.6428,	10.0741
28.9759,	8.24931
29.3089,	8.62164
29.642,	8.10667
29.975,	8.99229
30.3081,	12.3742
30.6411,	16.1357
30.9742,	17.9168
31.3072,	18.1612
31.6403,	18.1909
31.9734,	18.9273
32.3064,	21.4181
32.6395,	26.0782
32.9725,	31.0711
33.3056,	31.8197
33.6386,	25.8166
33.9717,	18.2083
34.3047,	16.0931
34.6378,	18.6733
34.9709,	20.5394
35.3039,	20.0126
35.637,	18.6942
35.97,	18.3869
36.3031,	19.1745
36.6361,	20.3389
36.9692,	22.3047
37.3022,	23.5254
37.6353,	21.798
37.9684,	17.9206
38.3014,	13.9334
38.6345,	11.9742
38.9675,	13.7377
39.3006,	17.1428
39.6336,	20.182
39.9667,	23.5363
