t,	etaU
0,	38.457
0.333056,	31.0487
0.666112,	21.2826
0.999167,	14.9198
1.33222,	14.9198
1.66528,	21.2826
1.99833,	31.0487
2.33139,	38.457
2.66445,	40.3352
2.9975,	39.7908
3.33056,	38.3257
3.66361,	36.6205
3.99667,	36.7433
4.32973,	37.1981
4.66278,	36.7732
4.99584,	34.706
5.32889,	28.9167
5.66195,	22.4595
5.995,	17.8992
6.32806,	14.5643
6.66112,	16.5838
6.99417,	26.2808
7.32723,	37.5145
7.66028,	43.7908
7.99334,	42.3818
8.32639,	36.2618
8.65945,	31.1305
8.99251,	29.3182
9.32556,	28.8909
9.65862,	29.3235
9.99167,	29.5062
10.3247,	27.7329
10.6578,	25.0841
10.9908,	25.793
11.3239,	30.5916
11.657,	34.8842
11.99,	34.8533
12.3231,	31.7685
12.6561,	32.9301
12.9892,	40.3918
13.3222,	46.5008
13.6553,	43.0415
13.9883,	32.0053
14.3214,	23.8574
14.6545,	25.6997
14.9875,	32.0351
15.3206,	35.7533
15.6536,	34.6351
15.9867,	28.5659
16.3197,	21.8111
16.6528,	19.3254
16.9858,	21.6979
17.3189,	28.2282
17.652,	34.8414
17.985,	35.2008
18.3181,	29.4802
18.6511,	21.4529
18.9842,	14.6979
19.3172,	12.3846
19.6503,	16.4821
19.9833,	23.5645
20.3164,	27.566
20.6495,	27.0946
20.9825,	25.3809
21.3156,	24.236
21.6486,	24.6713
21.9817,	24.8644
22.3147,	23.0031
22.6478,	23.046
22.9808,	28.3775
23.3139,	37.729
23.647,	47.0004
23.98,	51.8654
24.3131,	48.83
24.6461,	39.0335
24.9792,	28.5716
25.3122,	21.7293
25.6453,	19.7584
25.9784,	21.9748
26.3114,	23.2619
26.6445,	21.5811
26.9775,	19.2721
27.3106,	18.8268
27.6436,	24.7713
27.9767,	35.7747
28.3097,	42.9669
28.6428,	41.2137
28.9759,	31.1399
29.3089,	18.7908
29.642,	11.7705
29.975,	10.9911
30.3081,	15.8676
30.6411,	24.7455
30.9742,	31.5014
31.3072,	30.9422
31.6403,	24.6179
31.9734,	20.9049
32.3064,	23.521
32.6395,	28.427
32.9725,	31.9977
33.3056,	34.2244
33.6386,	37.6206
33.9717,	40.7468
34.3047,	36.8869
34.6378,	26.9525
34.9709,	17.2053
35.3039,	14.7906
35.637,	23.2597
35.97,	34.3392
36.3031,	42.7614
36.6361,	48.9448
36.9692,	49.5615
37.3022,	45.8386
37.6353,	44.7159
37.9684,	47.2338
38.3014,	51.2566
38.6345,	56.7399
38.9675,	63.4238
39.3006,	72.6487
39.6336,	79.851
39.9667,	72.7961
40.2998,	53.9879
40.6328,	42.5526
40.9659,	46.9567
41.2989,	62.3155
41.632,	75.975
41.965,	76.3677
42.2981,	64.6694
42.6311,	50.1004
42.9642,	40.3886
43.2973,	36.0909
43.6303,	32.3433
43.9634,	26.6221
44.2964,	21.4387
44.6295,	19.3008
44.9625,	18.7382
45.2956,	17.1805
45.6286,	17.9133
45.9617,	21.9137
46.2948,	24.2928
46.6278,	21.7364
46.9609,	21.0029
47.2939,	29.1426
47.627,	43.9741
47.96,	58.2139
48.2931,	67.7784
48.6261,	72.4508
48.9592,	77.7857
49.2923,	85.4078
49.6253,	89.3561
49.9584,	88.9864
50.2914,	82.2067
50.6245,	65.5374
50.9575,	45.4963
51.2906,	29.3882
51.6236,	21.3088
51.9567,	26.1472
52.2898,	35.5944
52.6228,	38.9993
52.9559,	35.9217
53.2889,	32.5609
53.622,	35.05
53.955,	40.5457
54.2881,	41.4794
54.6211,	38.2324
54.9542,	35.9327
55.2873,	38.3856
55.6203,	46.5455
55.9534,	53.7232
56.2864,	56.2953
56.6195,	54.8413
56.9525,	52.281
57.2856,	51.6742
57.6187,	48.6479
57.9517,	37.4677
58.2848,	24.4595
58.6178,	21.6286
58.9509,	34.7875
59.2839,	53.9011
59.617,	64.6964
59.95,	68.8772
60.2831,	73.7454
60.6162,	85.432
60.9492,	98.2316
61.2823,	98.1509
61.6153,	83.5552
61.9484,	66.0027
62.2814,	56.5596
62.6145,	59.6751
62.9475,	70.5061
63.2806,	79.6401
63.6137,	81.3486
63.9467,	76.9284
64.2798,	68.27
64.6128,	59.1329
64.9459,	54.4863
65.2789,	56.7485
65.612,	70.5961
65.945,	90.4373
66.2781,	100
66.6112,	99.2776
66.9442,	96.286
67.2773,	96.8465
