t,	etaU
0,	0.463146
0.333056,	0.460458
0.666112,	0.543343
0.999167,	0.64449
1.33222,	0.64449
1.66528,	0.543343
1.99833,	0.460458
2.33139,	0.463146
2.66445,	0.532242
2.9975,	0.626698
3.33056,	0.729849
3.66361,	0.820638
3.99667,	0.8347
4.32973,	0.796901
4.66278,	0.749484
4.99584,	0.712416
5.32889,	0.68953
5.66195,	0.653047
5.995,	0.615715
6.32806,	0.691312
6.66112,	0.846383
6.99417,	0.918379
7.32723,	0.861568
7.66028,	0.738595
7.99334,	0.640058
8.32639,	0.615262
8.65945,	0.596411
8.99251,	0.553027
9.32556,	0.560534
9.65862,	0.639559
9.99167,	0.734748
10.3247,	0.797727
10.6578,	0.875527
10.9908,	1.07786
11.3239,	1.31843
11.657,	1.3463
11.99,	1.13539
12.3231,	0.850813
12.6561,	0.665831
12.9892,	0.726628
13.3222,	0.891855
13.6553,	0.929156
13.9883,	0.825166
14.3214,	0.762062
14.6545,	0.870554
14.9875,	1.0282
15.3206,	1.0151
15.6536,	0.762139
15.9867,	0.497498
16.3197,	0.470054
16.6528,	0.586901
16.9858,	0.664676
17.3189,	0.740519
17.652,	0.836348
17.985,	0.967264
18.3181,	1.0541
18.6511,	0.993117
18.9842,	0.822033
19.3172,	0.708653
19.6503,	0.754923
19.9833,	0.929527
20.3164,	1.08006
20.6495,	1.11122
20.9825,	1.07852
21.3156,	1.01699
21.6486,	0.89848
21.9817,	0.777123
22.3147,	0.849699
22.6478,	1.12132
22.9808,	1.31694
23.3139,	1.23356
23.647,	0.957513
23.98,	0.726441
24.3131,	0.719291
24.6461,	0.789234
24.9792,	0.765714
25.3122,	0.753863
25.6453,	0.80623
25.9784,	0.975
26.3114,	1.25927
26.6445,	1.41359
26.9775,	1.43054
27.3106,	1.44208
27.6436,	1.50566
27.9767,	1.68042
28.3097,	1.76834
28.6428,	1.71086
28.9759,	1.63247
29.3089,	1.41544
29.642,	1.04497
29.975,	0.681304
30.3081,	0.562193
30.6411,	0.786698
30.9742,	1.06775
31.3072,	1.14612
31.6403,	1.00232
31.9734,	0.795275
32.3064,	0.650026
32.6395,	0.545903
32.9725,	0.576356
33.3056,	0.869456
33.6386,	1.33701
33.9717,	1.69461
34.3047,	1.69952
34.6378,	1.52391
34.9709,	1.48743
35.3039,	1.67022
35.637,	1.81947
35.97,	1.61566
36.3031,	1.23827
36.6361,	1.0916
36.9692,	1.21856
37.3022,	1.36836
37.6353,	1.29602
37.9684,	1.07396
38.3014,	1.16067
38.6345,	1.83899
38.9675,	2.73294
39.3006,	3.23903
39.6336,	3.15472
39.9667,	2.66696
40.2998,	2.19787
40.6328,	2.07641
40.9659,	2.27339
41.2989,	2.74054
41.632,	3.3018
41.965,	3.50497
42.2981,	3.34665
42.6311,	3.11024
42.9642,	2.91062
43.2973,	2.8747
43.6303,	3.28498
43.9634,	4.08184
44.2964,	4.71634
44.6295,	4.80959
44.9625,	4.36557
45.2956,	3.75624
45.6286,	3.45027
45.9617,	3.20454
46.2948,	2.93516
46.6278,	3.01462
46.9609,	3.172
47.2939,	3.23218
47.627,	3.39921
47.96,	3.638
48.2931,	4.35068
48.6261,	5.26282
48.9592,	5.54474
49.2923,	5.30822
49.6253,	4.7756
49.9584,	4.19195
50.2914,	4.23936
50.6245,	4.99555
50.9575,	5.90676
51.2906,	6.47953
51.6236,	6.46545
51.9567,	6.11849
52.2898,	5.55768
52.6228,	4.70551
52.9559,	3.90919
53.2889,	4.10974
53.622,	5.7099
53.955,	7.43614
54.2881,	7.74932
54.6211,	7.13384
54.9542,	6.84556
55.2873,	7.10576
55.6203,	7.46829
55.9534,	7.11438
56.2864,	5.96974
56.6195,	4.75085
56.9525,	3.73305
57.2856,	3.05792
57.6187,	3.0505
57.9517,	3.58885
58.2848,	4.19102
58.6178,	4.65451
58.9509,	4.92706
59.2839,	4.96623
59.617,	4.74069
59.95,	4.24159
60.2831,	3.72299
60.6162,	3.96722
60.9492,	5.51146
61.2823,	7.41222
61.6153,	7.88422
61.9484,	6.61359
62.2814,	5.34309
62.6145,	5.65615
62.9475,	7.12209
63.2806,	7.96117
63.6137,	7.23888
63.9467,	5.89434
64.2798,	6.1548
64.6128,	8.52538
64.9459,	12.962
65.2789,	18.1678
65.612,	21.0358
65.945,	20.696
66.2781,	19.1095
66.6112,	17.9353
66.9442,	18.1227
67.2773,	19.0488
67.6103,	18.633
67.9434,	19.1411
68.2764,	24.4397
68.6095,	40.1657
68.9425,	64.4513
69.2756,	88.1539
69.6087,	100
69.9417,	92.4044
70.2748,	70.3941
70.6078,	48.169
70.9409,	37.7471
71.2739,	41.1038
71.607,	46.5239
71.94,	41.9208
72.2731,	32.208
72.6062,	27.2608
72.9392,	30.6014
73.2723,	36.4196
73.6053,	38.7525
73.9384,	36.518
74.2714,	32.9993
74.6045,	30.1953
74.9376,	26.1481
75.2706,	21.8389
75.6037,	19.0649
75.9367,	17.3255
76.2698,	17.1552
76.6028,	17.0626
76.9359,	16.6807
77.2689,	18.0021
77.602,	19.7
77.9351,	19.3423
78.2681,	15.457
78.6012,	10.3955
78.9342,	9.44832
79.2673,	11.9871
79.6003,	13.9665
79.9334,	14.1347
80.2664,	12.2389
80.5995,	9.77
80.9326,	7.9631
81.2656,	6.86422
81.5987,	6.81899
81.9317,	8.14057
82.2648,	9.96034
82.5978,	11.1417
82.9309,	11.668
83.2639,	12.4797
83.597,	13.0733
83.9301,	11.9888
84.2631,	9.11615
84.5962,	5.50776
84.9292,	2.90443
85.2623,	2.25119
85.5953,	2.59591
85.9284,	3.81701
86.2614,	5.90315
86.5945,	7.4553
86.9276,	7.79879
87.2606,	7.11595
87.5937,	6.1221
87.9267,	5.50444
88.2598,	4.76776
88.5928,	3.86346
88.9259,	3.57344
89.259,	3.72104
89.592,	4.22673
89.9251,	5.29094
90.2581,	6.42827
90.5912,	6.80768
90.9242,	5.91726
91.2573,	4.27212
91.5903,	3.13376
91.9234,	2.93255
92.2565,	3.20258
92.5895,	3.81419
92.9226,	4.76108
93.2556,	5.45333
93.5887,	5.44175
93.9217,	4.75567
94.2548,	3.83999
94.5878,	3.28007
94.9209,	3.03307
95.254,	2.69384
95.587,	2.32423
95.9201,	2.07734
96.2531,	1.85995
96.5862,	1.69671
96.9192,	1.93429
97.2523,	2.63389
97.5853,	3.25568
97.9184,	3.44065
98.2515,	3.26149
98.5845,	2.93676
98.9176,	2.87392
99.2506,	2.97051
99.5837,	2.77117
99.9167,	2.28696
100.25,	1.64732
100.583,	0.991648
100.916,	0.978241
101.249,	1.70836
101.582,	2.57381
101.915,	3.20746
102.248,	3.3422
102.581,	3.19399
102.914,	3.06466
103.247,	2.81093
103.58,	2.38413
103.913,	2.02261
104.246,	1.82373
104.58,	2.01773
104.913,	2.57203
105.246,	3.26707
105.579,	3.6881
105.912,	3.3296
106.245,	2.37069
106.578,	1.53341
106.911,	1.20432
107.244,	1.28744
107.577,	1.45095
107.91,	1.37981
108.243,	1.32859
108.576,	1.47175
108.909,	1.6772
109.242,	1.84651
109.575,	1.81448
109.908,	1.53234
110.241,	1.23298
110.575,	1.01551
110.908,	0.879791
111.241,	0.869579
111.574,	0.89306
111.907,	0.951138
112.24,	1.04904
112.573,	1.21275
112.906,	1.4204
113.239,	1.54316
113.572,	1.47143
113.905,	1.19561
114.238,	0.977674
114.571,	1.00748
114.904,	1.12709
115.237,	1.29549
115.57,	1.51328
115.903,	1.647
116.236,	1.7701
116.57,	1.82396
116.903,	1.75167
117.236,	1.64215
117.569,	1.52896
117.902,	1.49412
118.235,	1.49677
118.568,	1.31013
118.901,	0.888803
119.234,	0.426273
119.567,	0.1688
119.9,	0.201253
120.233,	0.416083
120.566,	0.667819
120.899,	0.803117
121.232,	0.904852
121.565,	1.13592
121.898,	1.45541
122.231,	1.68491
122.565,	1.61237
122.898,	1.25346
123.231,	0.869216
123.564,	0.638359
123.897,	0.612609
124.23,	0.797428
124.563,	0.997521
124.896,	1.0068
125.229,	0.822868
125.562,	0.619376
125.895,	0.578836
126.228,	0.71241
126.561,	0.836335
126.894,	0.780659
127.227,	0.60063
127.56,	0.443546
127.893,	0.42374
128.226,	0.502566
128.56,	0.525747
128.893,	0.52619
129.226,	0.596582
129.559,	0.670174
129.892,	0.776419
130.225,	0.905453
130.558,	0.954209
130.891,	0.946413
131.224,	0.843627
131.557,	0.694344
131.89,	0.640488
132.223,	0.61451
132.556,	0.594439
132.889,	0.631909
133.222,	0.667941
133.555,	0.665891
133.888,	0.654973
134.221,	0.697076
134.555,	0.803318
134.888,	0.868507
135.221,	0.820988
135.554,	0.703363
135.887,	0.600357
136.22,	0.548804
136.553,	0.5283
136.886,	0.499897
137.219,	0.431462
137.552,	0.356219
137.885,	0.325155
138.218,	0.348032
138.551,	0.413264
138.884,	0.51981
139.217,	0.641439
139.55,	0.752464
139.883,	0.790364
140.216,	0.7338
140.55,	0.672461
140.883,	0.650354
141.216,	0.621959
