t,	etaU
0,	42.5185
0.333056,	44.175
0.666112,	48.9899
0.999167,	52.0504
1.33222,	52.0504
1.66528,	48.9899
1.99833,	44.175
2.33139,	42.5185
2.66445,	49.0725
2.9975,	58.2006
3.33056,	58.1966
3.66361,	46.0807
3.99667,	31.6673
4.32973,	26.1744
4.66278,	28.8672
4.99584,	33.7882
5.32889,	36.229
5.66195,	33.6384
5.995,	34.3774
6.32806,	42.2115
6.66112,	53.2317
6.99417,	64.3376
7.32723,	67.0508
7.66028,	58.4976
7.99334,	52.1689
8.32639,	53.4094
8.65945,	58.4276
8.99251,	64.344
9.32556,	61.5907
9.65862,	50.9101
9.99167,	40.6445
10.3247,	30.0811
10.6578,	25.5051
10.9908,	34.5016
11.3239,	47.104
11.657,	54.6922
11.99,	51.5573
12.3231,	39.0154
12.6561,	30.2063
12.9892,	33.386
13.3222,	46.5927
13.6553,	65.5088
13.9883,	77.1082
14.3214,	74.178
14.6545,	67.2018
14.9875,	63.9527
15.3206,	60.5146
15.6536,	52.5783
15.9867,	43.8523
16.3197,	43.7312
16.6528,	56.9212
16.9858,	73.741
17.3189,	79.7322
17.652,	70.6521
17.985,	54.6892
18.3181,	46.3856
18.6511,	52.0483
18.9842,	59.7009
19.3172,	54.4897
19.6503,	40.3087
19.9833,	37.3073
20.3164,	52.2953
20.6495,	65.8487
20.9825,	60.2404
21.3156,	45.0816
21.6486,	38.9743
21.9817,	47.1107
22.3147,	63.0187
22.6478,	75.4858
22.9808,	79.6423
23.3139,	77.9974
23.647,	68.3576
23.98,	53.342
24.3131,	42.1417
24.6461,	33.5403
24.9792,	26.7963
25.3122,	23.7951
25.6453,	22.7402
25.9784,	25.6297
26.3114,	34.0254
26.6445,	41.5567
26.9775,	43.194
27.3106,	41.1246
27.6436,	37.9921
27.9767,	35.1911
28.3097,	34.7273
28.6428,	38.3197
28.9759,	47.6386
29.3089,	59.039
29.642,	64.1313
29.975,	60.017
30.3081,	53.0144
30.6411,	49.681
30.9742,	49.0744
