x   singVal singValsqLomSumasingValsq   singValsqLomSumasingValsqAk singValsqLomSumasingValsqRes    lag kurtosis
1 2969.02052928616 0.349514014718965 0.349514014718965 0.650485985281035 0.975365304346861 1.59581234656397
2 2902.73208337452 0.334081248383232 0.683595263102196 0.316404736897804 0.975233924500827 1.62981339098171
3 735.101428478345 0.0214255868901517 0.705020849992348 0.294979150007652 0.995128313667253 2.37085846344214
4 655.068970247809 0.0170142280477277 0.722035078040075 0.277964921959925 0.986385806824701 2.82346004795401
5 612.69458508719 0.0148842267589043 0.73691930479898 0.26308069520102 0.971673854751925 3.05454288030526
6 582.560912003187 0.013456151761363 0.750375456560343 0.249624543439657 0.972271274603019 2.75308275502287
7 538.648646052308 0.0115040123339524 0.761879468894295 0.238120531105705 0.969731116194527 2.76340755278847
8 504.302184889683 0.0100836994558815 0.771963168350177 0.228036831649823 0.95857319299628 2.94451100331543
9 493.233258977539 0.00964590323343582 0.781609071583613 0.218390928416387 0.934215013295159 2.60495721210271
10 461.967068619376 0.00846175076674033 0.790070822350353 0.209929177649647 0.887037145364972 2.58351180160689
11 442.812710579805 0.00777460530781819 0.797845427658171 0.202154572341829 0.922523373627238 2.85735383283583
12 423.999488213004 0.00712801915896438 0.804973446817135 0.195026553182865 0.931967853536167 2.97706546517668
13 419.228878695565 0.00696852041330631 0.811941967230442 0.188058032769558 0.924534091570149 2.90817134501927
14 399.263526408108 0.00632058782279197 0.818262555053234 0.181737444946766 0.844939259541842 2.61829515883772
15 391.085660303947 0.00606431815854296 0.824326873211777 0.175673126788223 0.889711934373942 2.67457402963648
16 387.704283682432 0.00595990575952948 0.830286778971306 0.169713221028694 0.798827434361718 2.67951494756482
17 366.520012129995 0.00532639755083265 0.835613176522139 0.164386823477861 0.765431250130985 2.8077828043858
18 346.332039071277 0.00475579946070793 0.840368975982847 0.159631024017153 0.85248515230012 3.14969783289622
19 338.401819385939 0.00454049887303549 0.844909474855882 0.155090525144118 0.676498272046206 2.93277231375194
20 319.867243233296 0.00405674517585942 0.848966220031742 0.151033779968258 0.941913531366339 4.14430829567409
21 311.608393243598 0.0038499623953697 0.852816182427111 0.147183817572889 0.962056559472348 3.41508971583867
22 297.653282597861 0.00351284952103992 0.856329031948151 0.143670968051849 0.897393699300083 3.10054819883425
23 296.41532353233 0.00348368995337965 0.859812721901531 0.140187278098469 0.921120590458981 2.88401568812069
24 282.443301828468 0.00316301137169015 0.862975733273221 0.137024266726779 0.919317748201238 2.81019866373407
25 274.914134311851 0.00299662453955336 0.865972357812774 0.134027642187226 0.931958957842765 2.83516365712755
26 270.696052135772 0.00290537394562415 0.868877731758399 0.131122268241601 0.946812585240341 3.44442969243376
27 269.686005385293 0.00288373278293321 0.871761464541332 0.128238535458668 0.935872444952299 3.00311308222988
28 258.196169067099 0.00264324720730518 0.874404711748637 0.125595288251363 0.914574532932009 3.40767282136228
29 245.184796245879 0.00238355548664112 0.876788267235278 0.123211732764722 0.865775020227946 3.11130292947878
30 243.28401852055 0.0023467420493301 0.879135009284608 0.120864990715392 0.885776359008076 3.02774124099615
31 240.799030043296 0.00229904599561288 0.881434055280221 0.118565944719779 0.939768394538943 3.28988296058248
32 235.686166977659 0.00220245163591439 0.883636506916135 0.116363493083865 0.907724598924433 2.95456705777537
33 234.134234329072 0.00217354197919897 0.885810048895334 0.114189951104666 0.879394776521853 3.37437920399396
34 228.731426768812 0.00207438742752963 0.887884436322864 0.112115563677136 0.923602940468903 3.39449756489472
35 227.133885876954 0.00204551211293459 0.889929948435799 0.110070051564201 0.868425615655953 3.03815862239593
36 222.847218521382 0.00196903134244184 0.891898979778241 0.108101020221759 0.909927768563197 3.09916681637314
37 218.471714302496 0.00189246835697095 0.893791448135211 0.106208551864789 0.846360609574241 3.00841824353828
38 212.597276319433 0.0017920642912206 0.895583512426432 0.104416487573568 0.844854808811771 3.30578739349081
39 211.279720144996 0.00176992074451873 0.897353433170951 0.102646566829049 0.869330262806524 2.94521255728707
40 209.513752937156 0.00174045687223174 0.899093890043183 0.100906109956817 0.852813609425882 3.07492625785263
41 200.760217913903 0.00159806157972595 0.900691951622909 0.0993080483770914 0.841340008415609 3.03890215227331
42 198.283552766061 0.0015588760229522 0.902250827645861 0.0977491723541392 0.789012425712761 3.21540674267593
43 196.101173437753 0.0015247497767168 0.903775577422578 0.0962244225774224 0.747407823446679 3.171348121511
44 194.630294712996 0.00150196244633323 0.905277539868911 0.0947224601310891 0.845577565113144 3.08105036958679
45 192.73039856322 0.00147278255934348 0.906750322428254 0.0932496775717456 0.805886928957706 3.15138127184063
46 188.274402490289 0.00140546731271758 0.908155789740972 0.091844210259028 0.815776470935211 3.05460179930745
47 187.406934594234 0.00139254586348662 0.909548335604459 0.0904516643955414 0.786207558117207 3.15801400523936
48 184.185515048323 0.00134508317181062 0.910893418776269 0.0891065812237308 0.699202389166522 3.19224927560038
49 181.409508988082 0.00130484308772348 0.912198261863993 0.0878017381360073 0.820016092091282 3.0274709316209
50 180.032088391429 0.00128510328085649 0.913483365144849 0.0865166348551508 0.81565308487062 3.10155351833038
51 177.097991223287 0.00124355633381551 0.914726921478665 0.0852730785213354 0.863184589220212 3.10872349827168
52 175.424333991723 0.00122016304202151 0.915947084520686 0.0840529154793138 0.81575120699265 3.18633526768388
53 173.09604087138 0.00118798911880971 0.917135073639496 0.0828649263605041 0.821092747534965 2.98033775092209
54 169.181797553208 0.00113486829603232 0.918269941935528 0.0817300580644718 0.811245661261051 3.23927961358104
