x	singVal	singValLomSumasingVal	singValsqLomSumasingValsq
607	119.931	0.000385796	6.21193e-05
608	119.781	0.000385312	6.19635e-05
609	119.345	0.000383912	6.15139e-05
610	119.027	0.000382888	6.11863e-05
611	118.81	0.000382191	6.09637e-05
612	118.622	0.000381583	6.07701e-05
613	118.387	0.000380829	6.05302e-05
614	118.202	0.000380235	6.03415e-05
615	118.084	0.000379853	6.02204e-05
616	117.763	0.00037882	5.98932e-05
617	117.577	0.000378223	5.97047e-05
618	117.454	0.000377826	5.95793e-05
619	117.248	0.000377165	5.9371e-05
620	116.918	0.000376104	5.90374e-05
621	116.706	0.000375422	5.88236e-05
622	116.457	0.000374621	5.85728e-05
623	116.402	0.000374442	5.85169e-05
624	116.242	0.00037393	5.83569e-05
625	115.999	0.000373148	5.81131e-05
626	115.838	0.00037263	5.79517e-05
627	115.491	0.000371514	5.76052e-05
628	115.46	0.000371415	5.75744e-05
629	115.414	0.000371264	5.75278e-05
630	114.996	0.000369921	5.71123e-05
631	114.689	0.000368933	5.68075e-05
632	114.382	0.000367944	5.65035e-05
633	114.362	0.000367883	5.64847e-05
634	114.046	0.000366866	5.61728e-05
635	113.894	0.000366375	5.60226e-05
636	113.555	0.000365286	5.56899e-05
637	113.424	0.000364863	5.5561e-05
638	113.33	0.00036456	5.54689e-05
639	113.109	0.000363849	5.52529e-05
640	112.873	0.000363093	5.50233e-05
641	112.654	0.000362386	5.48094e-05
642	112.359	0.000361439	5.45231e-05
643	112.011	0.00036032	5.41861e-05
644	111.882	0.000359905	5.40614e-05
645	111.766	0.00035953	5.39488e-05
646	111.452	0.00035852	5.36459e-05
647	111.329	0.000358124	5.35277e-05
648	111.101	0.000357392	5.3309e-05
649	111.053	0.000357238	5.32631e-05
650	110.783	0.00035637	5.30046e-05
651	110.611	0.000355814	5.28394e-05
652	110.135	0.000354283	5.23855e-05
653	109.996	0.000353838	5.22541e-05
654	109.829	0.0003533	5.20953e-05
655	109.667	0.000352779	5.19418e-05
656	109.406	0.000351939	5.16946e-05
657	109.298	0.000351592	5.15929e-05
658	109.147	0.000351106	5.14502e-05
659	109.072	0.000350865	5.13798e-05
660	108.747	0.000349819	5.10738e-05
661	108.62	0.00034941	5.09544e-05
662	108.421	0.000348771	5.07682e-05
663	108.229	0.000348153	5.05886e-05
664	108.088	0.000347698	5.04563e-05
665	107.727	0.000346538	5.01202e-05
666	107.615	0.000346178	5.0016e-05
667	107.293	0.000345141	4.97171e-05
668	107.09	0.000344489	4.95292e-05
669	106.97	0.000344104	4.94186e-05
670	106.676	0.000343156	4.91468e-05
671	106.609	0.000342942	4.90855e-05
672	106.317	0.000342004	4.88172e-05
673	106.26	0.000341817	4.8764e-05
674	106.21	0.000341657	4.87184e-05
675	105.871	0.000340568	4.84083e-05
676	105.754	0.000340192	4.83015e-05
677	105.358	0.000338918	4.79402e-05
678	105.162	0.000338288	4.77622e-05
679	105.062	0.000337965	4.7671e-05
680	104.702	0.000336805	4.73445e-05
681	104.621	0.000336547	4.72719e-05
682	104.495	0.000336142	4.71582e-05
683	104.296	0.000335502	4.69788e-05
684	104.196	0.000335181	4.68888e-05
685	104.099	0.000334866	4.6801e-05
686	103.957	0.00033441	4.66735e-05
687	103.821	0.000333974	4.65519e-05
688	103.484	0.000332888	4.62496e-05
689	103.208	0.000332001	4.60035e-05
690	103.112	0.000331691	4.59177e-05
691	102.965	0.000331218	4.57867e-05
692	102.883	0.000330954	4.57137e-05
693	102.662	0.000330245	4.55181e-05
694	102.611	0.000330082	4.54731e-05
695	102.236	0.000328874	4.51409e-05
696	101.906	0.000327811	4.48497e-05
697	101.734	0.000327259	4.46986e-05
698	101.599	0.000326825	4.45801e-05
699	101.359	0.000326053	4.43699e-05
700	101.25	0.000325703	4.42747e-05
701	101.179	0.000325475	4.42127e-05
702	100.793	0.000324234	4.38761e-05
703	100.477	0.000323216	4.36011e-05
704	100.426	0.000323052	4.35569e-05
705	100.244	0.000322467	4.33993e-05
706	100.048	0.000321836	4.32296e-05
707	99.9395	0.000321487	4.31358e-05
708	99.7823	0.000320981	4.30002e-05
709	99.7507	0.00032088	4.2973e-05
710	99.4384	0.000319875	4.27043e-05
711	99.2678	0.000319326	4.25579e-05
712	99.1357	0.000318901	4.24447e-05
713	98.9874	0.000318424	4.23178e-05
714	98.8294	0.000317916	4.21828e-05
715	98.6211	0.000317246	4.20052e-05
716	98.5171	0.000316911	4.19167e-05
717	98.3001	0.000316213	4.17322e-05
718	98.2426	0.000316028	4.16834e-05
719	97.9052	0.000314943	4.13976e-05
720	97.8802	0.000314862	4.13764e-05
721	97.798	0.000314598	4.1307e-05
722	97.4788	0.000313571	4.10378e-05
723	97.3822	0.00031326	4.09565e-05
724	97.3315	0.000313098	4.09139e-05
725	97.125	0.000312433	4.07404e-05
726	96.8605	0.000311582	4.05188e-05
727	96.7556	0.000311245	4.04311e-05
728	96.6062	0.000310764	4.03063e-05
729	96.4388	0.000310226	4.01668e-05
730	96.273	0.000309692	4.00287e-05
731	96.0383	0.000308937	3.98339e-05
732	95.9975	0.000308806	3.98e-05
733	95.8999	0.000308492	3.97191e-05
734	95.7064	0.00030787	3.9559e-05
735	95.6029	0.000307537	3.94735e-05
736	95.314	0.000306607	3.92353e-05
737	95.2128	0.000306282	3.9152e-05
738	95.0027	0.000305606	3.89794e-05
739	94.8194	0.000305016	3.88291e-05
740	94.7149	0.00030468	3.87436e-05
741	94.5252	0.00030407	3.85886e-05
742	94.3553	0.000303524	3.845e-05
743	94.2242	0.000303102	3.83432e-05
744	94.0616	0.000302579	3.82109e-05
745	93.9695	0.000302282	3.81361e-05
746	93.743	0.000301554	3.79526e-05
747	93.6489	0.000301251	3.78764e-05
748	93.4355	0.000300565	3.7704e-05
749	93.3558	0.000300308	3.76397e-05
750	93.2466	0.000299957	3.75517e-05
751	93.0368	0.000299282	3.73829e-05
752	92.9269	0.000298928	3.72946e-05
753	92.6758	0.000298121	3.70933e-05
754	92.2883	0.000296874	3.67838e-05
755	92.1611	0.000296465	3.66825e-05
756	92.1166	0.000296322	3.6647e-05
757	92.0302	0.000296044	3.65784e-05
758	91.859	0.000295493	3.64424e-05
759	91.7436	0.000295122	3.63509e-05
760	91.6847	0.000294933	3.63042e-05
761	91.4153	0.000294066	3.60912e-05
762	91.3125	0.000293735	3.60101e-05
763	91.2048	0.000293389	3.59252e-05
764	91.0722	0.000292962	3.58208e-05
765	90.9366	0.000292526	3.57142e-05
766	90.7395	0.000291892	3.55595e-05
767	90.6774	0.000291693	3.55109e-05
768	90.5583	0.000291309	3.54176e-05
769	90.2957	0.000290465	3.52125e-05
770	90.2161	0.000290208	3.51505e-05
771	90.0919	0.000289809	3.50538e-05
772	89.8815	0.000289132	3.48902e-05
773	89.7208	0.000288615	3.47656e-05
774	89.6041	0.00028824	3.46752e-05
775	89.487	0.000287863	3.45846e-05
776	89.3731	0.000287497	3.44967e-05
777	89.1031	0.000286628	3.42885e-05
778	88.9122	0.000286014	3.41418e-05
779	88.8246	0.000285732	3.40745e-05
780	88.6489	0.000285167	3.39398e-05
781	88.6234	0.000285085	3.39203e-05
782	88.4455	0.000284513	3.37843e-05
783	88.2995	0.000284043	3.36728e-05
784	88.1109	0.000283436	3.35292e-05
785	87.9256	0.00028284	3.33883e-05
786	87.8157	0.000282487	3.33049e-05
787	87.7578	0.0002823	3.32609e-05
788	87.5418	0.000281606	3.30974e-05
789	87.4588	0.000281339	3.30347e-05
790	87.3035	0.000280839	3.29174e-05
791	87.1209	0.000280252	3.27799e-05
792	86.9578	0.000279727	3.26573e-05
793	86.9163	0.000279594	3.26262e-05
794	86.7583	0.000279085	3.25077e-05
795	86.4715	0.000278163	3.22931e-05
796	86.4234	0.000278008	3.22572e-05
797	86.4089	0.000277962	3.22464e-05
798	86.246	0.000277437	3.21249e-05
799	86.1335	0.000277075	3.20411e-05
800	86.0722	0.000276878	3.19955e-05
801	85.8951	0.000276309	3.1864e-05
802	85.6675	0.000275576	3.16954e-05
803	85.5337	0.000275146	3.15964e-05
804	85.245	0.000274217	3.13835e-05
805	85.073	0.000273664	3.1257e-05
806	84.9666	0.000273322	3.11788e-05
807	84.924	0.000273185	3.11476e-05
808	84.7001	0.000272464	3.09835e-05
809	84.6041	0.000272156	3.09133e-05
810	84.5635	0.000272025	3.08837e-05
811	84.4776	0.000271749	3.0821e-05
812	84.3103	0.000271211	3.0699e-05
813	84.2595	0.000271047	3.06621e-05
814	84.1643	0.000270741	3.05928e-05
815	83.9164	0.000269943	3.04128e-05
816	83.8941	0.000269872	3.03967e-05
817	83.7348	0.000269359	3.02814e-05
818	83.5726	0.000268837	3.01641e-05
819	83.4927	0.000268581	3.01065e-05
820	83.3139	0.000268005	2.99777e-05
