x	singVal	singValLomSumasingVal	singValsqLomSumasingValsq
4612	4.88108	1.19522e-05	4.76263e-08
4613	4.87956	1.19484e-05	4.75966e-08
4614	4.8793	1.19478e-05	4.75916e-08
4615	4.87025	1.19256e-05	4.74152e-08
4616	4.86828	1.19208e-05	4.73767e-08
4617	4.8668	1.19172e-05	4.73479e-08
4618	4.86134	1.19038e-05	4.72419e-08
4619	4.85988	1.19002e-05	4.72135e-08
4620	4.85765	1.18948e-05	4.71701e-08
4621	4.85183	1.18805e-05	4.70571e-08
4622	4.85091	1.18783e-05	4.70393e-08
4623	4.84823	1.18717e-05	4.69873e-08
4624	4.84638	1.18672e-05	4.69515e-08
4625	4.84435	1.18622e-05	4.69122e-08
4626	4.84125	1.18546e-05	4.68521e-08
4627	4.83548	1.18405e-05	4.67406e-08
4628	4.8338	1.18364e-05	4.6708e-08
4629	4.82839	1.18231e-05	4.66036e-08
4630	4.82819	1.18226e-05	4.65997e-08
4631	4.82205	1.18076e-05	4.64813e-08
4632	4.8218	1.1807e-05	4.64764e-08
4633	4.81888	1.17998e-05	4.64201e-08
4634	4.81599	1.17928e-05	4.63646e-08
4635	4.81305	1.17856e-05	4.6308e-08
4636	4.80852	1.17745e-05	4.62209e-08
4637	4.80831	1.1774e-05	4.62167e-08
4638	4.80681	1.17703e-05	4.6188e-08
4639	4.80499	1.17658e-05	4.61529e-08
4640	4.80341	1.1762e-05	4.61227e-08
4641	4.7964	1.17448e-05	4.59881e-08
4642	4.79344	1.17375e-05	4.59313e-08
4643	4.79316	1.17369e-05	4.59259e-08
4644	4.78889	1.17264e-05	4.58443e-08
4645	4.78544	1.1718e-05	4.57781e-08
4646	4.78337	1.17129e-05	4.57385e-08
4647	4.78298	1.17119e-05	4.5731e-08
4648	4.77793	1.16996e-05	4.56346e-08
4649	4.77598	1.16948e-05	4.55973e-08
4650	4.77311	1.16878e-05	4.55426e-08
4651	4.7713	1.16833e-05	4.55081e-08
4652	4.76904	1.16778e-05	4.54649e-08
4653	4.76464	1.1667e-05	4.53812e-08
4654	4.76224	1.16611e-05	4.53353e-08
4655	4.75965	1.16548e-05	4.52861e-08
4656	4.7574	1.16493e-05	4.52433e-08
4657	4.75449	1.16422e-05	4.51879e-08
4658	4.7468	1.16233e-05	4.50418e-08
4659	4.74326	1.16147e-05	4.49747e-08
4660	4.74263	1.16131e-05	4.49627e-08
4661	4.74124	1.16097e-05	4.49364e-08
4662	4.73865	1.16034e-05	4.48874e-08
4663	4.73534	1.15953e-05	4.48247e-08
4664	4.72894	1.15796e-05	4.47036e-08
4665	4.72816	1.15777e-05	4.46888e-08
4666	4.72544	1.1571e-05	4.46374e-08
4667	4.72292	1.15649e-05	4.45898e-08
4668	4.72073	1.15595e-05	4.45484e-08
4669	4.71824	1.15534e-05	4.45016e-08
4670	4.71575	1.15473e-05	4.44545e-08
4671	4.71289	1.15403e-05	4.44006e-08
4672	4.71162	1.15372e-05	4.43768e-08
4673	4.70856	1.15297e-05	4.43192e-08
4674	4.70434	1.15194e-05	4.42398e-08
