t,	etaU
0,	41.7186
0.332945,	36.5127
0.66589,	25.5295
0.998835,	18.4982
1.33178,	18.4982
1.66472,	25.5295
1.99767,	36.5127
2.33061,	41.7186
2.66356,	38.2164
2.9965,	30.1437
3.32945,	28.8474
3.66239,	46.5527
3.99534,	75.1405
4.32828,	92.4689
4.66123,	88.5101
4.99417,	73.435
5.32712,	65.6493
5.66006,	68.1501
5.99301,	66.975
6.32595,	54.2286
6.6589,	39.982
6.99184,	37.1876
7.32479,	45.7849
7.65773,	55.9951
7.99068,	60.7098
8.32362,	60.7718
8.65657,	57.0091
8.98951,	55.9304
9.32246,	61.0576
9.6554,	62.7731
9.98835,	55.0118
10.3213,	40.8442
10.6542,	31.6215
10.9872,	38.1679
11.3201,	50.9998
11.6531,	56.1386
11.986,	50.7805
12.319,	39.7866
12.6519,	34.807
12.9849,	35.6371
13.3178,	39.2868
13.6507,	46.7058
13.9837,	55.2198
14.3166,	61.1975
14.6496,	60.1369
14.9825,	50.1275
15.3155,	37.3108
15.6484,	27.0927
15.9814,	19.8539
16.3143,	15.8433
16.6472,	19.7925
16.9802,	33.4141
17.3131,	45.485
17.6461,	45.5099
17.979,	33.7991
18.312,	23.7772
18.6449,	25.123
18.9779,	31.5696
19.3108,	34.391
19.6437,	31.7322
19.9767,	26.3646
20.3096,	24.2552
20.6426,	24.6405
20.9755,	26.4207
21.3085,	34.5782
21.6414,	46.1738
21.9744,	57.0577
22.3073,	64.6264
22.6403,	61.6821
22.9732,	48.229
23.3061,	31.2101
23.6391,	16.1695
23.972,	8.78565
24.305,	8.07315
24.6379,	12.8878
24.9709,	22.5007
25.3038,	31.7038
25.6368,	40.3153
25.9697,	49.2356
26.3026,	56.8068
26.6356,	60.8913
26.9685,	55.6962
27.3015,	42.7466
27.6344,	32.9781
27.9674,	32.1437
28.3003,	36.5292
28.6333,	38.997
28.9662,	35.6725
29.2992,	27.4105
29.6321,	19.8533
29.965,	17.8525
30.298,	18.9532
30.6309,	19.8428
30.9639,	19.0581
31.2968,	17.2158
31.6298,	18.6777
31.9627,	22.2592
32.2957,	23.8609
32.6286,	22.9413
32.9615,	24.5672
33.2945,	32.975
33.6274,	47.7602
33.9604,	66.7692
34.2933,	82.5293
34.6263,	84.7819
34.9592,	72.3162
35.2922,	51.776
35.6251,	34.6488
35.958,	30.6244
36.291,	36.1371
36.6239,	42.0592
36.9569,	45.2037
37.2898,	45.3357
37.6228,	42.2463
37.9557,	38.9034
38.2887,	37.9897
38.6216,	37.6
38.9546,	39.0435
39.2875,	48.4864
39.6204,	65.0238
39.9534,	78.3938
40.2863,	77.5204
40.6193,	59.1588
40.9522,	37.1115
41.2852,	30.8218
41.6181,	43.3102
41.9511,	61.3115
42.284,	72.9299
42.6169,	74.5111
42.9499,	68.8665
43.2828,	59.7029
43.6158,	46.7283
43.9487,	31.7035
44.2817,	27.6957
44.6146,	38.2864
44.9476,	50.9373
45.2805,	57.4339
45.6135,	54.0071
45.9464,	47.557
46.2793,	46.6521
46.6123,	48.7882
46.9452,	54.7319
47.2782,	63.4913
47.6111,	65.7926
47.9441,	61.6156
48.277,	52.7732
48.61,	40.6765
48.9429,	28.6323
49.2758,	16.3444
49.6088,	7.4262
49.9417,	10.7654
50.2747,	28.696
50.6076,	50.6264
50.9406,	61.6497
51.2735,	54.5663
51.6065,	39.6774
51.9394,	35.3989
52.2723,	43.2662
52.6053,	48.5831
52.9382,	42.5708
53.2712,	28.782
53.6041,	19.0908
53.9371,	18.0063
54.27,	19.1226
54.603,	19.9557
54.9359,	22.528
55.2689,	29.9348
55.6018,	40.1034
55.9347,	46.5646
56.2677,	45.9335
56.6006,	39.2533
56.9336,	36.7268
57.2665,	44.122
57.5995,	54.2528
57.9324,	60.903
58.2654,	58.5551
58.5983,	46.0655
58.9312,	35.648
59.2642,	34.0795
59.5971,	39.8072
59.9301,	48.8643
60.263,	52.1468
60.596,	45.5531
60.9289,	37.7468
61.2619,	34.9384
61.5948,	35.437
61.9278,	38.3628
62.2607,	38.4068
62.5936,	32.8927
62.9266,	29.9502
63.2595,	33.5915
63.5925,	43.7474
63.9254,	60.7911
64.2584,	73.4298
64.5913,	71.4593
64.9243,	56.3636
65.2572,	34.4811
65.5901,	16.4072
65.9231,	10.026
66.256,	11.2404
66.589,	13.7567
66.9219,	15.29
67.2549,	18.1211
67.5878,	26.736
67.9208,	37.8834
68.2537,	42.6181
68.5866,	37.9059
68.9196,	29.3398
69.2525,	23.7009
69.5855,	22.8105
69.9184,	25.827
70.2514,	32.5722
70.5843,	40.4094
70.9173,	43.5812
71.2502,	40.6897
71.5832,	38.3279
71.9161,	42.6053
