t,	etaU
0,	61.7412
0.332945,	51.1354
0.66589,	45.7339
0.998835,	47.3717
1.33178,	47.3717
1.66472,	45.7339
1.99767,	51.1354
2.33061,	61.7412
2.66356,	71.1593
2.9965,	72.2365
3.32945,	59.2906
3.66239,	40.2357
3.99534,	24.2445
4.32828,	16.3483
4.66123,	18.1417
4.99417,	24.5613
5.32712,	29.6142
5.66006,	31.3501
5.99301,	28.1978
6.32595,	21.6731
6.6589,	14.5322
6.99184,	12.0144
7.32479,	18.1756
7.65773,	28.9113
7.99068,	37.5725
8.32362,	41.461
8.65657,	41.6822
8.98951,	43.4009
9.32246,	46.5322
9.6554,	45.6364
9.98835,	40.6652
10.3213,	36.0905
10.6542,	35.8089
10.9872,	39.7965
11.3201,	40.974
11.6531,	35.1007
11.986,	25.3843
12.319,	18.0781
12.6519,	18.883
12.9849,	29.6716
13.3178,	45.3188
13.6507,	54.2161
13.9837,	50.7192
14.3166,	39.6799
14.6496,	28.7766
14.9825,	22.7781
15.3155,	22.446
15.6484,	27.2007
15.9814,	36.5757
16.3143,	44.822
16.6472,	44.3111
16.9802,	34.6039
17.3131,	26.1759
17.6461,	25.8743
17.979,	29.2023
18.312,	29.6872
18.6449,	24.4878
18.9779,	19.6059
19.3108,	25.1374
19.6437,	41.547
19.9767,	59.9795
20.3096,	69.6888
20.6426,	68.2227
20.9755,	62.2131
21.3085,	56.117
21.6414,	52.6636
21.9744,	51.6741
22.3073,	51.9617
22.6403,	53.657
22.9732,	54.0114
23.3061,	54.9941
23.6391,	61.7483
23.972,	72.0083
24.305,	78.7882
24.6379,	76.2502
24.9709,	67.3318
25.3038,	60.4178
25.6368,	55.0483
25.9697,	46.1554
26.3026,	34.8358
26.6356,	26.5887
26.9685,	26.9146
27.3015,	36.7714
27.6344,	54.7941
27.9674,	74.8148
28.3003,	87.4243
28.6333,	88.0077
28.9662,	76.3697
29.2992,	57.2455
29.6321,	38.0359
29.965,	23.0993
30.298,	18.7085
30.6309,	25.3819
30.9639,	31.7861
31.2968,	30.6605
31.6298,	24.9768
31.9627,	24.406
32.2957,	32.1373
32.6286,	38.6387
32.9615,	37.4368
33.2945,	30.217
33.6274,	21.5101
33.9604,	17.4595
34.2933,	19.1334
34.6263,	22.2321
34.9592,	22.8708
35.2922,	25.786
35.6251,	34.3705
35.958,	43.9112
36.291,	54.6586
36.6239,	63.6354
36.9569,	65.6482
37.2898,	67.1059
37.6228,	71.3376
37.9557,	75.4565
38.2887,	76.5794
38.6216,	73.3097
38.9546,	71.6352
39.2875,	74.6854
39.6204,	75.4076
39.9534,	66.9748
40.2863,	55.41
40.6193,	52.9853
40.9522,	58.521
41.2852,	66.6669
41.6181,	74.5148
41.9511,	77.371
42.284,	71.7645
42.6169,	59.0769
42.9499,	48.6643
43.2828,	47.1893
43.6158,	47.3966
43.9487,	42.826
44.2817,	36.8671
44.6146,	32.6323
44.9476,	29.5335
45.2805,	26.007
45.6135,	25.2666
45.9464,	32.2031
46.2793,	43.5116
46.6123,	48.2893
46.9452,	43.1466
47.2782,	32.4377
47.6111,	24.4162
47.9441,	24.676
48.277,	30.6011
48.61,	37.9996
48.9429,	48.349
49.2758,	59.2215
49.6088,	63.0752
49.9417,	60.653
50.2747,	54.2945
50.6076,	44.2746
50.9406,	34.414
51.2735,	24.7197
51.6065,	18.2567
51.9394,	24.183
52.2723,	37.7689
52.6053,	47.7328
52.9382,	50.3645
53.2712,	49.1507
53.6041,	48.9626
53.9371,	47.954
54.27,	40.9971
54.603,	32.6048
54.9359,	31.5315
55.2689,	37.6027
55.6018,	42.8256
55.9347,	39.7836
56.2677,	30.1201
56.6006,	23.155
56.9336,	22.829
57.2665,	25.4713
57.5995,	26.73
57.9324,	25.5143
58.2654,	25.8249
58.5983,	28.4796
58.9312,	31.6752
59.2642,	34.0086
59.5971,	39.7738
59.9301,	57.3016
60.263,	79.613
60.596,	90.9169
60.9289,	85.2307
61.2619,	73.3952
61.5948,	68.4169
61.9278,	65.9457
62.2607,	59.702
62.5936,	51.2274
62.9266,	45.6135
63.2595,	48.7234
63.5925,	54.146
63.9254,	52.4378
64.2584,	51.0784
64.5913,	58.0273
64.9243,	69.0374
65.2572,	76.5016
65.5901,	78.3229
65.9231,	78.746
66.256,	80.057
66.589,	75.3567
66.9219,	60.507
67.2549,	45.1577
67.5878,	39.2655
67.9208,	44.8473
68.2537,	57.5278
68.5866,	73.9802
68.9196,	91.8052
69.2525,	100
69.5855,	92.9914
69.9184,	78.4064
70.2514,	65.7705
70.5843,	63.8703
70.9173,	74.4669
71.2502,	87.5213
71.5832,	94.9125
71.9161,	92.0184
72.249,	77.0035
72.582,	56.6154
72.9149,	39.0826
73.2479,	32.733
73.5808,	39.5603
73.9138,	47.981
74.2467,	46.4483
74.5797,	37.1098
74.9126,	29.0189
75.2455,	25.9015
75.5785,	23.3174
75.9114,	25.5187
76.2444,	39.0033
76.5773,	56.0216
76.9103,	61.6686
77.2432,	49.8224
77.5762,	30.9257
77.9091,	19.9513
78.2421,	19.3104
78.575,	22.3441
78.9079,	30.1962
79.2409,	43.8431
79.5738,	54.8072
79.9068,	54.654
80.2397,	43.2595
80.5727,	29.1644
80.9056,	21.6479
81.2386,	19.1842
81.5715,	16.2483
81.9044,	13.1473
82.2374,	12.4909
82.5703,	17.7612
82.9033,	26.3654
83.2362,	33.2158
83.5692,	37.9411
83.9021,	40.0153
84.2351,	41.0589
84.568,	46.7222
84.9009,	57.1918
85.2339,	68.0097
85.5668,	72.3528
85.8998,	65.2754
86.2327,	51.6081
86.5657,	41.8932
86.8986,	41.9286
87.2316,	49.4571
87.5645,	59.9822
87.8975,	65.4259
88.2304,	60.9077
88.5633,	50.3842
88.8963,	37.9139
89.2292,	25.7956
89.5622,	18.4272
89.8951,	18.1717
90.2281,	25.4108
90.561,	36.5932
90.894,	43.7586
91.2269,	42.5992
91.5598,	35.8551
91.8928,	29.1121
92.2257,	23.8594
92.5587,	21.0548
92.8916,	23.8503
93.2246,	30.2974
93.5575,	35.426
93.8905,	35.5056
94.2234,	30.0539
94.5564,	23.8217
94.8893,	20.7138
95.2222,	19.3438
95.5552,	19.2778
95.8881,	21.1106
96.2211,	24.5686
96.554,	27.6493
96.887,	28.2283
97.2199,	27.094
97.5529,	23.7925
97.8858,	18.5658
98.2187,	14.6959
98.5517,	13.7417
98.8846,	15.5269
99.2176,	18.3383
99.5505,	19.1997
99.8835,	17.4671
100.216,	14.1017
100.549,	10.5055
100.882,	9.28371
101.215,	11.5717
101.548,	17.776
101.881,	26.4369
102.214,	32.2262
102.547,	31.6216
102.88,	26.9321
103.213,	22.6185
103.546,	24.3588
103.879,	32.799
104.212,	40.9931
104.545,	44.2346
104.878,	40.6924
105.211,	31.6525
105.544,	23.6373
105.876,	20.0008
106.209,	17.8027
106.542,	16.9015
106.875,	16.7077
107.208,	16.4781
107.541,	17.6423
107.874,	18.7663
108.207,	19.1778
108.54,	20.7487
108.873,	24.138
109.206,	27.9966
