t,	etaU
0,	75.401
0.332945,	72.164
0.66589,	62.2768
0.998835,	54.2669
1.33178,	54.2669
1.66472,	62.2768
1.99767,	72.164
2.33061,	75.401
2.66356,	69.6464
2.9965,	65.6525
3.32945,	71.3228
3.66239,	79.3164
3.99534,	80.6018
4.32828,	70.949
4.66123,	59.3775
4.99417,	67.6776
5.32712,	89.618
5.66006,	100
5.99301,	89.6608
6.32595,	64.624
6.6589,	45.7905
6.99184,	45.9794
7.32479,	54.7065
7.65773,	61.292
7.99068,	58.2245
8.32362,	50.3568
8.65657,	50.1424
8.98951,	56.6407
9.32246,	63.3858
9.6554,	65.7035
9.98835,	61.6061
10.3213,	55.3592
10.6542,	48.9964
10.9872,	44.3224
11.3201,	44.2195
11.6531,	53.8129
11.986,	71.4895
12.319,	82.5083
12.6519,	77.6708
12.9849,	63.8174
13.3178,	54.1398
13.6507,	55.7576
13.9837,	62.6968
14.3166,	67.4588
14.6496,	69.7982
14.9825,	75.868
15.3155,	84.6447
15.6484,	83.8612
15.9814,	71.1321
16.3143,	54.247
16.6472,	37.7496
16.9802,	26.055
17.3131,	20.9935
17.6461,	20.2286
17.979,	24.7399
18.312,	32.9225
18.6449,	37.4289
18.9779,	36.1128
19.3108,	36.7388
19.6437,	44.2729
19.9767,	59.5168
20.3096,	77.0059
20.6426,	84.1231
20.9755,	73.9325
21.3085,	53.5294
21.6414,	36.5941
21.9744,	35.3519
22.3073,	48.0795
22.6403,	60.6873
22.9732,	67.4499
23.3061,	69.4435
23.6391,	66.8573
23.972,	63.7552
24.305,	61.6625
24.6379,	57.0985
24.9709,	48.2536
25.3038,	40.4613
25.6368,	41.9043
25.9697,	48.9149
26.3026,	49.5642
26.6356,	38.6659
26.9685,	25.5682
27.3015,	23.7465
27.6344,	29.099
27.9674,	29.1711
28.3003,	22.132
28.6333,	16.6759
28.9662,	20.3548
29.2992,	28.4306
29.6321,	33.2478
29.965,	34.6278
30.298,	35.3082
30.6309,	36.5556
30.9639,	34.4843
31.2968,	27.7257
31.6298,	23.4283
31.9627,	25.1256
32.2957,	28.5834
32.6286,	29.3
32.9615,	26.0502
33.2945,	20.5665
33.6274,	19.1676
33.9604,	25.8707
34.2933,	36.5011
34.6263,	42.1383
34.9592,	36.834
35.2922,	23.7469
35.6251,	15.6967
35.958,	18.4415
36.291,	25.6085
36.6239,	32.5734
36.9569,	40.264
37.2898,	52.1801
37.6228,	64.5471
37.9557,	66.1836
38.2887,	55.4628
38.6216,	40.7239
38.9546,	30.6581
39.2875,	27.8675
39.6204,	31.0719
39.9534,	40.4296
40.2863,	50.0659
40.6193,	49.7636
40.9522,	40.4338
41.2852,	32.9453
41.6181,	36.361
41.9511,	50.3123
42.284,	65.5597
42.6169,	73.5918
42.9499,	71.6949
43.2828,	63.1422
43.6158,	52.7881
43.9487,	44.8886
44.2817,	38.0648
44.6146,	29.1664
44.9476,	23.6336
45.2805,	27.5891
45.6135,	36.3273
45.9464,	40.7145
46.2793,	37.5267
46.6123,	31.6347
46.9452,	28.2292
47.2782,	28.1908
47.6111,	32.7995
47.9441,	43.0303
48.277,	55.5727
48.61,	63.2514
48.9429,	61.324
49.2758,	52.9631
49.6088,	44.8014
49.9417,	40.1404
50.2747,	38.9325
50.6076,	41.0482
50.9406,	46.6524
51.2735,	53.6484
51.6065,	58.8853
51.9394,	62.5952
52.2723,	69.512
52.6053,	77.1138
52.9382,	82.1481
53.2712,	82.0081
53.6041,	75.0499
53.9371,	65.9877
54.27,	55.1542
54.603,	40.9707
54.9359,	29.6024
55.2689,	28.1864
55.6018,	36.304
55.9347,	44.449
56.2677,	44.1873
56.6006,	37.4724
56.9336,	30.0135
57.2665,	37.3057
57.5995,	59.047
57.9324,	77.8448
58.2654,	84.4039
58.5983,	77.9236
58.9312,	67.5686
59.2642,	61.1649
59.5971,	54.1543
59.9301,	46.553
60.263,	44.5185
60.596,	46.6567
60.9289,	56.0603
61.2619,	70.2923
61.5948,	77.8853
61.9278,	71.0988
62.2607,	50.149
62.5936,	27.5999
62.9266,	22.9868
63.2595,	34.9833
63.5925,	47.1791
63.9254,	59.4942
64.2584,	73.6572
64.5913,	82.6141
64.9243,	80.1252
65.2572,	64.7556
65.5901,	42.8197
65.9231,	26.6609
66.256,	23.5365
66.589,	29.7576
66.9219,	40.994
67.2549,	51.0786
67.5878,	51.2602
67.9208,	45.9417
68.2537,	52.4645
68.5866,	69.6035
68.9196,	86.3207
69.2525,	94.321
69.5855,	86.7501
69.9184,	70.2595
70.2514,	54.8768
70.5843,	43.0462
70.9173,	35.8749
71.2502,	33.9256
71.5832,	33.241
71.9161,	39.798
72.249,	54.686
72.582,	64.5257
72.9149,	59.6912
73.2479,	44.906
73.5808,	29.9134
73.9138,	23.7937
74.2467,	24.6576
74.5797,	24.9357
74.9126,	30.3042
75.2455,	43.6171
75.5785,	54.2522
75.9114,	54.5519
76.2444,	46.0431
76.5773,	33.7596
76.9103,	24.6291
77.2432,	19.1682
77.5762,	14.5669
77.9091,	15.1754
78.2421,	24.3352
78.575,	38.0677
78.9079,	49.0014
79.2409,	53.4821
79.5738,	51.2187
79.9068,	43.7554
80.2397,	34.8457
80.5727,	30.2832
80.9056,	31.3267
81.2386,	35.7342
81.5715,	39.469
81.9044,	39.1841
82.2374,	39.6716
82.5703,	45.6734
82.9033,	52.1771
83.2362,	52.985
83.5692,	46.3202
83.9021,	35.2155
84.2351,	29.1785
84.568,	39.2038
84.9009,	61.9739
85.2339,	78.0786
85.5668,	75.9448
85.8998,	59.0232
86.2327,	39.2942
86.5657,	27.0384
86.8986,	23.3043
87.2316,	24.3065
87.5645,	29.1892
87.8975,	35.9109
88.2304,	39.9099
88.5633,	38.3457
88.8963,	33.0827
89.2292,	27.4308
89.5622,	26.1249
89.8951,	30.7919
90.2281,	37.9411
90.561,	48.5348
90.894,	65.8918
91.2269,	83.8985
91.5598,	88.9895
91.8928,	78.3062
92.2257,	61.3513
92.5587,	46.6878
92.8916,	36.9935
93.2246,	31.7879
93.5575,	31.337
93.8905,	38.7706
94.2234,	50.0148
94.5564,	54.4679
94.8893,	48.6976
95.2222,	36.4528
95.5552,	24.3518
95.8881,	18.4901
96.2211,	22.9928
96.554,	36.7662
96.887,	55.6695
97.2199,	72.1947
97.5529,	78.257
97.8858,	77.2909
98.2187,	75.7579
98.5517,	70.0617
98.8846,	56.8303
99.2176,	40.9398
99.5505,	30.2503
99.8835,	29.6746
100.216,	33.7289
100.549,	34.8169
100.882,	32.5826
101.215,	29.8855
101.548,	27.5317
101.881,	24.6236
102.214,	21.5521
102.547,	20.0983
102.88,	21.5085
103.213,	27.1841
103.546,	36.9365
103.879,	44.1762
104.212,	43.8964
104.545,	36.6796
104.878,	25.7076
105.211,	17.3753
105.544,	17.3136
105.876,	24.6403
106.209,	35.1016
106.542,	43.2503
106.875,	45.4696
107.208,	43.344
107.541,	40.8523
107.874,	39.2992
108.207,	36.9499
108.54,	33.7666
108.873,	31.6422
109.206,	32.2928
109.539,	33.9092
109.872,	33.753
110.205,	34.1319
110.538,	36.3392
110.871,	37.1091
111.204,	33.6851
111.537,	27.0052
111.869,	21.4199
112.202,	24.2497
112.535,	35.2967
112.868,	45.9004
113.201,	52.654
113.534,	58.9924
113.867,	66.5021
114.2,	74.6751
114.533,	79.7876
114.866,	77.2337
115.199,	74.091
115.532,	75.1553
115.865,	74.9854
116.198,	70.5955
116.531,	62.4355
116.864,	51.6996
117.197,	40.4946
117.53,	29.4446
117.862,	21.0644
118.195,	18.2297
118.528,	20.9614
118.861,	28.6894
119.194,	40.5596
119.527,	52.8396
119.86,	57.0555
120.193,	49.0809
120.526,	34.4578
120.859,	22.7213
121.192,	19.3226
121.525,	24.3836
121.858,	32.3472
122.191,	37.9865
122.524,	40.4336
122.857,	40.7046
123.19,	42.8406
123.523,	48.3558
123.856,	50.7887
124.188,	47.2438
124.521,	40.0695
124.854,	31.1948
125.187,	26.0815
125.52,	25.2839
125.853,	27.1692
126.186,	33.1836
126.519,	38.8408
126.852,	40.1357
127.185,	40.5396
127.518,	40.961
127.851,	40.0732
128.184,	37.6199
128.517,	31.8611
128.85,	25.1413
129.183,	22.3858
129.516,	22.8725
129.849,	24.6255
130.181,	25.8547
130.514,	22.6541
130.847,	16.5409
131.18,	12.5549
131.513,	12.018
131.846,	18.0733
132.179,	34.7926
132.512,	56.6354
132.845,	69.9721
133.178,	65.7467
133.511,	48.9362
133.844,	32.7942
134.177,	26.8712
134.51,	30.4848
134.843,	35.7078
135.176,	37.4923
135.509,	36.7709
135.842,	35.5398
136.174,	35.8126
136.507,	35.7348
136.84,	29.2215
137.173,	20.7149
137.506,	18.546
137.839,	22.681
138.172,	29.7559
138.505,	43.2494
138.838,	62.8737
139.171,	79.8244
139.504,	84.0385
139.837,	73.1961
140.17,	55.8642
140.503,	41.8819
140.836,	34.2122
141.169,	33.0293
141.502,	36.8478
141.835,	38.5249
142.167,	39.761
142.5,	43.8747
142.833,	47.8936
143.166,	47.5752
143.499,	39.6358
143.832,	27.8694
144.165,	22.0196
144.498,	20.6069
144.831,	17.856
