t,	etaU
0,	31.492
0.332945,	28.1983
0.66589,	27.0753
0.998835,	28.0017
1.33178,	28.0017
1.66472,	27.0753
1.99767,	28.1983
2.33061,	31.492
2.66356,	33.0227
2.9965,	33.957
3.32945,	37.5112
3.66239,	41.9706
3.99534,	41.9544
4.32828,	37.0268
4.66123,	32.7489
4.99417,	36.9312
5.32712,	45.553
5.66006,	45.8962
5.99301,	36.7768
6.32595,	25.9869
6.6589,	19.4349
6.99184,	17.5966
7.32479,	18.3241
7.65773,	22.5686
7.99068,	32.0235
8.32362,	40.539
8.65657,	41.3517
8.98951,	35.3944
9.32246,	28.0928
9.6554,	23.1584
9.98835,	19.5094
10.3213,	15.4335
10.6542,	11.6972
10.9872,	10.456
11.3201,	14.1411
11.6531,	22.409
11.986,	29.8737
12.319,	30.5861
12.6519,	28.0973
12.9849,	29.0742
13.3178,	34.6
13.6507,	38.8918
13.9837,	35.7013
14.3166,	30.0297
14.6496,	29.0094
14.9825,	31.4031
15.3155,	33.9938
15.6484,	34.1973
15.9814,	33.2653
16.3143,	37.601
16.6472,	46.328
16.9802,	55.2392
17.3131,	58.3063
17.6461,	51.9193
17.979,	41.159
18.312,	30.4669
18.6449,	20.7953
18.9779,	14.481
19.3108,	12.0549
19.6437,	11.6351
19.9767,	12.5531
20.3096,	15.2294
20.6426,	21.12
20.9755,	31.3004
21.3085,	40.7172
21.6414,	42.3757
21.9744,	37.1876
22.3073,	29.7897
22.6403,	26.5654
22.9732,	29.7508
23.3061,	35.9968
23.6391,	42.3132
23.972,	45.1706
24.305,	41.4623
24.6379,	32.3067
24.9709,	20.654
25.3038,	12.9892
25.6368,	14.5065
25.9697,	25.5371
26.3026,	42.5078
26.6356,	54.6525
26.9685,	53.0099
27.3015,	42.2675
27.6344,	35.0875
27.9674,	36.4639
28.3003,	41.6425
28.6333,	44.1806
28.9662,	43.251
29.2992,	42.5136
29.6321,	41.2206
29.965,	35.9852
30.298,	29.1059
30.6309,	24.7633
30.9639,	22.7881
31.2968,	23.6488
31.6298,	26.0569
31.9627,	25.5311
32.2957,	21.9494
32.6286,	19.3978
32.9615,	21.1893
33.2945,	26.8003
33.6274,	31.3339
33.9604,	34.0978
34.2933,	38.7177
34.6263,	44.01
34.9592,	46.2803
35.2922,	42.9003
35.6251,	38.571
35.958,	39.6071
36.291,	46.4519
36.6239,	57.6985
36.9569,	69.681
37.2898,	75.0335
37.6228,	70.0776
37.9557,	55.9108
38.2887,	40.6945
38.6216,	31.8386
38.9546,	26.8571
39.2875,	23.1445
39.6204,	21.0904
39.9534,	21.4476
40.2863,	23.6994
40.6193,	25.6742
40.9522,	25.2115
41.2852,	23.9564
41.6181,	23.9794
41.9511,	26.8811
42.284,	32.9884
42.6169,	40.7326
42.9499,	46.6009
43.2828,	46.2612
43.6158,	38.6864
43.9487,	28.2515
44.2817,	20.1882
44.6146,	17.5402
44.9476,	21.9188
45.2805,	31.8463
45.6135,	41.6039
45.9464,	43.9442
46.2793,	37.5896
46.6123,	27.109
46.9452,	19.0226
47.2782,	17.1136
47.6111,	17.5901
47.9441,	16.7572
48.277,	16.1916
48.61,	17.4693
48.9429,	21.3167
49.2758,	29.7295
49.6088,	40.2612
49.9417,	45.4265
50.2747,	45.3687
50.6076,	45.9597
50.9406,	47.8155
51.2735,	49.6279
51.6065,	46.8972
51.9394,	38.1709
52.2723,	30.3075
52.6053,	25.9321
52.9382,	23.262
53.2712,	23.4331
53.6041,	25.9642
53.9371,	31.7471
54.27,	40.775
54.603,	48.724
54.9359,	51.759
55.2689,	46.5963
55.6018,	34.3969
55.9347,	26.4408
56.2677,	29.0207
56.6006,	37.9913
56.9336,	45.9157
57.2665,	46.6836
57.5995,	42.1089
57.9324,	36.8887
58.2654,	32.8571
58.5983,	30.1215
58.9312,	28.0606
59.2642,	25.9477
59.5971,	24.6833
59.9301,	24.2787
60.263,	24.8858
60.596,	24.3561
60.9289,	23.2337
61.2619,	24.8798
61.5948,	34.4486
61.9278,	50.5772
62.2607,	62.7698
62.5936,	64.4021
62.9266,	56.634
63.2595,	45.763
63.5925,	38.9906
63.9254,	37.5728
64.2584,	37.611
64.5913,	35.6836
64.9243,	30.6788
65.2572,	26.1851
65.5901,	24.7908
65.9231,	26.1944
66.256,	27.7451
66.589,	27.455
66.9219,	28.7216
67.2549,	33.9634
67.5878,	39.733
67.9208,	40.6249
68.2537,	35.281
68.5866,	27.6258
68.9196,	22.6568
69.2525,	24.6632
69.5855,	30.969
69.9184,	37.0687
70.2514,	43.7423
70.5843,	48.3959
70.9173,	51.2587
71.2502,	54.9017
71.5832,	53.9259
71.9161,	46.5913
72.249,	38.1449
72.582,	31.1351
72.9149,	27.1647
73.2479,	24.8702
73.5808,	21.6332
73.9138,	20.7187
74.2467,	24.2798
74.5797,	26.0177
74.9126,	22.298
75.2455,	16.6829
75.5785,	12.1503
75.9114,	12.1374
76.2444,	17.0695
76.5773,	21.5269
76.9103,	23.7536
