t,	etaU
97.5529,	3.66724
97.8858,	3.64627
98.2187,	4.60143
98.5517,	5.37209
98.8846,	5.18039
99.2176,	4.24528
99.5505,	3.18555
99.8835,	2.65137
100.216,	2.77764
100.549,	2.994
100.882,	2.89376
101.215,	2.50023
101.548,	1.80836
101.881,	1.29108
102.214,	1.45775
102.547,	2.18626
102.88,	2.98792
103.213,	3.47272
103.546,	3.56204
103.879,	3.44554
104.212,	3.30578
104.545,	3.34636
104.878,	3.60403
105.211,	3.72745
105.544,	3.561
105.876,	3.16414
106.209,	2.7432
106.542,	2.81721
106.875,	3.09956
107.208,	2.98146
107.541,	3.1002
107.874,	3.64362
108.207,	4.18124
108.54,	4.36272
108.873,	3.61356
109.206,	2.19623
109.539,	1.18177
109.872,	0.822133
110.205,	1.03599
110.538,	1.60595
110.871,	1.94842
111.204,	1.8918
111.537,	1.60467
111.869,	1.39514
112.202,	1.60495
112.535,	2.29012
112.868,	2.9478
113.201,	3.41264
113.534,	3.79218
113.867,	4.28911
114.2,	4.89206
114.533,	4.96252
114.866,	4.01408
115.199,	2.72167
115.532,	1.87204
115.865,	1.64314
116.198,	1.85154
116.531,	2.41347
116.864,	3.30397
117.197,	3.93207
117.53,	3.65262
117.862,	2.5634
118.195,	1.50558
118.528,	0.988013
118.861,	0.93546
119.194,	1.0583
119.527,	1.19986
119.86,	1.48776
120.193,	1.82107
120.526,	1.85176
120.859,	1.55116
121.192,	1.19398
121.525,	1.15441
121.858,	1.52918
122.191,	1.94067
122.524,	2.32392
122.857,	2.83195
123.19,	3.16575
123.523,	2.91076
123.856,	2.03016
124.188,	1.0396
124.521,	0.523143
124.854,	0.583504
125.187,	0.964364
125.52,	1.45184
125.853,	1.8578
126.186,	2.1347
126.519,	2.37774
126.852,	2.67032
127.185,	3.04407
127.518,	3.31785
127.851,	3.45832
128.184,	3.53315
128.517,	3.35057
128.85,	2.85404
129.183,	2.35983
129.516,	2.20628
129.849,	2.47476
130.181,	2.7747
130.514,	2.67437
130.847,	2.24215
131.18,	1.81714
131.513,	1.60538
131.846,	1.41413
132.179,	1.16391
132.512,	1.07436
132.845,	1.31563
133.178,	1.7884
133.511,	2.37624
133.844,	2.84606
134.177,	3.01788
134.51,	2.98631
134.843,	2.88987
135.176,	2.87048
135.509,	3.02976
135.842,	3.23205
136.174,	3.35037
136.507,	3.33975
136.84,	3.14746
137.173,	3.03977
137.506,	3.10436
137.839,	3.39748
138.172,	3.70006
138.505,	3.70905
138.838,	3.73708
139.171,	3.92247
139.504,	3.82465
139.837,	3.18626
140.17,	2.27142
140.503,	1.76439
140.836,	2.01857
141.169,	2.55266
141.502,	2.89081
141.835,	3.07047
142.167,	3.17958
142.5,	2.95949
142.833,	2.27293
143.166,	1.46608
143.499,	1.02413
143.832,	1.09571
144.165,	1.46776
144.498,	1.95002
144.831,	2.36091
145.164,	2.49355
145.497,	2.28083
145.83,	1.99486
146.163,	2.02154
146.496,	2.18836
146.829,	2.07515
147.162,	1.67694
147.495,	1.33037
147.828,	1.38513
148.16,	1.68962
148.493,	1.73796
148.826,	1.4167
149.159,	1.05072
149.492,	1.0058
149.825,	1.24915
150.158,	1.42613
150.491,	1.53274
150.824,	1.95938
151.157,	2.78738
151.49,	3.46822
151.823,	3.4311
152.156,	2.86221
152.489,	2.44601
152.822,	2.70836
153.155,	3.54847
153.488,	4.25871
153.821,	4.36734
154.153,	4.09639
154.486,	3.68176
154.819,	3.35936
155.152,	3.17504
155.485,	3.00183
155.818,	2.88975
156.151,	2.9103
156.484,	3.0394
156.817,	3.46313
157.15,	4.04207
157.483,	4.06585
157.816,	3.43212
158.149,	2.78272
158.482,	2.51512
158.815,	2.37691
159.148,	1.92375
159.481,	1.1752
159.814,	0.784267
160.146,	1.05918
160.479,	1.64442
160.812,	2.02791
161.145,	2.1963
161.478,	2.41274
161.811,	2.63037
162.144,	2.70895
162.477,	2.46405
162.81,	2.10748
163.143,	2.37431
163.476,	3.26554
163.809,	4.28692
164.142,	4.94802
164.475,	4.69835
164.808,	3.65242
165.141,	2.38118
165.474,	1.51127
165.807,	1.41008
166.14,	1.73777
166.472,	1.94914
166.805,	1.82702
167.138,	1.50498
167.471,	1.2445
167.804,	1.03938
168.137,	0.873325
168.47,	0.801992
168.803,	0.8564
169.136,	1.02842
169.469,	1.11575
169.802,	1.01552
170.135,	0.933009
170.468,	1.00788
170.801,	1.18196
171.134,	1.55032
171.467,	2.11014
171.8,	2.54388
172.133,	2.60124
172.465,	2.1631
172.798,	1.47147
173.131,	0.985616
173.464,	0.828576
173.797,	0.857207
174.13,	0.970834
174.463,	1.22611
174.796,	1.58584
175.129,	1.8209
175.462,	1.84944
175.795,	1.79179
176.128,	1.76176
176.461,	1.85439
176.794,	1.92252
177.127,	1.89029
177.46,	1.86407
177.793,	1.8042
178.126,	1.70905
178.458,	1.65195
178.791,	1.72023
179.124,	1.84758
179.457,	1.87516
179.79,	1.77422
180.123,	1.58394
180.456,	1.36252
180.789,	1.35608
181.122,	1.52964
181.455,	1.62629
181.788,	1.52459
182.121,	1.33244
182.454,	1.27168
182.787,	1.315
183.12,	1.44561
183.453,	1.62417
183.786,	1.74501
184.119,	2.08279
184.451,	2.74806
184.784,	3.31367
185.117,	3.37824
185.45,	2.93374
185.783,	2.43994
186.116,	2.301
186.449,	2.22024
186.782,	2.04494
187.115,	2.10629
187.448,	2.52386
187.781,	2.87752
188.114,	2.71333
188.447,	2.2564
188.78,	1.95751
189.113,	1.78671
189.446,	1.46843
189.779,	1.01405
190.112,	0.647059
190.444,	0.577358
190.777,	0.834447
191.11,	1.3625
191.443,	1.83949
191.776,	1.91749
192.109,	1.6064
192.442,	1.46338
192.775,	1.84243
193.108,	2.26598
193.441,	2.24185
193.774,	1.85287
194.107,	1.49032
194.44,	1.56046
194.773,	1.80454
195.106,	1.72894
195.439,	1.51326
195.772,	1.39176
196.105,	1.5619
196.437,	2.01578
196.77,	2.20773
197.103,	2.0742
197.436,	2.13025
197.769,	2.66489
198.102,	3.43439
198.435,	3.78863
198.768,	3.50139
199.101,	2.87932
199.434,	2.14475
199.767,	1.50662
200.1,	1.10295
200.433,	1.0484
200.766,	1.42644
201.099,	1.91212
201.432,	2.28158
201.765,	2.48274
202.098,	2.50065
202.43,	2.35562
202.763,	2.19804
203.096,	2.25416
203.429,	2.50088
203.762,	2.67149
204.095,	2.48526
204.428,	1.94712
204.761,	1.49185
205.094,	1.52156
205.427,	1.84167
205.76,	2.29917
206.093,	3.05728
206.426,	4.09014
206.759,	4.85244
207.092,	4.70114
207.425,	3.55269
207.758,	2.43187
208.091,	2.45267
208.424,	3.20945
208.756,	4.00305
209.089,	4.67715
209.422,	5.07689
209.755,	5.26255
210.088,	4.98678
210.421,	4.23792
210.754,	3.7446
211.087,	4.04721
211.42,	5.04551
211.753,	6.16524
212.086,	7.17645
212.419,	8.00864
212.752,	7.96636
213.085,	6.92512
213.418,	5.23907
213.751,	3.54405
214.084,	2.97204
214.417,	3.34203
214.749,	3.73199
215.082,	3.81762
215.415,	3.4384
215.748,	2.67277
216.081,	2.02351
216.414,	1.65233
216.747,	1.82771
217.08,	2.57729
217.413,	3.1626
217.746,	3.32383
218.079,	3.33287
218.412,	3.25563
218.745,	3.13591
219.078,	2.7274
219.411,	1.99239
219.744,	1.87269
220.077,	2.51142
220.41,	3.0337
220.742,	2.86639
221.075,	2.14631
221.408,	1.50993
221.741,	1.39185
222.074,	1.63875
222.407,	1.94727
222.74,	2.21101
223.073,	2.37598
223.406,	2.3321
223.739,	2.09428
224.072,	1.96436
224.405,	2.06887
224.738,	2.58822
225.071,	3.46972
225.404,	4.12828
225.737,	4.25479
226.07,	4.15538
226.403,	4.16152
226.735,	4.1187
227.068,	3.6548
227.401,	2.89115
227.734,	2.38239
228.067,	2.41879
228.4,	2.54764
228.733,	2.21823
229.066,	1.54655
229.399,	0.917386
229.732,	0.767325
230.065,	1.17978
230.398,	1.69899
230.731,	2.08622
231.064,	2.40003
231.397,	2.56413
231.73,	2.53145
232.063,	2.19425
232.396,	1.6122
232.728,	1.18263
233.061,	1.0201
233.394,	0.985374
233.727,	1.00708
234.06,	0.977919
234.393,	0.938571
234.726,	1.01222
235.059,	1.15302
235.392,	1.38063
235.725,	1.5812
236.058,	1.57351
236.391,	1.3688
236.724,	0.992144
237.057,	0.701212
237.39,	0.827319
237.723,	1.17198
238.056,	1.44188
238.389,	1.50555
238.721,	1.29567
239.054,	0.989349
239.387,	0.71934
239.72,	0.502577
240.053,	0.478557
240.386,	0.637987
240.719,	0.81266
241.052,	0.949043
241.385,	1.04963
241.718,	1.17967
242.051,	1.28927
242.384,	1.29049
242.717,	1.27202
243.05,	1.29242
243.383,	1.27472
243.716,	1.40159
244.049,	1.70017
244.382,	1.91901
244.714,	1.95338
245.047,	1.72397
245.38,	1.3538
245.713,	1.11121
246.046,	0.886854
246.379,	0.733352
246.712,	0.882248
247.045,	1.1191
247.378,	1.22827
247.711,	1.15641
248.044,	0.964873
248.377,	0.822419
248.71,	0.720156
249.043,	0.649348
249.376,	0.717146
249.709,	0.95223
250.042,	1.28871
250.375,	1.54105
250.708,	1.57378
251.04,	1.52808
251.373,	1.55648
251.706,	1.62299
252.039,	1.68297
