t	etaU
0	6.88812e-15
0.555556	2.09202
1.11111	2.38956
1.66667	1.23935
2.22222	0.690977
2.77778	2.28031
3.33333	0.044394
3.88889	0.591654
4.44444	0.279847
5	0.39189
5.55556	2.02872
6.11111	0.979547
6.66667	1.78797
7.22222	1.64526
7.77778	2.32466
8.33333	1.0204
8.88889	3.03335
9.44444	1.24243
10	1.17349
10.5556	0.562237
11.1111	0.400649
11.6667	1.52272
12.2222	0.670248
12.7778	2.27056
13.3333	1.99491
13.8889	1.45578
14.4444	2.09246
15	2.09961
15.5556	1.01643
16.1111	0.160547
16.6667	1.91748
17.2222	0.441039
17.7778	0.753764
18.3333	0.318491
18.8889	1.16135
19.4444	1.35442
20	0.854203
20.5556	1.16472
21.1111	0.842139
21.6667	1.084
22.2222	1.07911
22.7778	0.394679
23.3333	0.348632
23.8889	0.40856
24.4444	1.25531
25	2.24714
25.5556	0.282127
26.1111	0.95042
26.6667	0.58815
27.2222	0.116147
27.7778	1.41263
28.3333	0.724534
28.8889	1.4779
29.4444	0.571877
30	0.959377
30.5556	1.38058
31.1111	2.44756
31.6667	0.989371
32.2222	0.556192
32.7778	2.44371
33.3333	1.20144
33.8889	0.227546
34.4444	1.93624
35	0.281435
35.5556	0.128098
36.1111	1.93734
36.6667	1.36624
37.2222	0.400081
37.7778	1.97223
38.3333	1.61848
38.8889	0.173924
39.4444	0.229739
40	1.81062
40.5556	0.173962
41.1111	2.12854
41.6667	0.410507
42.2222	1.17408
42.7778	0.131267
43.3333	2.08154
43.8889	2.84284
44.4444	1.60468
45	0.951183
45.5556	0.298637
46.1111	1.79388
46.6667	0.93255
47.2222	0.27601
47.7778	1.85906
48.3333	1.22545
48.8889	0.416276
49.4444	1.15175
50	0.262122
50.5556	0.498944
51.1111	1.55814
51.6667	0.541952
52.2222	0.408338
52.7778	0.4952
53.3333	1.92989
53.8889	0.383996
54.4444	2.79866
55	2.50035
55.5556	1.14963
56.1111	0.988119
56.6667	0.493269
57.2222	0.197885
57.7778	0.456398
58.3333	1.34904
58.8889	0.625746
59.4444	1.77031
60	0.958471
60.5556	0.000586144
61.1111	0.629926
61.6667	2.92862
62.2222	0.231234
62.7778	0.643051
63.3333	1.54137
63.8889	1.39493
64.4444	2.84745
65	1.1765
65.5556	2.64421
66.1111	0.218051
66.6667	0.570853
67.2222	0.157684
67.7778	0.623335
68.3333	1.73499
68.8889	0.0914905
69.4444	0.938866
70	1.97559
70.5556	2.03974
71.1111	0.704363
71.6667	2.19276
72.2222	1.15771
72.7778	1.14634
73.3333	0.869957
73.8889	0.330176
74.4444	0.910687
75	1.06649
75.5556	0.414359
76.1111	0.746055
76.6667	0.584636
77.2222	0.798202
77.7778	0.142191
78.3333	0.691097
78.8889	1.06031
79.4444	0.208587
80	0.263843
80.5556	1.23311
81.1111	1.16648
81.6667	0.641645
82.2222	0.182678
82.7778	0.647745
83.3333	0.141526
83.8889	0.427548
84.4444	1.88668
85	0.266169
85.5556	0.700846
86.1111	0.195851
86.6667	1.04531
87.2222	0.62444
87.7778	0.0880389
88.3333	0.00670398
88.8889	0.0802795
89.4444	0.00125604
90	0.435201
90.5556	1.17665
91.1111	0.574805
91.6667	0.792186
92.2222	0.596285
92.7778	0.575498
93.3333	0.895372
93.8889	0.974665
94.4444	2.06346
95	0.628149
95.5556	0.0838268
96.1111	0.786452
96.6667	1.35676
97.2222	0.341518
97.7778	2.20871
98.3333	0.197923
98.8889	0.3305
99.4444	0.415136
100	0.198696
100.556	1.5848
101.111	0.151122
101.667	1.52326
102.222	1.09594
102.778	0.69576
103.333	0.47735
103.889	0.0478885
104.444	0.0279453
105	0.992145
105.556	1.22314
106.111	0.174047
106.667	1.88135
107.222	0.228521
107.778	1.05947
108.333	0.518135
108.889	0.0116907
109.444	0.276958
110	0.611821
110.556	1.08018
111.111	1.40305
111.667	0.736625
112.222	0.447602
112.778	0.132398
113.333	0.701778
113.889	0.371005
114.444	0.716331
115	1.35372
115.556	0.271626
116.111	0.0589103
116.667	1.38128
117.222	0.0769047
117.778	0.555619
118.333	0.369509
118.889	0.653224
119.444	0.0843818
120	0.325799
120.556	1.0691
121.111	0.473725
121.667	0.62619
122.222	0.264096
122.778	0.581503
123.333	1.03946
123.889	0.0380633
124.444	0.179905
125	0.375025
125.556	0.0508247
126.111	0.260248
126.667	0.0402539
127.222	0.269632
127.778	0.0280172
128.333	0.204936
128.889	0.310729
129.444	0.97871
130	0.192312
130.556	0.561751
131.111	0.069213
131.667	0.132448
132.222	0.590186
132.778	0.791019
133.333	0.0979662
133.889	0.0682152
134.444	0.692563
135	0.0579126
135.556	1.00258
136.111	0.28328
136.667	0.0690343
137.222	0.0740003
137.778	1.50711
138.333	0.431104
138.889	0.162979
139.444	0.748769
140	0.177765
140.556	0.781827
141.111	0.54921
141.667	0.382415
142.222	0.843548
142.778	0.52326
143.333	0.0749352
143.889	0.0416637
144.444	0.396508
145	0.403579
145.556	0.0365246
146.111	0.55251
146.667	0.136129
147.222	0.720088
147.778	0.134068
148.333	0.889868
148.889	0.610088
149.444	0.160847
150	0.238471
150.556	0.367048
151.111	0.173806
151.667	0.101743
152.222	0.00834266
152.778	0.567679
153.333	0.0177658
153.889	0.439816
154.444	1.53533
155	0.0113197
155.556	0.472287
156.111	0.671308
156.667	0.0229186
157.222	0.821721
157.778	0.0692054
158.333	0.0951213
158.889	0.263046
159.444	0.993609
160	0.148812
160.556	0.00918405
161.111	0.331468
161.667	0.41611
162.222	0.703124
162.778	0.120213
163.333	0.0394819
163.889	1.4033
164.444	0.529242
165	0.235651
165.556	0.875696
166.111	0.60325
166.667	0.481892
167.222	0.241684
167.778	1.21204
168.333	0.507834
168.889	0.215818
169.444	0.0451722
170	0.243583
170.556	0.172802
171.111	0.573149
171.667	0.539838
172.222	1.81095
172.778	0.0760061
173.333	0.407083
173.889	0.472449
174.444	0.137795
175	0.457108
175.556	0.251522
176.111	0.355578
176.667	0.555948
177.222	0.706075
177.778	0.734398
178.333	0.0896334
178.889	0.318788
179.444	0.264523
180	0.655391
