t,	etaU
0,	7.04447
0.554477,	5.97598
1.10895,	4.06195
1.66343,	2.83804
2.21791,	2.83804
2.77239,	4.06195
3.32686,	5.97598
3.88134,	7.04447
4.43582,	6.88482
4.9903,	5.93684
5.54477,	4.95652
6.09925,	4.71959
6.65373,	5.42202
7.20821,	6.31374
7.76268,	6.68653
8.31716,	6.91989
8.87164,	7.44449
9.42612,	7.77091
9.98059,	7.43619
10.5351,	6.51096
11.0895,	6.1683
11.644,	7.94974
12.1985,	11.1806
12.753,	13.6154
13.3075,	13.4726
13.8619,	10.8779
14.4164,	7.66558
14.9709,	5.34153
15.5254,	4.48259
16.0798,	4.9335
16.6343,	5.9451
17.1888,	6.81166
17.7433,	7.43665
18.2978,	7.59863
18.8522,	7.25643
19.4067,	6.49347
19.9612,	5.59907
20.5157,	5.07533
21.0701,	4.89365
21.6246,	4.75513
22.1791,	5.06411
22.7336,	5.89421
23.2881,	6.66745
23.8425,	6.79682
24.397,	6.1604
24.9515,	5.45902
25.506,	5.14218
26.0604,	5.02941
26.6149,	5.15657
27.1694,	5.26395
27.7239,	4.7049
28.2783,	3.84787
28.8328,	3.53035
29.3873,	4.25416
29.9418,	5.62241
30.4963,	6.40174
31.0507,	6.17824
31.6052,	5.4636
32.1597,	4.86925
32.7142,	5.34939
33.2686,	6.59142
33.8231,	7.92046
34.3776,	8.95494
34.9321,	8.88193
35.4866,	7.73939
36.041,	6.09353
36.5955,	4.3768
37.15,	3.38185
37.7045,	3.13156
38.2589,	3.32906
38.8134,	4.14852
39.3679,	5.83622
39.9224,	8.13005
40.4769,	9.40766
41.0313,	8.98357
41.5858,	7.36009
42.1403,	5.33095
42.6948,	4.1888
43.2492,	3.99318
43.8037,	3.79705
44.3582,	3.7715
44.9127,	3.84947
45.4671,	3.58135
46.0216,	3.52882
46.5761,	3.99285
47.1306,	4.9937
47.6851,	7.3595
48.2395,	10.5357
48.794,	12.7312
49.3485,	13.4432
49.903,	12.6638
50.4574,	10.7253
51.0119,	8.55811
51.5664,	6.58911
52.1209,	5.08755
52.6754,	4.35819
53.2298,	4.68429
53.7843,	6.22325
54.3388,	8.13786
54.8933,	9.28823
55.4477,	9.69828
56.0022,	10.1618
56.5567,	10.8172
57.1112,	10.8288
57.6657,	10.165
58.2201,	9.51946
58.7746,	9.27206
59.3291,	9.40293
59.8836,	9.35735
60.438,	8.88099
60.9925,	8.16157
61.547,	6.78863
62.1015,	6.0235
62.6559,	7.75655
63.2104,	10.2543
63.7649,	11.4367
64.3194,	10.9879
64.8739,	9.48575
65.4283,	8.27411
65.9828,	7.66889
66.5373,	6.96605
67.0918,	6.46787
67.6462,	6.42031
68.2007,	8.06975
68.7552,	13.0196
69.3097,	20.4806
69.8642,	27.0165
70.4186,	34.4584
70.9731,	48.1436
71.5276,	70.2284
72.0821,	93.1736
72.6365,	100
73.191,	85.0772
73.7455,	60.5131
74.3,	38.7044
74.8544,	24.5975
75.4089,	17.6601
75.9634,	15.1013
76.5179,	16.2337
77.0724,	18.4219
77.6268,	19.0484
78.1813,	18.0118
78.7358,	16.3439
79.2903,	13.3259
79.8447,	8.32413
80.3992,	4.71846
80.9537,	4.62829
81.5082,	5.85576
82.0627,	6.39561
82.6171,	6.4016
83.1716,	6.67424
83.7261,	7.50605
84.2806,	7.93572
84.835,	7.27694
85.3895,	5.93379
85.944,	4.51236
86.4985,	4.05944
87.053,	5.19554
87.6074,	6.92547
88.1619,	8.37051
88.7164,	8.86025
89.2709,	8.02817
89.8253,	6.61079
90.3798,	4.89631
