t	etaU
0	1.90125e-14
0.555556	0.793827
1.11111	1.43629
1.66667	0.650276
2.22222	0.715752
2.77778	2.08235
3.33333	1.79308
3.88889	0.0152701
4.44444	2.03013
5	0.483023
5.55556	0.85285
6.11111	2.86654
6.66667	0.96473
7.22222	0.846563
7.77778	1.24416
8.33333	1.89451
8.88889	0.59757
9.44444	0.0596078
10	2.46788
10.5556	1.34058
11.1111	0.917333
11.6667	1.24448
12.2222	1.38532
12.7778	0.00108631
13.3333	0.0401475
13.8889	2.66197
14.4444	0.633843
15	2.19967
15.5556	1.09275
16.1111	1.41969
16.6667	1.31234
17.2222	0.159773
17.7778	1.02843
18.3333	1.69551
18.8889	0.15501
19.4444	1.72244
20	0.400068
20.5556	0.629697
21.1111	1.22931
21.6667	0.141202
22.2222	0.671221
22.7778	0.396099
23.3333	0.121632
23.8889	1.0207
24.4444	1.9386
25	1.94698
25.5556	0.927433
26.1111	0.119141
26.6667	0.9955
27.2222	0.53018
27.7778	0.855392
28.3333	0.225934
28.8889	0.417593
29.4444	1.16964
30	1.29287
30.5556	0.312327
31.1111	0.12859
31.6667	0.350335
32.2222	0.285453
32.7778	0.109379
33.3333	0.0933956
33.8889	0.297345
34.4444	1.97433
35	0.808758
35.5556	0.631754
36.1111	0.00342157
36.6667	0.385534
37.2222	0.133546
37.7778	0.253211
38.3333	0.402513
38.8889	0.186237
39.4444	0.186559
40	1.33775
40.5556	0.620312
41.1111	1.02869
41.6667	0.565839
42.2222	0.0730359
42.7778	0.870705
43.3333	0.942575
43.8889	0.236281
44.4444	1.26182
45	0.152115
45.5556	0.156243
46.1111	0.167508
46.6667	0.104521
47.2222	1.36198
47.7778	0.471667
48.3333	0.650852
48.8889	0.33959
49.4444	1.69593
50	0.323608
50.5556	1.5346
51.1111	0.987844
51.6667	0.468502
52.2222	0.337926
52.7778	0.360962
53.3333	0.247268
53.8889	0.939572
54.4444	0.281775
55	0.538368
55.5556	0.617366
56.1111	0.0282312
56.6667	0.582246
57.2222	0.784332
57.7778	0.194673
58.3333	0.499302
58.8889	0.331977
59.4444	0.0415465
60	1.03537
60.5556	0.0457851
61.1111	1.13307
61.6667	0.136168
62.2222	0.773704
62.7778	0.824254
63.3333	0.642615
63.8889	1.62138
64.4444	0.250458
65	0.197748
65.5556	0.661908
66.1111	0.396783
66.6667	0.107546
67.2222	0.526289
67.7778	1.52353
68.3333	1.11953
68.8889	0.227308
69.4444	0.303102
70	0.441651
70.5556	0.168327
71.1111	0.541271
71.6667	0.982929
72.2222	0.425616
72.7778	0.661192
73.3333	0.173245
73.8889	0.330157
74.4444	1.30423
75	0.00971466
75.5556	0.815272
76.1111	0.00345664
76.6667	1.1732
77.2222	0.801392
77.7778	0.637873
78.3333	0.174739
78.8889	1.47204
79.4444	1.75849
80	1.75888
80.5556	1.51857
81.1111	0.166189
81.6667	1.3543
82.2222	0.644268
82.7778	0.489617
83.3333	1.06754
83.8889	1.31918
84.4444	0.920206
85	0.585764
85.5556	0.0829255
86.1111	0.444591
86.6667	1.24161
87.2222	0.270934
87.7778	1.0629
88.3333	1.7153
88.8889	0.754433
89.4444	1.16035
90	0.142643
90.5556	0.443904
91.1111	0.301975
91.6667	0.93403
92.2222	0.363774
92.7778	1.7294
93.3333	1.84934
93.8889	0.901306
94.4444	0.872953
95	0.00920329
95.5556	0.389876
96.1111	1.26057
96.6667	0.28738
97.2222	0.280725
97.7778	0.925017
98.3333	0.346845
98.8889	0.777982
99.4444	0.364408
100	1.82165
100.556	1.13452
101.111	1.28456
101.667	0.492061
102.222	0.991352
102.778	1.35115
103.333	0.119663
103.889	0.107778
104.444	0.154608
105	0.223289
105.556	0.793165
106.111	0.129828
106.667	0.696099
107.222	1.35278
107.778	2.22791
108.333	1.22294
108.889	0.351167
109.444	2.0257
110	0.79811
110.556	0.126171
111.111	0.140394
111.667	0.56977
112.222	0.0212451
112.778	1.34948
113.333	0.0692711
113.889	0.871943
114.444	0.196596
115	1.10465
115.556	0.416807
116.111	1.13209
116.667	0.911312
117.222	1.61224
117.778	1.32665
118.333	1.67937
118.889	0.117125
119.444	0.350124
120	0.487654
120.556	1.0672
121.111	0.537719
121.667	0.475816
122.222	1.79122
122.778	0.700472
123.333	2.57885
123.889	0.289993
124.444	0.426389
125	0.590208
125.556	0.531954
126.111	2.54378
126.667	0.688185
127.222	0.300646
127.778	1.48991
128.333	0.256873
128.889	1.47937
129.444	1.69707
130	0.313899
130.556	0.0312743
131.111	0.0930725
131.667	0.229324
132.222	0.792303
132.778	0.525335
133.333	0.139888
133.889	0.402367
134.444	3.34369
135	0.620471
135.556	0.716106
136.111	0.430099
136.667	0.800094
137.222	0.12093
137.778	0.732108
138.333	0.40209
138.889	0.0489441
139.444	1.13721
140	0.76933
140.556	1.7961
141.111	1.08872
141.667	2.66711
142.222	0.362377
142.778	0.878554
143.333	0.616975
143.889	0.618499
144.444	0.3817
145	0.298642
145.556	1.2614
146.111	1.75367
146.667	0.261158
147.222	1.80039
147.778	0.964543
148.333	0.174043
148.889	1.62581
149.444	1.16784
150	0.327453
150.556	0.868044
151.111	0.249077
151.667	1.22019
152.222	1.95655
152.778	1.0155
153.333	1.39237
153.889	0.890515
154.444	0.208674
155	0.00471076
155.556	1.69595
156.111	1.45399
156.667	0.916173
157.222	1.68236
157.778	1.26929
158.333	1.70235
158.889	1.32031
