t	etaU
0	7.08232e-15
0.555556	0.982734
1.11111	1.92569
1.66667	1.42274
2.22222	1.34701
2.77778	0.972917
3.33333	0.468947
3.88889	0.965295
4.44444	0.142876
5	1.77179
5.55556	2.2105
6.11111	0.941806
6.66667	1.46175
7.22222	1.65785
7.77778	1.33094
8.33333	2.13847
8.88889	0.332217
9.44444	2.77349
10	1.90474
10.5556	2.0682
11.1111	2.42351
11.6667	0.00723079
12.2222	0.847398
12.7778	0.20735
13.3333	1.08403
13.8889	0.625438
14.4444	0.485484
15	1.06521
15.5556	1.50301
16.1111	0.890436
16.6667	2.04994
17.2222	0.56678
17.7778	0.525652
18.3333	0.812074
18.8889	0.977736
19.4444	0.568568
20	2.12208
20.5556	1.52941
21.1111	2.31723
21.6667	2.08015
22.2222	1.9389
22.7778	1.07144
23.3333	0.366756
23.8889	0.497637
24.4444	0.190546
25	1.29214
25.5556	0.882322
26.1111	0.0830226
26.6667	1.0501
27.2222	1.78797
27.7778	2.10999
28.3333	0.413096
28.8889	2.82276
29.4444	1.47493
30	0.992492
30.5556	0.981927
31.1111	0.1772
31.6667	0.691707
32.2222	0.390368
32.7778	0.466769
33.3333	1.20268
33.8889	0.45186
34.4444	1.25466
35	0.504303
35.5556	0.644926
36.1111	1.55623
36.6667	0.790474
37.2222	0.183277
37.7778	3.73452
38.3333	1.02304
38.8889	2.22079
39.4444	1.93592
40	0.789723
40.5556	0.725658
41.1111	1.4367
41.6667	0.522329
42.2222	0.398975
42.7778	0.651404
43.3333	1.63187
43.8889	0.387734
44.4444	0.784156
45	1.1486
45.5556	0.612531
46.1111	2.51159
46.6667	2.27708
47.2222	1.0429
47.7778	1.35012
48.3333	0.187558
48.8889	1.06182
49.4444	1.05405
50	0.0931222
50.5556	0.518747
51.1111	0.664451
51.6667	0.896398
52.2222	0.192605
52.7778	0.741627
53.3333	0.440157
53.8889	0.331923
54.4444	0.932946
55	2.21856
55.5556	3.20533
56.1111	0.94492
56.6667	2.08654
57.2222	0.434921
57.7778	1.2231
58.3333	2.13245
58.8889	0.233791
59.4444	0.576808
60	0.208107
60.5556	0.893818
61.1111	0.627444
61.6667	1.25512
62.2222	1.83127
62.7778	1.29958
63.3333	2.91959
63.8889	1.18523
64.4444	0.224329
65	0.152205
65.5556	0.353932
66.1111	1.6893
66.6667	0.207564
67.2222	0.956771
67.7778	0.0920672
68.3333	0.0328579
68.8889	0.0620712
69.4444	1.34085
70	1.11884
70.5556	0.762238
71.1111	0.912198
71.6667	0.807719
72.2222	1.01066
72.7778	0.256944
73.3333	0.687653
73.8889	1.16476
74.4444	0.721481
75	0.645309
75.5556	0.365131
76.1111	1.34698
76.6667	0.717573
77.2222	1.04342
77.7778	0.870374
78.3333	0.685996
78.8889	3.32943
79.4444	3.15508
80	1.20674
80.5556	0.0827805
81.1111	0.145943
81.6667	0.668204
82.2222	0.035752
82.7778	1.69477
83.3333	2.04601
83.8889	1.78646
84.4444	1.0337
85	1.27075
85.5556	1.21971
86.1111	0.952972
86.6667	1.82407
87.2222	0.722486
87.7778	0.643929
88.3333	1.22562
88.8889	1.03413
89.4444	0.495741
90	0.344303
90.5556	0.788206
91.1111	0.13194
91.6667	0.699713
92.2222	1.61646
92.7778	0.554438
93.3333	0.18058
93.8889	0.928329
94.4444	1.23987
95	0.478809
95.5556	0.5708
96.1111	1.36978
96.6667	0.172218
97.2222	0.811448
97.7778	0.856573
98.3333	0.0682137
98.8889	0.519683
99.4444	0.392859
100	1.10597
100.556	0.493807
101.111	0.432423
101.667	0.0259561
102.222	0.595365
102.778	1.157
103.333	0.734186
103.889	0.296474
104.444	0.237217
105	1.84618
105.556	1.12157
106.111	0.704808
106.667	0.0634942
107.222	1.95856
107.778	0.00701526
108.333	0.177069
108.889	1.17102
109.444	0.0172798
110	0.893373
110.556	0.884079
111.111	0.286708
111.667	1.79194
112.222	1.46125
112.778	0.857569
113.333	0.0334439
113.889	0.353868
114.444	0.0950862
115	0.49649
115.556	0.935627
116.111	0.239244
116.667	0.363907
117.222	0.475245
117.778	0.631116
118.333	1.75867
118.889	0.0111418
119.444	0.15569
120	0.00807711
120.556	0.555599
121.111	0.168128
121.667	0.670825
122.222	0.408439
122.778	0.15811
123.333	0.517499
123.889	0.833442
124.444	1.02645
125	1.41271
125.556	0.0878713
126.111	1.84021
126.667	0.810525
127.222	0.731898
127.778	0.703674
128.333	0.778211
128.889	1.56993
129.444	0.0228967
130	0.213964
130.556	0.606716
131.111	0.772254
131.667	0.596974
132.222	0.663413
132.778	0.0775302
133.333	1.46231
133.889	0.0794365
134.444	1.11525
135	0.174943
135.556	1.2516
136.111	0.322292
136.667	0.611747
137.222	1.3369
137.778	0.601142
138.333	0.0935263
138.889	0.0832747
139.444	1.23941
140	0.654564
140.556	0.868157
141.111	1.54374
141.667	0.352037
142.222	2.08345
142.778	0.566091
143.333	0.380177
143.889	0.415479
144.444	1.04337
145	0.128286
145.556	0.532567
146.111	0.150633
146.667	0.0710887
147.222	1.61398
147.778	0.436869
148.333	1.71845
148.889	0.683694
149.444	0.895706
150	0.593942
150.556	0.295172
151.111	0.659045
151.667	1.07687
152.222	0.324717
152.778	0.421508
153.333	0.298186
153.889	0.188016
154.444	0.686587
155	0.790414
155.556	0.371425
156.111	0.546367
156.667	0.177851
157.222	0.496267
157.778	0.402783
158.333	0.458535
158.889	1.17627
159.444	0.14879
160	0.671434
160.556	0.602916
161.111	0.332201
161.667	0.558247
162.222	0.251279
162.778	0.724789
163.333	0.249164
163.889	0.888471
164.444	0.443325
165	0.135534
165.556	0.897541
166.111	0.0756037
166.667	0.169416
167.222	0.201182
167.778	1.54278
168.333	0.32267
168.889	0.139739
169.444	0.363357
170	0.385877
170.556	0.114226
171.111	0.903973
171.667	0.422943
172.222	1.18592
172.778	0.146281
173.333	0.438765
173.889	0.0307802
174.444	0.540716
175	0.185329
175.556	0.382207
176.111	0.200305
176.667	0.456936
177.222	0.567752
177.778	1.45917
178.333	0.061162
178.889	0.216237
179.444	0.305484
180	0.127276
180.556	0.328934
181.111	0.458152
181.667	0.525357
182.222	0.227688
182.778	0.0627611
183.333	0.0762904
183.889	1.09142
184.444	1.07899
185	0.961281
185.556	0.761845
186.111	0.173685
186.667	1.45981
187.222	0.0353853
187.778	0.256318
188.333	0.237749
188.889	0.0609447
189.444	0.250185
190	0.468159
190.556	0.371884
191.111	0.229525
191.667	0.349267
192.222	0.12377
192.778	0.510982
193.333	0.393311
193.889	0.156113
194.444	1.07007
195	0.55334
195.556	0.12608
196.111	0.192457
196.667	0.443951
197.222	0.0100476
197.778	0.134903
198.333	0.103887
198.889	0.317359
199.444	0.22383
200	0.389983
200.556	0.0157135
201.111	0.364002
201.667	0.106836
202.222	0.0649862
202.778	0.207337
203.333	0.460238
203.889	0.034574
204.444	0.214581
205	0.231588
205.556	0.389385
206.111	0.282665
206.667	0.718057
207.222	0.0939206
207.778	0.0474922
208.333	0.41221
208.889	0.262374
209.444	0.418005
210	0.529447
210.556	0.916387
211.111	0.0667794
211.667	0.160994
212.222	0.155108
212.778	0.221769
213.333	0.549183
213.889	0.259761
214.444	0.0862488
215	0.224082
215.556	0.0238156
216.111	0.238532
216.667	0.273747
217.222	0.79628
217.778	0.197703
218.333	0.205614
218.889	0.4378
219.444	0.269906
220	0.0587159
220.556	0.022606
221.111	0.476738
221.667	0.315408
222.222	0.354647
222.778	0.442643
223.333	0.669475
223.889	0.220246
224.444	0.591667
225	0.214687
225.556	0.104719
226.111	0.288473
226.667	0.128145
227.222	0.113951
227.778	0.541391
228.333	0.251833
228.889	0.218143
229.444	0.0169728
230	0.136485
230.556	0.0360362
231.111	0.0816817
231.667	0.129769
232.222	0.0463959
232.778	0.0790186
233.333	0.0852541
233.889	0.115501
234.444	0.455484
235	0.120942
235.556	0.0695452
236.111	0.242097
236.667	0.0779735
237.222	0.0803459
237.778	0.351349
238.333	0.638771
238.889	0.190578
239.444	0.296259
240	0.0460378
240.556	0.122413
241.111	0.142274
241.667	0.202584
242.222	0.0146772
242.778	0.0536614
243.333	0.0767453
243.889	0.284286
244.444	0.186042
245	0.149039
245.556	0.511457
246.111	0.0136326
246.667	0.118055
247.222	0.0660037
247.778	0.0581947
248.333	0.121805
248.889	0.322088
249.444	0.0279183
250	0.311691
250.556	0.0913021
251.111	0.00424887
251.667	0.0745827
252.222	0.211097
252.778	0.132314
253.333	0.0584095
253.889	0.24919
254.444	0.0506905
255	0.0831083
255.556	0.0395983
256.111	0.359218
256.667	0.108506
257.222	0.221055
257.778	0.237583
258.333	0.111547
258.889	0.0285217
259.444	0.246718
260	0.156169
260.556	0.204996
261.111	0.0218794
261.667	0.0194281
262.222	0.140894
262.778	0.141886
263.333	0.254962
263.889	0.00989699
264.444	0.214594
265	0.014689
265.556	0.201434
266.111	0.0920748
266.667	0.0616439
267.222	0.141375
267.778	0.122637
268.333	0.0323478
268.889	0.23207
269.444	0.406424
270	0.295179
270.556	0.290645
271.111	0.030895
271.667	0.280703
272.222	0.0566531
272.778	0.0827633
273.333	0.251678
273.889	0.107272
274.444	0.03485
275	0.154015
275.556	0.0689853
276.111	0.131864
276.667	0.358762
277.222	0.12974
277.778	0.182587
278.333	0.0243715
278.889	0.193777
279.444	0.222623
280	0.29383
280.556	0.160932
281.111	0.0906968
281.667	0.197359
282.222	0.0473067
282.778	0.410368
283.333	0.140643
283.889	0.129903
284.444	0.0741752
285	0.178731
285.556	0.131864
286.111	0.0468758
286.667	0.00759704
287.222	0.182777
287.778	0.238352
288.333	0.180906
288.889	0.217933
289.444	0.139604
290	0.0575717
290.556	0.154331
291.111	0.102222
291.667	0.0594446
292.222	0.157152
292.778	0.00612324
293.333	0.225675
293.889	0.072388
