t	etaU
0	2.72777e-15
0.555556	0.265361
1.11111	0.54721
1.66667	0.0885341
2.22222	2.60675
2.77778	0.934371
3.33333	0.715787
3.88889	2.0238
4.44444	1.31188
5	1.5063
5.55556	0.0231205
6.11111	1.04796
6.66667	1.2261
7.22222	2.14061
7.77778	1.09105
8.33333	1.08194
8.88889	0.0963157
9.44444	2.73615
10	0.427459
10.5556	0.301778
11.1111	0.264913
11.6667	0.763862
12.2222	0.961547
12.7778	1.31859
13.3333	1.08302
13.8889	0.383072
14.4444	1.89388
15	2.27216
15.5556	0.37746
16.1111	1.19452
16.6667	0.386794
17.2222	1.05119
17.7778	2.11055
18.3333	0.0652749
18.8889	1.3708
19.4444	2.39661
20	0.769418
20.5556	0.214653
21.1111	0.531116
21.6667	1.48333
22.2222	1.01685
22.7778	1.04646
23.3333	1.22838
23.8889	0.897118
24.4444	1.58897
25	0.505922
25.5556	0.308019
26.1111	0.963299
26.6667	0.80045
27.2222	0.0509142
27.7778	1.15564
28.3333	0.84218
28.8889	0.159333
29.4444	0.265363
30	0.668418
30.5556	1.14798
31.1111	1.30458
31.6667	1.08501
32.2222	2.13138
32.7778	0.738665
33.3333	1.23955
33.8889	1.05082
34.4444	2.03478
35	2.6041
35.5556	0.241117
36.1111	2.08689
36.6667	2.10259
37.2222	1.38599
37.7778	0.271286
38.3333	1.55218
38.8889	1.68916
39.4444	2.75651
40	1.23731
40.5556	0.170626
41.1111	0.74074
41.6667	0.658397
42.2222	0.0254468
42.7778	3.40781
43.3333	0.169813
43.8889	1.26394
44.4444	0.242599
45	0.0652127
45.5556	0.257322
46.1111	2.72338
46.6667	0.582608
47.2222	3.01068
47.7778	1.0083
48.3333	3.09322
48.8889	2.48875
49.4444	0.802545
50	1.21437
50.5556	1.47428
51.1111	0.913666
51.6667	1.04338
52.2222	1.70483
52.7778	2.06179
53.3333	2.69796
53.8889	2.18274
54.4444	1.94718
55	0.258539
55.5556	1.10995
56.1111	4.84709
56.6667	1.21664
57.2222	0.299851
57.7778	1.32637
58.3333	0.761
58.8889	2.64753
59.4444	1.29372
60	1.52341
60.5556	1.02483
61.1111	3.47077
61.6667	0.220138
62.2222	3.90293
62.7778	0.340632
63.3333	4.61742
63.8889	1.03074
64.4444	3.13989
65	2.11206
65.5556	0.349672
66.1111	1.62564
66.6667	0.00789244
67.2222	0.272098
67.7778	1.49751
68.3333	2.29282
68.8889	0.707578
69.4444	0.239348
70	0.785974
70.5556	2.41214
71.1111	1.76015
71.6667	2.64635
72.2222	1.45613
72.7778	2.37892
73.3333	0.946941
73.8889	2.77692
74.4444	0.533801
75	1.64964
75.5556	1.55935
76.1111	1.56409
76.6667	2.30827
77.2222	1.13096
77.7778	3.68646
78.3333	0.16502
78.8889	0.152814
79.4444	0.321249
80	2.88539
80.5556	1.79469
81.1111	3.61153
81.6667	1.57405
82.2222	0.781498
82.7778	1.81972
83.3333	1.59633
83.8889	1.85866
84.4444	1.88854
85	0.801871
85.5556	2.59939
86.1111	1.20761
86.6667	0.757752
87.2222	1.78309
87.7778	1.4771
88.3333	3.92931
88.8889	0.718239
89.4444	4.56291
90	0.862808
90.5556	2.49519
91.1111	0.0569603
91.6667	0.63529
92.2222	5.11423
92.7778	2.41736
93.3333	1.28846
93.8889	0.151368
94.4444	4.87797
95	0.892649
95.5556	3.31585
96.1111	4.4113
96.6667	3.45648
97.2222	1.59569
97.7778	3.42416
98.3333	1.9562
98.8889	1.86638
99.4444	1.20845
100	0.764027
100.556	1.4799
101.111	0.137117
101.667	2.25389
102.222	0.0894299
102.778	1.0374
103.333	3.11403
103.889	2.96371
104.444	0.77747
105	1.04042
105.556	4.15023
106.111	0.800134
106.667	2.01097
107.222	2.00653
107.778	1.54155
108.333	2.28386
108.889	0.290352
109.444	4.2394
110	0.669387
110.556	1.92436
111.111	0.753696
111.667	2.88744
112.222	3.60247
112.778	0.322438
113.333	0.335799
113.889	1.41222
114.444	0.199997
115	2.06776
115.556	2.11596
116.111	1.68981
116.667	2.50504
117.222	1.59722
117.778	0.883337
118.333	0.643886
118.889	0.0215015
119.444	1.24146
120	1.06391
120.556	1.59705
121.111	4.5917
121.667	0.383021
122.222	0.51489
122.778	0.264351
123.333	5.7801
123.889	5.25191
124.444	4.33708
125	4.46771
125.556	2.82443
126.111	2.54347
126.667	0.168053
127.222	1.44253
127.778	4.09759
128.333	0.0633684
128.889	0.5087
129.444	2.59599
130	3.75168
130.556	2.16965
131.111	2.73913
131.667	0.824986
132.222	2.85034
132.778	2.27803
133.333	2.96986
133.889	1.02523
134.444	3.58934
135	0.264087
135.556	1.39111
136.111	2.59064
136.667	5.31847
137.222	4.1284
137.778	1.61703
138.333	3.31306
138.889	7.99785
139.444	12.3888
140	4.36781
140.556	1.91792
141.111	11.1594
141.667	6.87113
142.222	17.8931
142.778	0.218076
143.333	2.20239
143.889	9.18981
144.444	5.83551
145	2.37032
145.556	4.78716
146.111	4.74481
146.667	1.17487
147.222	6.47786
147.778	4.17661
148.333	2.24906
148.889	4.03682
149.444	4.46214
150	2.53478
150.556	0.473536
151.111	1.99885
151.667	4.71536
152.222	3.90131
152.778	2.35966
153.333	1.20434
153.889	0.225301
154.444	0.576572
155	0.895495
155.556	3.17153
156.111	0.160601
156.667	1.44286
157.222	1.95236
157.778	1.74396
158.333	3.79859
158.889	3.6082
159.444	2.25963
160	2.21836
160.556	2.02547
161.111	1.55304
161.667	0.916557
162.222	0.356985
162.778	2.54146
163.333	0.74821
163.889	1.41771
164.444	0.912212
165	1.16795
165.556	0.86079
166.111	1.05136
166.667	0.64431
167.222	1.13048
167.778	0.929914
168.333	2.23321
168.889	0.377815
169.444	0.6135
170	1.79691
170.556	0.273501
171.111	1.53398
171.667	0.473267
172.222	0.653016
172.778	0.177246
173.333	0.0595373
173.889	0.696874
174.444	0.537582
175	0.834958
175.556	0.893167
176.111	0.590133
176.667	1.74182
177.222	0.0247459
177.778	0.653656
178.333	0.144997
178.889	0.28473
179.444	0.571272
180	0.684412
180.556	1.30058
181.111	0.024108
181.667	0.394774
182.222	0.679547
182.778	0.699369
183.333	0.276192
183.889	0.194512
184.444	0.420827
185	0.0349505
185.556	0.576946
186.111	1.50722
186.667	0.983078
187.222	1.86511
187.778	1.2221
188.333	2.42496
188.889	0.257766
189.444	0.195143
190	0.777207
190.556	1.60561
191.111	0.576341
191.667	0.27982
192.222	1.0795
192.778	0.18308
193.333	1.24635
193.889	0.576992
194.444	0.0568782
195	0.247784
195.556	0.0599175
196.111	1.66401
196.667	0.451484
197.222	0.85307
197.778	0.808844
198.333	0.39618
198.889	0.0888899
199.444	0.264537
200	0.0475465
200.556	0.231838
201.111	0.44995
201.667	1.19054
202.222	1.3945
202.778	0.509404
203.333	0.204779
203.889	0.501696
204.444	1.66528
205	1.95104
205.556	0.0225389
206.111	0.169497
206.667	0.119933
207.222	0.0570889
207.778	0.946445
208.333	0.810944
208.889	0.627138
209.444	0.421504
210	0.442263
210.556	0.830287
211.111	0.154825
211.667	0.546499
212.222	0.572449
212.778	0.405976
213.333	0.614998
213.889	0.429563
214.444	0.436104
215	0.29073
215.556	0.107435
216.111	0.349116
216.667	0.17683
217.222	0.130819
217.778	0.105178
218.333	0.645749
218.889	0.0656576
219.444	0.358891
220	0.650282
220.556	0.507247
221.111	0.216294
221.667	0.3302
222.222	0.276615
222.778	0.945221
223.333	0.436511
223.889	0.685857
224.444	0.324099
225	0.209648
225.556	0.142435
226.111	0.311943
226.667	0.501681
227.222	0.0536071
227.778	0.633883
228.333	0.134978
228.889	0.0352423
229.444	0.27067
230	0.133061
230.556	0.534397
231.111	0.825018
231.667	0.934491
232.222	0.372113
232.778	0.38744
233.333	0.630065
233.889	0.18213
234.444	0.136118
235	0.204678
235.556	0.287386
236.111	0.903146
236.667	0.301636
237.222	0.30476
237.778	0.0912531
238.333	0.214652
238.889	0.238461
239.444	0.0449494
240	0.0769701
240.556	0.918205
241.111	0.294246
241.667	0.0641792
242.222	0.338903
242.778	0.296268
243.333	0.228019
243.889	0.765867
244.444	0.201304
245	0.41579
245.556	0.353273
246.111	0.0247594
246.667	0.880866
247.222	0.157495
247.778	0.379323
248.333	0.294515
248.889	0.22511
249.444	0.25278
250	0.117948
250.556	0.0555335
251.111	0.597965
251.667	0.32578
252.222	0.0520167
252.778	0.518789
253.333	0.950494
253.889	0.433081
254.444	0.00756412
255	0.0370751
255.556	0.420233
256.111	0.209106
256.667	0.16122
257.222	0.461335
257.778	0.370513
258.333	0.312894
258.889	0.0571903
259.444	0.059494
260	0.270816
260.556	0.065847
261.111	0.364798
261.667	0.152567
262.222	0.105096
262.778	0.177254
263.333	0.276724
263.889	0.32276
264.444	0.250635
265	0.0641192
265.556	0.0408339
266.111	0.544136
266.667	0.191576
267.222	0.0787905
267.778	0.245083
268.333	0.199258
268.889	0.180696
269.444	0.0694059
270	0.395286
270.556	0.27694
271.111	0.100221
271.667	0.551203
272.222	0.605148
272.778	0.320184
273.333	0.13917
273.889	0.278491
274.444	0.115109
275	0.0370452
275.556	0.0597635
276.111	0.284208
276.667	0.387659
277.222	0.0731774
277.778	0.389842
278.333	0.715534
278.889	0.416101
279.444	0.054153
280	0.069902
280.556	0.307988
281.111	0.231238
281.667	0.280636
282.222	0.756215
282.778	0.257627
283.333	0.364042
283.889	0.264323
284.444	0.314125
285	0.108102
285.556	0.133049
286.111	0.0516022
286.667	0.129841
287.222	0.229934
287.778	0.3083
288.333	0.239739
288.889	0.244783
289.444	0.111412
290	0.216664
290.556	0.130101
291.111	0.42103
291.667	0.2845
292.222	0.307882
292.778	0.0075476
293.333	0.205501
293.889	0.490812
294.444	0.0597583
295	0.587748
295.556	0.11549
296.111	0.410615
296.667	0.185714
297.222	0.101499
297.778	0.110733
298.333	0.123838
298.889	0.391402
299.444	0.426651
300	0.197053
300.556	0.167867
301.111	0.268184
301.667	0.293893
302.222	0.262707
302.778	0.160685
303.333	0.0565969
303.889	0.0136959
304.444	0.101409
305	0.161086
305.556	0.318475
306.111	0.00944316
306.667	0.142798
307.222	0.204042
307.778	0.0795124
308.333	0.336846
308.889	0.00375876
309.444	0.0372879
310	0.187806
310.556	0.0969595
311.111	0.367339
311.667	0.149685
312.222	0.126321
312.778	0.041005
313.333	0.17074
313.889	0.210791
314.444	0.112457
315	0.1932
315.556	0.0800828
316.111	0.0469944
316.667	0.0320265
317.222	0.143463
317.778	0.176799
318.333	0.101137
318.889	0.201005
319.444	0.0282487
320	0.127136
320.556	0.0366373
321.111	0.348771
321.667	0.0271058
322.222	0.131414
322.778	0.0800497
323.333	0.0777047
323.889	0.182482
324.444	0.188116
325	0.00324266
325.556	0.446429
326.111	0.190714
326.667	0.155088
327.222	0.00257329
327.778	0.126928
328.333	0.11413
328.889	0.00303353
329.444	0.410655
330	0.046363
330.556	0.151959
331.111	0.0566966
331.667	0.0823159
332.222	0.127808
332.778	0.0223966
333.333	0.108154
333.889	0.401408
334.444	0.0639966
335	0.0576712
335.556	0.0733662
336.111	0.252162
336.667	0.205989
337.222	0.0258104
337.778	0.0177119
338.333	0.245759
338.889	0.0329287
339.444	0.156684
340	0.136415
340.556	0.13409
341.111	0.264427
341.667	0.110861
342.222	0.25122
342.778	0.14673
343.333	0.0457246
343.889	0.132595
344.444	0.0106685
345	0.127838
345.556	0.0718028
346.111	0.0281501
346.667	0.137646
347.222	0.0925338
347.778	0.0453797
348.333	0.157262
348.889	0.00329228
349.444	0.0709905
350	0.0641915
350.556	0.0159196
351.111	0.183467
351.667	0.212942
352.222	0.0600579
352.778	0.0349775
353.333	0.207995
353.889	0.145106
354.444	0.0604272
355	0.00735151
355.556	0.0347167
356.111	0.0176452
356.667	0.0137101
357.222	0.0212383
357.778	0.107546
358.333	0.0474003
358.889	0.0615961
359.444	0.000681756
