t	etaU
190	0.14372
190.556	0.119221
191.111	1.55239
191.667	0.304828
192.222	1.90082
192.778	0.794993
193.333	0.068492
193.889	0.555477
194.444	0.282092
195	0.840945
195.556	1.32548
196.111	0.577537
196.667	0.726137
197.222	0.90406
197.778	0.943992
198.333	0.398559
198.889	0.0238547
199.444	0.388069
200	0.475487
200.556	0.53861
201.111	0.778968
201.667	0.32966
202.222	1.63425
202.778	1.06469
203.333	1.05257
203.889	0.646618
204.444	1.92161
205	0.710956
205.556	0.613872
206.111	1.84785
206.667	0.153627
207.222	0.335028
207.778	0.953233
208.333	0.0854195
208.889	0.25489
209.444	0.61116
210	0.275113
210.556	0.335045
211.111	0.177403
211.667	0.661222
212.222	1.13892
212.778	0.112242
213.333	0.682843
213.889	0.756725
214.444	0.191434
215	0.379316
215.556	0.173584
216.111	0.837592
216.667	0.0653451
217.222	0.214984
217.778	0.50872
218.333	0.347232
218.889	0.812141
219.444	0.44977
220	1.34097
220.556	0.425968
221.111	0.159338
221.667	0.273071
222.222	0.101745
222.778	0.415158
223.333	0.862456
223.889	0.277286
224.444	0.366189
225	0.793987
225.556	0.481578
226.111	0.792512
226.667	0.310764
227.222	0.312668
227.778	1.08396
228.333	0.702171
228.889	0.166244
229.444	0.508272
230	0.502581
230.556	0.611927
231.111	1.26151
231.667	0.640446
232.222	0.898771
232.778	0.328252
233.333	0.114993
233.889	0.536614
234.444	0.661744
235	0.915176
235.556	0.430756
236.111	0.419735
236.667	0.776399
237.222	0.229
237.778	0.282531
238.333	0.224692
238.889	0.175331
239.444	1.2073
240	0.174059
240.556	0.594982
241.111	0.0520454
241.667	0.181294
242.222	0.269129
242.778	0.187863
243.333	0.874445
243.889	0.0423992
244.444	0.192351
245	0.0722945
245.556	0.752022
246.111	0.0403668
246.667	0.714737
247.222	0.233865
247.778	0.488801
248.333	0.234356
248.889	0.494313
249.444	0.234445
250	0.0399902
250.556	0.188922
251.111	0.487222
251.667	0.944926
252.222	0.712885
252.778	0.74656
253.333	0.196006
253.889	0.200589
254.444	0.101268
255	1.15372
255.556	0.202845
256.111	0.365099
256.667	0.34569
257.222	0.605459
257.778	0.237319
258.333	0.125202
258.889	0.51016
259.444	0.279136
260	0.33137
260.556	0.194355
261.111	0.235759
261.667	0.1352
262.222	0.27849
262.778	0.179102
263.333	0.539077
263.889	0.499209
264.444	0.964202
265	0.295349
265.556	0.180415
266.111	0.553148
266.667	0.462485
267.222	0.427294
267.778	0.034015
268.333	0.0233835
268.889	0.61092
269.444	0.619403
270	0.158415
270.556	0.213306
271.111	0.726665
271.667	0.0734944
272.222	0.737059
272.778	0.237239
273.333	0.287691
273.889	0.233975
274.444	0.525451
275	0.23124
275.556	0.171049
276.111	0.728457
276.667	0.331297
277.222	0.570311
277.778	0.359812
278.333	0.290538
278.889	0.107858
279.444	0.269647
280	0.0611196
280.556	0.0337796
281.111	0.0817826
281.667	0.244751
282.222	1.08125
282.778	0.186884
283.333	0.282798
283.889	0.0991223
284.444	0.744401
285	0.127558
285.556	0.117639
286.111	0.523261
286.667	0.395868
287.222	0.30772
287.778	0.162464
288.333	0.0980728
288.889	0.34176
289.444	0.0395688
290	0.684929
290.556	0.0403224
291.111	0.0783096
291.667	0.014349
292.222	0.25207
292.778	0.22391
293.333	0.0990201
293.889	0.0029755
294.444	0.301176
295	0.265918
295.556	0.0634127
296.111	0.047349
296.667	0.151838
297.222	0.0865311
297.778	0.325386
298.333	0.287336
298.889	0.554841
299.444	0.156383
300	0.177659
300.556	0.55444
301.111	0.286158
301.667	0.00164946
302.222	0.0390765
302.778	0.172772
303.333	0.19869
303.889	0.442136
304.444	0.244961
305	0.485584
305.556	0.25052
306.111	0.0155735
306.667	0.146811
307.222	0.0774769
307.778	0.338022
308.333	0.381574
308.889	0.00363799
309.444	0.0578328
310	0.332176
310.556	0.552209
311.111	0.260935
311.667	0.167756
312.222	0.198663
312.778	0.0503475
313.333	0.0100454
313.889	0.146661
314.444	0.307876
315	0.270963
315.556	0.0263314
316.111	0.0621895
316.667	0.454453
317.222	0.436789
317.778	0.0512381
