t	etaU
0	3.13984e-15
0.555556	0.926304
1.11111	0.467708
1.66667	2.70155
2.22222	1.24027
2.77778	0.921768
3.33333	0.56216
3.88889	1.17962
4.44444	0.0863996
5	1.91422
5.55556	1.9213
6.11111	0.254023
6.66667	0.157181
7.22222	0.800581
7.77778	0.500509
8.33333	0.538247
8.88889	1.46239
9.44444	0.371973
10	0.516198
10.5556	0.413878
11.1111	0.211863
11.6667	0.210523
12.2222	0.59255
12.7778	0.0892251
13.3333	2.5592
13.8889	0.987117
14.4444	2.34401
15	0.184758
15.5556	0.427375
16.1111	0.0193566
16.6667	1.54443
17.2222	1.81537
17.7778	0.231268
18.3333	0.278237
18.8889	2.06148
19.4444	0.270475
20	0.485716
20.5556	0.869909
21.1111	1.56145
21.6667	1.70957
22.2222	0.328992
22.7778	0.811068
23.3333	0.50874
23.8889	0.574358
24.4444	1.14418
25	1.66392
25.5556	0.51791
26.1111	1.21434
26.6667	0.353328
27.2222	0.0677024
27.7778	0.886316
28.3333	0.153109
28.8889	0.348823
29.4444	1.25175
30	0.0933262
30.5556	0.482851
31.1111	0.422159
31.6667	0.787306
32.2222	0.119144
32.7778	0.00713381
33.3333	0.634992
33.8889	0.590524
34.4444	0.283876
35	0.0634235
35.5556	0.26871
36.1111	0.255094
36.6667	0.389245
37.2222	0.860791
37.7778	0.445939
38.3333	0.571317
38.8889	0.155749
39.4444	0.601597
40	0.675699
40.5556	0.175441
41.1111	0.27262
41.6667	0.545978
42.2222	0.173276
42.7778	0.778392
43.3333	0.479908
43.8889	0.582453
44.4444	0.111256
45	0.183582
45.5556	0.224243
46.1111	0.251029
46.6667	0.0567863
47.2222	0.418568
47.7778	0.478904
48.3333	0.0248589
48.8889	0.745486
49.4444	0.0264426
50	0.306078
50.5556	0.449579
51.1111	0.729916
51.6667	0.180471
52.2222	0.0225687
52.7778	0.539638
53.3333	0.333197
53.8889	0.438205
54.4444	0.0124715
55	0.125107
55.5556	0.192526
56.1111	0.194043
56.6667	0.956501
57.2222	0.00657066
57.7778	0.0220938
58.3333	0.531212
58.8889	0.55893
59.4444	0.481544
60	0.193951
60.5556	0.630677
61.1111	0.485276
61.6667	0.356483
62.2222	0.170741
62.7778	0.0411192
63.3333	0.0742996
63.8889	0.387095
64.4444	0.184112
65	0.7724
65.5556	0.0844567
66.1111	1.13871
66.6667	0.803507
67.2222	0.272001
67.7778	0.225389
68.3333	0.644066
68.8889	0.201399
69.4444	0.691997
70	0.790261
70.5556	0.6388
71.1111	0.0838589
71.6667	0.0942068
72.2222	0.276706
72.7778	0.262671
73.3333	0.155555
73.8889	0.251379
74.4444	0.107743
75	0.390679
75.5556	0.183155
76.1111	0.786347
76.6667	0.178665
77.2222	0.101793
77.7778	0.029156
78.3333	0.200032
78.8889	0.720416
79.4444	0.541566
80	0.310335
80.5556	0.10496
81.1111	0.373776
81.6667	0.418884
82.2222	0.0174058
82.7778	0.192877
83.3333	0.243138
83.8889	0.0371688
84.4444	0.615371
85	0.0198569
85.5556	0.0459134
86.1111	0.0741708
86.6667	0.228198
87.2222	0.486054
87.7778	0.0472769
88.3333	0.100451
88.8889	0.36236
89.4444	0.100272
90	0.0186729
90.5556	0.183285
91.1111	0.387658
91.6667	0.469785
92.2222	0.153417
92.7778	0.331001
93.3333	0.226139
93.8889	0.178454
94.4444	0.0845275
95	0.206719
95.5556	0.117891
96.1111	0.396723
96.6667	0.183282
97.2222	0.228405
97.7778	0.0395564
98.3333	0.0622621
98.8889	0.0553124
99.4444	0.00794229
100	0.00115438
100.556	0.330765
101.111	0.791523
101.667	0.352201
102.222	0.170715
102.778	0.208155
103.333	0.358144
103.889	0.15648
104.444	0.141659
105	0.0479896
105.556	0.237408
106.111	0.105767
106.667	0.0992112
107.222	0.334967
107.778	0.293986
108.333	0.0869726
108.889	0.0671086
109.444	0.114992
110	0.0778204
110.556	0.240423
111.111	0.217664
111.667	0.111372
112.222	0.151209
112.778	0.27953
113.333	0.145909
113.889	0.248692
114.444	0.38255
115	0.0554635
115.556	0.127313
116.111	0.354422
116.667	0.101944
117.222	0.282775
117.778	0.369776
118.333	0.151448
118.889	0.26194
119.444	0.385003
120	0.39606
120.556	0.121977
121.111	0.0596061
121.667	0.160023
122.222	0.262194
122.778	0.16042
123.333	0.176712
123.889	0.0622094
124.444	0.0805149
125	0.467822
125.556	0.548016
126.111	0.0936188
126.667	0.102177
127.222	0.0717546
127.778	0.114618
128.333	0.401402
128.889	0.0798971
129.444	0.00619774
130	0.103085
130.556	0.264564
131.111	0.129379
131.667	0.177617
132.222	0.0119967
132.778	0.110086
133.333	0.0169927
133.889	0.224274
134.444	0.166141
135	0.122942
135.556	0.515036
136.111	0.105852
136.667	0.183708
137.222	0.00116071
137.778	0.273052
138.333	0.636647
138.889	0.233079
139.444	0.140382
140	0.602391
140.556	0.905196
141.111	0.433372
141.667	1.09252
142.222	0.318245
142.778	1.20447
143.333	0.222282
143.889	0.494136
144.444	0.148897
145	0.88546
145.556	0.0762011
146.111	0.0678787
146.667	0.0864576
147.222	0.352032
147.778	0.270156
148.333	0.090002
148.889	0.0107289
149.444	0.0747069
150	0.0631844
150.556	0.157182
151.111	0.329757
151.667	0.413715
152.222	0.12073
152.778	0.217747
153.333	0.117641
153.889	0.212397
154.444	0.261461
155	0.0742995
155.556	0.179611
156.111	0.0898474
156.667	0.313042
157.222	0.284122
157.778	0.0523223
158.333	0.136424
158.889	0.0264101
159.444	0.111838
160	0.185699
160.556	0.0354734
161.111	0.356337
161.667	0.036158
162.222	0.0407597
162.778	0.121273
163.333	0.0795646
163.889	0.153786
164.444	0.0521633
165	0.0601539
165.556	0.145282
166.111	0.171513
166.667	0.114219
167.222	0.0261126
167.778	0.07835
168.333	0.0966991
168.889	0.0846171
169.444	0.0587958
170	0.108089
170.556	0.222436
171.111	0.036004
171.667	0.129437
172.222	0.241437
172.778	0.0615619
173.333	0.13713
173.889	0.167383
174.444	0.0280587
175	0.101287
175.556	0.0311884
176.111	0.096199
176.667	0.244739
177.222	0.0271559
177.778	0.139973
178.333	0.0817402
178.889	0.120082
179.444	0.0225429
180	0.00659085
180.556	0.00290264
181.111	0.0543432
181.667	0.191901
182.222	0.277148
182.778	0.0405589
183.333	0.0723739
183.889	0.149936
184.444	0.0297359
185	0.179901
185.556	0.105668
186.111	0.141223
186.667	0.0730337
187.222	0.124878
187.778	0.00735296
188.333	0.0149913
188.889	0.0728857
189.444	0.149731
190	0.0455277
190.556	0.292181
191.111	0.0836037
191.667	0.151815
192.222	0.108634
192.778	0.013468
193.333	0.00268506
193.889	0.0426138
194.444	0.141274
195	0.0294808
195.556	0.0307577
196.111	0.0305518
196.667	0.114129
197.222	0.00627685
197.778	0.243689
198.333	0.123628
198.889	0.113654
199.444	0.0385714
200	0.0357671
200.556	0.0337238
201.111	0.0574944
201.667	0.146548
202.222	0.123508
202.778	0.130752
203.333	0.0701439
203.889	0.12672
204.444	0.0859955
205	0.0877105
205.556	0.172253
206.111	0.0167704
206.667	0.0756641
207.222	0.127127
207.778	0.0131897
208.333	0.0157711
208.889	0.116889
209.444	0.0578871
210	0.0167195
210.556	0.0420051
211.111	0.0381095
211.667	0.0638605
212.222	0.0796366
212.778	0.0152988
213.333	0.0576445
213.889	0.0665641
214.444	0.0787051
215	0.0310392
215.556	0.00756747
216.111	0.0912177
216.667	0.013467
217.222	0.0204236
217.778	0.118445
218.333	0.0161048
