t	etaU
0	1.32178e-14
0.555556	1.16985
1.11111	1.07852
1.66667	0.417606
2.22222	0.989255
2.77778	0.0955019
3.33333	0.12792
3.88889	1.38071
4.44444	3.13565
5	1.60498
5.55556	0.484557
6.11111	0.781089
6.66667	0.868912
7.22222	0.463229
7.77778	1.29342
8.33333	0.191117
8.88889	0.803829
9.44444	0.44661
10	0.224567
10.5556	0.579145
11.1111	1.42511
11.6667	0.249761
12.2222	0.0672514
12.7778	0.983228
13.3333	0.444615
13.8889	0.951485
14.4444	1.99515
15	2.48565
15.5556	0.838167
16.1111	1.52252
16.6667	2.4056
17.2222	0.560981
17.7778	0.631549
18.3333	1.9392
18.8889	0.599805
19.4444	1.21552
20	0.494982
20.5556	0.750679
21.1111	2.15716
21.6667	1.61828
22.2222	0.0534668
22.7778	0.406889
23.3333	1.64574
23.8889	0.301853
24.4444	1.20658
25	0.058467
25.5556	0.0239704
26.1111	0.797397
26.6667	0.477754
27.2222	0.406035
27.7778	1.91672
28.3333	1.44237
28.8889	0.218507
29.4444	0.893635
30	0.384135
30.5556	0.549755
31.1111	2.72211
31.6667	2.72684
32.2222	1.4994
32.7778	1.7537
33.3333	0.474989
33.8889	0.664204
34.4444	0.381939
35	0.56699
35.5556	0.244367
36.1111	0.977657
36.6667	0.680499
37.2222	1.19676
37.7778	0.618061
38.3333	0.331885
38.8889	0.557007
39.4444	0.512052
40	1.46499
40.5556	0.15789
41.1111	1.2023
41.6667	0.934093
42.2222	1.05538
42.7778	1.07585
43.3333	0.925047
43.8889	1.81792
44.4444	1.14941
45	0.000586275
45.5556	1.97107
46.1111	1.99125
46.6667	0.990064
47.2222	1.21848
47.7778	0.587664
48.3333	2.23013
48.8889	0.573493
49.4444	0.151237
50	2.58269
50.5556	0.630927
51.1111	1.8159
51.6667	0.246447
52.2222	0.638435
52.7778	0.968332
53.3333	0.216824
53.8889	0.191761
54.4444	1.41515
55	1.90119
55.5556	0.748013
56.1111	0.0480398
56.6667	1.26407
57.2222	0.909718
57.7778	0.360855
58.3333	0.345749
58.8889	2.045
59.4444	0.234724
60	0.820956
60.5556	1.79224
61.1111	1.45707
61.6667	0.51593
62.2222	1.11273
62.7778	0.283761
63.3333	0.60468
63.8889	0.655857
64.4444	0.523094
65	1.30281
65.5556	1.17993
66.1111	1.33109
66.6667	1.17723
67.2222	2.5425
67.7778	2.20377
68.3333	0.892258
68.8889	0.228747
69.4444	1.86207
70	0.248246
70.5556	1.67457
71.1111	0.411732
71.6667	0.637397
72.2222	0.207305
72.7778	0.788331
73.3333	0.369708
73.8889	0.818003
74.4444	1.01424
75	0.145521
75.5556	1.0468
76.1111	0.452052
76.6667	0.133087
77.2222	0.0440162
77.7778	0.577295
78.3333	0.130041
78.8889	0.546974
79.4444	0.899728
80	0.323765
80.5556	0.764178
81.1111	1.81003
81.6667	1.53363
82.2222	0.971768
82.7778	1.38333
83.3333	0.810495
83.8889	2.30811
84.4444	0.087512
85	0.285862
85.5556	1.0454
86.1111	0.0317845
86.6667	0.889336
87.2222	1.57897
87.7778	1.16227
88.3333	0.812135
88.8889	0.039645
89.4444	1.28018
90	0.0909273
90.5556	0.661717
91.1111	2.15258
91.6667	1.12955
92.2222	1.48801
92.7778	0.621656
93.3333	1.51791
93.8889	0.3152
94.4444	0.434214
95	0.758142
95.5556	1.17005
96.1111	0.634369
96.6667	1.70325
97.2222	0.993464
97.7778	0.627011
98.3333	0.296435
98.8889	0.354148
99.4444	1.58963
100	1.05259
100.556	0.679715
101.111	0.20907
101.667	1.1064
102.222	1.35942
