t	etaU
0	7.99405e-15
0.555556	1.82156
1.11111	0.781797
1.66667	1.23069
2.22222	0.955931
2.77778	0.356828
3.33333	0.621648
3.88889	3.36274
4.44444	0.529387
5	0.33941
5.55556	0.951138
6.11111	0.213044
6.66667	0.150274
7.22222	1.03444
7.77778	0.22902
8.33333	0.269512
8.88889	1.59989
9.44444	1.73685
10	1.35898
10.5556	0.148528
11.1111	1.0374
11.6667	0.813055
12.2222	0.123438
12.7778	0.708688
13.3333	0.917115
13.8889	0.582688
14.4444	0.932925
15	0.430342
15.5556	0.317557
16.1111	2.15257
16.6667	1.27672
17.2222	1.56353
17.7778	0.349349
18.3333	2.36543
18.8889	2.14937
19.4444	0.0760395
20	1.11446
20.5556	1.16668
21.1111	2.40274
21.6667	0.859428
22.2222	0.169997
22.7778	0.473994
23.3333	0.120366
23.8889	2.9274
24.4444	1.47351
25	0.822026
25.5556	0.132453
26.1111	0.628516
26.6667	0.37594
27.2222	0.376143
27.7778	1.17044
28.3333	0.0137372
28.8889	0.915195
29.4444	0.18698
30	1.36776
30.5556	0.155663
31.1111	2.21911
31.6667	0.311074
32.2222	0.865023
32.7778	0.252749
33.3333	1.2111
33.8889	0.468786
34.4444	1.45345
35	0.146757
35.5556	0.40049
36.1111	1.0569
36.6667	0.910524
37.2222	1.22428
37.7778	1.0039
38.3333	0.668363
38.8889	0.396953
39.4444	2.4852
40	0.184832
40.5556	0.999587
41.1111	0.36718
41.6667	2.36852
42.2222	0.536649
42.7778	0.688957
43.3333	1.59438
43.8889	1.98196
44.4444	0.460038
45	0.690365
45.5556	1.07041
46.1111	1.11869
46.6667	0.495848
47.2222	0.317861
47.7778	0.561915
48.3333	0.867758
48.8889	2.9777
49.4444	0.361687
50	0.137
50.5556	0.173073
51.1111	2.56293
51.6667	0.199715
52.2222	0.595526
52.7778	0.51487
53.3333	1.23595
53.8889	1.74494
54.4444	0.720651
55	0.32131
55.5556	0.102529
56.1111	0.640006
56.6667	1.38956
57.2222	0.218608
57.7778	0.596453
58.3333	0.253033
58.8889	0.242707
59.4444	0.342613
60	0.829849
60.5556	1.29529
61.1111	0.807398
61.6667	0.644269
62.2222	1.60701
62.7778	1.57109
63.3333	0.332469
63.8889	1.28724
64.4444	0.194404
65	1.56561
65.5556	1.05735
66.1111	0.329133
66.6667	0.431928
67.2222	0.390107
67.7778	1.08282
68.3333	1.04143
68.8889	0.195949
69.4444	1.8057
70	0.550152
70.5556	1.89974
71.1111	0.913281
71.6667	0.0587902
72.2222	0.477579
72.7778	0.61239
73.3333	3.2333
73.8889	1.09325
74.4444	0.318334
75	1.14358
75.5556	0.699996
76.1111	0.18868
76.6667	0.448283
77.2222	0.763394
77.7778	0.791812
78.3333	1.52545
78.8889	1.25708
79.4444	1.5867
80	1.4738
80.5556	0.593028
81.1111	0.188045
81.6667	0.551016
82.2222	0.270394
82.7778	0.141859
83.3333	0.644105
83.8889	0.536206
84.4444	0.0734624
85	1.06838
85.5556	1.43671
86.1111	0.298664
86.6667	0.795852
87.2222	2.30853
87.7778	1.20989
88.3333	0.118171
88.8889	0.281837
89.4444	0.30574
90	1.02719
90.5556	0.885746
91.1111	1.70436
91.6667	2.07869
92.2222	1.11244
92.7778	0.440494
93.3333	0.173036
93.8889	0.258159
94.4444	0.931939
95	0.26449
95.5556	0.35025
96.1111	0.712198
96.6667	0.656496
97.2222	0.881365
97.7778	0.621313
98.3333	0.427014
98.8889	1.08565
99.4444	0.163525
100	0.032451
100.556	0.538875
101.111	1.3379
101.667	1.29393
102.222	0.587432
102.778	0.195643
