t,	etaU
0,	19.4417
0.554477,	20.4966
1.10895,	25.6336
1.66343,	29.032
2.21791,	29.032
2.77239,	25.6336
3.32686,	20.4966
3.88134,	19.4417
4.43582,	30.7519
4.9903,	53.4576
5.54477,	78.3919
6.09925,	94.9468
6.65373,	100
7.20821,	96.2555
7.76268,	81.1689
8.31716,	57.0981
8.87164,	33.2191
9.42612,	19.9265
9.98059,	24.801
10.5351,	38.4409
11.0895,	46.9962
11.644,	47.3206
12.1985,	39.3201
12.753,	29.2138
13.3075,	22.1833
13.8619,	18.17
14.4164,	19.2908
14.9709,	24.5302
15.5254,	33.4274
16.0798,	46.1694
16.6343,	56.9507
17.1888,	59.0699
17.7433,	50.8508
18.2978,	37.2713
18.8522,	26.0941
19.4067,	24.629
19.9612,	34.7884
20.5157,	53.2298
21.0701,	69.171
21.6246,	71.4276
22.1791,	59.1544
22.7336,	46.419
23.2881,	52.0913
23.8425,	75.1731
24.397,	92.8012
24.9515,	89.8028
25.506,	70.337
26.0604,	51.8131
26.6149,	50.2445
27.1694,	58.1817
27.7239,	61.3708
28.2783,	55.5284
28.8328,	42.7625
29.3873,	30.0383
29.9418,	22.7121
30.4963,	21.0563
31.0507,	26.2837
31.6052,	38.6477
32.1597,	52.3198
32.7142,	61.4001
33.2686,	61.4651
33.8231,	52.6803
34.3776,	42.0667
34.9321,	33.7599
35.4866,	29.4925
36.041,	31.4814
36.5955,	34.7178
37.15,	37.8854
37.7045,	43.1411
38.2589,	45.0144
38.8134,	43.7732
39.3679,	47.3762
39.9224,	58.4846
40.4769,	72.5523
41.0313,	84.4
41.5858,	89.6749
42.1403,	87.4841
42.6948,	78.0818
43.2492,	63.4845
43.8037,	49.0211
44.3582,	40.3293
44.9127,	36.9251
45.4671,	33.6446
46.0216,	33.3839
46.5761,	38.2122
47.1306,	40.7555
47.6851,	39.4396
48.2395,	39.4913
48.794,	42.4309
49.3485,	46.5896
49.903,	46.1235
50.4574,	43.8927
51.0119,	47.1832
