t	etaU
0	2.69271e-16
0.555556	1.02839
1.11111	0.342849
1.66667	0.356412
2.22222	0.0241632
2.77778	0.354673
3.33333	1.7122
3.88889	1.98435
4.44444	1.73305
5	2.46391
5.55556	1.14556
6.11111	2.56418
6.66667	0.133802
7.22222	0.0219177
7.77778	0.467034
8.33333	0.0616399
8.88889	1.43221
9.44444	1.31184
10	0.355999
10.5556	1.0668
11.1111	0.263336
11.6667	0.279103
12.2222	0.318921
12.7778	0.309611
13.3333	0.527327
13.8889	0.817967
14.4444	0.543755
15	2.02786
15.5556	0.968314
16.1111	0.97989
16.6667	0.153489
17.2222	0.654886
17.7778	0.258772
18.3333	0.225507
18.8889	1.95168
19.4444	1.3328
20	2.15026
20.5556	0.0891782
21.1111	1.01131
21.6667	0.206567
22.2222	1.9971
22.7778	3.48641
23.3333	0.964261
23.8889	0.565571
24.4444	0.997468
25	0.780398
25.5556	1.41767
26.1111	1.52163
26.6667	0.886787
27.2222	0.614855
27.7778	0.244453
28.3333	0.50219
28.8889	0.33222
29.4444	0.360502
30	0.710209
30.5556	1.6861
31.1111	1.30834
31.6667	0.791476
32.2222	1.52127
32.7778	0.173312
33.3333	0.595768
33.8889	0.619582
34.4444	0.402601
35	0.98052
35.5556	0.764178
36.1111	0.297632
36.6667	1.7962
37.2222	0.591299
37.7778	0.0849513
38.3333	1.53535
38.8889	2.35034
39.4444	1.30921
40	1.11319
40.5556	2.9096
41.1111	1.1057
41.6667	0.667658
42.2222	0.45543
42.7778	1.6261
43.3333	0.0157494
43.8889	0.534826
44.4444	0.983563
45	0.278538
45.5556	1.64657
46.1111	0.143751
46.6667	0.605972
47.2222	1.15729
47.7778	0.902533
48.3333	1.17143
48.8889	0.284731
49.4444	0.673984
50	2.01037
50.5556	0.736762
51.1111	0.0592236
51.6667	0.270758
52.2222	1.70537
52.7778	0.152715
53.3333	0.00348863
53.8889	1.57355
54.4444	1.77738
55	0.833245
55.5556	0.397529
56.1111	0.0986383
56.6667	0.181753
57.2222	0.216082
57.7778	0.275317
58.3333	0.647293
58.8889	1.33519
59.4444	0.0710866
60	0.179022
60.5556	1.86662
61.1111	0.33522
61.6667	0.132383
62.2222	0.859626
62.7778	0.386455
63.3333	0.333521
63.8889	0.524739
64.4444	0.723886
65	0.421557
65.5556	1.20471
66.1111	1.26795
66.6667	0.990258
67.2222	0.890274
67.7778	1.14182
68.3333	0.0926574
68.8889	0.388834
69.4444	0.228707
70	0.50135
70.5556	0.740575
71.1111	0.882014
71.6667	0.276517
72.2222	1.28909
72.7778	1.34354
73.3333	1.43214
73.8889	0.231946
74.4444	0.53586
75	0.782684
