t,	etaU
169.116,	25.6478
169.67,	24.5726
170.225,	19.7749
170.779,	15.0639
171.334,	16.5566
171.888,	23.6061
172.442,	30.1182
172.997,	35.1686
173.551,	37.4615
174.106,	36.9182
174.66,	36.038
175.215,	36.3502
175.769,	36.2744
176.324,	33.4355
176.878,	30.1873
177.433,	29.6717
177.987,	31.6271
178.542,	34.0617
179.096,	33.1991
179.651,	28.596
180.205,	24.3715
180.76,	21.0276
181.314,	21.5238
181.869,	28.1708
182.423,	39.8038
182.978,	53.3078
183.532,	59.3979
184.086,	52.0256
184.641,	37.8384
185.195,	28.1385
185.75,	26.6557
186.304,	28.0388
186.859,	24.3419
187.413,	17.5629
187.968,	15.2482
188.522,	17.8592
189.077,	19.2783
189.631,	17.087
190.186,	16.9481
190.74,	23.5187
191.295,	31.5184
191.849,	32.5136
192.404,	25.9376
192.958,	20.1034
193.513,	21.3675
194.067,	27.3199
194.622,	33.8503
195.176,	38.6518
195.731,	40.9738
196.285,	39.7961
196.839,	33.6176
197.394,	26.7769
197.948,	23.1162
198.503,	22.1929
199.057,	23.9204
199.612,	28.2997
200.166,	35.2388
200.721,	41.5325
201.275,	41.4553
201.83,	35.4469
202.384,	27.3277
202.939,	19.9347
203.493,	15.4586
204.048,	13.3539
204.602,	14.6697
205.157,	19.094
205.711,	23.2408
206.266,	26.7429
206.82,	30.1247
207.375,	30.6872
207.929,	27.3273
208.484,	21.0428
209.038,	14.6698
209.592,	12.8951
210.147,	15.7092
210.701,	21.3102
211.256,	29.2858
211.81,	38.1323
212.365,	43.6051
212.919,	43.0182
213.474,	36.9768
214.028,	28.9585
214.583,	23.1927
215.137,	20.0262
215.692,	17.6183
216.246,	16.9312
216.801,	18.1629
217.355,	20.0705
217.91,	21.2813
218.464,	19.7217
219.019,	19.9723
219.573,	25.4683
220.128,	32.295
220.682,	35.9476
221.236,	32.4078
221.791,	22.95
222.345,	15.1554
222.9,	12.2172
223.454,	12.7701
224.009,	15.7903
224.563,	18.7079
225.118,	19.2317
225.672,	17.0311
226.227,	12.8103
226.781,	9.78981
227.336,	9.97172
227.89,	11.0313
228.445,	11.2992
228.999,	11.8235
229.554,	12.9275
230.108,	14.3471
230.663,	15.1531
231.217,	15.9465
231.772,	18.0452
232.326,	19.6298
232.881,	18.5406
233.435,	15.4351
233.989,	12.3073
234.544,	9.94118
235.098,	8.60362
235.653,	9.22181
236.207,	12.3589
236.762,	15.4647
237.316,	15.2924
237.871,	11.7666
238.425,	8.54073
238.98,	8.1573
239.534,	8.99709
240.089,	9.40523
240.643,	9.34363
241.198,	9.99886
241.752,	12.7421
242.307,	15.5294
242.861,	16.6642
243.416,	17.0177
243.97,	16.4292
244.525,	14.7957
245.079,	13.8303
245.633,	14.3683
246.188,	16.0414
246.742,	17.6931
247.297,	18.2288
247.851,	18.269
248.406,	18.486
248.96,	17.8032
249.515,	16.1339
250.069,	16.0085
250.624,	18.0155
251.178,	20.0709
251.733,	19.5289
252.287,	17.3548
252.842,	16.212
253.396,	15.8536
253.951,	14.6958
254.505,	12.2933
255.06,	11.3272
255.614,	14.8279
256.169,	19.2166
256.723,	20.1234
257.278,	17.5701
257.832,	13.399
258.386,	11.0634
258.941,	10.3673
259.495,	8.75967
260.05,	6.65512
260.604,	5.343
261.159,	5.34189
261.713,	6.28845
262.268,	7.21807
262.822,	7.33527
263.377,	6.94284
263.931,	6.74683
264.486,	6.10218
265.04,	5.62138
265.595,	6.46632
266.149,	9.16002
266.704,	13.2632
267.258,	16.3545
267.813,	16.8995
268.367,	15.0277
268.922,	11.8825
269.476,	9.93705
270.03,	9.4122
270.585,	8.69383
271.139,	7.87442
271.694,	7.27604
272.248,	7.50561
272.803,	8.50877
273.357,	9.48186
273.912,	10.8138
274.466,	12.7203
