t,	etaU
0,	41.5586
0.49925,	41.5083
0.9985,	47.9161
1.49775,	54.006
1.997,	54.006
2.49625,	47.9161
2.9955,	41.5083
3.49475,	41.5586
3.994,	52.7615
4.49325,	71.1184
4.9925,	84.165
5.49175,	83.0569
5.991,	73.8907
6.49025,	64.7167
6.9895,	53.5627
7.48875,	40.8233
7.988,	32.1969
8.48725,	31.0296
8.9865,	40.5072
9.48575,	55.0565
9.985,	61.7967
10.4842,	61.9426
10.9835,	63.714
11.4827,	66.6015
11.982,	64.7246
12.4812,	53.4794
12.9805,	37.7515
13.4797,	31.3539
13.979,	35.5093
14.4782,	39.3476
14.9775,	35.6024
15.4767,	30.5268
15.976,	33.6849
16.4752,	45.884
16.9745,	59.7899
17.4737,	63.8079
17.973,	56.5588
18.4722,	48.3945
18.9715,	50.6192
19.4707,	67.6317
19.97,	88.0342
20.4692,	92.8301
20.9685,	77.2401
21.4677,	52.4934
21.967,	33.6485
22.4662,	27.3051
22.9655,	32.0966
23.4647,	43.4122
23.964,	52.8589
24.4632,	53.5894
24.9625,	43.6171
25.4617,	30.2136
25.961,	25.2505
26.4602,	32.4932
26.9595,	42.934
27.4587,	47.0291
27.958,	43.5389
28.4572,	37.0459
28.9565,	36.7364
29.4557,	42.811
29.955,	45.7227
30.4542,	47.6855
30.9535,	57.0633
31.4527,	75.7258
31.952,	94.7719
32.4512,	95.3183
32.9505,	73.0242
33.4497,	45.9706
33.949,	30.2348
34.4482,	31.4163
34.9475,	43.1668
35.4467,	50.3162
35.946,	49.0302
36.4452,	44.1744
36.9445,	42.1519
37.4437,	44.6157
37.943,	45.0325
38.4422,	43.1913
38.9415,	45.2419
39.4407,	48.2055
39.94,	48.196
40.4392,	44.6539
40.9385,	38.7937
41.4377,	34.0948
41.937,	31.598
42.4362,	33.0562
42.9355,	39.3033
43.4347,	46.2126
43.934,	52.7829
44.4332,	64.2499
44.9325,	80.6838
45.4317,	95.249
45.931,	100
46.4302,	92.2971
46.9295,	78.2972
47.4287,	61.4126
47.928,	42.0747
48.4272,	26.31
48.9265,	18.9495
49.4257,	24.638
49.925,	43.6095
50.4242,	63.9381
