t,	etaU
0,	73.3497
0.49925,	48.0546
0.9985,	26.5153
1.49775,	17.4736
1.997,	17.4736
2.49625,	26.5153
2.9955,	48.0546
3.49475,	73.3497
3.994,	92.4555
4.49325,	100
4.9925,	96.0927
5.49175,	86.1962
5.991,	72.9286
6.49025,	56.1278
6.9895,	40.5469
7.48875,	30.4867
7.988,	30.1133
8.48725,	38.7174
8.9865,	47.6378
9.48575,	47.8235
9.985,	37.581
10.4842,	26.7973
10.9835,	28.8118
11.4827,	39.6305
11.982,	43.6972
12.4812,	35.7762
12.9805,	24.2881
13.4797,	21.0242
13.979,	25.9387
14.4782,	28.8269
14.9775,	25.6935
15.4767,	23.0963
15.976,	25.4413
16.4752,	28.3283
16.9745,	27.3231
17.4737,	22.5508
17.973,	19.0179
18.4722,	20.631
18.9715,	22.615
19.4707,	20.4538
19.97,	16.5868
20.4692,	14.8963
20.9685,	16.9584
21.4677,	20.3322
21.967,	20.8481
22.4662,	17.4224
22.9655,	15.839
23.4647,	20.5386
23.964,	30.2363
24.4632,	40.3153
24.9625,	45.6997
25.4617,	45.6045
25.961,	42.465
26.4602,	40.2036
26.9595,	40.969
27.4587,	42.4191
27.958,	44.3716
28.4572,	45.2198
28.9565,	44.7772
29.4557,	46.2512
29.955,	46.533
30.4542,	44.9762
30.9535,	42.7171
31.4527,	38.5568
31.952,	34.2117
32.4512,	31.7175
32.9505,	30.7614
33.4497,	29.4288
33.949,	24.5082
34.4482,	17.7254
34.9475,	13.2608
35.4467,	12.9528
35.946,	14.3937
36.4452,	15.3991
36.9445,	16.9574
37.4437,	19.4918
37.943,	21.6692
38.4422,	22.2966
38.9415,	22.0119
39.4407,	20.2678
39.94,	17.8333
40.4392,	16.3839
40.9385,	17.6579
41.4377,	22.1347
41.937,	27.5501
42.4362,	31.5163
42.9355,	32.6662
43.4347,	30.2265
43.934,	26.2757
44.4332,	23.6008
44.9325,	21.8236
45.4317,	19.212
45.931,	15.165
46.4302,	11.1149
46.9295,	9.73797
47.4287,	12.9889
47.928,	17.5724
48.4272,	20.2654
48.9265,	21.3104
49.4257,	20.5404
49.925,	18.2616
50.4242,	16.0379
50.9235,	15.3317
51.4227,	16.6053
51.922,	20.1138
52.4212,	23.8551
52.9205,	24.6317
53.4197,	24.4967
53.919,	25.2102
54.4182,	25.0281
54.9175,	25.3672
55.4167,	25.9926
55.916,	24.7978
56.4152,	24.5641
56.9145,	25.5517
57.4137,	24.514
57.913,	20.6614
58.4122,	14.2443
58.9115,	9.61069
59.4107,	12.4796
59.91,	21.2136
60.4092,	28.5446
60.9085,	28.4869
61.4077,	20.7251
61.907,	13.093
62.4062,	12.2643
62.9055,	17.5229
63.4047,	23.0589
63.904,	23.9429
64.4032,	21.9466
64.9025,	22.0966
65.4017,	25.9412
65.901,	30.1833
66.4002,	30.3058
66.8995,	24.9233
67.3987,	17.5062
