t,	etaU
152.77,	1.90525
153.27,	1.92511
153.769,	2.41409
154.268,	2.71478
154.767,	2.91277
155.267,	3.1429
155.766,	3.38543
156.265,	3.41875
156.764,	3.12498
157.264,	2.70814
157.763,	2.23192
158.262,	1.7942
158.761,	1.57649
159.261,	1.77441
159.76,	2.71854
160.259,	4.03824
160.758,	4.73264
161.258,	4.3584
161.757,	3.14557
162.256,	1.97076
162.755,	1.56776
163.255,	1.59077
163.754,	1.68216
164.253,	2.00871
164.752,	2.54972
165.252,	3.08415
165.751,	3.25562
166.25,	2.89521
166.749,	2.41886
167.249,	2.36178
167.748,	2.73455
168.247,	3.03558
168.746,	2.83253
169.246,	2.29009
169.745,	2.06669
170.244,	2.54421
170.743,	3.33863
171.243,	3.77812
171.742,	3.48994
172.241,	2.71035
172.74,	2.00798
173.24,	1.79298
173.739,	2.12577
174.238,	2.53669
174.737,	2.67602
175.237,	2.62859
175.736,	2.5828
176.235,	2.65589
176.734,	2.58876
177.234,	2.19526
177.733,	1.87484
178.232,	1.84468
178.731,	2.16435
179.231,	2.85416
179.73,	3.42708
180.229,	3.54508
180.728,	3.28455
181.228,	2.91833
181.727,	2.69461
182.226,	2.58799
182.725,	2.29333
183.225,	2.05632
183.724,	2.25557
184.223,	2.76353
184.722,	3.17723
185.222,	3.22738
185.721,	3.19526
186.22,	3.33207
186.719,	3.45166
187.219,	3.29745
187.718,	2.81916
188.217,	2.20171
188.716,	1.98937
189.216,	2.2779
189.715,	2.69513
190.214,	3.26029
190.713,	3.92294
191.213,	4.49777
191.712,	4.82292
192.211,	4.65519
192.71,	4.17762
193.21,	3.68401
193.709,	3.19183
194.208,	2.72048
194.707,	2.45967
195.207,	2.71131
195.706,	3.53071
196.205,	4.48501
196.704,	5.2326
197.204,	5.5712
197.703,	5.49669
198.202,	4.99418
198.701,	4.07972
199.201,	2.98415
199.7,	2.00037
200.199,	1.78864
200.698,	2.39615
201.198,	3.72513
201.697,	6.09913
202.196,	9.00039
202.695,	10.9225
203.195,	10.9791
203.694,	9.21294
204.193,	6.58471
204.692,	4.61923
205.192,	4.13631
205.691,	5.28089
206.19,	8.29052
206.689,	11.5334
207.189,	12.2369
207.688,	10.4983
208.187,	8.65865
208.686,	8.19232
209.186,	8.51572
209.685,	7.89875
210.184,	6.10136
210.683,	4.789
211.183,	4.82566
211.682,	5.35748
212.181,	5.53129
212.68,	5.62835
213.18,	5.58708
213.679,	5.14851
214.178,	4.38005
214.677,	3.95031
215.177,	4.41299
215.676,	5.53047
216.175,	6.54072
216.674,	6.73383
217.174,	5.94015
217.673,	4.7653
218.172,	4.04048
218.671,	4.08901
219.171,	4.64604
219.67,	4.79204
220.169,	4.09546
220.668,	3.07516
221.168,	2.49372
221.667,	2.46097
222.166,	2.61131
222.665,	2.57682
223.165,	2.32528
223.664,	2.04538
224.163,	1.92695
224.662,	2.28816
225.162,	2.93975
225.661,	3.63009
226.16,	4.39616
226.659,	4.88821
227.159,	4.74292
227.658,	3.97575
228.157,	2.72634
228.656,	1.67625
229.156,	1.32583
229.655,	1.31549
230.154,	1.39443
230.653,	1.47069
231.153,	1.40315
231.652,	1.26928
232.151,	1.33487
232.65,	1.92151
233.15,	2.86971
233.649,	3.39562
234.148,	3.08934
234.647,	2.47367
235.147,	2.22147
235.646,	2.39839
236.145,	2.60854
236.644,	2.47892
237.144,	2.04858
237.643,	1.6067
238.142,	1.42169
238.641,	1.57862
239.141,	2.02333
239.64,	2.45915
240.139,	2.54387
240.638,	2.25633
241.138,	1.92499
241.637,	1.68783
242.136,	1.5773
242.635,	1.6903
243.135,	1.86167
243.634,	1.937
244.133,	1.96775
244.632,	1.93205
245.132,	1.81453
245.631,	1.73646
246.13,	1.70531
246.629,	1.73186
247.129,	1.95979
247.628,	2.30114
248.127,	2.40144
248.626,	2.13113
249.126,	1.73704
249.625,	1.465
250.124,	1.33248
250.623,	1.277
251.123,	1.17848
251.622,	1.10845
252.121,	1.13301
252.62,	1.29803
253.12,	1.59819
253.619,	1.91957
254.118,	2.12473
254.617,	2.23394
255.117,	2.25921
255.616,	2.15911
256.115,	1.86777
256.614,	1.37952
257.114,	0.922583
257.613,	0.809652
258.112,	1.08529
258.611,	1.41758
259.111,	1.53267
259.61,	1.34963
260.109,	1.16801
260.608,	1.29222
261.108,	1.4836
261.607,	1.40066
262.106,	1.29313
262.605,	1.41256
263.105,	1.72246
263.604,	1.97084
264.103,	1.9311
264.602,	1.7298
265.102,	1.57995
265.601,	1.4422
266.1,	1.28893
266.599,	1.13827
267.099,	1.01974
267.598,	1.09141
268.097,	1.25749
268.596,	1.38096
269.096,	1.44096
269.595,	1.39725
270.094,	1.30691
270.593,	1.52423
271.093,	2.12007
271.592,	2.69501
272.091,	2.74453
272.59,	2.0519
273.09,	1.08497
273.589,	0.541376
274.088,	0.46585
274.587,	0.523054
275.087,	0.558689
275.586,	0.56474
276.085,	0.58469
276.584,	0.630693
277.084,	0.676833
277.583,	0.924481
278.082,	1.48406
278.581,	2.01936
279.081,	2.18336
279.58,	2.10158
280.079,	2.09163
280.578,	2.23697
281.078,	2.33828
281.577,	2.12079
282.076,	1.68072
282.575,	1.35437
283.075,	1.16715
283.574,	1.02145
284.073,	1.06073
284.572,	1.23284
