t,	etaU
0,	4.08247
0.49925,	2.85995
0.9985,	1.44856
1.49775,	0.686141
1.997,	0.686141
2.49625,	1.44856
2.9955,	2.85995
3.49475,	4.08247
3.994,	4.54909
4.49325,	4.39072
4.9925,	4.05808
5.49175,	3.93565
5.991,	3.91637
6.49025,	3.91557
6.9895,	3.99976
7.48875,	3.99255
7.988,	4.05973
8.48725,	4.48776
8.9865,	5.05301
9.48575,	5.15939
9.985,	4.32198
10.4842,	3.0228
10.9835,	2.20181
11.4827,	1.96799
11.982,	2.02866
12.4812,	2.32199
12.9805,	2.68746
13.4797,	2.845
13.979,	2.6301
14.4782,	2.33712
14.9775,	2.36315
15.4767,	2.58029
15.976,	2.6589
16.4752,	2.44558
16.9745,	2.21665
17.4737,	2.66623
17.973,	4.0467
18.4722,	5.59213
18.9715,	6.41883
19.4707,	5.93595
19.97,	4.30993
20.4692,	2.56064
20.9685,	1.34887
21.4677,	0.979576
21.967,	1.5655
22.4662,	2.58871
22.9655,	3.5226
23.4647,	4.22992
23.964,	4.74476
24.4632,	5.18554
24.9625,	5.16817
25.4617,	4.32583
25.961,	3.12946
26.4602,	2.37107
26.9595,	2.75024
27.4587,	3.89609
27.958,	4.68425
28.4572,	4.56816
28.9565,	4.04369
29.4557,	3.68544
29.955,	3.55011
30.4542,	3.3077
30.9535,	3.10348
31.4527,	3.43053
31.952,	4.01672
32.4512,	4.63226
32.9505,	5.22608
33.4497,	5.85516
33.949,	6.77723
34.4482,	7.60635
34.9475,	7.53428
35.4467,	6.45372
35.946,	4.5519
36.4452,	2.95115
36.9445,	2.79838
37.4437,	3.7155
37.943,	4.62449
38.4422,	4.54773
38.9415,	3.72069
39.4407,	3.15843
39.94,	3.22676
40.4392,	3.61144
40.9385,	3.68733
41.4377,	3.02756
41.937,	2.04448
42.4362,	1.24456
42.9355,	0.989117
43.4347,	1.2294
43.934,	1.5295
44.4332,	1.68354
44.9325,	2.08803
45.4317,	3.3532
45.931,	5.58075
46.4302,	7.89996
46.9295,	9.7286
47.4287,	10.8441
47.928,	10.5466
48.4272,	8.9219
48.9265,	6.936
49.4257,	5.47104
49.925,	5.51792
50.4242,	7.21547
50.9235,	8.99213
51.4227,	10.5371
51.922,	11.5494
52.4212,	11.3432
52.9205,	11.9342
53.4197,	14.3173
53.919,	16.1465
54.4182,	15.7176
54.9175,	12.6345
55.4167,	8.30175
55.916,	5.88037
56.4152,	5.7148
56.9145,	6.97394
57.4137,	8.93208
57.913,	10.0063
58.4122,	9.6987
58.9115,	9.68249
59.4107,	11.3281
59.91,	14.251
60.4092,	16.5661
60.9085,	16.4357
61.4077,	13.9454
61.907,	10.756
62.4062,	10.6351
62.9055,	14.8082
63.4047,	21.2538
63.904,	28.254
64.4032,	32.7157
64.9025,	31.8323
65.4017,	28.7994
65.901,	29.3782
66.4002,	36.0995
66.8995,	45.0197
67.3987,	51.0892
67.898,	57.4239
68.3972,	66.8364
68.8965,	73.7507
69.3957,	71.6756
69.895,	70.3996
70.3942,	82.0234
70.8935,	97.5474
71.3927,	100
71.892,	84.262
72.3912,	60.1419
72.8905,	42.553
73.3897,	33.4515
73.889,	26.9445
74.3882,	24.184
74.8875,	23.7884
75.3867,	21.1598
75.886,	15.6775
76.3852,	9.99571
76.8845,	8.1234
77.3837,	11.52
77.883,	16.4911
78.3822,	18.5991
78.8815,	17.0387
79.3807,	15.0479
79.88,	14.7408
80.3792,	13.6104
80.8785,	10.1676
81.3777,	5.97333
81.877,	3.13137
82.3762,	2.81796
82.8755,	3.26018
83.3747,	3.27957
83.874,	3.74289
84.3732,	5.04342
84.8725,	6.3202
85.3717,	6.60073
85.871,	6.32434
86.3702,	6.46639
86.8695,	6.97071
87.3687,	6.69005
87.868,	5.37788
88.3672,	4.37134
88.8665,	4.6705
89.3657,	5.7637
89.865,	6.58197
90.3642,	6.82291
90.8635,	6.64728
91.3627,	6.00976
91.862,	5.21584
92.3612,	4.95054
92.8605,	5.02572
93.3597,	4.72863
93.859,	3.73712
94.3582,	2.50395
94.8575,	1.87741
95.3567,	2.06817
95.856,	2.85992
96.3552,	4.52062
96.8545,	6.80877
97.3537,	8.09698
97.853,	7.45366
98.3522,	5.94742
98.8515,	5.03712
99.3507,	5.14243
99.85,	5.53851
100.349,	5.48475
100.848,	5.28101
101.348,	5.1737
101.847,	4.68142
102.346,	3.53621
102.845,	2.23609
103.345,	1.4547
103.844,	1.38335
104.343,	1.83373
104.842,	2.32528
105.342,	2.3788
105.841,	2.24497
106.34,	2.3501
106.839,	2.53839
107.339,	2.65152
107.838,	2.59955
108.337,	2.52027
108.836,	2.77628
109.336,	3.01307
109.835,	2.67852
110.334,	2.237
110.833,	2.21577
111.333,	2.55163
111.832,	2.93776
112.331,	3.26546
112.83,	3.75497
113.33,	4.48735
113.829,	5.0846
114.328,	5.3097
114.827,	5.10758
115.327,	4.4524
115.826,	3.55789
116.325,	2.59842
116.824,	1.911
117.324,	1.66754
117.823,	1.81129
118.322,	2.3235
118.821,	2.99308
119.321,	3.40429
119.82,	3.29478
120.319,	2.7967
120.818,	2.32439
121.318,	2.03371
121.817,	1.9587
122.316,	2.09508
122.815,	2.1396
123.315,	2.05267
123.814,	2.20068
124.313,	2.69845
124.812,	3.19412
125.312,	3.35855
125.811,	3.40499
126.31,	3.68072
126.809,	4.21356
127.309,	4.9325
127.808,	5.44568
128.307,	5.28076
128.806,	4.34109
129.306,	2.84329
129.805,	1.66413
130.304,	1.6312
130.803,	2.32604
131.303,	2.92505
131.802,	3.29321
132.301,	3.83905
132.8,	4.51808
133.3,	4.60313
133.799,	3.79867
134.298,	2.57864
134.797,	1.80235
135.297,	1.71726
135.796,	1.7658
136.295,	1.67814
136.794,	1.53972
137.294,	1.394
137.793,	1.50995
138.292,	2.14194
138.791,	3.00883
139.291,	3.4471
139.79,	3.35843
140.289,	3.24488
140.788,	3.38484
141.288,	3.38168
141.787,	2.96631
142.286,	2.47684
142.785,	2.2179
143.285,	2.17147
143.784,	2.34227
144.283,	2.85921
144.782,	3.43031
145.282,	3.40011
145.781,	2.93786
146.28,	2.79903
146.779,	3.07936
147.279,	3.22151
147.778,	2.65746
148.277,	1.97081
148.776,	2.05491
149.276,	2.52027
