t	tSc	energy	enstrophy	enScaled	ensScaled
0	0	0.1649998	4201.087	1.0041187911003047	0.9942928478205073
1	0.355	0.1652889	4223.625	1.0058781310662144	0.9996270320933344
2	0.71	0.160777	4249.873	0.9784206215809577	1.0058392811302128
3	1.065	0.1565429	4247.785	0.9526536850549874	1.005345103440903
4	1.42	0.1616345	4206.743	0.9836390028357743	0.9956314824041932
5	1.7750000000000001	0.1665502	4165.184	1.0135538678320457	0.9857955003208484
6	2.13	0.1693103	4156.915	1.0303506656179577	0.9838384336001097
7	2.4850000000000003	0.1639723	4159.536	0.9978658619582356	0.984458759138271
8	2.84	0.1648473	4200.624	1.0031907407896814	0.9941832672313548
9	3.195	0.1696744	4245.568	1.03256642376942	1.0048203946587193
10	3.5500000000000003	0.1677467	4258.111	1.0208352592855596	1.0077890109216563
11	3.905	0.164339	4207.897	1.000097442606797	0.9959046055140893
12	4.26	0.1595571	4105.945	0.9709968276535513	0.9717751017877926
13	4.615	0.1561152	4072.61	0.9500508842821768	0.9638855360439516
14	4.970000000000001	0.1510104	4093.237	0.9189852369007323	0.9687674341269937
15	5.324999999999999	0.1635006	4130.819	0.9949952958499009	0.9776621591842921
16	5.68	0.1623985	4184.944	0.9882883827526023	0.9904722010587605
17	6.035	0.1613546	4222.062	0.9819356501672925	0.9992571088517678
18	6.39	0.1602039	4244.34	0.974932978085756	1.0045297575885699
19	6.745	0.1582482	4233.043	0.9630314174792893	1.0018560385482764
20	7.1000000000000005	0.1645196	4177.952	1.0011964975976073	0.9888173684899608
21	7.454999999999999	0.1628726	4121.042	0.9911735542428748	0.9753481863546075
22	7.81	0.1603044	4038.865	0.9755445784543963	0.9558989334933014
23	8.165000000000001	0.1661061	4010.56	1.0108512636159943	0.9491998436964084
24	8.52	0.1604964	4022.214	0.9767130090094107	0.951958055761167
25	8.875	0.1640503	4036.115	0.9983405368712104	0.955248076862266
26	9.23	0.1694205	4034.603	1.0310212960719296	0.9548902240527659
27	9.585	0.1737964	4017.16	1.0576511672473845	0.9507618996108933
