"N","Time","avg(U (0))","avg(U (1))","avg(U (2))","avg(U (Magnitude))","avg(Volume)","avg(energy)","max(U (0))","max(U (1))","max(U (2))","max(U (Magnitude))","max(Volume)","max(energy)","med(U (0))","med(U (1))","med(U (2))","med(U (Magnitude))","med(Volume)","med(energy)","min(U (0))","min(U (1))","min(U (2))","min(U (Magnitude))","min(Volume)","min(energy)","q1(U (0))","q1(U (1))","q1(U (2))","q1(U (Magnitude))","q1(Volume)","q1(energy)","q3(U (0))","q3(U (1))","q3(U (2))","q3(U (Magnitude))","q3(Volume)","q3(energy)","std(U (0))","std(U (1))","std(U (2))","std(U (Magnitude))","std(Volume)","std(energy)","vtkValidPointMask"
1,15.159,1.9275e-05,-3.8051e-29,2.25e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8051e-29,2.25e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8051e-29,2.25e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8051e-29,2.25e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8051e-29,2.25e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8051e-29,2.25e-09,1.9275e-05,0.00016045,2.434e-06,0,0,0,0,0,0,1
1,15.174,1.9275e-05,-3.841e-29,2.5758e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.841e-29,2.5758e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.841e-29,2.5758e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.841e-29,2.5758e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.841e-29,2.5758e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.841e-29,2.5758e-09,1.9275e-05,0.00016045,2.434e-06,0,0,0,0,0,0,1
1,15.189,1.9275e-05,-3.8735e-29,2.8583e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8735e-29,2.8583e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8735e-29,2.8583e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8735e-29,2.8583e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8735e-29,2.8583e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8735e-29,2.8583e-09,1.9275e-05,0.00016045,2.434e-06,0,0,0,0,0,0,1
1,15.204,1.9275e-05,-3.8982e-29,3.0839e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8982e-29,3.0839e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8982e-29,3.0839e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8982e-29,3.0839e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8982e-29,3.0839e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.8982e-29,3.0839e-09,1.9275e-05,0.00016045,2.434e-06,0,0,0,0,0,0,1
1,15.219,1.9275e-05,-3.9164e-29,3.2537e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.9164e-29,3.2537e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.9164e-29,3.2537e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.9164e-29,3.2537e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.9164e-29,3.2537e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.9164e-29,3.2537e-09,1.9275e-05,0.00016045,2.434e-06,0,0,0,0,0,0,1
1,15.234,1.9275e-05,-3.9254e-29,3.3708e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.9254e-29,3.3708e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.9254e-29,3.3708e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.9254e-29,3.3708e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.9254e-29,3.3708e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.9254e-29,3.3708e-09,1.9275e-05,0.00016045,2.434e-06,0,0,0,0,0,0,1
1,15.249,1.9275e-05,-3.9303e-29,3.4345e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9303e-29,3.4345e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9303e-29,3.4345e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9303e-29,3.4345e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9303e-29,3.4345e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9303e-29,3.4345e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.264,1.9275e-05,-3.9285e-29,3.4331e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9285e-29,3.4331e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9285e-29,3.4331e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9285e-29,3.4331e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9285e-29,3.4331e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9285e-29,3.4331e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.279,1.9275e-05,-3.9187e-29,3.3647e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9187e-29,3.3647e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9187e-29,3.3647e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9187e-29,3.3647e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9187e-29,3.3647e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.9187e-29,3.3647e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.294,1.9275e-05,-3.904e-29,3.2336e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.904e-29,3.2336e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.904e-29,3.2336e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.904e-29,3.2336e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.904e-29,3.2336e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.904e-29,3.2336e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
