t	tSc	enstrophy	ensScaled
30.003	0	0.00098568	0.999444466816715
30.018	0.021358650000001	0.00098573	0.999495165038593
30.033	0.042717300000002	0.00098577	0.999535723616096
30.048	0.064075949999997	0.00098581	0.999576282193598
30.063	0.085434599999998	0.00098588	0.999647259704227
30.078	0.106793249999999	0.00098599	0.999758795792359
30.093	0.1281519	0.00098611	0.999880471524867
30.108	0.149510550000001	0.00098623	1.00000214725737
30.123	0.170869200000001	0.00098634	1.00011368334551
30.138	0.192227850000002	0.00098644	1.00021507978926
30.153	0.213586499999998	0.00098655	1.00032661587739
30.168	0.234945149999999	0.00098667	1.0004482916099
30.183	0.2563038	0.00098679	1.00056996734241
30.198	0.27766245	0.00098689	1.00067136378617
30.213	0.299021100000001	0.00098692	1.00070178271929
30.228	0.320379750000002	0.00098685	1.00063080520866
30.243	0.341738399999998	0.00098671	1.0004888501874
30.258	0.363097049999999	0.0009865	1.00027591765552
30.273	0.384455699999999	0.00098626	1.0000325661905
30.288	0.40581435	0.00098601	0.999779075081111
30.303	0.427173000000001	0.0009858	0.999566142549223
30.318	0.448531650000002	0.00098566	0.999424187527964
30.333	0.469890299999998	0.00098563	0.999393768594837
30.348	0.491248949999998	0.00098567	0.999434327172339
30.363	0.512607599999999	0.00098572	0.999485025394218
30.378	0.53396625	0.00098577	0.999535723616096
30.393	0.555324900000001	0.00098581	0.999576282193598
30.408	0.576683550000002	0.00098587	0.999637120059852
30.423	0.598042199999997	0.00098597	0.999738516503608
30.438	0.619400849999998	0.0009861	0.999870331880491
30.453	0.640759499999999	0.00098622	0.999992007612999
30.468	0.66211815	0.00098634	1.00011368334551
30.483	0.683476800000001	0.00098644	1.00021507978926
30.498	0.704835450000001	0.00098655	1.00032661587739
30.513	0.726194100000002	0.00098666	1.00043815196553
30.528	0.747552749999998	0.00098679	1.00056996734241
30.543	0.768911399999999	0.0009869	1.00068150343054
30.558	0.79027005	0.00098695	1.00073220165242
30.573	0.8116287	0.00098692	1.00070178271929
30.588	0.832987350000001	0.00098679	1.00056996734241
30.603	0.854346000000002	0.00098661	1.00038745374365
30.618	0.875704649999998	0.00098637	1.00014410227863
30.633	0.897063299999999	0.00098611	0.999880471524867
30.648	0.918421949999999	0.00098588	0.999647259704227
30.663	0.9397806	0.00098571	0.999474885749842
30.678	0.961139250000001	0.00098563	0.999393768594837
30.693	0.982497900000002	0.00098564	0.999403908239213
30.708	1.00385655	0.00098569	0.999454606461091
30.723	1.0252152	0.00098574	0.999505304682969
30.738	1.04657385	0.00098578	0.999545863260471
30.753	1.0679325	0.00098582	0.999586421837974
30.768	1.08929115	0.0009859	0.999667538992979
30.783	1.1106498	0.00098602	0.999789214725486
30.798	1.13200845	0.00098614	0.999910890457994
30.813	1.1533671	0.00098626	1.0000325661905
30.828	1.17472575	0.00098637	1.00014410227863
30.843	1.1960844	0.00098647	1.00024549872239
30.858	1.21744305	0.00098658	1.00035703481052
30.873	1.2388017	0.0009867	1.00047871054303
30.888	1.26016035	0.00098682	1.00060038627554
30.903	1.281519	0.0009869	1.00068150343054
30.918	1.30287765	0.00098691	1.00069164307492
30.933	1.3242363	0.00098682	1.00060038627554
30.948	1.34559495	0.00098666	1.00043815196553
30.963	1.3669536	0.00098644	1.00021507978926
30.978	1.38831225	0.00098619	0.999961588679872
30.993	1.4096709	0.00098595	0.999718237214857
31.008	1.43102955	0.00098576	0.99952558397172
31.023	1.4523882	0.00098564	0.999403908239213
31.038	1.47374685	0.00098563	0.999393768594837
31.053	1.4951055	0.00098568	0.999444466816715
31.068	1.51646415	0.00098574	0.999505304682969
31.083	1.5378228	0.00098578	0.999545863260471
31.098	1.55918145	0.00098583	0.999596561482349
31.113	1.5805401	0.0009859	0.999667538992979
31.128	1.60189875	0.000986	0.999768935436735
31.143	1.6232574	0.00098613	0.999900750813618
31.158	1.64461605	0.00098625	1.00002242654613
31.173	1.6659747	0.00098637	1.00014410227863
31.188	1.68733335	0.00098647	1.00024549872239
31.203	1.708692	0.00098657	1.00034689516615
31.218	1.73005065	0.00098669	1.00046857089865
31.233	1.7514093	0.00098682	1.00060038627554
31.248	1.77276795	0.00098692	1.00070178271929
31.263	1.7941266	0.00098695	1.00073220165242
31.278	1.81548525	0.00098689	1.00067136378617
31.293	1.8368439	0.00098675	1.00052940876491
31.308	1.85820255	0.00098655	1.00032661587739
31.323	1.8795612	0.0009863	1.000073124768
31.338	1.90091985	0.00098605	0.999819633658613
31.353	1.9222785	0.00098583	0.999596561482349
31.368	1.94363715	0.00098568	0.999444466816715
31.383	1.9649958	0.00098563	0.999393768594837
31.398	1.98635445	0.00098565	0.999414047883588
31.413	2.0077131	0.00098571	0.999474885749842
31.428	2.02907175	0.00098575	0.999515444327344
31.443	2.0504304	0.00098579	0.999556002904847
31.458	2.07178905	0.00098584	0.999606701126725
31.473	2.0931477	0.00098593	0.999697957926106
31.488	2.11450635	0.00098605	0.999819633658613
31.503	2.135865	0.00098617	0.999941309391121
31.518	2.15722365	0.00098629	1.00006298512363
31.533	2.1785823	0.0009864	1.00017452121176
31.548	2.19994095	0.0009865	1.00027591765552
31.563	2.2212996	0.00098661	1.00038745374365
31.578	2.24265825	0.00098673	1.00050912947616
31.593	2.2640169	0.00098685	1.00063080520866
31.608	2.28537555	0.00098691	1.00069164307492
31.623	2.3067342	0.00098689	1.00067136378617
31.638	2.32809285	0.00098678	1.00055982769803
31.653	2.3494515	0.00098661	1.00038745374365
31.668	2.37081015	0.00098638	1.00015424192301
31.683	2.3921688	0.00098612	0.999890611169243
