t	tSc	energy	enScaled
0.885	62.835	0.015059	0.999714
0.89	63.19	0.01501	0.996461
0.895	63.545	0.014927	0.990951
0.9	63.9	0.014895	0.988827
0.905	64.255	0.014906	0.989557
0.91	64.61	0.01484	0.985176
0.915	64.965	0.014869	0.987101
0.92	65.32	0.014826	0.984246
0.925	65.675	0.014817	0.983649
0.93	66.03	0.014879	0.987765
0.935	66.385	0.014903	0.989358
0.94	66.74	0.014981	0.994536
0.945	67.095	0.014972	0.993939
0.95	67.45	0.01493	0.99115
0.955	67.805	0.014949	0.992412
0.96	68.16	0.014996	0.995532
0.965	68.515	0.014991	0.9952
0.97	68.87	0.015053	0.999316
0.975	69.225	0.015143	1.00529
0.98	69.58	0.015119	1.0037
0.985	69.935	0.015129	1.00436
0.99	70.29	0.015165	1.00675
0.995	70.645	0.015173	1.00728
