x	ux	uy
123.5	0.93317	0.8128
124	0.73616	0.96385
124.5	0.60055	0.80344
125	0.69331	0.98233
125.5	0.67567	1.4909
126	0.60988	1.5865
126.5	0.46556	1.3597
127	0.44787	1.2739
127.5	0.4667	1.0485
128	0.47156	1.0627
128.5	0.48182	1.0669
129	0.44713	1.0166
129.5	0.5941	0.81685
130	0.81754	0.77974
130.5	0.80759	0.83691
131	0.88332	0.75098
131.5	0.89747	0.51123
132	0.94552	0.33683
132.5	0.80426	0.53845
133	0.49229	0.84784
133.5	0.35309	0.93589
134	0.33504	1.0212
134.5	0.36836	1.1934
135	0.50681	1.4007
135.5	0.56712	1.3644
136	0.54811	0.95929
136.5	0.57676	1.0747
137	0.72527	1.4861
137.5	0.75562	1.2931
138	0.9783	0.70434
138.5	1.1989	0.43572
139	1.2529	0.39005
139.5	1.2389	0.47185
140	0.87764	0.9018
140.5	0.65303	1.2874
141	0.87043	1.0126
141.5	0.92521	0.63291
142	1.0583	0.70638
142.5	1.2383	1.0217
143	1.1563	1.3831
143.5	1.0674	1.3508
144	1.2489	0.75129
144.5	1.1104	0.38134
145	0.90325	0.46428
145.5	0.96528	0.81776
146	0.86051	1.1413
146.5	0.50363	1.2438
147	0.27716	1.2986
147.5	0.25951	1.1925
148	0.3019	0.81985
148.5	0.52675	0.71049
149	0.76929	0.88525
149.5	0.80341	0.89128
150	0.67738	0.78326
150.5	0.54079	0.65672
151	0.51813	0.4956
151.5	0.66643	0.39841
152	0.56291	0.44263
152.5	0.35616	0.52799
153	0.33471	0.58269
153.5	0.39335	0.7476
154	0.35717	1.1479
154.5	0.38113	1.5005
155	0.34246	1.333
155.5	0.36688	0.89652
156	0.51041	0.8899
156.5	0.70169	1.1161
157	0.8083	1.163
157.5	0.70852	0.86399
158	0.62459	0.68655
158.5	0.43239	0.97921
159	0.31008	1.0581
159.5	0.42136	0.74191
160	0.64354	0.55463
160.5	0.72868	0.74141
161	0.48674	1.0539
161.5	0.24266	1.1129
162	0.30697	1.2112
162.5	0.46384	1.1639
163	0.37476	0.76457
163.5	0.27643	0.66557
164	0.22836	1.0912
164.5	0.27502	1.4687
165	0.39852	1.4013
165.5	0.52253	1.1985
166	0.52976	1.0308
166.5	0.53957	0.71657
167	0.61628	0.4815
167.5	0.629	0.47605
168	0.5216	0.49219
168.5	0.29858	0.6986
169	0.2276	0.9
169.5	0.35017	0.83868
170	0.49908	0.78151
170.5	0.46832	0.70722
171	0.49986	0.64828
171.5	0.50914	0.99844
172	0.29195	1.2339
172.5	0.12099	0.9394
173	0.12688	0.64018
173.5	0.25128	0.55939
174	0.38062	0.58251
174.5	0.48942	0.91647
175	0.53404	1.0275
175.5	0.51692	0.74308
176	0.62325	0.67825
176.5	0.73549	0.77339
177	0.61404	0.94727
177.5	0.61375	1.2483
178	0.75661	1.1944
178.5	0.67822	1.0367
179	0.48299	1.1314
179.5	0.3519	1.1748
180	0.26892	0.97144
180.5	0.23299	0.82906
181	0.24971	0.92056
181.5	0.27869	1.0209
182	0.31119	0.95981
182.5	0.2978	0.70602
183	0.30638	0.74505
183.5	0.32157	1.0369
184	0.48977	1.0745
184.5	0.6354	0.90109
185	0.57256	0.61878
185.5	0.41569	0.50426
186	0.37459	0.48775
186.5	0.34526	0.706
187	0.37845	0.90081
187.5	0.51181	0.80298
188	0.48074	0.72085
188.5	0.33046	0.70579
189	0.25062	0.78148
189.5	0.23983	0.87544
190	0.24767	0.80947
190.5	0.26403	0.85979
191	0.3119	0.93547
191.5	0.47781	1.0223
192	0.59346	1.1406
192.5	0.52762	1.1108
193	0.53615	0.71612
193.5	0.62168	0.44029
194	0.59907	0.62312
194.5	0.44957	0.89183
195	0.46756	0.84769
195.5	0.58195	0.65627
196	0.63186	0.72276
196.5	0.62177	0.99482
197	0.59032	1.1265
197.5	0.48552	0.9721
198	0.44034	0.84658
198.5	0.49451	0.98091
199	0.64048	1.2625
199.5	0.63666	1.1359
200	0.5887	0.92132
200.5	0.48085	1.1226
201	0.42505	1.4924
201.5	0.54691	1.4321
202	0.53718	1.2699
202.5	0.4376	1.2403
203	0.37989	1.3435
203.5	0.35842	1.1874
204	0.28472	0.97655
204.5	0.20717	0.97879
205	0.23099	0.96223
205.5	0.30917	0.79521
206	0.35952	0.68919
206.5	0.3463	0.88556
207	0.40654	1.187
207.5	0.43834	1.758
208	0.38003	2.2518
208.5	0.32999	2.2719
209	0.33192	1.8075
209.5	0.36265	1.7023
210	0.27136	1.6826
210.5	0.20401	1.82
211	0.25318	2.0282
211.5	0.3865	1.9688
212	0.4093	1.4931
212.5	0.39237	1.324
213	0.46253	1.5062
213.5	0.43493	1.5582
214	0.35905	1.5739
214.5	0.41911	1.8894
215	0.48713	2.8817
215.5	0.48245	3.3261
216	0.43388	2.7238
216.5	0.35756	2.1424
217	0.29376	1.7012
217.5	0.28842	1.1566
218	0.30993	0.92515
218.5	0.27923	1.2132
219	0.35157	1.4731
219.5	0.40901	1.6398
220	0.28464	1.6588
220.5	0.26305	1.3502
221	0.39501	1.2045
221.5	0.45231	0.86721
222	0.33007	0.6757
222.5	0.18602	1.1589
223	0.19282	1.7556
223.5	0.37339	1.3029
224	0.57515	0.76604
224.5	0.53059	0.71951
225	0.43907	0.67544
225.5	0.44834	0.49094
226	0.4633	0.43674
226.5	0.46847	0.67091
227	0.49137	0.92436
227.5	0.52691	0.70075
228	0.54622	0.54264
228.5	0.39083	0.75561
229	0.28553	0.8759
229.5	0.25797	0.94555
230	0.24832	1.0415
230.5	0.27983	1.2869
231	0.36245	1.3202
231.5	0.50993	0.9018
232	0.58513	0.74501
232.5	0.58909	0.97104
233	0.67138	1.0709
233.5	0.61028	1.1431
234	0.42423	1.0267
234.5	0.36853	0.97181
235	0.39485	0.90695
235.5	0.51348	0.64245
236	0.65306	0.48555
236.5	0.50163	0.53321
237	0.34373	0.69059
237.5	0.36413	0.85554
238	0.34032	0.74239
238.5	0.27576	0.61415
239	0.23843	0.65636
239.5	0.21984	0.8135
240	0.24655	0.64526
240.5	0.27243	0.58476
241	0.28762	0.66051
241.5	0.28678	0.70726
242	0.26326	0.75207
242.5	0.36523	0.67582
243	0.49379	0.66477
243.5	0.49482	0.86726
244	0.47565	1.0813
244.5	0.42148	0.92345
245	0.33097	0.77789
245.5	0.22108	0.68617
246	0.23033	0.60108
246.5	0.33288	0.63176
247	0.32728	0.75785
247.5	0.25514	0.77507
248	0.24577	0.86808
248.5	0.2411	0.7382
249	0.25373	0.50446
249.5	0.32041	0.38161
250	0.38764	0.67419
250.5	0.40583	1.17
251	0.32409	1.0408
251.5	0.31201	0.65639
252	0.29879	0.47259
252.5	0.24597	0.46541
253	0.17567	0.56843
253.5	0.17649	0.6226
254	0.25135	0.5284
254.5	0.3525	0.43687
255	0.36464	0.49431
255.5	0.28783	0.69894
256	0.30043	0.76838
256.5	0.38618	0.65321
257	0.46531	0.48728
257.5	0.405	0.45159
258	0.30455	0.7354
258.5	0.25068	0.88096
259	0.32303	0.65337
259.5	0.39782	0.5381
260	0.29893	0.58362
260.5	0.19199	0.80178
261	0.16764	0.96239
261.5	0.19761	0.8645
262	0.25188	0.57618
262.5	0.23758	0.47664
263	0.31687	0.39772
263.5	0.4392	0.35776
264	0.35261	0.50697
264.5	0.22624	0.58322
265	0.24028	0.51393
265.5	0.2546	0.5546
266	0.17536	0.7203
266.5	0.15839	0.75577
267	0.25801	0.72516
267.5	0.35774	0.69068
268	0.30821	0.76756
268.5	0.27843	0.70546
269	0.3236	0.61208
269.5	0.34999	0.75636
270	0.25095	0.99555
270.5	0.1892	0.92439
271	0.17518	0.58945
271.5	0.16696	0.36203
272	0.15435	0.31854
272.5	0.19404	0.2693
273	0.25065	0.34922
273.5	0.26037	0.47235
274	0.27797	0.40763
274.5	0.33474	0.31314
275	0.25837	0.29951
275.5	0.18137	0.31283
276	0.15952	0.29783
276.5	0.18029	0.33032
277	0.26232	0.48091
277.5	0.43438	0.74484
278	0.49273	0.83858
278.5	0.44769	0.65465
279	0.46688	0.33477
279.5	0.45292	0.1646
280	0.45959	0.33048
280.5	0.42547	0.67138
281	0.35915	0.85111
281.5	0.38277	0.92895
282	0.46478	0.83822
282.5	0.37089	0.65876
283	0.26391	0.47402
283.5	0.25481	0.35654
284	0.23098	0.30736
284.5	0.24508	0.3659
285	0.24693	0.47751
285.5	0.25324	0.57035
286	0.30188	0.56139
286.5	0.32553	0.52933
287	0.32801	0.57559
287.5	0.33698	0.71893
288	0.36043	0.65247
288.5	0.35382	0.39179
289	0.27204	0.28932
289.5	0.2336	0.39225
290	0.3359	0.53274
290.5	0.41034	0.71721
291	0.28339	0.7444
291.5	0.14099	0.66222
292	0.1319	0.47501
292.5	0.22529	0.33849
293	0.28255	0.27325
293.5	0.25734	0.27519
294	0.29741	0.35754
294.5	0.26634	0.38043
295	0.23136	0.50865
295.5	0.28534	0.64715
296	0.33032	0.56755
296.5	0.31483	0.47402
297	0.32524	0.49274
297.5	0.32083	0.54123
298	0.2394	0.48547
298.5	0.18721	0.55403
299	0.18988	0.64302
299.5	0.18158	0.53768
300	0.12681	0.4463
300.5	0.14854	0.46015
301	0.26464	0.35218
301.5	0.33658	0.2983
302	0.30284	0.41604
302.5	0.18509	0.439
303	0.13906	0.45034
303.5	0.20418	0.59982
304	0.27571	0.74549
304.5	0.28006	0.65407
305	0.2773	0.46317
305.5	0.26116	0.34383
306	0.20068	0.38492
306.5	0.19093	0.62482
307	0.21199	0.8526
307.5	0.194	0.78701
308	0.22508	0.55074
308.5	0.36217	0.35707
309	0.37744	0.45864
309.5	0.23669	0.61385
310	0.14056	0.54322
310.5	0.17146	0.42236
311	0.23459	0.41226
311.5	0.16358	0.47152
312	0.14893	0.49053
312.5	0.18563	0.4728
313	0.19505	0.38714
313.5	0.25095	0.41588
314	0.23468	0.49173
314.5	0.18559	0.40576
315	0.21024	0.28552
315.5	0.26242	0.37078
316	0.24595	0.54772
316.5	0.23983	0.42118
317	0.22968	0.26117
317.5	0.28188	0.287
318	0.3194	0.31445
318.5	0.31291	0.25671
319	0.30153	0.34237
319.5	0.27878	0.48619
320	0.22296	0.43892
320.5	0.19042	0.36902
321	0.22153	0.3571
321.5	0.23568	0.4306
322	0.20314	0.51647
322.5	0.22445	0.59137
323	0.32039	0.49535
323.5	0.30645	0.37863
324	0.18395	0.24055
324.5	0.1363	0.20839
325	0.2279	0.29752
325.5	0.32299	0.38684
326	0.33321	0.37196
326.5	0.36061	0.30636
327	0.40752	0.34763
327.5	0.30839	0.47831
328	0.1658	0.56624
328.5	0.18558	0.50193
329	0.28111	0.30766
329.5	0.26769	0.34701
330	0.17697	0.60762
330.5	0.16679	0.56955
331	0.19376	0.27516
331.5	0.22621	0.24637
332	0.20534	0.50543
332.5	0.16613	0.59414
333	0.13496	0.40305
333.5	0.131	0.38945
334	0.20271	0.58129
334.5	0.25768	0.60795
335	0.2646	0.39836
335.5	0.25754	0.28712
336	0.21305	0.33476
336.5	0.24473	0.33793
337	0.28005	0.42535
337.5	0.29402	0.62884
338	0.36472	0.67451
338.5	0.44363	0.47133
339	0.40271	0.33292
339.5	0.315	0.3123
340	0.33351	0.31182
340.5	0.34066	0.40133
341	0.2605	0.53783
341.5	0.21217	0.4624
342	0.18045	0.34198
342.5	0.20929	0.39652
343	0.24752	0.42421
343.5	0.20974	0.46531
344	0.15901	0.43755
344.5	0.13968	0.36762
345	0.15063	0.36557
345.5	0.22865	0.43897
346	0.24415	0.46072
346.5	0.17353	0.43819
347	0.10507	0.469
347.5	0.12617	0.48721
348	0.2281	0.46057
348.5	0.2807	0.54565
349	0.22942	0.72312
349.5	0.16622	0.76398
350	0.1186	0.7736
350.5	0.090512	0.66713
351	0.10699	0.66776
351.5	0.17191	0.62547
352	0.24302	0.5461
352.5	0.18801	0.55434
353	0.10801	0.67763
353.5	0.11033	0.58498
354	0.20764	0.48816
354.5	0.25006	0.37781
355	0.16638	0.26026
355.5	0.13595	0.27394
356	0.15174	0.30506
356.5	0.1617	0.42183
357	0.15189	0.57923
357.5	0.18537	0.59833
358	0.24915	0.4277
358.5	0.22911	0.34729
359	0.1606	0.45839
359.5	0.14434	0.47413
360	0.1535	0.40709
360.5	0.21275	0.34886
361	0.31078	0.32437
361.5	0.30699	0.42554
362	0.26135	0.45847
362.5	0.27605	0.33532
363	0.2798	0.32557
363.5	0.25387	0.56573
364	0.28066	0.73603
364.5	0.27083	0.70779
365	0.20515	0.44344
365.5	0.14866	0.30438
366	0.15795	0.37531
366.5	0.22158	0.474
367	0.20051	0.57796
367.5	0.14974	0.56328
368	0.1551	0.44491
368.5	0.16598	0.33531
369	0.173	0.39601
369.5	0.19041	0.42111
370	0.23875	0.28578
370.5	0.25192	0.22574
371	0.18889	0.36169
371.5	0.16797	0.50242
372	0.16917	0.46669
372.5	0.19068	0.3131
373	0.18156	0.23997
373.5	0.16151	0.22113
374	0.19089	0.30162
374.5	0.23606	0.48186
375	0.16747	0.64003
375.5	0.13832	0.54192
376	0.1606	0.36007
376.5	0.17179	0.36306
377	0.2202	0.43129
377.5	0.28177	0.42351
378	0.31838	0.4142
378.5	0.24352	0.4897
379	0.16495	0.53674
379.5	0.1738	0.51857
380	0.1577	0.38303
380.5	0.16924	0.21853
381	0.21655	0.24479
381.5	0.26914	0.386
382	0.34815	0.36516
382.5	0.3563	0.24318
383	0.32094	0.25395
383.5	0.31755	0.3291
384	0.26763	0.33288
