t,	etaU
0,	4.92847
0.554477,	4.19728
1.10895,	3.40723
1.66343,	3.13371
2.21791,	3.13371
2.77239,	3.40723
3.32686,	4.19728
3.88134,	4.92847
4.43582,	5.01219
4.9903,	4.29278
5.54477,	3.41393
6.09925,	3.29208
6.65373,	3.55525
7.20821,	3.74825
7.76268,	4.64847
8.31716,	6.47474
8.87164,	7.92399
9.42612,	7.50595
9.98059,	5.04139
10.5351,	2.60918
11.0895,	2.98322
11.644,	5.77248
12.1985,	8.06581
12.753,	7.97367
13.3075,	5.65018
13.8619,	3.15559
14.4164,	2.2911
14.9709,	2.80478
15.5254,	3.91883
16.0798,	5.04391
16.6343,	5.83364
17.1888,	6.38643
17.7433,	6.41718
18.2978,	5.70138
18.8522,	4.68313
19.4067,	3.76404
19.9612,	3.37986
20.5157,	3.49715
21.0701,	3.47472
21.6246,	3.57443
22.1791,	4.26633
22.7336,	5.63487
23.2881,	7.09132
23.8425,	7.35907
24.397,	6.08209
24.9515,	4.52808
25.506,	3.70518
26.0604,	3.96147
26.6149,	4.65117
27.1694,	4.95229
27.7239,	5.04272
28.2783,	4.94018
28.8328,	4.26251
29.3873,	3.10584
29.9418,	1.94069
30.4963,	1.18531
31.0507,	0.944118
31.6052,	1.47139
32.1597,	2.94024
32.7142,	4.9206
33.2686,	6.74424
33.8231,	7.59172
34.3776,	7.44775
34.9321,	7.18944
35.4866,	7.27887
36.041,	8.05809
36.5955,	9.14492
37.15,	9.08144
37.7045,	7.44137
38.2589,	5.105
38.8134,	3.45024
39.3679,	3.63064
39.9224,	5.0783
40.4769,	5.97932
41.0313,	5.57134
41.5858,	4.39781
42.1403,	3.47806
42.6948,	3.7928
43.2492,	4.83634
43.8037,	5.41803
44.3582,	5.51895
44.9127,	5.74543
45.4671,	6.22834
46.0216,	6.30968
46.5761,	5.23745
47.1306,	3.34155
47.6851,	2.23596
48.2395,	2.65125
48.794,	4.0045
49.3485,	5.38578
49.903,	5.97389
50.4574,	5.74401
51.0119,	5.14853
51.5664,	4.38772
52.1209,	3.83841
52.6754,	3.51663
53.2298,	3.44725
53.7843,	3.75381
54.3388,	4.1744
54.8933,	4.52093
55.4477,	4.54548
56.0022,	4.1784
56.5567,	3.84571
57.1112,	4.12934
57.6657,	5.28562
58.2201,	6.41464
58.7746,	6.51853
59.3291,	6.20827
59.8836,	6.3558
60.438,	6.72733
60.9925,	6.47963
61.547,	5.41481
62.1015,	4.7968
62.6559,	5.40943
63.2104,	6.18038
63.7649,	6.44391
64.3194,	6.49054
64.8739,	6.86455
65.4283,	8.5125
65.9828,	10.6888
66.5373,	11.3947
67.0918,	9.78721
67.6462,	7.27037
68.2007,	6.32657
68.7552,	11.736
69.3097,	23.0926
69.8642,	32.7537
70.4186,	37.4798
70.9731,	44.0714
71.5276,	63.2169
72.0821,	89.2729
72.6365,	100
73.191,	83.2773
73.7455,	51.3071
74.3,	27.03
74.8544,	20.771
75.4089,	22.3784
75.9634,	22.2521
76.5179,	19.4639
77.0724,	16.5127
77.6268,	16.5798
78.1813,	18.5233
78.7358,	20.9282
79.2903,	22.546
79.8447,	22.1216
80.3992,	19.9465
80.9537,	16.2649
81.5082,	11.2211
82.0627,	6.63027
82.6171,	4.62237
83.1716,	6.25475
83.7261,	9.70333
84.2806,	11.4556
84.835,	10.7543
85.3895,	8.95327
85.944,	8.06297
86.4985,	8.20452
87.053,	7.52097
87.6074,	6.46985
88.1619,	6.78945
88.7164,	7.87116
89.2709,	8.18367
89.8253,	6.90764
90.3798,	4.78656
90.9343,	3.68781
91.4888,	3.79161
92.0432,	4.02167
92.5977,	3.62624
93.1522,	2.73169
93.7067,	2.08521
94.2612,	1.98289
94.8156,	2.87782
95.3701,	4.65726
95.9246,	5.99693
96.4791,	6.38726
97.0335,	6.40369
97.588,	6.50245
98.1425,	6.50559
98.697,	5.78615
99.2515,	4.375
99.8059,	3.35636
100.36,	3.50589
100.915,	4.21938
101.469,	4.64989
102.024,	4.69767
102.578,	4.30024
103.133,	3.62049
103.687,	3.29391
104.242,	3.55997
104.796,	3.94686
105.351,	3.99016
105.905,	3.46535
106.46,	3.17832
107.014,	3.81384
107.569,	4.84953
108.123,	5.28009
108.678,	4.70185
109.232,	3.67023
109.787,	3.15602
110.341,	3.31481
110.895,	3.7573
111.45,	4.07389
112.004,	3.8704
112.559,	3.5293
113.113,	3.48253
113.668,	3.8031
114.222,	4.39462
114.777,	4.68054
115.331,	4.3826
115.886,	4.03089
116.44,	3.72825
116.995,	3.33696
117.549,	3.33212
118.104,	4.26407
118.658,	5.75585
119.213,	6.90975
119.767,	7.26136
120.322,	6.70851
120.876,	5.59448
121.431,	4.30649
121.985,	3.11638
122.54,	2.85753
123.094,	3.80124
123.648,	4.71231
124.203,	4.51948
124.757,	3.83737
125.312,	3.93268
125.866,	4.97115
126.421,	5.93997
126.975,	5.67788
127.53,	4.36345
128.084,	3.57369
128.639,	3.91928
129.193,	4.44105
129.748,	4.28929
130.302,	3.4903
130.857,	2.66727
131.411,	2.5997
131.966,	3.12466
132.52,	3.39014
133.075,	3.22172
133.629,	2.80162
134.184,	2.26908
134.738,	1.86473
135.292,	1.59264
135.847,	1.5337
136.401,	1.88472
136.956,	2.41108
137.51,	2.58952
138.065,	2.30837
138.619,	2.1155
139.174,	2.49932
139.728,	3.46599
140.283,	4.51132
140.837,	5.12261
141.392,	5.0924
141.946,	4.75027
142.501,	4.81513
143.055,	5.59551
143.61,	6.34493
144.164,	6.24175
144.719,	5.12448
145.273,	3.71154
145.828,	2.94871
146.382,	2.87297
146.937,	2.85873
147.491,	2.61076
148.045,	2.34645
148.6,	2.17655
149.154,	2.14818
149.709,	2.21853
150.263,	2.35283
150.818,	2.53349
151.372,	2.65981
151.927,	2.53812
152.481,	2.27375
153.036,	2.53666
153.59,	3.48431
154.145,	4.20495
154.699,	3.92313
155.254,	2.73566
155.808,	1.59311
156.363,	1.61268
156.917,	2.48851
157.472,	3.02315
158.026,	2.97137
158.581,	2.62378
159.135,	2.61673
159.689,	3.12131
160.244,	3.72275
160.798,	4.28363
161.353,	4.74523
161.907,	4.85734
162.462,	4.515
163.016,	3.80107
163.571,	2.97662
164.125,	2.39849
164.68,	2.14622
165.234,	2.25648
165.789,	2.52318
166.343,	2.84143
166.898,	3.14678
167.452,	3.24263
168.007,	3.00888
168.561,	2.65639
169.116,	2.49044
169.67,	2.68805
170.225,	3.33594
170.779,	4.07442
171.334,	4.32758
171.888,	3.88324
172.442,	2.85451
172.997,	1.70844
173.551,	1.13105
174.106,	1.21427
174.66,	1.55456
175.215,	1.93064
175.769,	2.21697
176.324,	2.46581
176.878,	3.06438
177.433,	3.90255
177.987,	4.20928
178.542,	3.57143
179.096,	2.49434
179.651,	1.83004
180.205,	1.93273
180.76,	2.59956
181.314,	3.37357
181.869,	3.74292
182.423,	3.56883
182.978,	2.9528
183.532,	2.25498
184.086,	1.91388
184.641,	1.72752
185.195,	1.3929
185.75,	1.0176
186.304,	0.746405
186.859,	0.653096
187.413,	0.635711
187.968,	0.848051
188.522,	1.62018
189.077,	2.61977
189.631,	3.25828
190.186,	3.20661
190.74,	2.53253
191.295,	1.72475
191.849,	1.52172
192.404,	1.99362
192.958,	2.53403
193.513,	2.58935
194.067,	1.99948
194.622,	1.35561
195.176,	1.39828
195.731,	2.07014
196.285,	2.72991
196.839,	2.95774
197.394,	2.69094
197.948,	2.21414
198.503,	2.05856
199.057,	2.58285
199.612,	3.36863
200.166,	3.75143
200.721,	3.56081
201.275,	2.96196
201.83,	2.58233
202.384,	2.72435
202.939,	2.87849
203.493,	2.60775
204.048,	2.09386
204.602,	2.12372
205.157,	3.23056
205.711,	4.52221
206.266,	4.69356
206.82,	3.66926
207.375,	2.39558
207.929,	1.78185
208.484,	1.87077
209.038,	2.2766
209.592,	2.74345
210.147,	3.26934
210.701,	3.7705
211.256,	3.91129
211.81,	3.88334
212.365,	4.00481
212.919,	4.04474
213.474,	3.78532
214.028,	3.14498
214.583,	2.23579
215.137,	2.06384
215.692,	3.5291
216.246,	5.60826
216.801,	6.54288
217.355,	5.70958
217.91,	3.82625
218.464,	2.53135
219.019,	2.49398
219.573,	2.67504
220.128,	2.52826
220.682,	2.26939
221.236,	2.05518
221.791,	1.99571
222.345,	1.93666
222.9,	2.01571
223.454,	2.39384
224.009,	2.78385
224.563,	2.89027
225.118,	2.57056
225.672,	2.02113
226.227,	1.6053
226.781,	1.34045
227.336,	1.23859
227.89,	1.48771
228.445,	1.9202
228.999,	2.25318
229.554,	2.25315
230.108,	2.00326
230.663,	1.83813
231.217,	2.06128
231.772,	2.68589
232.326,	3.22422
232.881,	3.15439
233.435,	2.53086
233.989,	1.87644
234.544,	1.72611
235.098,	2.01819
235.653,	2.05015
236.207,	1.8818
236.762,	2.07025
237.316,	2.59839
237.871,	2.98274
238.425,	2.72288
238.98,	1.93036
239.534,	1.2835
240.089,	1.01486
240.643,	0.963504
241.198,	0.97877
241.752,	1.09264
242.307,	1.37794
242.861,	1.72348
243.416,	2.03943
243.97,	2.29145
244.525,	2.43502
245.079,	2.71245
245.633,	3.29042
246.188,	3.90279
246.742,	4.17652
247.297,	3.82033
247.851,	2.97967
248.406,	2.18722
248.96,	1.84186
249.515,	1.84417
250.069,	1.92694
250.624,	1.94047
251.178,	2.04417
251.733,	2.27719
252.287,	2.32405
252.842,	2.01948
253.396,	1.60199
253.951,	1.48261
254.505,	1.8178
255.06,	2.2001
255.614,	2.16614
256.169,	1.83419
256.723,	1.45317
257.278,	1.30729
257.832,	1.45302
258.386,	1.63396
258.941,	1.80271
259.495,	1.94954
260.05,	1.95267
260.604,	1.78097
261.159,	1.54088
261.713,	1.49039
262.268,	1.69652
262.822,	1.87888
263.377,	1.88634
263.931,	1.70344
264.486,	1.49402
265.04,	1.45478
265.595,	1.48792
266.149,	1.44851
266.704,	1.31008
267.258,	1.08098
267.813,	0.973542
268.367,	1.33782
268.922,	2.04566
269.476,	2.52815
270.03,	2.53363
270.585,	2.11243
271.139,	1.61893
271.694,	1.52378
272.248,	1.82388
272.803,	2.17397
273.357,	2.34623
273.912,	2.33417
274.466,	2.24179
275.021,	2.16141
275.575,	2.16324
276.13,	2.13911
276.684,	1.98454
277.239,	1.78892
277.793,	1.51508
278.348,	1.28354
278.902,	1.27298
279.457,	1.29483
280.011,	1.23702
280.566,	1.33726
281.12,	1.83464
281.675,	2.52913
282.229,	2.78102
282.783,	2.29119
283.338,	1.5149
283.892,	1.02422
284.447,	0.878449
285.001,	0.869602
285.556,	0.98173
286.11,	1.30703
286.665,	1.74949
287.219,	2.03065
287.774,	2.02877
288.328,	1.84911
288.883,	1.59712
289.437,	1.43978
289.992,	1.43189
290.546,	1.43827
291.101,	1.34686
291.655,	1.14772
292.21,	0.995544
292.764,	0.979595
293.319,	1.00064
293.873,	1.01364
294.428,	1.01268
294.982,	1.04391
295.536,	1.19772
296.091,	1.41904
296.645,	1.56136
297.2,	1.51366
297.754,	1.39943
298.309,	1.49784
298.863,	1.7187
299.418,	1.71669
299.972,	1.46074
300.527,	1.17131
301.081,	1.20649
301.636,	1.6134
302.19,	1.9308
302.745,	1.91434
303.299,	1.6768
303.854,	1.49455
304.408,	1.75228
304.963,	2.20276
305.517,	2.26279
306.072,	1.89883
306.626,	1.41351
307.18,	1.09436
307.735,	1.07095
308.289,	1.22055
308.844,	1.46
309.398,	1.8139
309.953,	2.01793
310.507,	1.85146
311.062,	1.4389
311.616,	0.974808
312.171,	0.697981
312.725,	0.747295
313.28,	1.0349
313.834,	1.4638
314.389,	1.87649
314.943,	2.14444
315.498,	2.18035
316.052,	1.91679
316.607,	1.49669
317.161,	1.18438
317.716,	1.15875
318.27,	1.29225
318.825,	1.22659
319.379,	0.905925
319.933,	0.661791
320.488,	0.753518
321.042,	1.03968
321.597,	1.28608
322.151,	1.43782
322.706,	1.57385
323.26,	1.72718
323.815,	1.73626
324.369,	1.46652
324.924,	1.08163
325.478,	0.760383
326.033,	0.541602
326.587,	0.52942
327.142,	0.704397
327.696,	0.861151
328.251,	0.893996
328.805,	0.84405
329.36,	0.85207
329.914,	1.01341
330.469,	1.20835
331.023,	1.29879
331.577,	1.26148
332.132,	1.18418
332.686,	1.11843
333.241,	1.02375
333.795,	0.915882
334.35,	0.785776
334.904,	0.615932
335.459,	0.564948
336.013,	0.635896
336.568,	0.68603
337.122,	0.681037
337.677,	0.643228
338.231,	0.622348
338.786,	0.67507
339.34,	0.767988
339.895,	0.904935
340.449,	1.17282
341.004,	1.41895
341.558,	1.42124
342.113,	1.15217
342.667,	0.841504
343.222,	0.777836
343.776,	0.918252
344.33,	1.07296
344.885,	1.24546
345.439,	1.44531
345.994,	1.65681
346.548,	1.76584
347.103,	1.61573
347.657,	1.34548
348.212,	1.23408
348.766,	1.31597
349.321,	1.46128
349.875,	1.47587
350.43,	1.25154
350.984,	0.953925
351.539,	0.810236
352.093,	0.906265
352.648,	1.25787
353.202,	1.84094
353.757,	2.43548
354.311,	2.74726
354.866,	2.57667
355.42,	1.98735
355.974,	1.29789
356.529,	0.816439
357.083,	0.67616
357.638,	0.885922
358.192,	1.21128
358.747,	1.5261
359.301,	1.85682
359.856,	2.07439
360.41,	2.08578
360.965,	1.78382
361.519,	1.20567
362.074,	0.834919
362.628,	0.876866
363.183,	1.07284
363.737,	1.25076
364.292,	1.39154
364.846,	1.54131
365.401,	1.68535
365.955,	1.64987
366.51,	1.33976
367.064,	0.958978
367.619,	0.70829
368.173,	0.644232
368.727,	0.737337
369.282,	0.865215
369.836,	0.881066
370.391,	0.855857
370.945,	0.869349
371.5,	0.889372
372.054,	0.894797
372.609,	0.981943
373.163,	1.23248
373.718,	1.49203
374.272,	1.51639
374.827,	1.29804
375.381,	1.05441
375.936,	0.992658
376.49,	1.11529
377.045,	1.18852
377.599,	1.10545
378.154,	1.0269
378.708,	1.11727
379.263,	1.30356
379.817,	1.46269
380.371,	1.50312
380.926,	1.36427
381.48,	1.17678
382.035,	0.997063
382.589,	0.781021
383.144,	0.678246
383.698,	0.750128
384.253,	0.874664
384.807,	1.00626
385.362,	1.08164
385.916,	1.08808
386.471,	1.04712
387.025,	0.907835
387.58,	0.764814
388.134,	0.739326
388.689,	0.79659
389.243,	0.943716
389.798,	1.13305
390.352,	1.2673
390.907,	1.36652
391.461,	1.39339
392.016,	1.27882
392.57,	1.23139
393.124,	1.32766
393.679,	1.3832
394.233,	1.32495
394.788,	1.11812
395.342,	0.855521
395.897,	0.75023
396.451,	0.75816
397.006,	0.754947
397.56,	0.749857
398.115,	0.744027
398.669,	0.764994
399.224,	0.753017
399.778,	0.722796
400.333,	0.799504
400.887,	0.950104
401.442,	1.05182
401.996,	0.989528
402.551,	0.841281
403.105,	0.903465
403.66,	1.23343
404.214,	1.58151
404.769,	1.67677
405.323,	1.41381
405.877,	0.983578
406.432,	0.655441
406.986,	0.557385
407.541,	0.636348
408.095,	0.751763
408.65,	0.875563
409.204,	1.0164
409.759,	1.15443
410.313,	1.281
410.868,	1.3137
411.422,	1.2765
411.977,	1.27048
412.531,	1.241
413.086,	1.12879
413.64,	0.925097
414.195,	0.662986
414.749,	0.43421
415.304,	0.304832
415.858,	0.309142
416.413,	0.452272
416.967,	0.710699
417.521,	1.01457
418.076,	1.17363
418.63,	1.16007
419.185,	1.09283
419.739,	1.09408
420.294,	1.24324
420.848,	1.35856
421.403,	1.27877
421.957,	1.1353
422.512,	1.12431
423.066,	1.28553
423.621,	1.40804
424.175,	1.28554
424.73,	1.04859
425.284,	0.904686
425.839,	0.879541
426.393,	0.830768
426.948,	0.668261
427.502,	0.471993
428.057,	0.398792
428.611,	0.504563
429.166,	0.683715
429.72,	0.828367
430.274,	0.840509
430.829,	0.712162
431.383,	0.596833
431.938,	0.592159
432.492,	0.62662
433.047,	0.59674
433.601,	0.560795
434.156,	0.669691
434.71,	0.868594
435.265,	1.04927
435.819,	1.12977
436.374,	1.14174
436.928,	1.20809
437.483,	1.22581
438.037,	1.05039
438.592,	0.830545
439.146,	0.686779
439.701,	0.681183
440.255,	0.814277
440.81,	0.948775
441.364,	1.03663
441.918,	1.08124
442.473,	1.15762
443.027,	1.31493
443.582,	1.44776
444.136,	1.39665
444.691,	1.19037
445.245,	0.959387
445.8,	0.788249
446.354,	0.637122
446.909,	0.454759
447.463,	0.274795
448.018,	0.232089
448.572,	0.385799
449.127,	0.649211
449.681,	0.956497
450.236,	1.21883
450.79,	1.31637
451.345,	1.17995
451.899,	0.836966
452.454,	0.431285
453.008,	0.190566
453.563,	0.199605
454.117,	0.319002
454.671,	0.42014
455.226,	0.506792
455.78,	0.564823
456.335,	0.607747
456.889,	0.622095
457.444,	0.593901
457.998,	0.57979
458.553,	0.606265
459.107,	0.645123
459.662,	0.745806
460.216,	0.978585
460.771,	1.23544
461.325,	1.45344
461.88,	1.57725
462.434,	1.481
462.989,	1.24207
463.543,	0.987205
464.098,	0.732792
464.652,	0.618185
465.207,	0.699216
465.761,	0.895857
466.315,	1.11037
466.87,	1.19104
467.424,	1.13353
467.979,	1.02317
468.533,	0.937721
469.088,	0.883575
469.642,	0.80614
470.197,	0.741428
470.751,	0.688277
471.306,	0.582319
471.86,	0.457426
472.415,	0.378967
472.969,	0.367313
473.524,	0.461841
474.078,	0.673298
474.633,	0.882553
475.187,	0.969089
475.742,	0.92074
476.296,	0.793089
476.851,	0.651978
477.405,	0.534783
477.96,	0.414196
478.514,	0.324928
479.068,	0.346745
479.623,	0.516223
480.177,	0.769089
480.732,	0.976161
481.286,	1.14949
481.841,	1.27629
482.395,	1.25181
482.95,	1.07181
483.504,	0.778694
484.059,	0.481377
484.613,	0.341544
485.168,	0.345337
485.722,	0.451378
486.277,	0.672209
486.831,	0.86994
487.386,	0.90815
487.94,	0.826465
488.495,	0.797786
489.049,	0.876019
489.604,	0.952709
490.158,	0.913118
490.713,	0.76171
491.267,	0.613511
491.821,	0.552286
492.376,	0.594321
492.93,	0.781945
493.485,	1.04035
494.039,	1.19094
494.594,	1.15963
495.148,	1.02056
495.703,	0.913263
496.257,	0.826531
496.812,	0.716835
497.366,	0.63055
497.921,	0.584883
498.475,	0.582678
499.03,	0.647972
499.584,	0.761773
500.139,	0.923801
500.693,	1.00152
501.248,	0.902886
501.802,	0.75635
502.357,	0.670463
502.911,	0.629086
503.465,	0.569367
504.02,	0.444081
504.574,	0.289879
505.129,	0.182332
505.683,	0.160841
506.238,	0.283355
506.792,	0.505206
507.347,	0.693359
507.901,	0.750241
508.456,	0.660988
509.01,	0.504962
509.565,	0.392423
510.119,	0.351212
510.674,	0.348284
511.228,	0.416625
511.783,	0.544734
512.337,	0.644235
512.892,	0.697759
513.446,	0.702363
514.001,	0.613442
514.555,	0.467134
515.11,	0.314684
515.664,	0.224658
516.218,	0.272801
516.773,	0.406854
517.327,	0.527552
517.882,	0.643405
518.436,	0.801107
518.991,	0.924379
519.545,	0.890817
520.1,	0.775407
520.654,	0.714158
521.209,	0.717462
521.763,	0.719844
522.318,	0.681649
522.872,	0.655022
523.427,	0.686213
