t,	etaU
0,	32.1732
0.554477,	35.1371
1.10895,	39.0087
1.66343,	43.3555
2.21791,	43.3555
2.77239,	39.0087
3.32686,	35.1371
3.88134,	32.1732
4.43582,	30.8078
4.9903,	29.2138
5.54477,	25.3664
6.09925,	23.6771
6.65373,	24.7733
7.20821,	25.3688
7.76268,	23.9501
8.31716,	21.6291
8.87164,	30.9765
9.42612,	56.7098
9.98059,	85.5568
10.5351,	100
11.0895,	91.588
11.644,	72.6172
12.1985,	61.8255
12.753,	59.8024
13.3075,	57.5735
13.8619,	51.9864
14.4164,	49.0859
14.9709,	53.9627
15.5254,	60.0889
16.0798,	61.6978
16.6343,	60.3656
17.1888,	59.6553
17.7433,	59.3071
18.2978,	58.5293
18.8522,	55.8789
19.4067,	49.4849
19.9612,	44.2392
20.5157,	43.8064
21.0701,	44.3121
21.6246,	44.3778
22.1791,	43.7842
22.7336,	43.4768
23.2881,	45.0161
23.8425,	43.6001
24.397,	36.5377
24.9515,	31.2297
25.506,	32.7256
26.0604,	36.4305
26.6149,	41.9585
27.1694,	50.8633
27.7239,	55.8517
28.2783,	53.8867
28.8328,	47.1054
29.3873,	39.7867
29.9418,	36.5847
30.4963,	35.7352
31.0507,	32.7067
31.6052,	31.2907
32.1597,	32.8349
32.7142,	33.8864
33.2686,	33.8038
33.8231,	32.8354
34.3776,	33.8905
34.9321,	43.3415
35.4866,	59.6297
36.041,	74.0718
36.5955,	81.0866
37.15,	79.6599
37.7045,	76.5915
38.2589,	74.1058
38.8134,	67.9502
39.3679,	57.4871
39.9224,	49.5188
40.4769,	49.3462
41.0313,	51.0102
41.5858,	46.312
42.1403,	36.775
42.6948,	30.1957
43.2492,	30.9146
43.8037,	35.6845
44.3582,	40.5516
44.9127,	43.3119
45.4671,	41.0289
46.0216,	34.5565
46.5761,	35.1668
47.1306,	49.1366
47.6851,	69.4611
48.2395,	83.0303
48.794,	82.1262
49.3485,	72.1894
49.903,	61.3066
50.4574,	48.4747
51.0119,	41.0932
51.5664,	47.1122
52.1209,	56.5637
52.6754,	61.1274
53.2298,	63.9697
53.7843,	70.805
54.3388,	81.3041
54.8933,	85.8061
55.4477,	74.0015
56.0022,	57.5109
56.5567,	49.9268
57.1112,	48.6397
57.6657,	47.3063
58.2201,	41.3505
58.7746,	35.3485
59.3291,	36.4128
59.8836,	39.6599
60.438,	41.1129
60.9925,	39.48
61.547,	35.0395
62.1015,	37.5391
62.6559,	52.6028
63.2104,	71.6981
63.7649,	84.6994
64.3194,	86.7626
64.8739,	81.5355
65.4283,	76.6853
65.9828,	70.344
66.5373,	60.4476
67.0918,	52.4535
67.6462,	48.5598
68.2007,	47.2417
68.7552,	44.6191
69.3097,	40.5466
69.8642,	41.6138
70.4186,	46.642
70.9731,	55.7347
71.5276,	68.901
72.0821,	74.3563
72.6365,	68.1459
73.191,	54.8573
73.7455,	40.8411
74.3,	32.4483
74.8544,	25.9601
75.4089,	19.0097
75.9634,	19.8623
76.5179,	27.2558
77.0724,	36.9442
77.6268,	47.5734
78.1813,	55.3238
78.7358,	58.1478
79.2903,	54.976
79.8447,	44.7944
80.3992,	34.333
80.9537,	29.6498
81.5082,	31.1312
82.0627,	35.5153
82.6171,	37.7116
83.1716,	36.2936
83.7261,	31.9274
84.2806,	26.6076
84.835,	21.9854
85.3895,	17.6955
85.944,	15.0263
86.4985,	24.7909
87.053,	48.9767
87.6074,	71.9415
88.1619,	82.0673
88.7164,	80.3092
89.2709,	74.8163
89.8253,	73.4572
90.3798,	70.2155
90.9343,	58.1876
91.4888,	46.9956
92.0432,	44.1952
92.5977,	48.0281
93.1522,	52.1905
93.7067,	49.307
94.2612,	42.5253
94.8156,	43.331
95.3701,	52.6333
95.9246,	59.8108
96.4791,	59.2076
97.0335,	51.0389
97.588,	43.9593
98.1425,	42.4231
98.697,	39.4044
99.2515,	34.4458
99.8059,	31.1269
100.36,	27.2374
100.915,	24.2028
101.469,	23.4418
102.024,	24.6187
102.578,	28.5264
103.133,	34.3169
103.687,	40.7449
104.242,	43.8568
104.796,	44.5788
105.351,	46.0914
105.905,	47.6205
106.46,	48.882
107.014,	46.2907
107.569,	37.2005
108.123,	27.3704
108.678,	19.8398
109.232,	14.8231
109.787,	14.7204
110.341,	24.6555
110.895,	42.0823
111.45,	55.9536
