t,	etaU
0,	7.50828
0.554477,	4.5339
1.10895,	2.58019
1.66343,	1.75817
2.21791,	1.75817
2.77239,	2.58019
3.32686,	4.5339
3.88134,	7.50828
4.43582,	10.4391
4.9903,	11.8958
5.54477,	11.7154
6.09925,	11.2673
6.65373,	11.2873
7.20821,	11.0568
7.76268,	9.97946
8.31716,	8.59235
8.87164,	8.59832
9.42612,	9.96346
9.98059,	10.2175
10.5351,	9.20329
11.0895,	9.41563
11.644,	11.3517
12.1985,	13.5015
12.753,	13.7577
13.3075,	11.6242
13.8619,	9.21314
14.4164,	7.92941
14.9709,	7.81932
15.5254,	9.24684
16.0798,	12.2355
16.6343,	15.6041
17.1888,	17.2956
17.7433,	15.9377
18.2978,	12.6373
18.8522,	9.14
19.4067,	7.29607
19.9612,	7.23775
20.5157,	7.26758
21.0701,	6.37829
21.6246,	5.42596
22.1791,	5.55573
22.7336,	6.81331
23.2881,	8.13779
23.8425,	9.20966
24.397,	10.9336
24.9515,	13.7685
25.506,	16.0299
26.0604,	15.0464
26.6149,	11.1393
27.1694,	6.88506
27.7239,	4.64302
28.2783,	5.26681
28.8328,	7.13733
29.3873,	8.41986
29.9418,	8.75601
30.4963,	8.135
31.0507,	7.12464
31.6052,	6.10996
32.1597,	5.73873
32.7142,	6.93732
33.2686,	9.14881
33.8231,	11.5052
34.3776,	12.8776
34.9321,	11.9465
35.4866,	9.54401
36.041,	7.44984
36.5955,	7.04766
37.15,	9.29564
37.7045,	12.754
38.2589,	14.4508
38.8134,	13.8675
39.3679,	12.3602
39.9224,	10.881
40.4769,	10.9561
41.0313,	12.7125
41.5858,	14.394
42.1403,	14.9682
42.6948,	13.5551
43.2492,	10.7526
43.8037,	9.66875
44.3582,	12.2849
44.9127,	17.2203
45.4671,	21.6439
46.0216,	22.5496
46.5761,	18.8443
47.1306,	13.7417
47.6851,	11.1241
48.2395,	10.9989
48.794,	11.2139
49.3485,	10.1475
49.903,	8.32109
50.4574,	7.55204
51.0119,	7.42587
51.5664,	6.44931
52.1209,	5.0997
52.6754,	4.55673
53.2298,	4.40385
53.7843,	4.02675
54.3388,	3.83892
54.8933,	4.95208
55.4477,	7.09474
56.0022,	7.9963
56.5567,	7.28882
57.1112,	6.27121
57.6657,	5.81713
58.2201,	7.78857
58.7746,	11.4922
59.3291,	14.4382
59.8836,	15.9637
60.438,	16.1354
60.9925,	15.7261
61.547,	16.0616
62.1015,	16.7368
62.6559,	17.4746
63.2104,	19.5181
63.7649,	22.6885
64.3194,	24.5179
64.8739,	22.5434
65.4283,	18.5008
65.9828,	15.4372
66.5373,	14.4053
67.0918,	15.1604
67.6462,	17.4949
68.2007,	21.5811
68.7552,	26.9167
69.3097,	31.1258
69.8642,	32.6022
70.4186,	43.4505
70.9731,	68.4695
71.5276,	90.9963
72.0821,	100
72.6365,	97.2141
73.191,	90.6351
73.7455,	87.2802
74.3,	79.6666
74.8544,	62.4538
75.4089,	47.3344
75.9634,	39.1622
76.5179,	33.9735
77.0724,	28.0289
77.6268,	21.7363
78.1813,	17.0398
78.7358,	14.635
79.2903,	15.165
79.8447,	18.0553
80.3992,	20.5995
80.9537,	19.5849
81.5082,	14.7439
82.0627,	10.0544
82.6171,	11.3449
83.1716,	16.6638
83.7261,	20.4234
84.2806,	21.1501
84.835,	19.1333
85.3895,	15.8883
85.944,	13.7551
86.4985,	12.2434
87.053,	11.8919
87.6074,	13.2818
88.1619,	13.804
88.7164,	12.3787
89.2709,	9.66683
89.8253,	7.15668
90.3798,	6.70623
90.9343,	7.66565
91.4888,	7.93531
92.0432,	6.99373
92.5977,	6.52199
93.1522,	7.76975
93.7067,	9.50663
94.2612,	10.0791
94.8156,	8.66083
95.3701,	6.18142
95.9246,	4.30638
96.4791,	3.14325
97.0335,	2.70077
97.588,	3.36088
98.1425,	5.29673
98.697,	7.86874
99.2515,	9.79167
99.8059,	10.8492
100.36,	11.1671
100.915,	11.253
101.469,	11.0939
102.024,	9.87154
102.578,	7.85986
103.133,	6.04147
103.687,	5.72239
104.242,	7.30679
104.796,	9.34921
105.351,	9.9314
105.905,	9.09915
106.46,	8.40965
107.014,	8.42096
107.569,	8.1095
108.123,	6.63785
108.678,	4.6544
109.232,	3.6933
109.787,	3.71046
110.341,	3.77496
110.895,	3.75318
111.45,	3.26372
112.004,	2.62021
112.559,	2.45633
113.113,	3.21275
113.668,	5.18234
114.222,	7.20388
114.777,	7.46107
115.331,	5.75015
115.886,	3.15245
116.44,	1.51224
116.995,	1.70013
117.549,	3.34495
118.104,	5.61649
118.658,	6.95557
119.213,	6.59685
119.767,	5.41555
120.322,	4.68807
120.876,	5.17301
121.431,	6.50197
121.985,	7.37858
122.54,	7.29293
123.094,	6.32791
123.648,	4.61152
124.203,	3.03943
124.757,	2.69597
125.312,	3.49631
125.866,	5.64857
126.421,	8.64922
126.975,	11.0131
127.53,	11.9021
128.084,	11.3168
128.639,	9.97585
129.193,	8.58781
129.748,	6.96526
130.302,	5.63238
130.857,	5.26086
131.411,	5.18326
131.966,	4.87592
132.52,	4.14885
133.075,	4.048
133.629,	5.64847
134.184,	8.05431
134.738,	9.3753
135.292,	8.8511
135.847,	6.61316
136.401,	4.09967
136.956,	2.65131
137.51,	2.35676
138.065,	3.01794
138.619,	4.36593
139.174,	6.46874
139.728,	9.37905
140.283,	11.7352
140.837,	12.3452
141.392,	11.4589
141.946,	9.46432
142.501,	7.80739
143.055,	7.67249
143.61,	8.29788
144.164,	9.22578
144.719,	9.98952
145.273,	9.5199
145.828,	8.16586
146.382,	6.59041
146.937,	5.05963
147.491,	4.00056
148.045,	3.24159
148.6,	2.38525
149.154,	2.68056
149.709,	5.65394
150.263,	9.73563
150.818,	11.804
151.372,	10.4162
151.927,	7.44247
152.481,	5.96201
153.036,	6.42807
153.59,	6.72727
154.145,	5.90302
154.699,	4.99572
155.254,	4.92182
155.808,	5.15413
156.363,	5.36526
156.917,	5.67389
157.472,	5.78004
158.026,	5.43803
158.581,	4.37261
159.135,	2.98631
159.689,	2.27822
160.244,	2.93599
160.798,	5.02648
161.353,	7.77321
161.907,	10.3908
162.462,	12.1826
163.016,	12.4259
163.571,	11.1351
164.125,	8.56005
164.68,	5.71873
165.234,	4.09726
165.789,	4.24059
166.343,	5.43968
166.898,	6.23006
167.452,	5.81692
168.007,	4.68395
168.561,	3.52747
169.116,	2.89535
169.67,	2.81271
170.225,	3.03396
170.779,	3.42285
171.334,	3.59416
171.888,	3.50498
172.442,	3.89699
172.997,	5.6073
173.551,	7.86437
174.106,	8.77447
174.66,	7.96014
175.215,	6.41869
175.769,	5.17977
176.324,	4.55922
176.878,	4.30933
177.433,	4.28752
177.987,	4.61015
178.542,	4.90909
179.096,	4.67132
179.651,	3.93871
180.205,	3.28925
180.76,	3.6486
181.314,	5.55053
181.869,	7.873
182.423,	8.70971
182.978,	7.66563
183.532,	5.70402
184.086,	4.40204
184.641,	4.24138
185.195,	4.50022
185.75,	5.19375
186.304,	6.12257
186.859,	6.53653
187.413,	6.32658
187.968,	5.65955
188.522,	4.94428
189.077,	4.92111
189.631,	5.88016
190.186,	7.13313
190.74,	7.3848
191.295,	5.97462
191.849,	4.33693
192.404,	4.17653
192.958,	5.3517
193.513,	6.1837
194.067,	5.78893
194.622,	4.81722
195.176,	4.04919
195.731,	3.52142
196.285,	3.16488
196.839,	2.99326
197.394,	2.76519
197.948,	2.37611
198.503,	1.95796
199.057,	2.23863
199.612,	3.15158
200.166,	4.09924
200.721,	4.93777
201.275,	5.41962
201.83,	5.27488
202.384,	4.50222
202.939,	3.47769
203.493,	3.09382
204.048,	3.62373
204.602,	4.72777
205.157,	5.80944
205.711,	6.33749
206.266,	6.30599
206.82,	6.03717
207.375,	5.74128
207.929,	5.42696
208.484,	4.7965
209.038,	3.85222
209.592,	3.41381
210.147,	4.22837
210.701,	5.83651
211.256,	7.57292
211.81,	9.43472
212.365,	10.5581
212.919,	9.943
213.474,	7.88062
214.028,	5.91084
214.583,	5.28849
215.137,	5.89791
215.692,	6.18795
216.246,	5.20312
216.801,	4.05907
217.355,	3.693
217.91,	3.77752
218.464,	4.62755
219.019,	6.32211
219.573,	8.10249
220.128,	9.41616
220.682,	9.22898
221.236,	7.2038
221.791,	4.86545
222.345,	3.78871
222.9,	4.55811
223.454,	6.68294
224.009,	8.63911
224.563,	9.21876
225.118,	8.2292
225.672,	6.20731
226.227,	4.31737
226.781,	3.80162
227.336,	4.76896
227.89,	5.88877
228.445,	6.12117
228.999,	5.65982
229.554,	4.92509
230.108,	4.33678
230.663,	3.78791
231.217,	3.20436
231.772,	3.30734
232.326,	3.97068
232.881,	4.22497
233.435,	4.16213
233.989,	4.35524
234.544,	4.99151
235.098,	5.80405
235.653,	5.83922
236.207,	4.89793
236.762,	3.88657
237.316,	3.3626
237.871,	3.19726
238.425,	3.18226
238.98,	3.16826
239.534,	3.17042
240.089,	3.1982
240.643,	3.03577
241.198,	3.11732
241.752,	3.77165
242.307,	4.42497
242.861,	4.30074
243.416,	3.26038
243.97,	1.97575
244.525,	1.32899
245.079,	1.53984
245.633,	2.35786
246.188,	3.48402
246.742,	4.29311
247.297,	4.28675
247.851,	3.70196
248.406,	3.41194
248.96,	3.67285
249.515,	3.80124
250.069,	3.23432
250.624,	2.37319
251.178,	2.06314
251.733,	2.41202
252.287,	2.76293
252.842,	2.58264
253.396,	2.10236
253.951,	2.09711
254.505,	2.6498
255.06,	2.97357
255.614,	2.83822
256.169,	2.46204
256.723,	2.15514
257.278,	2.13442
257.832,	2.10895
258.386,	1.91906
258.941,	1.98328
259.495,	2.31004
260.05,	2.53208
260.604,	2.63302
261.159,	2.67695
261.713,	2.61402
262.268,	2.50247
262.822,	2.41668
263.377,	2.55201
263.931,	2.9788
264.486,	3.27216
265.04,	3.54066
265.595,	3.99153
266.149,	4.2619
266.704,	4.07803
267.258,	3.45831
267.813,	2.9875
268.367,	3.15571
268.922,	3.35479
269.476,	3.04256
270.03,	2.46703
270.585,	2.05293
271.139,	2.3357
271.694,	3.1602
272.248,	3.73567
272.803,	3.5882
273.357,	2.96053
273.912,	2.4663
274.466,	2.58435
275.021,	3.09626
275.575,	3.49785
276.13,	3.73298
276.684,	3.72666
277.239,	3.24217
277.793,	2.51299
278.348,	1.9512
278.902,	1.72403
279.457,	2.12751
280.011,	2.78692
280.566,	3.11202
281.12,	3.356
281.675,	3.80721
282.229,	4.27991
282.783,	4.59417
283.338,	4.51457
283.892,	4.16727
284.447,	4.06301
285.001,	4.11527
285.556,	3.81516
286.11,	3.13061
286.665,	2.57373
287.219,	2.42615
287.774,	2.82112
288.328,	3.71132
288.883,	4.36559
289.437,	4.45
289.992,	4.26845
290.546,	3.7889
291.101,	3.10137
291.655,	2.51794
292.21,	2.14904
292.764,	2.14912
293.319,	2.38797
293.873,	2.47215
294.428,	2.45009
294.982,	2.60121
295.536,	2.85128
296.091,	2.83347
296.645,	2.41326
297.2,	1.74919
297.754,	1.20359
298.309,	0.995133
298.863,	0.994701
299.418,	1.00197
299.972,	1.1891
300.527,	1.65939
301.081,	2.02142
301.636,	1.92024
302.19,	1.51594
302.745,	1.22836
303.299,	1.33948
303.854,	1.66071
304.408,	1.86397
304.963,	1.99486
305.517,	2.2976
306.072,	2.89291
306.626,	3.42711
307.18,	3.45809
307.735,	3.10554
308.289,	2.73631
308.844,	2.42284
309.398,	2.11268
309.953,	1.66043
310.507,	1.19752
311.062,	1.27882
311.616,	1.85613
312.171,	2.35776
312.725,	2.49245
313.28,	2.05796
313.834,	1.28017
314.389,	0.894431
314.943,	1.2141
315.498,	1.81396
316.052,	2.34048
316.607,	2.65316
317.161,	2.71925
317.716,	2.62424
318.27,	2.40192
318.825,	2.24087
319.379,	2.49653
319.933,	2.98061
320.488,	3.11023
321.042,	2.60215
321.597,	1.7142
322.151,	1.16029
322.706,	1.13643
323.26,	1.44059
323.815,	1.78598
324.369,	2.00245
324.924,	2.14883
325.478,	2.27336
326.033,	2.40288
326.587,	2.54363
327.142,	2.51396
327.696,	2.15614
328.251,	1.91289
328.805,	2.26652
329.36,	2.94908
329.914,	3.18567
330.469,	2.70907
331.023,	1.89914
331.577,	1.37828
332.132,	1.25739
332.686,	1.28513
333.241,	1.35505
333.795,	1.36379
334.35,	1.14129
334.904,	0.727522
335.459,	0.430426
336.013,	0.371064
336.568,	0.520932
337.122,	0.83225
337.677,	1.19159
338.231,	1.51051
338.786,	1.82812
339.34,	2.13329
339.895,	2.33485
340.449,	2.28876
341.004,	1.92289
341.558,	1.46197
342.113,	1.1735
342.667,	1.12005
343.222,	1.21003
343.776,	1.28133
344.33,	1.29611
344.885,	1.29275
345.439,	1.25628
345.994,	1.31502
346.548,	1.52715
347.103,	1.70498
347.657,	1.71503
348.212,	1.48372
348.766,	1.18401
349.321,	1.21075
349.875,	1.60472
350.43,	1.9488
350.984,	1.9001
351.539,	1.51398
352.093,	1.16602
352.648,	1.17253
353.202,	1.47422
353.757,	1.68779
354.311,	1.63312
354.866,	1.51856
355.42,	1.50604
355.974,	1.59339
356.529,	1.76845
357.083,	1.89892
357.638,	2.00276
358.192,	2.22852
358.747,	2.38847
359.301,	2.28782
359.856,	2.06273
360.41,	1.99837
360.965,	2.20099
361.519,	2.37136
362.074,	2.17896
362.628,	1.75646
363.183,	1.51593
363.737,	1.5934
364.292,	1.79071
364.846,	2.09061
365.401,	2.48657
365.955,	2.71345
366.51,	2.5289
367.064,	2.02354
367.619,	1.55314
368.173,	1.33136
368.727,	1.24043
369.282,	1.2166
369.836,	1.29385
370.391,	1.48668
370.945,	1.76553
371.5,	1.92576
372.054,	1.83995
372.609,	1.59065
373.163,	1.34766
373.718,	1.2953
374.272,	1.61031
374.827,	2.29237
375.381,	3.14404
375.936,	3.70067
376.49,	3.49127
377.045,	2.59831
377.599,	1.62064
378.154,	1.04366
378.708,	0.837806
379.263,	0.753468
379.817,	0.66114
380.371,	0.737646
380.926,	1.04502
381.48,	1.34224
382.035,	1.42916
382.589,	1.35401
383.144,	1.41482
383.698,	1.75777
384.253,	2.15412
384.807,	2.33627
385.362,	2.33474
385.916,	2.27246
386.471,	2.19997
387.025,	1.99263
387.58,	1.70652
388.134,	1.51878
388.689,	1.39846
389.243,	1.33681
389.798,	1.3439
390.352,	1.4594
390.907,	1.7526
391.461,	2.06485
392.016,	2.12988
392.57,	1.9114
393.124,	1.45918
393.679,	1.02082
394.233,	0.827416
394.788,	0.961459
395.342,	1.3442
395.897,	1.7806
396.451,	2.04181
397.006,	2.03353
397.56,	1.86465
398.115,	1.61074
398.669,	1.3344
399.224,	1.18255
399.778,	1.24264
400.333,	1.50307
400.887,	1.77613
401.442,	1.77764
401.996,	1.54738
402.551,	1.26704
403.105,	1.02633
403.66,	0.946394
404.214,	1.01055
404.769,	1.02754
405.323,	0.962125
405.877,	0.913632
406.432,	0.984871
406.986,	1.28634
407.541,	1.62868
408.095,	1.74991
408.65,	1.75426
409.204,	1.72453
409.759,	1.59448
410.313,	1.34479
410.868,	1.12833
411.422,	1.09324
411.977,	1.16779
412.531,	1.18195
413.086,	1.13228
413.64,	1.10155
414.195,	1.18532
414.749,	1.28034
415.304,	1.19255
415.858,	1.00709
416.413,	0.850479
416.967,	0.751802
417.521,	0.786906
418.076,	0.916659
418.63,	0.964388
419.185,	0.892042
419.739,	0.717734
420.294,	0.531829
420.848,	0.446236
421.403,	0.465182
421.957,	0.621371
422.512,	0.880218
423.066,	1.19198
423.621,	1.50233
424.175,	1.60236
424.73,	1.42333
425.284,	1.18737
425.839,	1.10369
426.393,	1.31168
426.948,	1.73032
427.502,	2.08414
428.057,	2.19387
428.611,	1.97544
429.166,	1.52045
429.72,	1.1442
430.274,	1.13675
430.829,	1.37713
431.383,	1.49482
431.938,	1.39771
432.492,	1.23913
433.047,	1.11757
433.601,	1.03485
434.156,	0.930532
434.71,	0.834918
435.265,	0.950796
435.819,	1.23932
436.374,	1.4998
436.928,	1.65757
437.483,	1.58892
438.037,	1.28782
438.592,	0.942566
439.146,	0.730544
439.701,	0.856413
440.255,	1.2597
440.81,	1.60629
441.364,	1.7347
441.918,	1.55062
442.473,	1.18215
443.027,	0.975075
443.582,	1.00538
444.136,	1.24185
444.691,	1.61214
445.245,	1.78194
445.8,	1.64406
446.354,	1.4929
446.909,	1.53002
447.463,	1.64574
448.018,	1.62771
448.572,	1.31572
449.127,	0.866313
449.681,	0.630596
450.236,	0.694093
450.79,	0.940754
451.345,	1.25061
451.899,	1.45356
452.454,	1.41586
453.008,	1.20086
453.563,	0.951576
454.117,	0.74041
454.671,	0.559347
455.226,	0.447914
455.78,	0.430461
456.335,	0.549574
456.889,	0.762061
457.444,	0.85266
457.998,	0.798867
458.553,	0.711264
459.107,	0.623099
459.662,	0.571941
460.216,	0.621731
460.771,	0.757493
461.325,	0.917484
461.88,	1.05597
462.434,	1.15375
462.989,	1.21275
463.543,	1.24685
464.098,	1.18212
464.652,	1.0005
465.207,	0.845625
465.761,	0.900955
466.315,	1.17244
466.87,	1.38821
467.424,	1.40758
467.979,	1.27613
468.533,	1.08745
469.088,	1.00652
469.642,	1.0104
470.197,	0.98063
470.751,	0.938962
471.306,	0.859157
471.86,	0.707968
472.415,	0.652476
472.969,	0.831908
473.524,	1.09013
474.078,	1.19158
474.633,	1.04412
475.187,	0.753009
475.742,	0.548126
476.296,	0.482272
476.851,	0.495677
477.405,	0.609975
477.96,	0.762163
478.514,	0.882436
479.068,	0.958847
479.623,	0.954046
480.177,	0.890846
480.732,	0.762216
481.286,	0.581784
481.841,	0.519455
482.395,	0.626688
482.95,	0.738984
483.504,	0.721747
484.059,	0.609632
484.613,	0.527572
485.168,	0.500433
485.722,	0.524216
486.277,	0.635671
486.831,	0.790752
487.386,	0.89846
487.94,	0.887465
488.495,	0.764374
489.049,	0.679007
489.604,	0.690627
490.158,	0.805468
490.713,	1.01233
491.267,	1.20241
491.821,	1.24419
492.376,	1.12228
492.93,	0.97683
493.485,	0.925999
494.039,	0.908724
494.594,	0.814107
495.148,	0.659664
495.703,	0.507316
496.257,	0.478724
496.812,	0.598985
497.366,	0.756136
497.921,	0.889156
498.475,	0.946138
499.03,	0.900448
499.584,	0.814676
500.139,	0.683616
500.693,	0.517999
501.248,	0.394156
501.802,	0.318289
502.357,	0.285735
502.911,	0.28107
503.465,	0.299813
504.02,	0.34434
504.574,	0.406078
505.129,	0.47615
505.683,	0.506589
506.238,	0.501704
506.792,	0.54323
507.347,	0.665192
507.901,	0.822749
508.456,	0.924232
509.01,	0.887562
509.565,	0.758495
510.119,	0.708162
