t,	etaU
169.67,	32.837
170.225,	35.5318
170.779,	38.997
171.334,	40.4344
171.888,	38.7413
172.442,	35.2742
172.997,	29.7284
173.551,	25.9712
174.106,	29.7415
174.66,	39.4455
175.215,	47.5138
175.769,	46.6636
176.324,	36.8112
176.878,	26.0288
177.433,	20.1802
177.987,	17.4976
178.542,	16.9347
179.096,	19.6376
179.651,	23.8351
180.205,	26.1266
180.76,	25.1076
181.314,	22.9725
181.869,	23.3158
182.423,	27.1991
182.978,	30.9812
183.532,	29.5757
184.086,	23.1263
184.641,	16.6106
185.195,	13.739
185.75,	15.9264
186.304,	19.7837
186.859,	20.028
187.413,	17.5771
187.968,	15.598
188.522,	14.9396
189.077,	16.1026
189.631,	18.1645
190.186,	21.2992
190.74,	27.3137
191.295,	32.2802
191.849,	32.2729
192.404,	28.0978
192.958,	24.4659
193.513,	24.6514
194.067,	26.0869
194.622,	25.5917
195.176,	23.9525
195.731,	23.1535
196.285,	22.5358
196.839,	20.3573
197.394,	16.678
197.948,	14.4627
198.503,	14.7904
199.057,	16.8914
199.612,	19.5936
200.166,	21.2755
200.721,	20.3884
201.275,	18.1234
201.83,	17.1736
202.384,	19.5126
202.939,	23.0651
203.493,	22.5315
204.048,	18.1784
204.602,	14.4885
205.157,	13.7314
205.711,	16.5889
206.266,	21.9872
206.82,	27.7297
207.375,	31.9622
207.929,	31.2071
208.484,	24.4567
209.038,	18.1795
209.592,	17.2724
210.147,	19.4253
210.701,	21.4714
211.256,	20.8142
211.81,	18.2988
212.365,	18.3965
212.919,	25.4386
213.474,	37.7126
214.028,	48.0243
214.583,	50.2998
215.137,	44.3101
215.692,	34.474
216.246,	27.4699
216.801,	25.1442
217.355,	26.1945
217.91,	30.2162
218.464,	32.4078
219.019,	31.5502
219.573,	31.1907
220.128,	30.6208
220.682,	27.5901
221.236,	22.2343
221.791,	17.9554
222.345,	18.6456
222.9,	21.0514
223.454,	21.5877
224.009,	20.831
224.563,	20.6133
225.118,	23.5776
225.672,	27.4984
226.227,	28.9935
226.781,	29.0686
227.336,	27.5354
227.89,	24.7052
228.445,	21.456
228.999,	17.0877
229.554,	13.0622
230.108,	10.9706
230.663,	10.0203
231.217,	9.35045
231.772,	9.56753
232.326,	12.4094
232.881,	17.0213
233.435,	20.8574
233.989,	21.695
234.544,	19.0134
235.098,	15.8156
235.653,	14.3317
236.207,	13.4479
236.762,	11.8731
237.316,	9.52413
237.871,	7.26946
238.425,	6.2676
238.98,	8.38071
239.534,	15.0508
240.089,	24.6577
240.643,	32.2082
241.198,	32.145
241.752,	24.6081
242.307,	17.9617
242.861,	17.7109
243.416,	21.1579
243.97,	24.1118
244.525,	23.6539
245.079,	19.9508
245.633,	15.6817
246.188,	12.1833
246.742,	11.0385
247.297,	13.3514
247.851,	16.6425
248.406,	19.0014
248.96,	19.3238
249.515,	17.2288
250.069,	13.5079
250.624,	9.78729
251.178,	8.58251
251.733,	9.92379
252.287,	10.9765
252.842,	12.4754
253.396,	16.6183
253.951,	21.2937
