t,	etaU
0,	49.9829
0.554477,	47.4892
1.10895,	40.6531
1.66343,	31.5058
2.21791,	31.5058
2.77239,	40.6531
3.32686,	47.4892
3.88134,	49.9829
4.43582,	55.2703
4.9903,	61.773
5.54477,	61.7358
6.09925,	50.8039
6.65373,	39.3342
7.20821,	42.5038
7.76268,	58.7214
8.31716,	73.2326
8.87164,	74.1099
9.42612,	60.7777
9.98059,	50.2903
10.5351,	55.8811
11.0895,	71.6187
11.644,	85.1296
12.1985,	85.2444
12.753,	72.2143
13.3075,	62.5936
13.8619,	69.5247
14.4164,	86.6664
14.9709,	100
15.5254,	96.5797
16.0798,	76.5769
16.6343,	60.7934
17.1888,	62.2881
17.7433,	71.4933
18.2978,	77.0319
18.8522,	74.561
19.4067,	66.5048
19.9612,	63.1689
20.5157,	68.5869
21.0701,	77.1178
21.6246,	79.8456
22.1791,	71.0836
22.7336,	53.2758
23.2881,	39.012
23.8425,	38.3352
24.397,	46.1441
24.9515,	49.0893
25.506,	42.6123
26.0604,	33.2874
26.6149,	27.6655
27.1694,	24.8593
27.7239,	21.6165
28.2783,	20.8747
28.8328,	26.8413
29.3873,	36.1392
29.9418,	46.3635
30.4963,	56.0868
31.0507,	59.2167
31.6052,	58.0126
32.1597,	61.9753
32.7142,	70.3149
33.2686,	77.2459
33.8231,	74.9051
34.3776,	60.5701
34.9321,	49.4648
35.4866,	51.143
36.041,	55.1671
36.5955,	52.3552
37.15,	45.3646
37.7045,	39.9781
38.2589,	39.8138
38.8134,	41.7513
39.3679,	42.4412
39.9224,	44.1735
40.4769,	52.2906
41.0313,	63.565
41.5858,	67.7503
42.1403,	61.3298
42.6948,	55.2905
43.2492,	59.8081
43.8037,	73.4794
44.3582,	86.0252
44.9127,	85.5736
45.4671,	72.7178
46.0216,	59.024
46.5761,	54.3455
47.1306,	65.032
47.6851,	82.7894
48.2395,	90.762
48.794,	86.9397
49.3485,	75.7505
49.903,	61.622
50.4574,	46.0087
51.0119,	28.4792
51.5664,	19.7384
52.1209,	25.2307
52.6754,	36.7655
53.2298,	53.5619
53.7843,	71.5492
54.3388,	80.513
54.8933,	75.5502
55.4477,	55.8007
56.0022,	35.8387
56.5567,	33.4414
57.1112,	42.5518
57.6657,	48.255
58.2201,	44.7978
58.7746,	34.2686
59.3291,	26.579
59.8836,	28.9749
60.438,	35.3327
60.9925,	35.962
61.547,	32.9381
62.1015,	30.612
62.6559,	34.1028
63.2104,	46.9556
63.7649,	57.5953
64.3194,	58.6639
64.8739,	53.3429
65.4283,	47.2904
65.9828,	48.7963
66.5373,	54.0467
67.0918,	61.7004
67.6462,	74.3779
68.2007,	82.6475
68.7552,	84.4253
69.3097,	81.2743
69.8642,	71.0761
70.4186,	57.6503
70.9731,	44.1104
71.5276,	37.8724
72.0821,	46.7805
72.6365,	66.1192
73.191,	81.3267
73.7455,	84.4554
74.3,	78.717
74.8544,	64.3685
75.4089,	51.1757
75.9634,	48.3268
76.5179,	47.3345
77.0724,	40.8624
77.6268,	29.958
78.1813,	20.3836
78.7358,	25.4276
79.2903,	43.0104
79.8447,	62.5617
80.3992,	78.6866
80.9537,	85.5719
81.5082,	82.6607
82.0627,	73.5664
82.6171,	59.0579
83.1716,	40.5496
83.7261,	24.244
84.2806,	25.0668
84.835,	47.4876
85.3895,	71.0325
85.944,	80.5186
86.4985,	72.2746
87.053,	54.3535
87.6074,	41.0614
88.1619,	35.0025
88.7164,	33.5845
89.2709,	36.5427
89.8253,	36.9312
90.3798,	36.3849
90.9343,	41.1013
91.4888,	48.8703
92.0432,	52.1559
92.5977,	46.4828
93.1522,	39.616
93.7067,	39.3752
94.2612,	41.3922
94.8156,	39.5062
95.3701,	34.9961
95.9246,	30.542
96.4791,	27.3631
97.0335,	25.3101
97.588,	26.877
98.1425,	34.0247
98.697,	43.0311
99.2515,	46.7126
99.8059,	41.8719
100.36,	36.5744
100.915,	40.0196
101.469,	49.3128
102.024,	54.643
102.578,	48.9033
103.133,	35.8641
103.687,	28.6871
104.242,	31.0729
104.796,	34.4698
105.351,	36.3762
105.905,	44.6236
106.46,	59.7068
107.014,	68.766
107.569,	64.8321
108.123,	54.0165
108.678,	46.6932
109.232,	46.3373
109.787,	43.5286
110.341,	33.1342
110.895,	24.6087
111.45,	24.7016
112.004,	30.5657
112.559,	36.4423
113.113,	38.3111
113.668,	34.8809
114.222,	27.9611
114.777,	20.1416
115.331,	14.214
115.886,	21.5679
116.44,	44.4059
116.995,	65.1703
117.549,	70.9572
118.104,	63.2894
118.658,	52.8422
119.213,	47.4488
119.767,	41.0434
