eta1	eta2	eta3	eta4
2.15459	1.16773	-2.68211	-1.19422
1.85216	1.74518	-2.00699	-1.97583
1.44986	2.20112	-1.23787	-2.25047
0.981089	2.52972	-0.53465	-1.98883
0.415658	2.71514	0.0322742	-1.36102
-0.237852	2.7181	0.466829	-0.638512
-0.883959	2.55528	0.763409	0.0238148
-1.44177	2.26967	0.914127	0.588476
-1.87981	1.91165	0.912217	1.04155
-2.19089	1.5092	0.763167	1.35484
-2.38703	1.04776	0.525695	1.47275
-2.50561	0.520118	0.259107	1.35092
-2.54893	-0.0559898	0.028521	0.988984
-2.49412	-0.617333	-0.105811	0.471102
-2.34306	-1.10604	-0.0993277	-0.0437724
-2.10663	-1.51161	0.00898446	-0.418083
-1.82081	-1.83673	0.159635	-0.558053
-1.51893	-2.06332	0.27656	-0.431422
-1.21465	-2.19497	0.305797	-0.102895
-0.916696	-2.21562	0.207309	0.380603
-0.648739	-2.11025	-0.0712453	0.972701
-0.427928	-1.92685	-0.579703	1.59209
-0.198356	-1.77502	-1.32433	2.1399
0.234213	-1.68183	-2.21694	2.49197
0.851508	-1.50531	-3.13427	2.43898
1.36017	-1.22215	-3.96634	1.7973
1.59567	-0.950336	-4.58943	0.566646
1.69922	-0.755158	-4.78591	-1.13809
1.82674	-0.539337	-4.30353	-2.77282
1.9385	-0.198385	-3.2129	-3.65389
1.9332	0.163784	-2.02233	-3.75261
1.80917	0.456202	-1.01462	-3.43204
1.62938	0.67695	-0.258524	-2.88676
1.38274	0.884008	0.261701	-2.18331
1.00057	1.08534	0.577486	-1.37108
0.474652	1.21295	0.705422	-0.504439
-0.0844388	1.12987	0.639967	0.339886
-0.516098	0.824996	0.384205	1.04842
-0.803319	0.441056	-0.0102697	1.53988
-1.00652	0.0567718	-0.494787	1.79937
-1.09373	-0.330161	-1.03751	1.81294
-1.06396	-0.650232	-1.60584	1.5194
-0.969346	-0.875927	-2.10864	1.01813
-0.877832	-1.02913	-2.46867	0.521015
-0.809311	-1.17433	-2.67169	0.105731
-0.742789	-1.3501	-2.7364	-0.223086
-0.651519	-1.57432	-2.69362	-0.474571
-0.498189	-1.83122	-2.51756	-0.697898
-0.25243	-2.07595	-2.2014	-0.831158
0.0919301	-2.29223	-1.8549	-0.761542
0.50956	-2.45245	-1.5936	-0.531011
0.932449	-2.4805	-1.41622	-0.319834
1.30873	-2.35447	-1.23857	-0.257272
1.62913	-2.11288	-1.01814	-0.32089
1.93669	-1.81298	-0.781796	-0.425939
2.24493	-1.48592	-0.558271	-0.496091
2.53004	-1.12801	-0.356608	-0.464217
2.71924	-0.713337	-0.176656	-0.33247
2.76961	-0.253548	-0.0231534	-0.179109
2.74527	0.216497	0.0563738	-0.0256282
