eta1	eta2	eta1exp	eta2exp	eta9	eta10	eta15	eta16	eta9exp	eta10exp
239.268	-14.652	-105.5819362	207.9020335	-52.0713	18.4785	2.63313	-40.1134	-44.07569923	9.811002346
231.077	-63.8966	-65.37083971	226.8915062	-59.0766	1.7505	30.7699	-39.744	-35.74265503	1.910949518
212.557	-111.758	-17.58785776	236.2903307	-64.1129	-17.5813	50.5558	-23.2041	-28.93024737	3.667769012
183.446	-155.576	31.0984811	236.8140451	-68.7734	-37.1759	53.8261	2.34866	-17.61310217	-3.116263046
144.255	-192.36	78.87435789	228.0503131	-71.6179	-52.9875	39.4204	26.8901	-3.554108154	-25.7737126
97.1448	-220.517	125.3137859	209.5491631	-71.8517	-62.6329	13.0943	41.0975	13.53336823	-38.43495733
44.664	-238.005	168.4396992	179.5284529	-68.9109	-64.4249	-15.5828	40.1858	30.00730723	-48.07939191
-10.7972	-243.072	203.1352145	138.6157579	-63.5487	-57.8778	-37.0827	24.8461	46.33427585	-49.29362735
-66.1343	-235.275	226.9489176	89.07329078	-56.8527	-44.2226	-43.5359	0.50878	50.68003599	-34.94641856
-117.983	-215.685	244.1685801	42.48614181	-49.3167	-26.1024	-32.0784	-23.2367	50.33665352	-12.03467043
-163.381	-187.187	242.7300817	-5.918888393	-42.4763	-7.39209	-7.41207	-37.0354	45.98093662	-13.81338245
-201.136	-150.77	235.5030546	-53.33527736	-38.2467	10.0457	20.1726	-37.0838	35.72601726	-0.369444229
-229.574	-108.899	217.8841989	-92.92474939	-37.6182	23.6245	41.6732	-24.1305	35.37224723	-6.374498077
-247.266	-63.3987	189.0479507	-131.0281911	-39.0167	29.5681	52.1043	-1.41163	28.58888198	-8.157229902
-251.888	-13.1591	153.4998254	-165.7724988	-38.2331	27.0998	47.1072	24.8468	14.47987961	2.648115493
-242.508	37.8938	110.3205172	-194.4871655	-32.0667	20.5668	25.343	45.2314	6.94787259	-10.33950243
-221.654	84.0779	62.84060148	-209.9473584	-20.1677	16.9843	-4.77873	49.9461	4.073186036	-10.99787832
-191.318	125.057	13.44081482	-216.0667595	-4.22161	17.549	-28.3043	36.2417	0.523533159	-11.8335938
-152.061	161.1	-39.80412094	-205.6300394	12.7666	21.5443	-36.058	12.262	-5.727842113	-9.202075238
-103.775	188.263	-82.70172891	-184.1012488	25.8706	26.8474	-26.9852	-10.4472	-14.12186914	5.894749508
-48.2265	202.406	-122.8279676	-156.7541738	31.1206	30.6939	-8.44371	-21.782	-16.72397544	12.10331647
10.7955	201.678	-157.3680991	-123.1748596	27.0302	29.6357	7.04757	-18.3944	-14.96657461	9.148700233
66.3865	183.654	-181.3786951	-88.75585867	17.8418	20.2823	9.92211	-6.01905	-11.00758339	6.942978262
111.584	151.278	-199.2171743	-45.79911974	10.0503	6.7078	-1.1902	5.65841	-5.055672722	11.2764371
144.483	110.648	-202.4134892	-3.198024723	5.34754	-3.06176	-19.5025	9.39199	-3.793254516	16.12259458
166.19	67.6101	-195.7669229	36.32884667	4.89122	-8.61949	-35.0073	1.08909	-2.716243024	16.29667296
177.918	22.3438	-178.2929803	78.40735942	8.71692	-13.6003	-40.3486	-17.3727	-3.342869596	27.41035128
177.927	-25.6514	-156.5321453	118.0811795	16.0059	-17.8427	-31.15	-38.2412	2.895712378	17.88372959
165.016	-70.8416	-130.105964	148.6138068	25.6367	-17.7775	-8.76392	-49.5626	4.700376453	18.84999034
144.256	-107.44	-92.34776754	175.1781753	32.5818	-12.2011	16.3018	-43.9508	8.398976003	16.54976991
122.962	-135.636	-48.49959322	194.9545352	31.9137	-4.69204	33.9711	-25.6315	12.37864534	3.231026477
96.3479	-161.307	-1.778020264	201.8612109	30.8392	2.67397	39.6877	-1.7186	14.06120852	-3.464705077
59.1703	-179.577	43.29322331	195.4827083	34.6504	11.9504	32.3051	21.2806	16.0365414	-10.68038591
15.7853	-185.429	90.44255163	176.5534728	40.3122	22.4615	13.7913	35.1208	19.897281	-22.29279315
-31.3494	-177.882	130.359294	154.8315477	45.0697	31.6135	-6.581	34.8026	32.32136974	-26.24550416
-78.621	-156.284	159.6286239	114.2239414	43.9628	36.9781	-19.1866	22.9444	40.56013609	-28.2709245
-119.088	-122.416	177.5717199	74.06841224	35.2886	38.1264	-19.7189	7.68848	35.37166876	-10.62263023
-148.6	-81.9956	192.0545889	30.67675576	21.8991	37.0778	-11.9268	-2.21105	31.7325784	-0.288154033
-167.26	-38.5314	193.2520371	-10.1034392	5.81421	34.5395	-2.55972	-4.71357	21.41592109	17.68478038
-173.789	5.6165	181.3456859	-55.83762468	-10.4835	27.778	4.63613	-1.85051	10.38867548	27.25305606
-168.247	47.9608	161.0786846	-97.53707785	-23.69	15.918	7.5862	4.83033	-3.209396622	34.62297311
-152.52	86.9557	137.0243458	-140.4719701	-31.5407	1.924	4.48595	10.8954	-22.99723631	50.46202353
-128.032	120.779	106.4997056	-168.2666735	-33.3252	-9.65098	-1.22448	11.1747	-36.97542298	42.35843146
-96.2615	148.233	65.99818662	-189.9988367	-30.677	-14.4773	-4.14994	3.94106	-42.54332281	11.59368882
-59.0798	167.535	18.76607248	-196.7855741	-25.8088	-10.4422	0.0742564	-6.94751	-45.57936661	1.743048721
-18.8171	175.802	-30.72986135	-194.7416792	-20.8668	1.90137	11.9764	-13.6796	-33.36334637	-40.80346509
21.1446	171.816	-74.9359623	-184.0460959	-17.6027	20.1266	25.2222	-9.08647	-20.20064882	-58.40883931
58.4683	157.657	-114.3445386	-166.6107555	-16.4394	39.264	29.5969	5.50388	-5.54348818	-66.32977707
92.1523	136.505	-152.8267244	-138.327074	-17.196	54.4187	20.1786	20.4923	9.647324604	-54.27788236
120.817	110.19	-179.5436011	-104.5992124	-20.2336	63.8548	0.420431	26.6856	13.85411507	-25.43741779
143.105	80.1102	-201.6933101	-63.25737927	-24.6572	67.456	-20.8939	19.9576	15.04382488	-24.39053812
158.193	47.6303	-210.8416737	-22.26427858	-29.7523	64.1514	-34.4317	2.77611	8.215885148	8.591516209
164.807	15.3157	-208.2890486	24.63059066	-33.4993	53.994	-35.312	-16.8745	5.687059824	4.475654291
162.942	-14.5476	-197.7542576	70.01351148	-33.8129	37.4854	-25.4598	-29.9737	-8.537171918	29.99185767
154.743	-40.5902	-176.8968401	110.4810806	-30.3372	15.6421	-11.9314	-31.1457	-24.24874193	42.14248134
142.22	-63.3176	-148.7321667	151.0228688	-23.7977	-9.39196	-3.40298	-20.9709	-32.49543905	31.74783396
126.125	-83.237	-105.1554139	182.8464854	-15.2187	-32.426	-4.32725	-5.72923	-43.37088486	34.16525111
