f	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7	sumEta	sumEtaSq
0	1.4870090573617213E-18	9.667478341777069E-19	2.040421045142372E-19	2.0241785435623934E-18	2.169525678748797E-19	1.360470824110972E-18	1.0473141045989822E-18	2.3274850684128482E-20	7.329989886885021E-18	1.0280087100527081E-35
0.0197765	0.002194308749874216	0.001763286959462138	6.124787477428814E-05	2.7578955722461277E-05	2.0037277993176867E-05	1.3954213575164982E-05	5.722719238583676E-06	9.953948278972972E-07	0.004087132145467926	7.929313645059108E-06
0.0395531	0.0022189857941166606	0.0018905516453789374	6.029165376186434E-05	1.3294613997281408E-05	1.9652522186464094E-05	7.04446115394113E-06	7.106702558927036E-06	1.0738146318239858E-06	0.0042180012077859	8.502382812971597E-06
0.0593296	0.0022457936686596453	0.00200613667768713	5.929651363531136E-05	2.7050585765491207E-07	1.9313489333113146E-05	7.706944252382711E-07	8.317365591451621E-06	1.1464635504570866E-06	0.004341045378740001	9.072133819245199E-06
0.0791061	0.002260790655251065	0.002033736248126918	5.8795430040898205E-05	2.8841561901628556E-06	1.9255244741071323E-05	7.010757331635738E-07	8.507142745237822E-06	1.1672729276782193E-06	0.004385837225756195	9.251167724727514E-06
0.0988826	0.0022562651775651565	0.001956332514568418	5.902624200941429E-05	5.861561950199566E-06	1.951952720593862E-05	3.612553197827865E-06	7.500166459057647E-06	1.1251309601168763E-06	0.004309242873916129	8.921939495104508E-06
0.118659	0.0022356671513266025	0.0018278487529751288	5.979489451346555E-05	2.0601840100085714E-05	1.99293262900114E-05	1.0841804641500287E-05	5.916629105660347E-06	1.051124795570921E-06	0.004181651523748026	8.343789374636492E-06
0.138436	0.00221275565219032	0.0017373664575395032	6.0602466131645964E-05	3.145093190621726E-05	2.0201956513998705E-05	1.6175810133005897E-05	4.771740689009419E-06	9.966381065960953E-07	0.004084321653210297	7.92008514277975E-06
0.158212	0.002204313505475799	0.0017493679168391093	6.0954359788563925E-05	3.120522055739777E-05	2.015149051568233E-05	1.6063179907976502E-05	4.811799470009124E-06	9.987102377607587E-07	0.0040878661827922986	7.924663597811318E-06
0.177989	0.002220304879540804	0.001860337876943447	6.066489887722818E-05	2.0152798082267688E-05	1.9815303489304115E-05	1.0568902778375611E-05	6.014820682306061E-06	1.0552638775723362E-06	0.004198914744271305	8.395238779337489E-06
0.197765	0.0022570363351977324	0.002000779559419325	5.997084134192453E-05	5.833018381226136E-06	1.9429978517196798E-05	3.342752128977887E-06	7.592851274515802E-06	1.127658960137766E-06	0.004355112995221036	9.101410010769874E-06
0.217542	0.0022982526812967497	0.0020815338581135186	5.9363811270159735E-05	2.0315438468931005E-06	1.9267576657953143E-05	8.121235941043341E-07	8.498909027454505E-06	1.1669931899709898E-06	0.004470927496996804	9.618722271202335E-06
0.237318	0.002324045874744239	0.002053536762996615	5.928272978239062E-05	1.921776678730054E-06	1.9445915148244068E-05	8.669490466891251E-07	8.13103412700735E-06	1.147261320955482E-06	0.0044683783038448706	9.622166925311502E-06
0.257095	0.0023229297255391947	0.0019409047711470004	5.9830029824832153E-05	1.512881601198258E-05	1.9848884247582298E-05	7.262518384310243E-06	6.724516421151754E-06	1.0822274843525196E-06	0.0043737114890604065	9.167415466714133E-06
0.276871	0.0022997949965619024	0.001825527966050631	6.071408831314144E-05	2.8843493784469403E-05	2.0206320115356887E-05	1.4117990922251245E-05	5.211161206498001E-06	1.0157586969180274E-06	0.004255431775651169	8.62676332970464E-06
0.296648	0.00227467149263744	0.0017926469963291552	6.143057839339455E-05	3.3971073072094617E-05	2.0279363007656893E-05	1.6866509393782185E-05	4.592364020844251E-06	9.925093852505033E-07	0.0042054508862396185	8.393359209218103E-06
0.316424	0.0022715665684852246	0.0018736795622973305	6.157895751601203E-05	2.7146696936823056E-05	2.002418718910232E-05	1.3674076525399346E-05	5.278109047883786E-06	1.0283520740712695E-06	0.004273976510071847	8.67583555277831E-06
0.336201	0.002303427554883776	0.0020244038830879497	6.111057678833243E-05	1.2979837836901844E-05	1.9622166698755E-05	6.648774230928685E-06	6.808988658025011E-06	1.0994054517075795E-06	0.0044361011876363765	9.408369367888715E-06
0.355977	0.00236244140739778	0.0021536561923903305	6.036841090361911E-05	1.0185417604696062E-06	1.935864312108042E-05	4.465836372842421E-07	8.173693029412311E-06	1.1584870915400465E-06	0.004606621959331516	1.022345288872168E-05
0.375754	0.0024227743453359273	0.0021840573653164616	5.988570577976695E-05	6.098060632721795E-07	1.9425614915838613E-05	7.889688657231729E-07	8.47346800215997E-06	1.16590014078163E-06	0.0046971811744199315	1.0643979909001043E-05
0.395531	0.0024556906000737936	0.002104609219132793	6.0058679620341076E-05	9.345712653656678E-06	1.9791588264531384E-05	3.713568763890179E-06	7.514086621215063E-06	1.1165730584068163E-06	0.004661840028188628	1.0463953881684418E-05
0.415307	0.002448709594136786	0.0019789724914175168	6.08827378077012E-05	2.4339671169080787E-05	2.0217513701449613E-05	1.1010909813800807E-05	5.927093008876629E-06	1.0438049922317473E-06	0.004551103816047444	9.917376133515969E-06
