x	singVal	singValLomSumasingVal	singValsqLomSumasingValsq
135	5.90098e-05	1.2304e-07	5.58515e-14
136	5.84795e-05	1.21935e-07	5.48523e-14
137	5.83124e-05	1.21586e-07	5.45393e-14
138	5.81459e-05	1.21239e-07	5.42282e-14
139	5.77568e-05	1.20428e-07	5.35049e-14
140	5.74831e-05	1.19857e-07	5.29989e-14
141	5.72695e-05	1.19412e-07	5.26058e-14
142	5.71263e-05	1.19113e-07	5.23431e-14
143	5.68259e-05	1.18487e-07	5.1794e-14
144	5.63402e-05	1.17474e-07	5.09123e-14
145	5.62731e-05	1.17334e-07	5.07913e-14
146	5.60045e-05	1.16774e-07	5.03075e-14
147	5.5837e-05	1.16425e-07	5.00071e-14
148	5.57096e-05	1.16159e-07	4.97791e-14
149	5.54122e-05	1.15539e-07	4.9249e-14
150	5.50975e-05	1.14883e-07	4.86912e-14
151	5.49759e-05	1.14629e-07	4.84766e-14
152	5.45735e-05	1.1379e-07	4.77694e-14
153	5.44735e-05	1.13582e-07	4.75945e-14
154	5.42512e-05	1.13118e-07	4.72068e-14
155	5.40641e-05	1.12728e-07	4.68819e-14
156	5.38575e-05	1.12297e-07	4.65243e-14
157	5.38305e-05	1.12241e-07	4.64776e-14
158	5.37632e-05	1.12101e-07	4.63615e-14
159	5.32551e-05	1.11041e-07	4.54893e-14
160	5.32308e-05	1.10991e-07	4.54479e-14
161	5.3111e-05	1.10741e-07	4.52435e-14
162	5.29874e-05	1.10483e-07	4.50332e-14
163	5.27925e-05	1.10077e-07	4.47024e-14
164	5.25682e-05	1.09609e-07	4.43234e-14
165	5.25043e-05	1.09476e-07	4.42157e-14
166	5.21866e-05	1.08813e-07	4.36822e-14
167	5.1993e-05	1.0841e-07	4.33587e-14
168	5.191e-05	1.08237e-07	4.32204e-14
169	5.18136e-05	1.08036e-07	4.306e-14
170	5.14654e-05	1.0731e-07	4.24832e-14
171	5.12388e-05	1.06837e-07	4.211e-14
172	5.10198e-05	1.0638e-07	4.17507e-14
173	5.08282e-05	1.05981e-07	4.14377e-14
174	5.0717e-05	1.05749e-07	4.12567e-14
175	5.06469e-05	1.05603e-07	4.11426e-14
176	5.05152e-05	1.05328e-07	4.09289e-14
177	5.0452e-05	1.05197e-07	4.08267e-14
178	5.03467e-05	1.04977e-07	4.06565e-14
179	5.01328e-05	1.04531e-07	4.03116e-14
180	4.99106e-05	1.04068e-07	3.99552e-14
181	4.9791e-05	1.03818e-07	3.97638e-14
182	4.97428e-05	1.03718e-07	3.9687e-14
183	4.94577e-05	1.03123e-07	3.92333e-14
184	4.94228e-05	1.03051e-07	3.91779e-14
185	4.93721e-05	1.02945e-07	3.90976e-14
186	4.91888e-05	1.02563e-07	3.88079e-14
187	4.90111e-05	1.02192e-07	3.8528e-14
188	4.89225e-05	1.02007e-07	3.83888e-14
189	4.87559e-05	1.0166e-07	3.81278e-14
190	4.84811e-05	1.01087e-07	3.76992e-14
191	4.83818e-05	1.0088e-07	3.75449e-14
192	4.82254e-05	1.00554e-07	3.73025e-14
193	4.80632e-05	1.00216e-07	3.70521e-14
194	4.79176e-05	9.99122e-08	3.68279e-14
195	4.77715e-05	9.96075e-08	3.66036e-14
196	4.75864e-05	9.92216e-08	3.63206e-14
197	4.75143e-05	9.90713e-08	3.62107e-14
198	4.74247e-05	9.88844e-08	3.60741e-14
199	4.73244e-05	9.86752e-08	3.59217e-14
200	4.72434e-05	9.85064e-08	3.57989e-14
201	4.69694e-05	9.7935e-08	3.53848e-14
202	4.68083e-05	9.75992e-08	3.51425e-14
203	4.67095e-05	9.73931e-08	3.49943e-14
204	4.66227e-05	9.72122e-08	3.48644e-14
205	4.649e-05	9.69355e-08	3.46662e-14
206	4.62889e-05	9.65162e-08	3.43669e-14
207	4.62461e-05	9.6427e-08	3.43035e-14
208	4.61812e-05	9.62917e-08	3.42073e-14
209	4.61287e-05	9.61821e-08	3.41294e-14
210	4.59404e-05	9.57896e-08	3.38514e-14
211	4.57008e-05	9.529e-08	3.34993e-14
212	4.55062e-05	9.48842e-08	3.32146e-14
213	4.5465e-05	9.47982e-08	3.31544e-14
214	4.53159e-05	9.44874e-08	3.29373e-14
215	4.52351e-05	9.43189e-08	3.28199e-14
216	4.51618e-05	9.41661e-08	3.27137e-14
217	4.49418e-05	9.37075e-08	3.23958e-14
218	4.47927e-05	9.33966e-08	3.21812e-14
219	4.46347e-05	9.3067e-08	3.19545e-14
220	4.44905e-05	9.27663e-08	3.17483e-14
221	4.43024e-05	9.23741e-08	3.14804e-14
222	4.41907e-05	9.21412e-08	3.13219e-14
223	4.39823e-05	9.17068e-08	3.10273e-14
224	4.38427e-05	9.14158e-08	3.08306e-14
225	4.36192e-05	9.09497e-08	3.05171e-14
226	4.35864e-05	9.08813e-08	3.04712e-14
227	4.31147e-05	8.98978e-08	2.98152e-14
228	4.28537e-05	8.93536e-08	2.94554e-14
229	4.26625e-05	8.89549e-08	2.91931e-14
230	4.25136e-05	8.86444e-08	2.89896e-14
231	4.24165e-05	8.8442e-08	2.88574e-14
232	4.22598e-05	8.81152e-08	2.86446e-14
233	4.21346e-05	8.78542e-08	2.84751e-14
234	4.2083e-05	8.77466e-08	2.84054e-14
235	4.20131e-05	8.76008e-08	2.83111e-14
236	4.19201e-05	8.74069e-08	2.81859e-14
237	4.18751e-05	8.73131e-08	2.81254e-14
238	4.18256e-05	8.72097e-08	2.80589e-14
239	4.17534e-05	8.70593e-08	2.79622e-14
240	4.17517e-05	8.70557e-08	2.79598e-14
241	4.16941e-05	8.69356e-08	2.78828e-14
242	4.16552e-05	8.68545e-08	2.78308e-14
243	4.16246e-05	8.67908e-08	2.77899e-14
244	4.16125e-05	8.67656e-08	2.77738e-14
245	4.15633e-05	8.6663e-08	2.77082e-14
246	4.15402e-05	8.66148e-08	2.76773e-14
247	4.15169e-05	8.65661e-08	2.76462e-14
248	4.14642e-05	8.64563e-08	2.75762e-14
249	4.14327e-05	8.63906e-08	2.75343e-14
250	4.14133e-05	8.63502e-08	2.75085e-14
251	4.13577e-05	8.62343e-08	2.74347e-14
252	4.13554e-05	8.62294e-08	2.74316e-14
253	4.12863e-05	8.60854e-08	2.73401e-14
254	4.12584e-05	8.60272e-08	2.73031e-14
255	4.12452e-05	8.59997e-08	2.72856e-14
256	4.11903e-05	8.58851e-08	2.7213e-14
257	4.11818e-05	8.58675e-08	2.72018e-14
258	4.11617e-05	8.58255e-08	2.71752e-14
259	4.11069e-05	8.57113e-08	2.71029e-14
260	4.10449e-05	8.5582e-08	2.70212e-14
261	4.10333e-05	8.55577e-08	2.70059e-14
262	4.10041e-05	8.54969e-08	2.69675e-14
263	4.09788e-05	8.54442e-08	2.69343e-14
264	4.09282e-05	8.53387e-08	2.68678e-14
265	4.09081e-05	8.52968e-08	2.68415e-14
266	4.08865e-05	8.52517e-08	2.68131e-14
267	4.08515e-05	8.51788e-08	2.67673e-14
268	4.08337e-05	8.51417e-08	2.67439e-14
269	4.08094e-05	8.50911e-08	2.67121e-14
270	4.07692e-05	8.50072e-08	2.66595e-14
271	4.07286e-05	8.49224e-08	2.66063e-14
272	4.07168e-05	8.48979e-08	2.65909e-14
273	4.06952e-05	8.48529e-08	2.65628e-14
274	4.06794e-05	8.48199e-08	2.65421e-14
275	4.06488e-05	8.47561e-08	2.65022e-14
276	4.06216e-05	8.46995e-08	2.64668e-14
277	4.06043e-05	8.46633e-08	2.64442e-14
278	4.05466e-05	8.45429e-08	2.63691e-14
279	4.05447e-05	8.45391e-08	2.63667e-14
280	4.05082e-05	8.44629e-08	2.63192e-14
281	4.04865e-05	8.44177e-08	2.6291e-14
282	4.04669e-05	8.43768e-08	2.62655e-14
283	4.04361e-05	8.43125e-08	2.62256e-14
284	4.04071e-05	8.42522e-08	2.6188e-14
285	4.03776e-05	8.41905e-08	2.61497e-14
286	4.0335e-05	8.41019e-08	2.60947e-14
287	4.03118e-05	8.40535e-08	2.60646e-14
288	4.02903e-05	8.40087e-08	2.60369e-14
289	4.02656e-05	8.39572e-08	2.60049e-14
290	4.02453e-05	8.39147e-08	2.59787e-14
291	4.02284e-05	8.38795e-08	2.59569e-14
