t	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7
0.93	1.65523	-1.35566	0.343056	0.129792	-0.123567	-0.173873	-0.0201652	-0.0590665
0.945	1.82376	-1.1224	0.295889	0.216114	-0.182129	-0.111306	0.013042	-0.061049
0.96	1.95928	-0.868757	0.227416	0.286775	-0.211348	-0.0307576	0.0425801	-0.0456795
0.975	2.05937	-0.599325	0.142601	0.336698	-0.206486	0.0547524	0.0600043	-0.017329
0.99	2.12223	-0.318967	0.0475636	0.362314	-0.168335	0.131433	0.0604027	0.0159228
1.005	2.14672	-0.0327427	-0.0508502	0.361795	-0.103039	0.186907	0.0436724	0.0446497
1.02	2.13237	0.254182	-0.145575	0.335205	-0.0211362	0.212257	0.0145868	0.0606866
1.035	2.07943	0.536645	-0.229794	0.284466	0.0641775	0.203385	-0.018575	0.0595141
1.05	1.98884	0.809554	-0.297487	0.21322	0.139176	0.161739	-0.0464335	0.0414903
1.065	1.86221	1.06798	-0.343789	0.12657	0.191806	0.0940014	-0.0610965	0.0117552
1.08	1.7018	1.30725	-0.365384	0.0307282	0.213615	0.0110552	-0.0584844	-0.021266
1.095	1.51048	1.52301	-0.360704	-0.0674148	0.201106	-0.0737793	-0.0393493	-0.0482673
1.11	1.29171	1.71134	-0.33006	-0.160808	0.156285	-0.146899	-0.00910771	-0.0616544
1.125	1.04946	1.86882	-0.275646	-0.242701	0.0863231	-0.196552	0.0237259	-0.0576662
1.14	0.788105	1.99261	-0.201359	-0.307201	0.00243337	-0.214765	0.0498866	-0.0374373
1.155	0.512405	2.08046	-0.112545	-0.349639	-0.0819396	-0.198577	0.0620094	-0.00664792
1.17	0.227366	2.1308	-0.0155966	-0.366941	-0.153253	-0.150548	0.0566655	0.0260141
1.185	-0.0618404	2.14269	0.082506	-0.357854	-0.200056	-0.0783383	0.035319	0.0513591
1.2	-0.349952	2.11594	0.174689	-0.323046	-0.214801	0.0064761	0.00398525	0.0622297
1.215	-0.631719	2.05103	0.254305	-0.265034	-0.195085	0.0902895	-0.0285124	0.0555264
1.23	-0.902057	1.94916	0.315657	-0.188016	-0.144052	0.159648	-0.0530118	0.0331291
1.245	-1.15611	1.81217	0.354331	-0.0975301	-0.0698509	0.203415	-0.0625648	0.00132051
1.26	-1.3893	1.64256	0.36757	-8.74975e-05	0.0156131	0.214531	-0.0544335	-0.0309162
1.275	-1.59744	1.4434	0.354451	0.0972954	0.0986058	0.191201	-0.0308813	-0.0544584
1.29	-1.77678	1.21828	0.315943	0.187637	0.165804	0.137153	0.00145928	-0.0625953
1.305	-1.9241	0.971259	0.254843	0.264473	0.206397	0.0610733	0.0334239	-0.0530057
