f	spct
5.14826	0.128636
5.16455	0.120134
5.18084	0.119028
5.19713	0.12473
5.21342	0.133594
5.22972	0.140582
5.24601	0.141705
5.2623	0.135978
5.27859	0.12505
5.29488	0.113709
5.31118	0.106276
5.32747	0.105119
5.34376	0.110513
5.36005	0.118208
5.37634	0.124367
5.39264	0.125506
5.40893	0.12055
5.42522	0.111369
5.44151	0.101499
5.4578	0.0947202
5.4741	0.0930975
5.49039	0.0963188
5.50668	0.101867
5.52297	0.106374
5.53926	0.107211
5.55556	0.103617
5.57185	0.0968038
5.58814	0.0890981
5.60443	0.0825659
5.62072	0.0777149
5.63702	0.0727833
5.65331	0.0638414
5.6696	0.0436851
5.68589	0.00988506
5.70218	0.405866
5.71848	0.308546
5.73477	0.181589
5.75106	0.151064
5.76735	0.141513
5.78364	0.139189
5.79993	0.13748
5.81623	0.132426
5.83252	0.12285
5.84881	0.110296
5.8651	0.0981736
5.88139	0.0901752
5.89769	0.0884855
5.91398	0.0928374
5.93027	0.100417
5.94656	0.107188
5.96285	0.109596
5.97915	0.106178
5.99544	0.0980666
6.01173	0.088596
6.02802	0.081526
6.04431	0.0795764
6.06061	0.0830746
6.0769	0.0901295
6.09319	0.0960207
6.10948	0.0989916
6.12577	0.0967379
6.14207	0.0901424
6.15836	0.0819669
6.17465	0.0757499
6.19094	0.0739203
6.20723	0.0768784
6.22353	0.082844
6.23982	0.0887755
6.25611	0.0913601
6.2724	0.0895828
6.28869	0.0839357
6.30499	0.0768953
6.32128	0.0714753
6.33757	0.0699685
6.35386	0.0726082
6.37015	0.0778751
6.38645	0.0830393
6.40274	0.0854077
6.41903	0.0838128
6.43532	0.0789049
6.45161	0.0728515
6.4679	0.0683877
6.4842	0.0672711
6.50049	0.0697434
6.51678	0.0744135
6.53307	0.0787595
6.54936	0.0806852
6.56566	0.0792392
6.58195	0.0751458
6.59824	0.07027
6.61453	0.0670524
6.63082	0.0666396
6.64712	0.0690894
6.66341	0.0729673
6.6797	0.0761846
6.69599	0.0777272
6.71228	0.0761537
6.72858	0.0730504
6.74487	0.0700896
6.76116	0.0675073
6.77745	0.069552
6.79374	0.0724764
6.81004	0.0756291
6.82633	0.0775458
6.84262	0.0775132
6.85891	0.0761021
6.8752	0.0748191
6.8915	0.0753502
6.90779	0.0785004
6.92408	0.0836123
6.94037	0.0887916
6.95666	0.0918529
6.97296	0.0916565
6.98925	0.0891577
7.00554	0.0875869
7.02183	0.0915749
7.03812	0.1057
7.05442	0.133085
7.07071	0.175964
7.087	0.239962
7.10329	0.351623
7.11958	0.688852
7.13587	4.16936
7.15217	0.456599
7.16846	0.247142
7.18475	0.176601
7.20104	0.133972
7.21733	0.0952002
7.23363	0.0562679
7.24992	0.0207496
7.26621	0.00510969
7.2825	0.0170027
7.29879	0.0147785
7.31509	0.00292551
7.33138	0.0113426
7.34767	0.0206904
7.36396	0.0206586
7.38025	0.0112209
7.39655	0.00351039
7.41284	0.0173519
7.42913	0.0247272
7.44542	0.0231321
7.46171	0.0141748
7.47801	0.00248939
7.4943	0.00628352
7.51059	0.00787054
7.52688	0.00225185
7.54317	0.00836783
7.55947	0.0189003
7.57576	0.0242743
7.59205	0.0234014
7.60834	0.0156258
7.62463	0.0053699
7.64093	0.00265437
7.65722	0.0048194
7.67351	0.000367745
7.6898	0.00847927
7.70609	0.0174791
7.72239	0.0224347
7.73868	0.0210916
7.75497	0.0140981
7.77126	0.00476856
7.78755	0.00267197
7.80384	0.00489417
7.82014	0.00105955
7.83643	0.00683506
7.85272	0.0149436
7.86901	0.0194025
7.8853	0.0180695
7.9016	0.0115263
7.91789	0.00276661
7.93418	0.00425114
7.95047	0.00644176
7.96676	0.00295751
7.98306	0.00429984
7.99935	0.0117515
8.01564	0.0157625
8.03193	0.0145557
8.04822	0.00831313
8.06452	2.95342e-05
8.08081	0.0065908
8.0971	0.00866374
8.11339	0.00545481
8.12968	0.00136475
8.14598	0.00837153
8.16227	0.0122002
8.17856	0.0111491
8.19485	0.00449672
8.21114	0.00317799
8.22744	0.00952858
8.24373	0.0116541
8.26002	0.00877737
8.27631	0.0025
8.2926	0.0041002
8.3089	0.00779378
8.32519	0.00676467
8.34148	0.00133307
8.35777	0.00616534
